,confirm,heal,dead,confirm_add
03.13,2,0,0,2
03.14,2,0,0,0
03.15,2,0,0,0
03.16,6,0,0,4
03.17,6,0,0,0
03.18,7,0,0,1
03.19,9,0,0,2
03.20,16,0,0,7
03.21,19,0,0,3
03.22,21,0,1,2
03.23,24,0,1,3
03.24,52,0,2,28
03.25,68,0,2,16
03.26,132,0,3,64
03.27,136,1,3,4
03.28,137,2,4,1
03.29,152,2,5,4
03.30,152,2,5,0
03.31,152,31,5,0
04.01,195,31,5,43
04.02,204,31,5,9
04.03,204,31,5,0
04.04,205,31,5,1
04.05,214,31,5,9
04.06,214,31,5,0
04.07,287,31,5,73
04.08,287,31,5,0
04.09,313,34,6,26
04.10,378,4,6,65
04.11,408,4,8,30
04.12,408,4,8,0
04.13,566,4,8,158
04.14,566,4,8,0
04.15,636,17,8,70
04.16,641,83,8,5
04.17,641,83,8,0
04.18,834,99,9,193
04.19,834,99,9,0
04.20,1042,99,9,208
04.21,1042,99,9,0
04.22,1154,99,9,112
04.23,1154,99,9,0
04.24,1279,134,10,125
04.25,1279,134,10,0
04.26,1550,155,11,271
04.27,1550,155,11,0
04.28,1550,155,11,0
04.29,1671,188,16,121
04.30,2074,212,17,403
05.01,2074,212,17,0
05.02,2169,229,18,95
05.03,2169,229,18,0
05.04,2169,229,18,0
05.05,2719,294,18,550
05.06,2719,294,18,0
05.07,3091,303,18,372
05.08,3091,303,18,0
05.09,4012,323,18,921
05.10,4263,378,22,251
05.11,4700,494,22,437
05.12,5127,494,22,427
05.13,5127,494,22,0
05.14,5408,514,24,281
05.15,5530,674,24,122
05.16,5638,1460,28,108
05.17,5735,1754,29,97
05.18,5735,1754,29,0
05.19,5918,1754,31,183
05.20,6096,1773,31,178
05.21,6269,1898,31,173
05.22,6486,1951,31,217
05.23,6617,1976,31,131
05.24,6683,1998,32,66
05.25,6808,2070,32,125
05.26,6964,2097,32,156
05.27,7117,2317,34,153
05.28,7303,2412,34,186
05.29,7616,2421,34,313
05.30,7768,2540,35,152
05.31,7881,2841,36,113
06.01,8070,2947,36,189
06.02,8297,2986,38,227
06.03,8297,2986,38,0
06.04,8548,3132,38,251
06.05,8885,3189,38,337
06.06,9168,3457,42,283
06.07,9462,3547,44,294
06.08,9638,3636,44,176
06.09,9910,3645,48,272
06.10,10201,3755,48,291
06.11,10358,3824,48,157
06.12,10856,3921,48,498
06.13,11118,3979,48,262
06.14,11422,4156,51,304
06.15,11964,4258,54,542
06.16,11964,4258,54,0
06.17,12590,4410,66,626
06.18,12929,4468,66,339
06.19,12929,4468,66,0
06.20,13203,4548,70,274
06.21,13717,10074,85,514
06.22,14154,10473,85,437
06.23,14568,10907,95,414
06.24,14568,10907,95,0
06.25,15473,11431,95,905
06.26,15473,11431,95,0
06.27,15834,11755,103,361
06.28,16742,12720,112,908
06.29,17351,12994,112,609
06.30,17351,12994,112,0
07.01,17741,13268,112,390
07.02,18134,13550,117,393
07.03,18134,13550,117,0
07.04,19388,14330,117,1254
07.05,20085,14870,122,697
07.06,20085,14870,122,0
07.07,21077,16070,129,992
07.08,21968,17156,129,891
07.09,22822,17564,129,854
07.10,23463,18622,129,641
07.11,23834,19212,135,371
07.12,24248,19831,135,414
07.13,24518,20187,139,270
07.14,24988,21067,139,470
07.15,25252,21397,139,264
07.16,25430,21511,139,178
07.17,26125,22270,139,695
07.18,26572,22915,144,447
07.19,27060,23044,145,488
07.20,27667,23249,148,607
07.21,28989,25331,153,1322
07.22,28989,25331,153,0
07.23,29672,26090,153,683
07.24,30366,26687,153,694
07.25,31057,27801,161,691
07.26,32437,28927,161,1380
07.27,32969,29494,168,532
07.28,33624,29801,168,655
07.29,34406,30621,168,782
07.30,35142,31286,175,736
07.31,35142,31286,175,0
08.01,35501,32096,182,359
08.02,37014,33365,182,1513
08.03,37812,34313,191,798
08.04,37812,34313,191,0
08.05,39075,35563,199,1263
08.06,39642,36384,199,567
08.07,40097,36638,206,455
08.08,40533,37702,206,436
08.09,41003,38330,215,470
08.10,41003,38330,215,0
08.11,41212,38727,215,209
08.12,41572,39320,223,360
08.13,41725,39495,223,153
08.14,41847,39718,223,122
08.15,42210,40147,231,363
08.16,42210,40147,231,0
08.17,42653,40567,239,443
08.18,42653,40567,239,0
08.19,42993,40796,248,340
08.20,43260,41276,261,267
08.21,43260,41276,261,0
08.22,43325,41408,261,65
08.23,43505,41532,261,180
08.24,43622,41695,263,117
08.25,43622,41695,263,0
08.26,43717,41843,270,95
08.27,43769,42048,270,52
08.28,43841,42246,270,72
08.29,44118,42581,270,277
08.30,44205,42777,276,87
08.31,44205,42777,276,0
09.01,44298,42963,276,93
09.02,44460,43121,276,162
09.03,44713,43577,280,253
09.04,44713,43577,280,0
09.05,44777,43693,283,64
09.06,44777,43693,283,0
09.07,44777,43693,283,0
09.08,45012,43898,283,235
