,confirm,heal,dead,confirm_add
02.26,1,0,0,1
02.27,3,0,0,2
02.28,4,0,0,1
02.29,4,0,0,0
03.01,7,0,0,3
03.02,7,0,0,0
03.03,7,0,0,0
03.04,9,0,0,2
03.05,31,0,0,22
03.06,45,0,0,14
03.07,46,0,0,1
03.08,73,0,0,7
03.09,73,0,0,0
03.10,89,0,0,16
03.11,99,0,0,10
03.12,99,0,1,0
03.13,117,0,1,18
03.14,190,0,3,73
03.15,228,0,4,38
03.16,331,0,4,103
03.17,352,0,4,21
03.18,387,14,5,35
03.19,418,14,5,31
03.20,464,14,5,46
03.21,495,19,8,31
03.22,530,19,13,35
03.23,624,19,15,94
03.24,695,19,17,71
03.25,743,19,20,48
03.26,821,19,22,78
03.27,892,19,26,71
03.28,966,19,28,74
03.29,1156,52,38,95
03.30,1156,52,39,0
03.31,1212,52,46,56
04.01,1314,52,49,102
04.02,1415,52,52,101
04.03,1544,61,53,129
04.04,1643,78,67,99
04.05,1673,78,70,30
04.06,1735,78,76,62
04.07,1755,269,81,20
04.08,1832,269,81,77
04.09,1884,269,83,52
04.10,1955,269,87,71
04.11,2011,269,92,56
04.12,2114,269,98,103
04.13,2145,269,99,31
04.14,2145,269,99,0
04.15,2170,269,101,25
04.16,2192,269,102,22
04.17,2224,269,108,32
04.18,2235,269,110,11
04.19,2235,269,110,0
04.20,2235,269,113,0
04.21,2245,577,116,10
04.22,2408,577,121,163
04.23,2463,577,125,55
04.24,2490,577,130,27
04.25,2506,577,130,16
04.26,2517,577,134,11
04.27,2517,577,134,0
04.28,2534,577,136,17
04.29,2566,577,138,32
04.30,2576,577,139,10
05.01,2591,1374,140,15
05.02,2620,1374,143,29
05.03,2620,1374,143,0
05.04,2632,1374,146,12
05.05,2632,1374,146,0
05.06,2663,1374,147,31
05.07,2663,1374,147,0
05.08,2678,1374,148,15
05.09,2710,1374,151,32
05.10,2716,1374,151,6
05.11,2726,1374,151,10
05.12,2744,1374,152,18
05.13,2760,1374,155,16
05.14,2770,1374,156,10
05.15,2810,1374,160,40
05.16,2819,1374,162,9
05.17,2819,1374,162,0
05.18,2834,1374,163,15
05.19,2836,1374,165,2
05.20,2850,1374,166,14
05.21,2850,1374,166,0
05.22,2853,1374,168,3
05.23,2876,1374,171,23
05.24,2878,1374,171,2
05.25,2882,1374,172,4
05.26,2882,1374,172,0
05.27,2903,1374,173,21
05.28,2903,1374,173,0
05.29,2909,1374,175,6
05.30,2909,1374,175,0
05.31,2917,1374,175,8
06.01,2917,1374,175,0
06.02,2937,1374,179,20
06.03,2937,1374,179,0
06.04,2952,1374,180,15
06.05,2952,1374,180,0
06.06,2967,1374,180,15
06.07,2997,1374,180,30
06.08,2997,1374,180,0
06.09,3049,1374,182,52
06.10,3058,1374,183,9
06.11,3068,1374,183,10
06.12,3108,1374,183,40
