,confirm,heal,dead,confirm_add
03.14,1,0,0,1
03.15,2,0,1,1
03.16,2,0,1,0
03.17,2,0,1,0
03.18,2,0,1,0
03.19,2,0,1,0
03.20,2,0,1,0
03.21,12,0,1,10
03.22,17,0,1,5
03.23,19,0,1,2
03.24,20,0,1,1
03.25,21,0,1,1
03.26,24,4,1,3
03.27,25,4,1,1
03.28,32,0,1,4
03.29,34,10,1,2
03.30,36,10,1,2
03.31,36,10,1,0
04.01,39,12,1,3
04.02,46,12,1,7
04.03,47,12,1,1
04.04,50,12,1,3
04.05,61,15,2,11
04.06,70,15,3,9
04.07,74,17,3,4
04.08,80,17,3,6
04.09,95,17,3,15
04.10,126,17,3,31
04.11,137,19,3,11
04.12,153,19,3,16
04.13,155,19,5,2
04.14,167,19,5,12
04.15,180,19,5,13
04.16,196,19,5,16
04.17,214,21,7,18
04.18,235,21,7,21
04.19,257,21,7,22
04.20,289,21,7,32
04.21,294,24,7,5
04.22,316,24,8,22
04.23,342,25,10,26
04.24,384,30,11,42
04.25,430,30,11,46
04.26,473,45,13,43
04.27,500,49,15,27
04.28,530,49,15,30
04.29,557,62,16,27
04.30,585,65,16,28
05.01,599,66,16,14
05.02,644,72,16,45
05.03,644,72,16,0
05.04,703,72,17,59
05.05,730,79,19,27
05.06,763,79,19,33
05.07,798,86,21,35
05.08,832,90,23,34
05.09,900,101,24,68
05.10,967,104,24,67
05.11,1052,110,26,85
05.12,1114,111,26,62
05.13,1199,120,27,85
05.14,1342,121,29,143
05.15,1518,129,29,176
05.16,1643,135,30,125
05.17,1763,138,33,120
05.18,1912,138,35,149
05.19,2001,139,38,89
05.20,2133,155,43,132
05.21,2265,159,45,132
05.22,2512,222,48,247
05.23,2743,222,51,231
05.24,3054,244,55,311
05.25,3424,258,58,370
05.26,3760,274,59,336
05.27,3954,289,63,194
05.28,4145,493,68,191
05.29,4348,565,80,203
05.30,4607,648,90,259
05.31,4739,706,102,132
06.01,5087,735,108,348
06.02,5336,795,116,249
06.03,5336,795,116,0
06.04,5760,929,143,424
06.05,6154,979,158,394
06.06,6485,1053,216,331
06.07,6792,1133,230,307
06.08,7055,1261,252,263
06.09,7502,1323,267,447
06.10,7866,1413,289,364
06.11,8221,1504,316,355
06.12,8561,1567,334,340
06.13,8982,1702,351,421
06.14,9491,1804,367,509
06.15,9845,1886,384,354
06.16,10272,1966,399,427
06.17,10706,2096,418,434
06.18,11251,2200,432,545
06.19,11868,2290,449,617
06.20,12509,2419,483,641
06.21,12755,2558,514,246
06.22,13145,2711,531,390
06.23,13769,2818,547,624
06.24,14540,2897,582,771
06.25,14819,2930,601,279
06.26,15619,2949,623,800
06.27,15828,3028,672,209
06.28,16397,3123,706,569
06.29,16930,3152,727,533
06.30,17409,3170,746,479
07.01,18096,3194,773,687
07.02,19011,3231,817,915
07.03,20072,3279,843,1061
07.04,21293,3315,880,1221
07.05,22501,3330,920,1208
07.06,23248,3382,947,747
07.07,23972,3429,981,724
07.08,24787,3575,1004,815
07.09,25411,3718,1053,624
07.10,26658,3797,1092,1247
07.11,27619,4024,1139,961
07.12,28598,4073,1172,979
07.13,29355,4214,1219,757
07.14,29742,4321,1244,387
07.15,30872,4453,1302,1130
07.16,32074,4624,1350,1202
07.17,32939,4807,1404,865
07.18,33809,4989,1443,870
07.19,33809,4989,1443,0
07.20,38677,23365,1485,4868
07.21,39039,25539,1502,362
07.22,40229,26685,1531,1190
07.23,41135,27756,1573,906
07.24,42192,28856,1632,1057
07.25,43283,30150,1669,1091
07.26,44492,31045,1699,1209
07.27,45053,31612,1734,561
07.28,45309,32455,1761,256
07.29,46451,33494,1782,1142
07.30,47605,34488,1835,1154
07.31,48826,35629,1867,1221
08.01,49789,36816,1924,963
08.02,50979,37873,1959,1190
08.03,51306,38416,1995,327
08.04,51542,39346,2013,236
08.05,53509,41199,2072,1967
08.06,53509,41199,2072,0
08.07,55270,43135,2168,1761
08.08,55270,43135,2168,0
08.09,56189,44072,2197,919
08.10,56605,44598,2211,416
08.11,56987,45589,2222,382
08.12,57966,46442,2233,979
08.13,59089,47394,2267,1123
08.14,60284,48305,2296,1195
08.15,62313,50183,2355,2029
08.16,62313,50183,2355,0
08.17,62944,51530,2389,631
08.18,62944,51530,2389,0
08.19,63847,52370,2419,903
08.20,64881,53362,2467,1034
08.21,65983,54351,2506,1102
08.22,67856,56277,2580,1873
08.23,67856,56277,2580,0
08.24,68188,56778,2594,332
08.25,68533,57735,2611,345
08.26,69651,57891,2630,1118
08.27,70714,58783,2662,1063
08.28,71856,59641,2685,1142
08.29,72921,60534,2709,1065
08.30,73679,61163,2728,758
08.31,73912,61681,2740,233
09.01,74074,62068,2760,162
09.02,74893,62935,2778,819
09.03,75644,63688,2790,751
09.04,76358,64399,2804,714
09.05,77040,65029,2825,682
09.06,77481,65595,2845,441
09.07,77683,66131,2852,202
09.08,77828,66584,2862,145
09.09,78721,67462,2890,893
09.10,79622,68308,2897,901
09.11,80306,68927,2918,684
09.12,81009,69703,2929,703
09.13,81658,70403,2949,649
09.14,81909,70927,2957,251
09.15,82172,71352,2972,263
09.16,82684,71983,2984,512
09.17,82924,72562,3009,240
09.18,83664,73260,3036,740
09.19,84344,73748,3076,680
09.20,85152,74497,3105,808
09.21,85681,75172,3124,529
09.22,85681,75172,3124,0
09.23,86623,75869,3137,942
09.24,87933,76459,3170,1310
09.25,88878,77750,3186,945
09.26,88878,77750,3186,0
09.27,90092,78698,3229,1214
09.28,90092,78698,3229,0
09.29,90968,79654,3238,876
09.30,91746,80256,3246,778
10.01,92409,80800,3261,663
10.02,93090,81466,3267,681
10.03,93748,82040,3285,658
10.04,93963,82454,3293,215
10.05,94182,82828,3302,219
10.06,94870,83480,3310,688
10.07,95704,84036,3335,834
10.08,96480,84738,3347,776
10.09,96935,85343,3356,455
10.10,97544,86046,3365,609
10.11,97715,86582,3384,171
10.12,97826,87016,3387,111
10.13,98380,87744,3410,554
10.14,99094,88416,3430,714
10.15,99765,88931,3453,671
10.16,100431,89494,3478,666
10.17,101028,90001,3515,597
10.18,101360,90610,3530,332
10.19,101599,91032,3541,239
10.20,102219,91604,3546,620
10.21,102219,91604,3546,0
10.22,103172,92665,3580,953
10.23,103902,93341,3594,730
10.24,103902,93341,3594,0
10.25,104632,93880,3609,730
10.26,104894,94530,3651,262
10.27,104894,94530,3651,0
10.28,105571,95206,3665,677
10.29,106790,96187,3704,1219
10.30,107339,96752,3714,549
10.31,107339,96752,3714,0
11.01,108104,97756,3738,765
11.02,108104,97756,3738,0
11.03,108104,97756,3738,0
11.04,109147,99167,3752,1043
11.05,109147,99167,3752,0
11.06,109849,99753,3766,702
11.07,111050,100808,3811,1201
11.08,111262,101135,3821,212
11.09,111262,101135,3821,0
11.10,111360,101478,3823,98
11.11,112129,102140,3832,769
11.12,113543,103174,3858,1414
11.13,114123,103685,3880,580
11.14,114123,103685,3880,0
11.15,114885,104438,3932,762
11.16,114885,104438,3932,0
11.17,115730,105355,3947,845
11.18,115730,105355,3947,0
11.19,117066,106305,4050,1336
11.20,117066,106305,4050,0
11.21,117757,106725,4067,691
11.22,118417,107241,4074,660
11.23,118722,107819,4092,305
11.24,119349,108338,4099,627
11.25,119349,108338,4099,0
11.26,120685,109306,4133,1336
11.27,121132,109619,4141,447
11.28,121132,109619,4141,0
11.29,121798,110209,4161,666
11.30,122062,110944,4171,264
12.01,122062,110944,4171,0
12.02,123460,112181,4191,1398
12.03,123460,112719,4209,0
12.04,124053,113273,4224,593
12.05,125352,113870,4239,1299
12.06,125550,114315,4250,198
12.07,125674,114697,4274,124
12.08,126473,115406,4286,799
12.09,126473,115931,4311,0
12.10,127127,116442,4345,654
12.11,127786,117013,4376,659
12.12,128541,117013,4376,755
12.13,129282,117923,4423,741
12.14,129405,118217,4445,123
12.15,130082,118793,4476,677
12.16,130828,119288,4510,746
12.17,130828,119288,4510,0
12.18,132062,120257,4589,1234
12.19,132062,120715,4624,0
12.20,132595,120994,4656,533
12.21,132867,121337,4688,272
12.22,133601,121936,4718,734
12.23,133601,121936,4718,0
12.24,134256,122438,4739,655
12.25,134894,122965,4749,638
12.26,135080,123345,4757,186
12.27,135171,123893,4763,91
12.28,135309,124267,4768,138
12.29,135441,124604,4773,132
12.30,137166,125630,4803,1725
12.31,137166,125630,4803,0
01.01,138012,126028,4813,846
01.02,138236,126606,4820,224
01.03,138316,127063,4827,80
01.04,138475,127450,4833,159
01.05,138656,127797,4835,181
01.06,139419,128355,4859,763
01.07,140202,128952,4899,783
01.08,141074,129542,4928,872
01.09,142064,129990,4972,990
01.10,143127,130549,4999,1063
01.11,143243,131017,5025,116
01.12,143243,131017,5025,0
01.13,144982,131974,5080,1739
01.14,145986,132507,5117,1004
01.15,146937,133082,5151,951
01.16,147560,133217,5177,623
01.17,148598,133788,5220,1038
01.18,148888,134344,5254,290
01.19,149146,134824,5278,258
01.20,150277,135594,5313,1131
01.21,151324,136244,5343,1047
01.22,152395,136980,5389,1071
01.23,152956,137092,5420,561
01.24,153890,137711,5456,934
01.25,154212,138460,5465,322
01.26,154430,139113,5469,218
01.27,155459,140308,5486,1029
01.28,156497,141481,5513,1038
01.29,157595,142320,5543,1098
01.30,159118,143871,5618,1523
01.31,159118,143871,5618,0
02.01,159504,144595,5643,386
02.02,159632,145165,5673,128
02.03,160299,146019,5709,667
02.04,160966,146715,5736,667
02.05,161665,147486,5785,699
02.06,162295,148133,5816,630
02.07,162937,148917,5854,642
