,confirm,heal,dead,confirm_add
03.06,1,0,0,1
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,1,0,0,0
03.13,1,0,0,0
03.14,1,0,0,0
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,1,0,0,0
03.21,1,0,0,0
03.22,1,0,0,0
03.23,1,0,0,0
03.24,1,0,0,0
03.25,4,0,0,3
03.26,4,0,0,0
03.27,4,0,0,0
03.28,4,0,0,3
03.29,6,0,0,2
03.30,6,0,0,0
03.31,6,0,0,0
04.01,6,0,0,0
04.02,6,0,0,0
04.03,7,0,0,1
04.04,7,0,0,0
04.05,7,0,0,0
04.06,7,0,0,0
04.07,7,0,0,0
04.08,7,0,0,0
04.09,8,2,0,1
04.10,8,2,0,0
04.11,8,2,0,0
04.12,8,2,0,0
04.13,8,2,0,0
04.14,8,2,0,0
04.15,8,2,0,0
04.16,8,2,0,0
04.17,8,2,0,0
04.18,8,2,0,0
04.19,8,2,0,0
04.20,8,2,0,0
04.21,9,2,0,1
04.22,9,2,0,0
04.23,9,2,0,0
04.24,9,2,0,0
04.25,9,2,0,0
04.26,9,2,0,0
04.27,9,2,0,0
04.28,9,2,0,0
04.29,10,2,0,1
04.30,10,2,0,0
05.01,11,2,0,1
05.02,11,2,0,0
05.03,11,2,0,0
05.04,11,2,0,0
05.05,11,2,0,0
05.06,11,2,0,0
05.07,12,2,0,1
05.08,12,2,0,0
05.09,12,2,0,0
05.10,12,2,0,0
05.11,12,2,0,0
05.12,12,2,0,0
05.13,12,2,0,0
05.14,12,2,0,0
05.15,12,2,0,0
05.16,12,2,0,0
05.17,12,2,0,0
05.18,12,2,0,0
05.19,12,2,0,0
05.20,12,2,0,0
05.21,12,2,0,0
05.22,12,2,0,0
05.23,12,2,0,0
05.24,12,2,0,0
05.25,12,2,0,0
05.26,12,2,0,0
05.27,12,2,0,0
05.28,12,2,0,0
05.29,12,2,0,0
05.30,12,2,0,0
05.31,12,2,0,0
06.01,12,2,0,0
06.02,12,2,0,0
06.03,12,2,0,0
06.04,12,2,0,0
06.05,12,2,0,0
06.06,12,2,0,0
06.07,12,12,0,0
06.08,12,12,0,0
06.09,12,12,0,0
06.10,12,12,0,0
06.11,12,12,0,0
06.12,12,12,0,0
06.13,12,12,0,0
06.14,12,12,0,0
06.15,12,12,0,0
06.16,12,12,0,0
06.17,12,12,0,0
06.18,12,12,0,0
06.19,12,12,0,0
06.20,12,12,0,0
06.21,12,12,0,0
06.22,12,12,0,0
06.23,12,12,0,0
06.24,12,12,0,0
06.25,12,12,0,0
06.26,12,12,0,0
06.27,12,12,0,0
06.28,12,12,0,0
06.29,12,12,0,0
06.30,12,12,0,0
07.01,12,12,0,0
07.02,12,12,0,0
07.03,12,12,0,0
07.04,12,12,0,0
07.05,12,12,0,0
07.06,12,12,0,0
07.07,12,12,0,0
07.08,12,12,0,0
07.09,12,12,0,0
07.10,12,12,0,0
07.11,12,12,0,0
07.12,12,12,0,0
07.13,12,12,0,0
07.14,12,12,0,0
07.15,12,12,0,0
07.16,12,12,0,0
07.17,12,12,0,0
07.18,12,12,0,0
07.19,12,12,0,0
07.20,12,12,0,0
07.21,12,12,0,0
07.22,12,12,0,0
07.23,12,12,0,0
07.24,12,12,0,0
07.25,12,12,0,0
07.26,12,12,0,0
07.27,12,12,0,0
07.28,12,12,0,0
07.29,12,12,0,0
07.30,12,12,0,0
07.31,12,12,0,0
08.01,12,12,0,0
08.02,12,12,0,0
08.03,12,12,0,0
08.04,12,12,0,0
08.05,12,12,0,0
08.06,12,12,0,0
08.07,12,12,0,0
08.08,12,12,0,0
08.09,12,12,0,0
08.10,12,12,0,0
08.11,12,12,0,0
08.12,12,12,0,0
08.13,12,12,0,0
08.14,12,12,0,0
08.15,12,12,0,0
08.16,12,12,0,0
08.17,12,12,0,0
08.18,12,12,0,0
08.19,12,12,0,0
08.20,12,12,0,0
08.21,12,12,0,0
08.22,12,12,0,0
08.23,12,12,0,0
08.24,12,12,0,0
08.25,12,12,0,0
08.26,12,12,0,0
08.27,12,12,0,0
08.28,12,12,0,0
08.29,12,12,0,0
08.30,12,12,0,0
08.31,12,12,0,0
09.01,12,12,0,0
09.02,12,12,0,0
09.03,12,12,0,0
09.04,12,12,0,0
09.05,12,12,0,0
09.06,12,12,0,0
09.07,12,12,0,0
09.08,12,12,0,0
09.09,12,12,0,0
09.10,12,12,0,0
09.11,12,12,0,0
09.12,12,12,0,0
09.13,12,12,0,0
09.14,12,12,0,0
09.15,12,12,0,0
09.16,12,12,0,0
09.17,12,12,0,0
09.18,12,12,0,0
09.19,12,12,0,0
09.20,12,12,0,0
09.21,12,12,0,0
09.22,12,12,0,0
09.23,12,12,0,0
09.24,12,12,0,0
09.25,12,12,0,0
09.26,12,12,0,0
09.27,12,12,0,0
09.28,12,12,0,0
09.29,12,12,0,0
09.30,12,12,0,0
10.01,12,12,0,0
10.02,12,12,0,0
10.03,12,12,0,0
10.04,12,12,0,0
10.05,12,12,0,0
10.06,12,12,0,0
10.07,12,12,0,0
10.08,12,12,0,0
10.09,12,12,0,0
10.10,12,12,0,0
10.11,12,12,0,0
10.12,19,12,0,7
10.13,19,12,0,0
10.14,19,12,0,0
10.15,19,12,0,0
10.16,26,12,0,7
10.17,27,15,0,1
10.18,27,15,0,0
10.19,27,15,0,0
10.20,27,15,0,0
10.21,27,15,0,0
10.22,27,15,0,0
10.23,27,15,0,0
10.24,27,15,0,0
10.25,27,15,0,0
10.26,27,15,0,0
10.27,27,15,0,0
10.28,27,15,0,0
10.29,27,15,0,0
10.30,27,15,0,0
10.31,27,15,0,0
11.01,27,15,0,0
11.02,27,15,0,0
11.03,27,15,0,0
11.04,27,15,0,0
11.05,27,15,0,0
11.06,27,15,0,0
11.07,27,15,0,0
11.08,27,15,0,0
11.09,27,15,0,0
11.10,27,15,0,0
11.11,27,15,0,0
11.12,27,15,0,0
11.13,27,15,0,0
11.14,27,15,0,0
11.15,27,15,0,0
11.16,27,15,0,0
11.17,27,15,0,0
11.18,27,15,0,0
11.19,27,15,0,0
11.20,27,15,0,0
11.21,27,15,0,0
11.22,27,15,0,0
11.23,27,15,0,0
11.24,27,15,0,0
11.25,27,15,0,0
11.26,27,15,0,0
11.27,27,15,0,0
11.28,27,15,0,0
11.29,27,15,0,0
11.30,27,15,0,0
12.01,27,15,0,0
12.02,27,15,0,0
12.03,27,15,0,0
12.04,27,15,0,0
12.05,27,15,0,0
12.06,27,15,0,0
12.07,27,15,0,0
12.08,27,15,0,0
12.09,27,15,0,0
12.10,27,15,0,0
12.11,27,15,0,0
12.12,27,15,0,0
12.13,27,15,0,0
12.14,27,15,0,0
12.15,27,15,0,0
12.16,27,15,0,0
12.17,27,15,0,0
12.18,27,15,0,0
12.19,27,15,0,0
12.20,27,15,0,0
12.21,27,15,0,0
12.22,27,15,0,0
12.23,27,15,0,0
12.24,27,15,0,0
12.25,27,15,0,0
12.26,27,15,0,0
12.27,27,15,0,0
12.28,27,15,0,0
12.29,27,15,0,0
12.30,27,15,0,0
12.31,27,15,0,0
01.01,27,15,0,0
01.02,27,15,0,0
01.03,27,15,0,0
