,confirm,heal,dead,confirm_add
03.11,2,0,0,2
03.12,2,0,0,0
03.13,2,0,0,0
03.14,2,0,0,0
03.15,2,0,0,0
03.16,2,0,0,0
03.17,2,0,0,0
03.18,8,0,0,6
03.19,12,0,0,4
03.20,24,0,0,12
03.21,24,0,0,0
03.22,26,0,0,2
03.23,27,0,0,1
03.24,30,0,0,6
03.25,36,0,0,6
03.26,52,0,0,22
03.27,68,0,1,16
03.28,95,3,1,27
03.29,95,3,1,27
03.30,139,3,1,44
03.31,141,3,7,2
04.01,172,3,10,31
04.02,219,3,14,47
04.03,222,3,15,3
04.04,264,3,15,42
04.05,268,6,22,4
04.06,298,6,22,30
04.07,305,6,22,7
04.08,312,6,22,7
04.09,343,6,23,31
04.10,382,7,23,39
04.11,392,7,24,10
04.12,393,7,25,1
04.13,397,7,25,4
04.14,407,7,26,10
04.15,419,9,31,12
04.16,426,9,35,7
04.17,442,10,41,16
04.18,457,10,46,15
04.19,472,15,46,15
04.20,477,25,46,5
04.21,494,29,46,17
04.22,510,30,46,16
04.23,519,31,47,9
04.24,562,50,47,43
04.25,591,58,55,29
04.26,627,65,59,36
04.27,661,79,61,34
04.28,702,79,64,41
04.29,738,73,66,36
04.30,771,79,71,33
05.01,804,112,75,33
05.02,899,112,75,95
05.03,899,112,75,0
05.04,1055,118,82,156
05.05,1178,122,83,123
05.06,1270,122,93,92
05.07,1461,132,99,191
05.08,1685,154,105,224
05.09,1771,192,107,86
05.10,1830,195,108,59
05.11,1972,203,108,142
05.12,2100,206,116,128
05.13,2080,211,121,-20
05.14,2255,237,123,175
05.15,2318,253,133,63
05.16,2460,264,134,142
05.17,2565,278,138,105
05.18,2646,319,142,81
05.19,2798,340,146,152
05.20,2955,349,147,157
05.21,3100,355,151,145
05.22,3204,397,156,104
05.23,3477,439,167,273
05.24,3743,455,174,266
05.25,3950,468,180,207
05.26,4189,473,182,239
05.27,4401,493,188,212
05.28,4640,506,194,239
05.29,4752,519,196,112
05.30,4886,528,199,134
05.31,5094,536,201,208
06.01,5202,537,212,108
06.02,5362,549,217,160
06.03,5362,549,217,0
06.04,5690,617,234,328
06.05,5880,648,243,190
06.06,5971,677,248,91
06.07,6155,697,250,184
06.08,6327,712,258,172
06.09,6450,740,262,123
06.10,6935,787,271,485
06.11,7360,809,290,425
06.12,7669,837,294,309
06.13,8132,844,306,463
06.14,8455,894,310,323
06.15,8858,967,312,403
06.16,9178,1025,322,320
06.17,9656,1075,330,478
06.18,10299,1116,336,643
06.19,10739,1179,343,440
06.20,11258,1214,349,519
06.21,12306,1275,358,1048
06.22,12769,1293,363,463
06.23,13356,1362,395,587
06.24,13943,1461,405,587
06.25,14571,1546,417,628
06.26,15366,1600,426,795
06.27,15994,1678,471,628
06.28,17007,1767,479,1013
06.29,18082,1875,479,1075
06.30,18818,1961,485,736
07.01,19558,2060,497,740
07.02,20262,2123,542,704
07.03,21120,2190,591,858
07.04,22116,2250,605,996
07.05,22921,2387,629,805
07.06,23943,2490,639,1022
07.07,24665,2585,656,722
07.08,25428,2637,677,763
07.09,25978,2721,694,550
07.10,26384,2779,704,406
07.11,27053,2850,750,669
07.12,27583,2901,771,530
07.13,28090,2957,774,507
07.14,28579,3123,789,489
07.15,29106,3287,807,527
07.16,30036,3379,825,930
07.17,30867,3420,835,831
07.18,31745,3565,857,878
07.19,32793,3661,891,1048
07.20,33835,3801,900,1042
07.21,34611,3905,935,776
07.22,35345,4144,988,734
07.23,36102,4315,1006,757
07.24,36902,4448,1011,800
07.25,37559,4607,1061,657
07.26,38438,4713,1098,879
07.27,39276,4922,1116,838
07.28,39741,5039,1166,465
07.29,40460,5103,1214,719
07.30,40944,5281,1259,484
07.31,41426,5443,1312,482
08.01,42014,5554,1337,588
08.02,42685,5694,1368,671
08.03,43197,5794,1377,512
08.04,43794,5854,1384,597
08.05,44299,5921,1400,505
08.06,45098,6116,1423,799
08.07,45755,6225,1446,657
08.08,46365,6355,1465,610
08.09,46973,6428,1476,608
08.10,47454,6597,1495,481
08.11,47872,6649,1506,418
08.12,48403,6805,1515,531
08.13,48657,6945,1533,254
08.14,49042,7032,1542,385
08.15,49467,7128,1548,425
