,confirm,heal,dead,confirm_add
02.29,1,0,0,1
03.01,1,0,0,0
03.02,3,0,0,2
03.03,9,0,0,6
03.04,20,1,0,11
03.05,34,1,0,14
03.06,37,1,0,3
03.07,45,1,0,8
03.08,55,1,0,6
03.09,58,1,0,9
03.10,65,1,0,7
03.11,81,1,0,16
03.12,109,2,0,28
03.13,117,2,0,8
03.14,134,2,0,17
03.15,134,2,0,0
03.16,171,2,0,37
03.17,180,2,0,9
03.18,220,2,0,40
03.19,250,2,0,30
03.20,330,2,0,80
03.21,409,2,0,79
03.22,473,5,1,64
03.23,568,5,1,95
03.24,588,5,1,20
03.25,648,5,2,60
03.26,739,5,2,91
03.27,802,5,2,63
03.28,890,82,2,88
03.29,963,114,2,73
03.30,1020,135,2,57
03.31,1135,198,2,115
04.01,1220,225,2,85
04.02,1319,284,4,99
04.03,1364,309,4,45
04.04,1417,396,4,53
04.05,1486,428,4,69
04.06,1562,460,4,76
04.07,1586,559,6,24
04.08,1616,633,6,30
04.09,1616,633,6,0
04.10,1675,751,6,59
04.11,1689,841,7,14
04.12,1701,889,8,12
04.13,1701,889,8,0
04.14,1711,933,8,10
04.15,1727,1077,8,16
04.16,1727,1077,8,0
04.17,1754,1224,9,27
04.18,1760,1291,9,6
04.19,1771,1291,9,11
04.20,1773,1362,9,2
04.21,1778,1417,10,5
04.22,1785,1462,10,7
04.23,1789,1509,10,4
04.24,1789,1542,10,0
04.25,1790,1570,10,1
04.26,1792,1608,10,2
04.27,1792,1608,10,0
04.28,1795,1624,10,3
04.29,1797,1656,10,2
04.30,1797,1656,10,0
05.01,1797,1670,10,0
05.02,1798,1706,10,1
05.03,1798,1706,10,0
05.04,1799,1717,10,1
05.05,1799,1723,10,0
05.06,1799,1750,10,0
05.07,1799,1750,10,0
05.08,1801,1755,10,2
05.09,1801,1765,10,0
05.10,1801,1773,10,0
05.11,1801,1773,10,0
05.12,1801,1776,10,0
05.13,1802,1780,10,1
05.14,1802,1780,10,0
05.15,1802,1782,10,0
05.16,1802,1786,10,0
05.17,1802,1786,10,0
05.18,1802,1786,10,0
05.19,1802,1789,10,0
05.20,1803,1789,10,1
05.21,1803,1789,10,0
05.22,1803,1790,10,0
05.23,1804,1791,10,1
05.24,1804,1791,10,0
05.25,1804,1791,10,0
05.26,1804,1792,10,0
05.27,1805,1792,10,1
05.28,1805,1792,10,0
05.29,1805,1794,10,0
05.30,1806,1794,10,1
05.31,1806,1794,10,0
06.01,1806,1794,10,0
06.02,1806,1794,10,0
06.03,1806,1794,10,0
06.04,1806,1794,10,0
06.05,1806,1794,10,0
06.06,1806,1794,10,0
06.07,1807,1794,10,1
06.08,1807,1794,10,0
06.09,1807,1794,10,0
06.10,1807,1794,10,0
06.11,1807,1794,10,0
