,confirm,heal,dead,confirm_add
01.30,1,0,0,0
01.31,1,0,0,0
02.01,1,0,0,0
02.02,2,0,0,1
02.03,3,0,0,1
02.04,3,0,0,0
02.05,3,0,0,0
02.06,3,0,0,0
02.07,3,0,0,0
02.08,3,0,0,0
02.09,3,0,0,0
02.10,3,0,0,0
02.11,3,0,0,0
02.12,3,0,0,0
02.13,3,0,0,0
02.14,3,0,0,0
02.15,3,0,0,0
02.16,3,0,0,0
02.17,3,0,0,0
02.18,3,3,0,0
02.19,3,3,0,0
02.20,3,3,0,0
02.21,3,3,0,0
02.22,3,3,0,0
02.23,3,3,0,0
02.24,3,3,0,0
02.25,3,3,0,0
02.26,3,3,0,0
02.27,3,3,0,0
02.28,3,3,0,0
03.01,3,3,0,0
03.02,5,3,0,2
03.03,11,3,0,6
03.04,28,3,0,17
03.05,30,3,0,2
03.06,31,3,0,1
03.07,33,3,0,3
03.08,40,3,0,6
03.09,43,3,0,3
03.10,59,4,0,16
03.11,62,4,0,3
03.12,74,4,0,11
03.13,81,4,1,7
03.14,84,10,2,1
03.15,107,10,2,23
03.16,117,13,2,10
03.17,137,13,3,20
03.18,151,13,3,14
03.19,173,13,4,22
03.20,223,20,5,40
03.21,283,23,5,60
03.22,341,23,6,58
03.23,425,24,8,84
03.24,519,40,9,94
03.25,606,42,10,87
03.26,649,42,13,43
03.27,694,44,16,45
03.28,918,80,20,224
03.29,1024,95,27,106
03.30,1071,99,29,71
03.31,1251,102,32,180
04.01,1637,148,45,386
04.02,2032,150,58,395
04.03,2567,192,72,535
04.04,3082,229,86,515
04.05,3588,229,99,506
04.06,4314,328,118,726
04.07,4911,382,137,597
04.08,5480,468,164,569
04.09,6237,569,186,757
04.10,6725,641,229,488
04.11,7997,774,249,1272
04.12,8504,972,289,507
04.13,9240,1096,331,736
04.14,10541,1205,358,1301
04.15,11555,1362,396,1014
04.16,12759,1514,423,1204
04.17,13835,1777,452,1076
04.18,14792,2045,488,957
04.19,16402,2601,538,1610
04.20,17615,2854,559,1213
04.21,18985,3273,603,1370
04.22,20471,3976,652,1486
04.23,21797,4376,686,1326
04.24,23502,5012,722,1705
04.25,24942,5498,780,1440
04.26,26917,5939,826,1975
04.27,28380,6523,886,1463
04.28,29451,7137,939,1071
04.29,31787,7796,1008,2336
04.30,33610,8437,1079,1823
05.01,35043,9068,1154,1433
05.02,37336,10007,1223,2293
05.03,39699,10819,1323,2363
05.04,42836,11782,1395,3137
05.05,46476,12849,1571,3640
05.06,49852,14367,1704,3376
05.07,53045,15331,1787,3193
05.08,57306,17041,1899,4261
05.09,61356,18672,2041,4050
05.10,65021,19665,2153,3665
05.11,69149,21664,2249,4128
05.12,72593,23203,2331,3444
05.13,77729,25977,2535,5136
05.14,79333,26675,2564,1604
05.15,83072,28792,2662,3739
05.16,88506,30786,2760,5434
05.17,92239,35603,2911,3733
05.18,97577,36824,3041,5338
05.19,102335,39674,3169,4758
05.20,107819,43070,3317,5484
05.21,113461,46002,3457,5642
05.22,119574,49026,3600,6113
05.23,130506,53947,3850,10932
