,confirm,heal,dead,confirm_add
03.02,2,0,0,2
03.03,2,0,0,0
03.04,2,0,0,0
03.05,2,0,0,0
03.06,4,0,0,2
03.07,4,0,0,0
03.08,6,0,0,2
03.09,19,0,0,13
03.10,27,0,0,8
03.11,34,0,1,7
03.12,34,0,1,0
03.13,69,0,1,35
03.14,96,0,1,27
03.15,117,0,1,21
03.16,134,0,1,17
03.17,172,8,5,38
03.18,227,8,19,55
03.19,309,15,25,82
03.20,369,15,32,60
03.21,450,20,38,81
03.22,514,20,48,64
03.23,579,30,49,65
03.24,686,30,50,107
03.25,790,30,58,104
03.26,893,30,78,103
03.27,1046,30,87,153
03.28,1155,30,102,109
03.29,1285,30,114,130
03.30,1414,75,122,129
03.31,1528,81,136,114
04.01,1677,103,157,149
04.02,1790,112,170,113
04.03,1986,134,181,196
04.04,2092,150,191,106
04.05,2273,164,198,181
04.06,2491,192,209,218
04.07,2738,204,221,247
04.08,2956,222,240,218
04.09,3293,252,280,337
04.10,3512,282,306,219
04.11,3842,286,327,330
04.12,4241,359,373,399
04.13,4557,380,399,316
04.14,4839,426,459,282
04.15,5136,446,469,297
04.16,5516,548,496,380
04.17,5923,607,520,407
04.18,6248,631,535,325
04.19,6575,686,582,327
04.20,6760,747,590,185
04.21,7135,842,616,375
04.22,7418,913,635,283
04.23,7775,960,647,357
04.24,8211,1002,689,436
04.25,8607,1042,720,396
04.26,8882,1107,743,275
04.27,9096,1151,765,214
04.28,9511,1254,773,415
04.29,9771,1391,784,260
04.30,10118,1522,792,347
05.01,10551,1591,800,433
05.02,10843,1665,831,292
05.03,10843,1665,831,0
05.04,11587,1954,864,744
05.05,12071,2197,872,484
05.06,12438,2317,895,367
05.07,12776,2381,930,338
05.08,13112,2494,943,336
05.09,13645,2607,959,533
05.10,14032,2698,973,387
05.11,14265,2881,991,233
05.12,14749,3063,1007,484
05.13,15438,3287,1028,689
05.14,16006,3518,1043,568
05.15,16496,3803,1076,490
05.16,17025,3911,1089,529
05.17,17514,4129,1148,489
05.18,18010,4324,1191,496
05.19,18496,4467,1221,486
05.20,19189,4575,1242,693
05.21,20162,4838,1278,973
05.22,20796,5057,1326,634
05.23,21745,5249,1351,949
05.24,22271,5402,1372,526
05.25,22750,5642,1391,479
05.26,23165,5877,1418,415
05.27,23851,6057,1473,686
05.28,24538,6240,1496,687
05.29,25216,6492,1520,678
05.30,25773,7015,1573,557
05.31,26473,7308,1613,700
06.01,26940,7637,1641,467
06.02,27549,7935,1663,609
06.03,27549,7935,1663,0
06.04,28818,8892,1721,1269
06.05,29521,9443,1770,703
06.06,30514,9907,1801,993
06.07,31186,10498,1851,672
06.08,32033,10904,1883,847
06.09,33076,11414,1923,1043
06.10,34316,12129,1959,1240
06.11,35295,12636,2000,979
06.12,36406,13213,2048,1111
06.13,37420,13776,2091,1014
06.14,38277,14531,2134,857
06.15,39294,15123,2198,1017
06.16,40400,15703,2231,1106
06.17,41431,16243,2276,1031
06.18,42762,16798,2339,1331
06.19,43803,17349,2373,1041
06.20,45029,17883,2429,1226
06.21,45891,18404,2465,862
06.22,46845,18735,2500,954
06.23,47896,19241,2535,1051
06.24,49009,19658,2573,1113
06.25,50187,20449,2620,1178
06.26,51427,21333,2683,1240
06.27,52812,21909,2720,1385
06.28,54010,22936,2754,1198
06.29,55092,23800,2805,1082
06.30,56385,24806,2876,1293
07.01,57770,25595,2934,1385
07.02,59394,26667,2987,1624
07.03,60695,27568,3036,1301
07.04,62142,28219,3089,1447
07.05,63749,29105,3171,1607
07.06,64958,29919,3241,1209
07.07,66226,30785,3309,1268
07.08,68079,31585,3359,1853
07.09,70736,32651,3417,2657
07.10,72347,33529,3469,1611
07.11,74018,34719,3535,1671
07.12,75699,35638,3606,1681
07.13,76981,36689,3656,1282
07.14,78572,37636,3710,1591
07.15,80094,39050,3797,1522
07.16,81668,40345,3873,1574
07.17,83130,41834,3957,1462
07.18,84882,43268,4016,1752
07.19,86521,45401,4143,1639
07.20,88214,46977,4239,1693
07.21,89869,48466,4320,1655
07.22,91751,50255,4459,1882
07.23,93657,52164,4576,1906
07.24,95418,53945,4665,1761
07.25,97286,55354,4714,1868
07.26,98778,56655,4781,1492
07.27,100303,58173,4838,1525
07.28,102051,60539,4901,1748
07.29,104432,62138,4975,2381
07.30,106336,64292,5058,1904
07.31,108376,65907,5131,2040
08.01,109936,67919,5193,1560
08.02,111455,68975,5236,1519
08.03,113134,70237,5302,1679
08.04,115056,72050,5388,1922
08.05,116871,73889,5452,1815
08.06,118753,75645,5521,1882
08.07,121226,77557,5593,2473
08.08,123503,79306,5658,2277
08.09,125396,80952,5723,1893
08.10,127083,82236,5765,1687
08.11,128776,83710,5824,1693
08.12,130718,85798,5903,1942
08.13,132816,87558,5968,2098
08.14,135123,89618,6021,2307
08.15,137468,91321,6071,2345
08.16,139549,93103,6150,2081
08.17,141370,94458,6207,1821
08.18,143043,96306,6277,1673
08.19,144945,98657,6346,1902
08.20,147211,100674,6418,2266
08.21,149408,102991,6500,2197
08.22,151498,105198,6594,2090
08.23,153535,107500,6680,2037
08.24,155412,111060,6759,1877
08.25,157859,112867,6858,2447
08.26,160165,115409,6944,2306
08.27,162884,118575,7064,2719
08.28,165887,120900,7169,3003
08.29,169195,122802,7261,3308
08.30,172053,124185,7343,2858
08.31,174796,125959,7417,2743
09.01,177571,128057,7505,2775
09.02,180646,129971,7616,3075
09.03,184268,132055,7750,3622
