,confirm,heal,dead,confirm_add
02.19,2,0,0,2
02.20,5,0,2,3
02.21,18,0,4,13
02.22,28,0,4,10
02.23,43,0,8,15
02.24,61,0,12,0
02.25,95,0,16,35
02.26,139,0,19,44
02.27,245,49,26,106
02.28,388,49,34,143
02.29,593,123,43,205
03.01,593,123,43,0
03.02,1501,175,66,908
03.03,2336,435,77,835
03.04,2922,435,92,586
03.05,3513,435,107,591
03.06,4747,739,124,1234
03.07,5823,739,145,1067
03.08,6566,2134,194,743
03.09,7161,2394,237,1338
03.10,8042,2731,291,881
03.11,9000,2959,354,958
03.12,10075,3276,429,1075
03.13,11364,3529,514,1289
03.14,12729,4339,611,1365
03.15,13938,4590,724,2574
03.16,14991,4996,853,1053
03.17,16169,5389,988,1178
03.18,17361,5710,1135,1192
03.19,18407,5979,1284,1046
03.20,19644,6745,1433,1237
03.21,20610,7635,1556,966
03.22,21638,7913,1685,1028
03.23,23049,8376,1812,1411
03.24,24811,8913,1934,1762
03.25,27017,9625,2077,2206
03.26,29406,10457,2234,2389
03.27,32332,11133,2378,2926
03.28,35408,11679,2517,3076
03.29,38309,12391,2640,2901
03.30,41495,13911,2757,3186
03.31,44606,14656,2898,3111
04.01,47593,15473,3036,2987
04.02,50468,16711,3160,2875
04.03,53183,17935,3294,2715
04.04,55743,19736,3452,2560
04.05,58226,19736,3603,2483
04.06,60500,24236,3739,2274
04.07,62589,27039,3872,2089
04.08,64586,27039,3993,1997
04.09,66220,32309,4110,1634
04.10,68192,35465,4232,1972
04.11,70029,41947,4357,1837
04.12,71686,43894,4474,1657
04.13,73303,45983,4585,1617
04.14,74877,48129,4683,1574
04.15,76389,49933,4777,1512
04.16,77995,52229,4869,1606
04.17,79494,54064,4958,1499
04.18,80868,55987,5031,1374
04.19,82211,57023,5118,1343
04.20,83505,59273,5209,1294
04.21,84802,60965,5297,1297
04.22,85996,63113,5391,1194
04.23,87026,64843,5481,1030
04.24,88194,66599,5574,1168
04.25,89328,68193,5650,1134
04.26,90481,69657,5710,1153
04.27,91472,70933,5806,991
04.28,92584,72439,5877,1112
04.29,93657,73791,5957,1073
04.30,94640,75103,6028,983
05.01,95646,76318,6091,1006
05.02,96448,77350,6156,802
05.03,96448,77350,6156,0
05.04,98647,79379,6277,2199
05.05,99970,80475,6340,1323
05.06,101650,81587,6418,1680
05.07,103135,82744,6486,1485
05.08,104691,83837,6541,1556
05.09,106220,85064,6589,1529
05.10,107603,86143,6640,1383
05.11,109286,87422,6685,1683
05.12,110767,88357,6733,1481
05.13,112725,89428,6783,1958
05.14,114533,90539,6854,1808
05.15,116635,91836,6902,2102
05.16,118392,93147,6937,1757
05.17,120198,94464,6988,1806
05.18,122492,95661,7057,2294
05.19,124603,97173,7119,2111
05.20,126949,98808,7183,2346
05.21,129341,100564,7249,2392
05.22,131652,102276,7300,2311
05.23,133521,104072,7359,1869
05.24,135701,105801,7417,2180
05.25,137724,107713,7451,2023
05.26,139511,109437,7508,1787
05.27,141591,111176,7564,2080
05.28,143849,112988,7627,2258
05.29,146668,114931,7677,2819
05.30,148950,116827,7734,2282
05.31,151466,118848,7797,2516
06.01,154445,121004,7878,2979
06.02,157562,123077,7942,3117
06.03,157562,123077,7942,0
06.04,164270,127485,8071,6708
06.05,167156,129741,8134,2886
06.06,169425,132038,8209,2269
06.07,171789,134349,8281,2364
06.08,173832,136360,8351,2043
06.09,175927,138457,8425,2095
06.10,175927,138457,8425,0
06.11,180156,142663,8584,4229
06.12,182525,144649,8659,2369
06.13,184955,146748,8730,2430
06.14,187427,148674,8837,2472
06.15,189876,150590,8950,2449
06.16,192439,152675,9065,2563
06.17,195051,154812,9185,2612
06.18,197647,156991,9272,2596
06.19,200262,159192,9392,2615
06.20,202584,161384,9507,2322
06.21,204952,163591,9623,2368
06.22,207525,166427,9742,2573
06.23,209970,169160,9863,2445
06.24,212501,172096,9996,2531
06.25,215096,175103,10130,2595
06.26,217724,177852,10239,2628
06.27,220180,180661,10364,2456
06.28,222669,183310,10508,2489
06.29,225205,186180,10670,2536
06.30,227662,188758,10817,2457
07.01,230211,191487,10958,2549
07.02,232863,194098,11106,2652
07.03,235429,196446,11260,2566
07.04,237878,198949,11408,2449
