,confirm,heal,dead,confirm_add
02.25,5,0,0,0
02.26,5,0,0,0
02.27,6,0,0,1
02.28,7,0,0,1
02.29,8,0,0,1
03.01,13,0,0,5
03.02,21,0,0,8
03.03,26,0,0,5
03.04,31,0,1,5
03.05,31,0,2,0
03.06,38,0,2,7
03.07,46,0,4,8
03.08,55,0,4,9
03.09,61,0,6,6
03.10,71,9,7,10
03.11,71,9,7,0
03.12,73,15,8,2
03.13,83,24,8,6
03.14,93,24,9,10
03.15,110,26,9,5
03.16,124,26,9,14
03.17,154,41,11,27
03.18,164,43,12,10
03.19,177,49,12,13
03.20,192,49,13,15
03.21,208,49,17,15
03.22,214,49,17,6
03.23,233,57,20,19
03.24,266,62,23,33
03.25,346,89,29,80
03.26,382,107,36,36
03.27,458,122,40,76
03.28,506,131,42,48
03.29,547,143,42,41
03.30,547,143,42,0
03.31,630,152,46,83
04.01,694,170,50,64
04.02,772,202,54,78
04.03,772,202,54,0
04.04,820,226,54,48
04.05,878,259,56,58
04.06,961,279,61,83
04.07,1031,344,64,70
04.08,1122,373,65,91
04.09,1202,452,69,80
04.10,1232,496,69,30
04.11,1279,550,70,47
04.12,1318,601,72,39
04.13,1378,717,78,60
04.14,1378,717,78,0
04.15,1400,766,78,22
04.16,1415,812,79,15
04.17,1434,856,80,19
04.18,1482,906,81,48
04.19,1513,953,82,31
04.20,1539,1009,82,26
04.21,1574,1043,82,35
04.22,1602,1096,83,28
04.23,1677,1171,83,75
04.24,1677,1171,83,0
04.25,1708,1204,86,31
04.26,1763,1224,86,55
04.27,1820,1263,87,57
04.28,1847,1286,88,27
04.29,1928,1319,90,81
04.30,2003,1346,92,75
05.01,2085,1375,93,82
05.02,2153,1414,94,68
05.03,2219,1473,95,66
05.04,2296,1490,97,77
05.05,2346,1544,98,50
05.06,2431,1571,102,85
05.07,2480,1602,102,49
05.08,2543,1626,102,63
05.09,2603,1661,104,60
05.10,2767,1734,109,164
05.11,2818,1790,110,51
05.12,2913,1903,112,95
05.13,3032,1966,115,119
05.14,3032,1966,115,0
05.15,3143,2028,115,111
05.16,3193,2089,117,50
05.17,3260,2126,121,67
05.18,3404,2218,123,144
05.19,3554,2310,127,150
05.20,3611,2366,131,57
05.21,3724,2438,134,113
05.22,3877,2483,140,153
05.23,3964,2532,147,87
05.24,4272,2585,152,308
05.25,4632,2811,163,360
05.26,4632,2811,163,0
05.27,4848,2852,169,216
05.28,5457,2971,179,609
05.29,5873,3044,185,416
05.30,5873,3044,185,0
05.31,6439,3156,205,566
06.01,6868,3275,215,429
06.02,7387,3508,235,519
06.03,7387,3508,235,0
06.04,8840,4338,271,1453
06.05,9846,4573,285,1006
06.06,9846,4573,285,0
06.07,12366,5186,346,2520
06.08,13481,5572,370,1115
06.09,14268,5831,392,787
06.10,14268,5831,392,0
06.11,16675,6568,457,2407
06.12,17770,6868,496,1095
06.13,17770,6868,496,0
06.14,20209,8121,607,2439
06.15,21315,9271,652,1106
06.16,21315,9271,652,0
06.17,24254,10770,773,2939
