,confirm,heal,dead,confirm_add
03.01,1,0,0,1
03.02,1,0,0,0
03.03,1,0,0,0
03.04,2,0,0,1
03.05,6,0,0,4
03.06,13,0,0,7
03.07,18,0,0,5
03.08,19,0,0,1
03.09,21,0,0,2
03.10,24,0,0,3
03.11,34,0,0,10
03.12,43,0,1,9
03.13,70,0,1,27
03.14,90,0,1,20
03.15,129,0,2,39
03.16,169,0,2,40
03.17,223,0,2,54
03.18,292,0,2,69
03.19,366,0,2,74
03.20,557,5,3,191
03.21,683,5,3,126
03.22,785,5,3,102
03.23,906,5,4,121
03.24,1125,5,6,219
03.25,1329,5,7,204
03.26,1564,5,9,235
03.27,1819,5,19,255
03.28,2121,5,22,302
03.29,2415,5,36,294
03.30,2615,5,46,200
03.31,2910,5,54,295
04.01,3235,5,71,325
04.02,3447,5,85,212
04.03,3849,5,98,402
04.04,4273,25,120,424
04.05,4604,25,137,331
04.06,4994,25,158,390
04.07,5364,25,174,370
04.08,5709,25,210,345
04.09,6074,25,235,365
04.10,6574,25,263,500
04.11,8089,25,287,1515
04.12,8928,25,320,839
04.13,9655,25,334,727
04.14,10647,25,365,992
04.15,11479,77,406,832
04.16,12547,77,444,1068
04.17,13271,77,486,724
04.18,13980,77,530,709
04.19,14758,77,571,778
04.20,15251,77,610,493
04.21,15652,77,687,401
04.22,16040,9233,730,388
04.23,16671,9233,769,631
04.24,17607,9233,794,936
04.25,18184,9233,1014,577
04.26,18561,9233,1063,377
04.27,19262,9233,1087,701
04.28,19648,9233,1102,386
04.29,19877,9233,1159,229
04.30,20253,13386,1190,376
05.01,20612,13386,1232,359
05.02,20833,13386,1265,221
05.03,21176,13386,1286,343
05.04,21506,13386,1303,330
05.05,21772,13386,1319,266
05.06,21983,13386,1339,211
05.07,22248,17110,1375,265
05.08,22385,17110,1403,137
05.09,22541,17110,1429,156
05.10,22760,17110,1446,219
05.11,22996,17110,1458,236
05.12,23135,17110,1467,139
05.13,23242,17110,1488,107
05.14,23401,19470,1497,159
05.15,23827,19470,1506,426
05.16,23956,19470,1518,129
05.17,24048,19470,1533,92
05.18,24112,19470,1543,64
05.19,24200,19470,1547,88
05.20,24251,19470,1561,51
05.21,24315,21060,1571,64
05.22,24391,21060,1583,76
05.23,24506,21060,1592,115
05.24,24582,21060,1604,76
05.25,24639,21060,1608,57
05.26,24698,21060,1606,59
05.27,24735,21060,1615,37
05.28,24803,22089,1631,68
05.29,24841,22089,1639,38
05.30,24876,22089,1645,35
05.31,24929,22089,1651,53
06.01,24990,22089,1652,61
06.02,25062,22089,1650,72
06.03,25066,22089,1658,4
06.04,25111,22698,1659,45
06.05,25142,22698,1664,31
06.06,25163,22698,1670,21
06.07,25183,22698,1678,20
06.08,25201,22698,1679,18
06.09,25207,22698,1683,6
06.10,25215,22698,1691,8
06.11,25231,22698,1695,16
06.12,25238,22698,1703,7
06.13,25250,22698,1705,12
06.14,25295,22698,1705,45
06.15,25303,22698,1706,8
06.16,25321,22698,1706,18
06.17,25334,22698,1709,13
06.18,25341,22698,1710,7
06.19,25355,22698,1714,14
06.20,25368,22698,1714,13
06.21,25374,22698,1715,6
06.22,25379,22698,1715,5
06.23,25383,22698,1717,4
06.24,25391,22698,1720,8
06.25,25396,23364,1726,5
06.26,25405,23364,1727,9
06.27,25414,23364,1730,9
06.28,25437,23364,1734,23
06.29,25439,23364,1735,2
06.30,25462,23364,1735,23
07.01,25473,23364,1736,11
07.02,25477,23364,1738,4
07.03,25489,23364,1738,12
07.04,25498,23364,1740,9
07.05,25509,23364,1741,11
07.06,25527,23364,1741,18
07.07,25531,23364,1741,4
07.08,25538,23364,1742,7
07.09,25542,23364,1738,4
07.10,25565,23364,1743,23
07.11,25589,23364,1744,24
07.12,25611,23364,1746,22
07.13,25628,23364,1746,17
07.14,25638,23364,1746,10
07.15,25670,23364,1746,32
07.16,25683,23364,1748,13
07.17,25698,23364,1749,15
07.18,25730,23364,1752,32
07.19,25750,23364,1753,20
07.20,25760,23364,1753,10
07.21,25766,23364,1753,6
07.22,25802,23364,1753,36
07.23,25819,23364,1754,17
07.24,25826,23364,1763,7
07.25,25845,23364,1763,19
07.26,25869,23364,1764,24
07.27,25881,23364,1764,12
07.28,25892,23364,1764,11
07.29,25929,23364,1764,37
07.30,25942,23364,1764,13
07.31,26027,23364,1763,85
08.01,26065,23364,1763,38
08.02,26109,23364,1763,44
08.03,26162,23364,1763,53
08.04,26208,23364,1763,46
08.05,26253,23364,1763,45
08.06,26303,23364,1763,50
08.07,26372,23364,1768,69
08.08,26470,23364,1772,98
08.09,26644,23364,1772,174
08.10,26712,23364,1772,68
08.11,26768,23364,1772,56
08.12,26801,23364,1773,33
08.13,26838,23364,1774,37
08.14,26929,23364,1774,91
08.15,26995,23364,1774,66
08.16,27191,23364,1774,196
08.17,27257,23364,1774,66
08.18,27313,23364,1774,56
08.19,27499,23364,1775,186
08.20,27547,23364,1775,48
08.21,27676,23364,1776,129
08.22,27755,23364,1776,79
08.23,27908,23364,1777,153
08.24,27969,23364,1777,61
08.25,28116,23364,1777,147
08.26,28201,23364,1777,85
08.27,28363,23364,1777,162
08.28,28453,23364,1777,90
08.29,28578,23364,1777,125
08.30,28720,23364,1777,142
08.31,28760,23364,1777,40
09.01,28811,23364,1777,51
09.02,29025,23364,1777,214
09.03,29114,23364,1777,89
09.04,29206,23364,1777,92
09.05,29303,23364,1777,97
09.06,29534,23364,1777,231
09.07,29672,23364,1777,138
09.08,29774,23364,1777,102
09.09,30080,23364,1778,306
09.10,30164,23364,1781,84
09.11,30360,23364,1781,196
09.12,30571,23364,1781,211
09.13,30730,23364,1783,159
09.14,30985,23364,1784,255
09.15,31192,23364,1784,207
09.16,31549,23364,1787,357
09.17,31799,23364,1788,250
09.18,32023,23364,1789,224
09.19,32271,23364,1792,248
09.20,32538,23364,1792,267
09.21,32933,23364,1792,395
09.22,33121,23364,1792,188
09.23,33444,23364,1792,323
09.24,33675,23364,1794,231
09.25,33994,23364,1797,319
09.26,34315,23364,1797,321
09.27,34560,23364,1802,245
09.28,34990,23364,1802,430
09.29,35377,23364,1802,387
09.30,35740,23364,1803,363
10.01,36155,23364,1804,415
10.02,36597,23364,1806,442
10.03,37063,23364,1801,466
10.04,37668,23364,1810,605
10.05,38032,23364,1810,364
10.06,38549,23364,1810,517
10.07,38973,23364,1811,424
10.08,39584,23364,1816,611
10.09,40086,23364,1817,502
10.10,40703,23364,1821,617
10.11,41714,23364,1824,1011
10.12,42528,23364,1826,814
10.13,43351,23364,1827,823
10.14,44159,23364,1830,808
10.15,45243,23364,1835,1084
10.16,46429,23364,1838,1186
10.17,47427,23364,1841,998
10.18,48678,23364,1849,1251
10.19,49962,23364,1852,1284
10.20,50993,23364,1852,1031
10.21,52256,23364,1865,1263
10.22,53422,23364,1868,1166
10.23,54476,23364,1871,1054
10.24,55261,23364,1878,785
10.25,56108,23364,1882,847
10.26,57128,23364,1882,1020
10.27,58067,23364,1885,939
10.28,58767,23364,1890,700
10.29,59434,23364,1896,667
10.30,60297,23364,1902,863
10.31,61059,23364,1908,762
11.01,61456,23364,1913,397
11.02,62002,23364,1915,546
11.03,62750,23364,1917,748
11.04,63048,23364,1922,298
11.05,63483,23364,1930,435
11.06,64046,23364,1933,563
11.07,64538,23364,1940,492
11.08,64855,23364,1945,317
11.09,65394,23364,1947,539
11.10,65659,23364,1948,265
11.11,65889,23364,1963,230
11.12,66247,23364,1965,358
11.13,66632,23364,1965,385
11.14,67099,23364,1972,467
11.15,67526,23364,1978,427
11.16,67903,23364,1979,377
11.17,68356,23364,1984,453
11.18,68686,23364,1995,330
11.19,69058,23364,2006,372
11.20,69473,23364,2010,415
11.21,69802,23364,2018,329
11.22,70143,23364,2022,341
11.23,70461,23364,2023,318
11.24,70711,23364,2023,250
11.25,70930,23364,2028,219
11.26,71187,23364,2033,257
11.27,71494,23364,2036,307
11.28,71699,23364,2043,205
11.29,71942,23364,2050,243
11.30,72241,23364,2052,299
12.01,72544,23364,2053,303
12.02,72798,23364,2069,254
12.03,73066,23364,2074,268
12.04,73228,23364,2080,162
12.05,73491,23364,2086,263
12.06,73948,23364,2099,457
12.07,74246,23364,2099,298
12.08,74468,23364,2099,222
12.09,74682,23364,2097,214
12.10,74900,23364,2102,218
12.11,75203,23364,2117,303
12.12,75507,23364,2120,304
12.13,75756,23364,2123,249
