,confirm,heal,dead,confirm_add
02.21,1,0,0,0
02.22,1,0,0,0
02.23,1,0,0,0
02.24,2,0,0,1
02.25,2,0,0,0
02.26,6,1,0,4
02.27,6,1,0,0
02.28,8,1,0,2
02.29,9,2,0,1
03.01,10,2,0,1
03.02,10,2,0,0
03.03,12,2,0,2
03.04,15,2,0,3
03.05,15,2,0,0
03.06,17,2,0,2
03.07,21,2,0,4
03.08,25,2,0,2
03.09,39,2,0,14
03.10,50,4,0,11
03.11,76,4,0,26
03.12,100,4,0,24
03.13,126,4,0,26
03.14,154,28,0,11
03.15,200,28,0,46
03.16,344,28,0,131
03.17,344,28,0,0
03.18,433,28,0,89
03.19,529,28,0,96
03.20,705,14,0,176
03.21,883,14,1,178
03.22,945,37,1,62
03.23,1238,37,1,293
03.24,1656,49,1,585
03.25,2170,58,5,514
03.26,2666,58,8,496
03.27,3035,79,10,369
03.28,3460,79,12,425
03.29,3865,89,12,405
03.30,4347,139,15,728
03.31,4831,163,17,484
04.01,5591,226,23,760
04.02,6360,289,33,769
04.03,7030,338,39,670
04.04,7589,427,44,559
04.05,8018,477,47,429
04.06,8611,585,55,593
04.07,9006,683,60,395
04.08,9404,801,72,398
04.09,9755,864,79,351
04.10,10095,1061,92,340
04.11,10525,1258,96,430
04.12,10878,1388,103,353
04.13,11235,1689,113,357
04.14,11868,2000,117,633
04.15,12200,2309,126,332
04.16,12591,2624,140,391
04.17,12855,2967,148,264
04.18,13107,3247,158,252
04.19,13362,3564,171,255
04.20,13654,3872,173,292
04.21,13883,4353,181,229
04.22,14326,4961,187,443
04.23,14592,5334,191,266
04.24,14882,5685,193,290
04.25,15148,6159,198,266
04.26,15398,6602,199,250
04.27,15466,6796,202,68
04.28,15589,7375,208,123
04.29,15782,7929,212,193
04.30,15870,8412,219,88
05.01,16004,8758,223,134
05.02,16152,9400,227,148
05.03,16185,9593,229,33
05.04,16237,9858,234,52
05.05,16268,10223,237,31
05.06,16314,10527,238,46
05.07,16346,10737,239,32
05.08,16409,11007,245,63
05.09,16444,11313,245,35
05.10,16458,11384,248,14
05.11,16492,11548,254,34
05.12,16526,11956,258,34
05.13,16539,12173,262,13
05.14,16567,12364,264,28
05.15,16589,12587,266,22
05.16,16606,12820,267,17
05.17,16607,12884,271,1
05.18,16621,13014,272,14
05.19,16650,13299,277,29
05.20,16659,13435,278,9
05.21,16670,13617,279,11
05.22,16690,13915,279,20
05.23,16712,14085,279,22
05.24,16712,14093,279,0
05.25,16720,14203,280,8
05.26,16743,14362,281,23
05.27,16771,14486,281,28
05.28,16809,14602,281,38
05.29,16887,14727,284,78
05.30,17008,14776,284,121
05.31,17024,14812,284,16
06.01,17106,14826,285,82
06.02,17219,14915,287,113
06.03,17285,14940,290,66
06.04,17429,14993,291,144
06.05,17562,15026,291,133
06.06,17706,15042,292,144
06.07,17783,15064,297,77
06.08,17915,15102,298,132
06.09,18089,15137,298,174
06.10,18268,15168,299,179
06.11,18461,15214,300,193
06.12,18701,15288,300,240
06.13,18876,15319,300,175
06.14,19008,15360,300,132
06.15,19121,15389,302,113
06.16,19338,15438,302,217
06.17,19637,15459,303,299
06.18,19894,15499,303,257
06.19,20243,15567,304,349
06.20,20339,15586,304,96
06.21,20686,15664,305,347
06.22,20869,15714,307,183
06.23,21246,15812,307,377
06.24,21666,15898,308,420
06.25,22139,15961,308,473
06.26,22638,16589,313,499
06.27,22800,16872,314,162
06.28,23497,17019,318,697
06.29,23989,17114,319,492
06.30,24688,17272,320,699
07.01,25547,17389,320,859
07.02,26452,17481,324,905
07.03,27611,17607,326,1159
07.04,28055,17669,326,444
07.05,29366,17847,330,1311
07.06,30162,17974,332,796
07.07,31271,18131,338,1109
07.08,32714,18267,343,1443
07.09,33947,18392,346,1233
07.10,35631,18542,350,1684
07.11,36266,18613,351,635
07.12,38213,18915,358,1947
07.13,39871,19256,364,1658
07.14,41235,19474,368,1364
07.15,42813,19734,375,1578
07.16,44714,20100,380,1901
07.17,46546,20523,387,1832
07.18,47459,20744,392,913
07.19,49575,21440,406,2116
07.20,50714,21875,415,1139
07.21,52687,22382,422,1973
07.22,54663,22920,430,1976
07.23,56748,23560,433,2085
07.24,58559,25887,446,1811
07.25,59475,26797,448,916
07.26,61388,26959,464,1913
07.27,62626,27077,473,1238
07.28,64649,32117,480,2023
07.29,66805,32697,490,2156
07.30,68769,35516,497,1964
07.31,70582,43813,509,1813
08.01,70970,43850,512,388
08.02,72315,45631,531,1345
08.03,73231,47523,541,916
08.04,75083,49763,554,1852
08.05,76763,51331,564,1680
08.06,78514,53362,569,1751
08.07,80431,55274,578,1917
08.08,80991,55313,581,560
08.09,82515,57483,597,1524
08.10,83540,58934,606,1025
08.11,85354,60019,619,1814
08.12,87173,61577,633,1819
08.13,88733,64674,643,1560
08.14,90472,66151,657,1739
08.15,91080,66965,665,608
08.16,92404,68400,679,1324
08.17,93691,69062,690,1287
08.18,95264,71167,698,1573
08.19,96996,72498,719,1732
08.20,98550,73848,789,1554
08.21,99599,77785,809,1049
08.22,100716,77785,809,1117
08.23,102150,79303,825,1434
08.24,103274,80521,839,1124
08.25,105252,83028,856,1978
08.26,107341,85893,867,2089
08.27,109039,87017,877,1698
08.28,111493,90158,891,2454
08.29,112000,91051,894,507
08.30,113648,92588,909,1648
08.31,115057,93801,922,1409
09.01,117241,95596,946,2184
09.02,119627,96662,963,2386
09.03,122779,97885,976,3152
09.04,125755,99487,991,2976
09.05,126419,100357,993,664
09.06,129349,102107,1010,2930
09.07,131970,103849,1022,2621
09.08,135288,106297,1031,3318
09.09,138719,107600,1040,3431
09.10,143049,109775,1055,4330
09.11,148564,111728,1090,5515
09.12,148564,111728,1090,0
09.13,153759,114635,1108,5195
09.14,156823,115128,1126,3064
09.15,162273,120443,1141,5450
09.16,166794,122785,1147,4521
09.17,172322,125671,1163,5528
09.18,179071,130024,1196,6749
09.19,183602,132449,1226,4531
09.20,183602,132449,1226,0
09.21,188760,135997,1260,5158
09.22,193374,140751,1285,4614
09.23,200041,144401,1316,6667
09.24,206332,148075,1335,6291
09.25,217899,153574,1412,11567
09.26,217899,153574,1412,0
09.27,231026,159931,1466,13127
09.28,231026,159931,1466,0
09.29,234060,167032,1516,3034
09.30,239806,173109,1547,5746
10.01,248133,177752,1571,8327
10.02,258920,185122,1633,10787
10.03,258920,185122,1633,0
10.04,265086,193027,1692,6166
10.05,268175,201392,1719,3089
10.06,274423,208819,1771,6248
10.07,278932,215198,1806,4509
10.08,283532,220046,1846,4600
10.09,286646,225189,1879,3114
10.10,287858,225248,1886,1212
10.11,290079,225929,1956,2221
10.12,292230,238380,1993,2151
10.13,295037,241764,2021,2807
10.14,297501,248940,2067,2464
10.15,299502,253597,2109,2001
10.16,301389,261128,2139,1887
10.17,301896,262503,2141,507
10.18,302911,267221,2202,1015
10.19,304367,272252,2248,1456
10.20,305633,279740,2271,1266
10.21,306503,283205,2278,870
10.22,307965,286438,2319,1462
10.23,308840,290130,2329,875
10.24,308840,290130,2329,0
10.25,309413,291206,2372,573
10.26,310254,293846,2404,841
10.27,311313,295968,2452,1059
10.28,312024,296770,2483,711
10.29,312787,298376,2494,763
10.30,313701,299822,2514,914
10.31,313701,299822,2514,0
11.01,314535,301624,2541,834
11.02,315237,302871,2569,702
11.03,315983,303634,2580,746
11.04,316792,304418,2592,809
11.05,317668,305623,2638,876
11.06,318140,306514,2642,472
11.07,318402,306890,2644,262
11.08,319090,307728,2664,688
11.09,319562,308735,2674,472
11.10,320184,309424,2678,622
11.11,320661,309840,2684,477
11.12,321326,310605,2700,665
11.13,322695,310605,2716,1369
11.14,322695,312131,2716,0
11.15,323503,312824,2732,808
11.16,324293,313643,2732,790
11.17,325143,314270,2736,850
11.18,325974,314894,2737,831
11.19,326628,315508,2739,654
11.20,327435,316239,2742,807
11.21,327748,316544,2744,313
11.22,328613,317348,2757,865
11.23,329403,318141,2806,790
11.24,330495,318773,2818,1092
11.25,331299,319300,2826,804
11.26,332420,320078,2827,1121
11.27,333802,321346,2839,1382
11.28,333802,321346,2839,0
11.29,334988,322211,2854,1186
11.30,336160,323224,2864,1172
12.01,337422,323997,2867,1262
12.02,338748,324645,2881,1326
12.03,340424,325874,2890,1676
12.04,341760,326966,2896,1336
12.05,342101,327162,2896,341
12.06,344228,327972,2916,2127
12.07,345661,329586,2917,1433
12.08,347497,330475,2925,1836
12.09,349024,331285,2933,1527
12.10,351579,332645,2937,2555
12.11,353269,333900,2969,1690
12.12,353269,333900,2969,0
12.13,356250,335820,2990,2981
12.14,358293,337599,3003,2043
12.15,360630,338784,3014,2337
12.16,363287,340146,3030,2657
12.17,366612,341744,3040,3325
12.18,370152,344373,3057,3540
12.19,370152,344373,3057,0
12.20,373655,346218,3082,3503
12.21,376857,348590,3109,3202
12.22,380285,349445,3123,3428
12.23,384169,351625,3141,3884
12.24,385022,351876,3150,853
12.25,394391,357868,3186,9369
12.26,394391,357868,3186,0
12.27,400099,361318,3222,5708
12.28,403986,364880,3240,3887
12.29,409338,367082,3257,5352
12.30,414967,370426,3304,5629
12.31,419943,374139,3318,4976
01.01,428510,379910,3356,8567
01.02,428510,379910,3356,0
01.03,435866,383554,3404,7356
01.04,442187,388714,3433,6321
01.05,451044,391374,3448,8857
01.06,459435,395454,3497,8391
01.07,466916,399019,3527,7481
01.08,477357,408753,3596,10441
01.09,477357,408753,3596,0
01.10,487680,415096,3651,10323
01.11,495063,421610,3689,7383
01.12,504888,427197,3723,9825
01.13,513715,432533,3772,8827
01.14,523885,440562,3846,10170
01.15,535049,453127,3910,11164
01.16,535049,453127,3910,0
01.17,546087,459000,3979,11038
01.18,552415,467559,4005,6328
01.19,562619,477078,4060,10204
01.20,570503,482785,4144,7884
01.21,579016,493082,4210,8513
01.22,589028,504590,4266,10012
01.23,589028,504590,4266,0
01.24,595097,515453,4361,6069
01.25,601069,525543,4437,5972
01.26,610760,531978,4493,9691
01.27,619150,538461,4539,8390
01.28,624814,545151,4612,5664
01.29,633991,558019,4700,9177
01.30,633991,558019,4700,0
01.31,641373,566978,4768,7382
02.01,647237,572925,4808,5864
02.02,656016,579592,4863,8779
02.03,664651,585831,4890,8635
02.04,672324,589387,4975,7673
02.05,680856,590822,5020,8532
02.06,680856,590822,5020,0
02.07,687492,611795,5096,6636
02.08,693212,620223,5129,5720
02.09,700479,624938,5192,7267
02.10,706416,630510,5233,5937
02.11,712078,638787,5266,5662
02.12,718746,651293,5304,6668
02.13,718746,651293,5304,0
02.14,723038,656199,5368,4292
02.15,727485,667052,5403,4447
02.16,732040,671210,5423,4555
02.17,737644,678906,5463,5604
02.18,740527,682058,5486,2883
02.19,743814,693503,5526,3287
02.20,744513,693503,5526,699
02.21,744513,693503,5526,0
02.22,752398,706946,5585,7885
02.23,757150,709832,5604,4752
02.24,761551,713631,5648,4401
02.25,765492,718782,5673,3941
02.26,770780,725727,5697,5288
02.27,770780,725727,5697,0
02.28,774479,728407,5738,3699
03.01,778172,733708,5758,3693
03.02,781857,736662,5779,3685
03.03,787211,738455,5797,5354
03.04,791319,743002,5815,4108
03.05,796465,750435,5834,5146
03.06,796465,750435,5834,0
03.07,800721,753985,5861,4256
03.08,803260,759438,5899,2539
03.09,806841,762044,5922,3581
03.10,809870,765133,5936,3029
03.11,812823,769932,5955,2953
03.12,815462,775675,5980,2639
03.13,816198,775675,5980,736
03.14,818154,779934,5992,1956
03.15,819987,786148,6025,1833
03.16,821762,788467,6037,1775
03.17,823314,791105,6051,1552
03.18,824926,794644,6062,1612
03.19,826217,798789,6071,1291
03.20,826609,800514,6073,392
03.21,827428,802821,6085,819
03.22,828239,806164,6098,811
03.23,829288,808495,6114,1049
03.24,829832,809298,6131,544
03.25,830515,811452,6157,683
03.26,831383,814505,6165,868
03.27,831383,814505,6165,0
03.28,831897,815721,6180,514
03.29,832012,816570,6194,115
03.30,832012,816570,6194,0
03.31,832998,818953,6201,986
04.01,833281,819867,6214,283
04.02,833707,820906,6220,426
04.03,833707,820906,6220,0
04.04,834206,822548,6240,499
04.05,834446,822971,6243,240
04.06,834822,823527,6253,376
04.07,835104,823955,6261,282
04.08,835385,824344,6270,281
04.09,835641,824947,6280,256
04.10,835674,825195,6280,33
04.11,835871,825687,6294,197
04.12,836072,826289,6299,201
04.13,836261,826588,6304,189
04.14,836521,827055,6312,260
04.15,836590,827562,6312,69
04.16,836922,828042,6316,332
04.17,836936,828235,6316,14
04.18,836926,828052,6334,-10
04.19,837199,828667,6340,273
04.20,837309,828761,6342,110
04.21,837420,828972,6345,111
04.22,837566,829166,6346,146
04.23,837870,829627,6346,304
04.24,837892,829696,6346,22
04.25,838006,829851,6350,114
04.26,838084,830012,6352,78
04.27,838193,830129,6354,109
04.28,838285,830273,6361,92
04.29,838372,830441,6361,87
04.30,838481,830625,6363,109
05.01,838481,830625,6363,0
05.02,838535,830740,6365,54
05.03,838576,830922,6366,41
05.04,838670,831057,6369,94
05.05,838739,831158,6369,69
05.06,838817,831228,6371,78
05.07,838858,831380,6375,41
05.08,838858,831380,6375,0
05.09,838887,831474,6376,29
05.10,838932,831610,6377,45
05.11,838996,831654,6378,64
05.12,839022,831742,6378,26
05.13,839042,831803,6379,20
05.14,839079,831898,6380,37
05.15,839079,831898,6380,0
05.16,839119,832019,6382,40
05.17,839119,832020,6382,0
05.18,839162,832058,6390,43
05.19,839208,832156,6395,46
05.20,839261,832224,6395,53
05.21,839290,832279,6397,29
05.22,839290,832279,6397,0
05.23,839319,832354,6402,29
05.24,839336,832380,6404,17
05.25,839378,832408,6406,42
05.26,839392,832445,6406,14
05.27,839416,832473,6406,24
05.28,839429,832506,6407,13
05.29,839433,832525,6407,4
05.30,839454,832554,6408,21
05.31,839472,832602,6411,18
06.01,839483,832625,6412,11
06.02,839515,832657,6413,32
06.03,839517,832680,6415,2
06.04,839539,832817,6417,22
06.05,839539,832817,6417,0
06.06,839566,832812,6418,27
06.07,839577,832858,6418,11
06.08,839585,832876,6418,8
06.09,839585,832876,6418,0
06.10,839624,832886,6428,39
06.11,839653,832905,6428,29
06.12,839653,832905,6428,0
06.13,839663,832922,6430,10
06.14,839674,832937,6430,11
06.15,839701,832949,6428,27
06.16,839720,832958,6428,19
06.17,839735,832962,6428,15
06.18,839765,832997,6427,30
06.19,839769,833000,6427,4
06.20,839837,833016,6427,68
06.21,839940,833051,6427,103
06.22,840032,833066,6428,92
06.23,840166,833080,6428,134
06.24,840307,833094,6429,141
06.25,840522,833117,6429,215
06.26,840638,833121,6429,116
06.27,840850,833142,6429,212
06.28,840995,833208,6429,145
06.29,841319,833249,6429,324
06.30,841610,833317,6429,291
07.01,841899,833376,6429,289
07.02,841899,833376,6429,0
