,confirm,heal,dead,confirm_add
03.21,16,2,1,0
03.22,16,2,1,0
03.23,19,2,1,3
03.24,21,2,1,2
03.25,25,2,1,4
03.26,26,2,1,1
03.27,26,2,1,0
03.28,30,2,1,4
03.29,32,2,1,2
03.30,34,2,1,2
03.31,36,2,1,2
04.01,38,2,2,2
04.02,44,2,3,6
04.03,47,2,3,3
04.04,53,7,3,6
04.05,55,7,3,2
04.06,58,8,3,3
04.07,59,8,3,1
04.08,63,10,3,4
04.09,63,10,4,0
04.10,63,13,4,0
04.11,65,13,4,2
04.12,69,13,4,4
04.13,72,16,4,3
04.14,73,19,4,1
04.15,105,21,5,32
04.16,125,21,5,20
04.17,143,25,5,18
04.18,163,25,5,20
04.19,173,25,5,10
04.20,196,27,5,23
04.21,223,27,6,27
04.22,233,27,6,10
04.23,252,28,6,19
04.24,257,28,6,5
04.25,288,28,7,31
04.26,305,28,7,17
04.27,350,28,7,45
04.28,364,29,7,14
04.29,381,29,7,17
04.30,396,29,7,15
05.01,422,29,8,26
05.02,432,31,8,10
05.03,432,31,8,0
05.04,469,38,9,37
05.05,471,49,9,2
05.06,473,56,9,2
05.07,478,57,9,5
05.08,488,58,9,10
05.09,490,62,9,2
05.10,498,78,9,8
05.11,502,90,9,4
05.12,505,90,9,3
05.13,507,100,9,2
05.14,509,113,9,2
05.15,509,118,9,0
05.16,511,121,9,2
05.17,517,121,9,6
05.18,520,127,9,3
05.19,520,131,9,0
05.20,520,145,9,0
05.21,529,171,9,9
05.22,534,181,9,5
05.23,544,191,9,10
05.24,550,200,9,6
05.25,552,211,9,2
05.26,556,238,9,4
05.27,564,267,9,8
05.28,569,279,9,5
05.29,569,284,9,0
05.30,575,289,9,6
05.31,581,290,9,6
06.01,586,311,9,5
06.02,588,322,9,2
06.03,588,322,9,0
06.04,591,361,10,3
06.05,591,368,10,0
06.06,595,385,10,4
06.07,596,404,10,1
06.08,598,405,10,2
06.09,599,405,10,1
06.10,605,405,10,6
06.11,605,407,10,0
06.12,611,408,10,6
06.13,614,417,10,3
06.14,615,420,10,1
06.15,617,420,10,2
06.16,621,430,10,4
06.17,621,449,10,0
06.18,626,451,10,5
06.19,638,458,10,12
06.20,652,458,10,14
06.21,657,462,10,5
06.22,659,516,10,2
06.23,665,516,10,6
06.24,670,518,10,5
06.25,678,521,10,8
06.26,684,526,10,6
06.27,686,539,10,2
06.28,690,552,10,4
06.29,696,552,10,6
06.30,698,553,10,2
07.01,702,553,10,4
07.02,707,555,10,5
07.03,715,560,10,8
07.04,721,565,10,6
07.05,728,569,10,7
07.06,732,584,10,4
07.07,737,591,10,5
07.08,745,599,10,8
07.09,751,600,10,6
07.10,753,603,10,2
07.11,753,605,10,0
07.12,758,615,10,5
07.13,758,620,10,0
07.14,759,628,10,1
07.15,762,643,10,3
07.16,763,647,10,1
07.17,765,647,10,2
07.18,768,678,10,3
07.19,774,679,10,6
07.20,790,693,10,16
07.21,809,706,10,19
07.22,810,709,10,1
07.23,816,710,10,6
07.24,821,711,10,5
07.25,831,711,10,10
07.26,837,711,10,6
07.27,842,714,10,5
07.28,853,714,10,11
07.29,855,724,10,2
07.30,856,724,10,1
07.31,864,724,10,8
08.01,878,726,10,14
08.02,883,743,10,5
08.03,894,743,12,11
08.04,905,743,12,11
08.05,920,745,12,15
08.06,928,745,12,8
08.07,958,745,12,30
08.08,987,745,13,29
08.09,1003,745,13,16
08.10,1023,745,14,20
08.11,1031,745,14,8
08.12,1047,753,14,16
08.13,1065,753,14,18
08.14,1071,754,14,6
08.15,1082,761,14,11
08.16,1106,761,14,24
08.17,1113,764,14,7
08.18,1129,764,14,16
08.19,1146,770,14,17
08.20,1192,772,14,46
08.21,1290,788,15,98
08.22,1346,788,16,56
08.23,1413,817,16,67
08.24,1529,819,16,116
08.25,1612,819,16,83
08.26,1732,840,19,120
08.27,1804,846,19,72
08.28,1870,846,19,66
08.29,2011,888,19,141
08.30,2113,890,20,102
08.31,2357,890,21,244
09.01,2459,890,21,102
09.02,2683,898,24,224
09.03,2822,900,27,139
09.04,2896,921,29,74
09.05,2964,922,30,68
09.06,3024,950,32,60
09.07,3103,958,33,79
09.08,3183,974,34,80
09.09,3323,992,36,140
09.10,3437,1019,38,114
09.11,3511,1019,40,74
09.12,3511,1019,40,0
09.13,3623,1072,40,112
09.14,3771,1149,42,148
09.15,3933,1161,44,162
09.16,4042,1163,46,109
09.17,4164,1180,46,122
09.18,4374,1225,51,210
09.19,4571,1264,55,197
09.20,4758,1327,60,187
09.21,5143,1407,70,385
09.22,5143,1407,70,0
09.23,5395,1444,76,252
09.24,5588,1490,77,193
09.25,5723,1496,80,135
09.26,5854,1624,88,131
09.27,6017,1706,89,163
09.28,6017,1706,89,0
09.29,6408,1770,101,391
09.30,6482,1867,107,74
10.01,6555,1991,111,73
10.02,6704,2112,116,149
10.03,6795,2345,119,91
10.04,6795,2345,119,0
10.05,7012,2635,120,217
10.06,7109,2674,123,97
10.07,7191,2700,126,82
10.08,7273,2732,128,82
10.09,7363,3102,132,90
10.10,7559,3142,138,196
10.11,7559,3142,138,0
10.12,7813,3237,146,254
10.13,7910,3303,146,97
10.14,7989,3431,151,79
10.15,8067,3481,160,78
10.16,8132,3653,162,65
10.17,8195,3653,168,63
10.18,8274,3859,171,79
10.19,8321,3951,173,47
10.20,8374,4002,174,53
10.21,8445,4016,174,71
10.22,8600,4095,179,155
10.23,8638,4156,182,38
10.24,8670,4209,186,32
10.25,8670,4209,186,0
10.26,8749,4303,192,79
10.27,8787,4347,196,38
10.28,8787,4347,196,0
10.29,8851,4379,198,64
10.30,9005,4442,205,154
10.31,9005,4442,205,0
11.01,9094,4510,206,89
11.02,9257,4637,210,163
11.03,9296,4666,214,39
11.04,9326,4704,215,30
11.05,9373,4745,217,47
11.06,9373,4745,217,0
11.07,9472,4878,218,99
11.08,9506,4934,221,34
11.09,9506,4934,221,0
11.10,9542,4952,221,36
11.11,9573,4987,224,31
