,confirm,heal,dead,confirm_add
03.02,1,0,0,1
03.03,1,0,0,0
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,1,0,0,0
03.13,1,0,0,0
03.14,1,1,0,0
03.15,7,1,0,6
03.16,13,1,0,6
03.17,30,1,0,17
03.18,49,1,0,19
03.19,57,1,0,8
03.20,70,1,0,13
03.21,84,1,0,14
03.22,99,1,0,15
03.23,112,1,0,13
03.24,127,1,0,15
03.25,153,1,0,26
03.26,172,1,0,19
03.27,212,1,0,40
03.28,235,18,1,23
03.29,246,18,1,11
03.30,259,18,3,13
03.31,268,26,5,9
04.01,274,30,5,6
04.02,278,36,5,4
04.03,299,45,5,21
04.04,310,58,5,11
04.05,323,74,5,13
04.06,345,110,5,22
04.07,349,126,6,4
04.08,353,138,6,4
04.09,358,150,6,5
04.10,372,161,7,14
04.11,372,170,7,0
04.12,381,177,7,9
04.13,389,201,7,8
04.14,391,215,7,2
04.15,397,235,7,6
04.16,401,250,7,4
04.17,402,259,7,1
04.18,407,265,7,5
04.19,413,269,7,6
04.20,417,276,7,4
04.21,425,282,7,8
04.22,428,297,7,3
04.23,435,315,7,7
04.24,437,318,7,2
04.25,444,332,7,7
04.26,444,332,7,0
04.27,447,337,7,3
04.28,449,348,8,2
04.29,449,348,8,0
04.30,453,362,8,4
05.01,453,362,8,0
05.02,459,364,9,6
05.03,460,367,9,1
05.04,465,370,9,5
05.05,465,370,9,0
05.06,471,375,9,6
05.07,484,381,9,13
05.08,494,381,9,10
05.09,508,385,9,14
05.10,522,387,9,14
05.11,540,389,9,18
05.12,562,390,9,22
05.13,582,392,9,20
05.14,582,392,9,0
05.15,596,401,9,14
05.16,596,401,9,0
05.17,607,404,9,11
05.18,613,408,9,6
05.19,629,413,9,16
05.20,649,417,9,20
05.21,672,446,9,23
05.22,684,457,9,12
05.23,700,461,9,16
05.24,708,471,9,8
05.25,708,471,9,0
05.26,711,479,9,3
05.27,718,586,9,7
05.28,728,486,9,10
05.29,728,497,9,0
05.30,730,507,9,2
05.31,739,522,9,9
06.01,739,522,9,0
06.02,755,549,9,16
06.03,755,549,9,0
06.04,757,561,9,2
06.05,765,566,9,8
06.06,784,571,9,19
06.07,808,607,9,24
06.08,831,627,9,23
06.09,831,627,9,0
06.10,845,657,9,14
06.11,863,663,9,18
06.12,890,670,9,27
06.13,915,671,9,25
06.14,961,682,9,46
06.15,979,692,9,18
06.16,981,693,9,2
06.17,987,693,9,6
06.18,987,693,9,0
06.19,1001,697,9,14
06.20,1008,708,9,7
06.21,1033,739,9,25
06.22,1033,739,9,0
06.23,1042,751,9,9
06.24,1047,772,9,5
06.25,1086,797,9,39
06.26,1086,797,9,0
06.27,1104,830,9,18
06.28,1121,860,9,17
06.29,1128,867,9,7
06.30,1128,867,9,0
07.01,1132,882,9,4
07.02,1133,886,9,1
07.03,1136,889,9,3
07.04,1147,897,10,11
07.05,1164,902,10,17
07.06,1164,942,10,0
07.07,1167,957,10,3
07.08,1169,969,10,2
07.09,1169,977,10,0
07.10,1169,982,10,0
07.11,1173,986,10,4
07.12,1176,991,10,3
07.13,1179,997,10,3
07.14,1183,1008,10,4
07.15,1198,1013,10,15
07.16,1201,1016,10,3
07.17,1206,1019,10,5
07.18,1209,1021,10,3
07.19,1214,1022,11,5
07.20,1218,1024,11,4
07.21,1223,1028,11,5
07.22,1113,1034,11,-110
07.23,1131,1035,11,18
07.24,1131,1035,11,0
07.25,1146,1035,11,15
07.26,1168,1041,11,22
07.27,1168,1041,11,0
07.28,1176,1041,11,8
07.29,1182,1042,11,6
07.30,1187,1049,11,5
07.31,1193,1084,11,6
08.01,1193,1084,11,0
08.02,1208,1094,11,15
08.03,1213,1099,11,5
08.04,1218,1131,11,5
08.05,1224,1155,11,6
08.06,1231,1160,11,7
08.07,1232,1171,11,1
08.08,1237,1178,11,5
08.09,1246,1178,11,9
08.10,1252,1187,11,6
08.11,1268,1187,11,16
08.12,1283,1189,11,15
08.13,1320,1222,11,37
08.14,1320,1222,11,0
08.15,1329,1229,11,9
08.16,1339,1229,11,10
08.17,1378,1236,11,39
08.18,1398,1241,11,20
08.19,1438,1243,11,40
08.20,1498,1261,11,60
08.21,1498,1261,11,0
08.22,1532,1262,11,34
08.23,1609,1320,12,77
08.24,1609,1320,12,0
08.25,1716,1344,14,107
08.26,1716,1344,14,0
08.27,1801,1364,15,85
08.28,1801,1364,15,0
08.29,1869,1367,15,68
08.30,1893,1447,15,24
08.31,2034,1508,15,141
09.01,2034,1508,15,0
09.02,2097,1564,15,63
09.03,2161,1610,15,64
09.04,2233,1648,16,72
09.05,2301,1676,16,68
09.06,2353,1700,16,52
09.07,2411,1756,16,58
09.08,2478,1817,17,67
09.09,2581,1885,19,103
09.10,2739,1981,20,158
09.11,2739,1981,20,0
09.12,2945,2084,21,206
09.13,3062,2156,22,117
09.14,3314,2206,24,252
09.15,3528,2255,26,214
09.16,3677,2311,26,149
09.17,4131,2415,26,454
09.18,4344,2511,29,213
09.19,4540,2672,30,196
09.20,4779,2844,30,239
09.21,4779,2844,30,0
09.22,5045,3527,32,266
09.23,6042,3812,35,997
09.24,6042,3812,35,0
09.25,6591,3937,36,549
09.26,8061,4131,43,1470
09.27,8492,4222,45,431
09.28,8492,4222,45,0
09.29,9226,4359,51,734
09.30,11825,4626,61,2599
10.01,13101,4752,69,1276
10.02,13650,4752,79,549
10.03,13650,4929,79,0
10.04,15640,5240,101,1990
10.05,15640,5240,101,0
10.06,17464,5292,110,1824
10.07,20200,5575,131,2736
10.08,20200,5575,131,0
10.09,22763,5906,166,2563
10.10,23998,6045,181,1235
10.11,24926,6101,191,928
10.12,26073,6219,207,1147
10.13,26073,6219,207,0
10.14,28127,6361,225,2054
10.15,33009,6565,282,4882
10.16,33009,6565,282,0
10.17,34548,6692,310,1539
10.18,37573,6912,345,3025
10.19,37573,6912,345,0
10.20,38937,7006,380,1364
10.21,40972,7123,414,2035
10.22,43620,7223,443,2648
10.23,46441,7340,481,2821
10.24,48930,7449,508,2489
10.25,53087,7508,579,4157
10.26,55055,7508,624,1968
10.27,58855,7508,668,3800
10.28,58855,7508,668,0
10.29,65385,7508,740,6530
10.30,65385,7508,740,0
10.31,72607,7600,829,7222
11.01,75866,7740,866,3259
11.02,75866,7740,866,0
11.03,81743,7858,913,5877
11.04,86576,7993,967,4833
11.05,91234,8188,1029,4658
11.06,95864,8336,1069,4630
11.07,104802,8629,1181,8938
11.08,104802,8629,1181,0
11.09,109321,8808,1233,4519
11.10,114986,9033,1295,5665
11.11,120982,9249,1386,5996
11.12,126401,9416,1467,5419
11.13,132086,9564,1547,5685
11.14,141305,9879,1704,9219
11.15,143678,10067,1772,2373
11.16,143678,10067,1772,0
11.17,149539,10311,1843,5861
11.18,155993,90267,1909,6454
11.19,169395,100280,2053,13402
11.20,174335,103834,2116,4940
11.21,174335,103834,2116,0
11.22,178161,108353,2172,3826
11.23,183429,114018,2236,5268
11.24,188410,120014,2302,4981
11.25,198021,131181,2442,9611
11.26,203021,135650,2509,5000
11.27,203021,135650,2509,0
11.28,210709,142710,2626,7688
11.29,210709,142710,2626,0
11.30,219430,155026,2751,8721
12.01,223617,162959,2802,4187
12.02,227208,168429,2854,3591
12.03,227208,168429,2854,0
12.04,231237,177195,2960,4029
12.05,237513,182463,3010,6276
12.06,237513,182463,3010,0
12.07,244069,192033,3116,6556
12.08,244069,192033,3116,0
12.09,247131,197058,3162,3062
12.10,250219,202058,3206,3088
12.11,253121,209746,3286,2902
12.12,255459,209746,3286,2338
12.13,257275,213344,3335,1816
12.14,259614,222654,3407,2339
12.15,265024,226245,3437,5410
12.16,267585,230274,3465,2561
12.17,267585,230274,3465,0
12.18,269806,233390,3496,2221
12.19,271514,236550,3518,1708
12.20,272797,239126,3545,1283
12.21,277448,246168,3604,4651
12.22,277448,246168,3604,0
12.23,279892,249256,3627,2444
12.24,281983,252158,3652,2091
12.25,283690,254496,3681,1707
12.26,285306,256312,3711,1616
12.27,286356,258651,3729,1050
12.28,287946,261514,3758,1590
12.29,289748,264061,3778,1802
12.30,291393,266622,3801,1645
12.31,293067,268843,3815,1674
01.01,295765,271834,3851,2698
01.02,295765,271834,3851,0
01.03,296668,273986,3877,903
01.04,298208,276485,3903,1540
01.05,299831,278929,3919,1623
01.06,301303,281020,3940,1472
01.07,302856,282727,3955,1553
01.08,304071,284343,3968,1215
01.09,305163,285393,3989,1092
01.10,305959,286983,4009,796
01.11,307209,288785,4024,1250
01.12,308670,290430,4043,1461
01.13,309846,292104,4076,1176
01.14,310968,294802,4091,1122
01.15,312043,294802,4107,1075
01.16,312851,295705,4121,808
01.17,314514,298868,4145,1663
01.18,314514,298868,4145,0
01.19,316427,301893,4170,1913
01.20,316427,303108,4170,0
01.21,318181,304200,4198,1754
01.22,318181,304200,4198,0
01.23,318911,304996,4207,730
01.24,319519,306246,4217,608
01.25,320453,307707,4224,934
01.26,321298,308883,4239,845
01.27,323111,311080,4262,1813
01.28,323111,311080,4262,0
01.29,324169,311888,4269,1058
01.30,325033,312594,4281,864
01.31,326855,314581,4316,1822
02.01,326855,314581,4316,0
02.02,328062,315464,4326,1207
02.03,329194,316442,4334,1132
02.04,330474,317218,4344,1280
02.05,332990,318556,4362,2516
02.06,332990,318556,4362,0
02.07,333855,319490,4369,865
02.08,336839,321278,4385,2984
02.09,336839,321278,4385,0
02.10,338322,322148,4395,1483
02.11,340177,323206,4411,1855
02.12,341984,324711,4433,1807
02.13,343563,324711,4433,1579
02.14,344803,327099,4444,1240
02.15,347250,328231,4473,2447
02.16,349562,328231,4473,2312
02.17,352219,329511,4491,2657
02.18,355106,330805,4503,2887
02.19,356744,332027,4512,1638
02.20,357611,332892,4528,867
02.21,359811,334191,4543,2200
02.22,368278,337359,4570,8467
02.23,372417,339214,4589,4139
02.24,372417,339214,4589,0
02.25,376441,341021,4611,4024
02.26,380268,342600,4627,3827
02.27,383912,343840,4650,3644
02.28,386496,346287,4675,2584
03.01,391090,348599,4701,4594
03.02,397158,351256,4727,6068
03.03,402282,354143,4756,5124
03.04,407617,355781,4793,5335
03.05,413350,356648,4833,5733
03.06,421415,362765,4900,8065
03.07,421415,362765,4900,0
03.08,427717,367315,4935,6302
03.09,435130,371454,4987,7413
03.10,442202,379305,5106,7072
03.11,448851,379305,5106,6649
03.12,457151,382949,5169,8300
03.13,464856,385533,5224,7705
03.14,469000,390127,5285,4144
03.15,486470,401319,5428,17470
03.16,486470,401319,5428,0
03.17,495380,406654,5497,8910
03.18,504915,412387,5553,9535
03.19,514107,416971,5627,9192
03.20,526666,426754,5788,12559
03.21,526666,426754,5788,0
03.22,535455,434167,5876,8789
03.23,553727,447888,6077,18272
03.24,553727,447888,6077,0
03.25,571290,463893,6277,17563
