,confirm,heal,dead,confirm_add
03.13,1,0,0,1
03.14,1,0,0,0
03.15,3,0,0,2
03.16,3,0,0,0
03.17,4,0,0,1
03.18,7,0,0,3
03.19,7,0,0,0
03.20,7,0,0,0
03.21,7,0,0,0
03.22,15,0,0,8
03.23,16,0,0,1
03.24,25,0,0,9
03.25,28,0,0,12
03.26,31,1,0,3
03.27,31,1,1,0
03.28,38,1,1,7
03.29,42,1,1,4
03.30,50,1,1,8
03.31,59,1,1,9
04.01,81,3,1,22
04.02,110,4,3,29
04.03,122,4,4,12
04.04,126,4,4,4
04.05,142,4,4,16
04.06,158,4,6,16
04.07,172,7,6,14
04.08,179,9,6,7
04.09,184,12,7,5
04.10,189,22,7,5
04.11,191,24,7,2
04.12,197,25,8,6
04.13,208,40,9,11
04.14,208,40,9,0
04.15,225,53,10,17
04.16,234,53,11,9
04.17,246,53,11,12
04.18,262,60,12,16
04.19,270,67,14,8
04.20,281,69,14,11
04.21,296,74,14,15
04.22,303,74,14,7
04.23,320,89,14,17
04.24,336,94,14,16
04.25,343,98,14,7
04.26,355,106,14,12
04.27,363,114,14,8
04.28,374,124,14,11
04.29,384,129,14,10
04.30,396,144,17,12
05.01,396,144,17,0
05.02,435,152,22,39
05.03,435,152,22,0
05.04,490,173,24,55
05.05,535,182,24,45
05.06,582,190,26,47
05.07,607,197,29,25
05.08,621,202,29,14
05.09,649,207,30,28
05.10,672,239,32,23
05.11,700,251,33,28
05.12,715,259,36,15
05.13,737,281,40,22
05.14,758,284,42,21
05.15,758,284,42,0
05.16,830,301,50,72
05.17,887,301,50,57
05.18,912,336,50,25
05.19,963,358,50,51
05.20,1029,366,50,66
05.21,1029,366,50,0
05.22,1161,375,50,132
05.23,1192,380,50,31
05.24,1214,383,51,22
05.25,1286,402,52,72
05.26,1348,405,52,62
05.27,1471,408,55,123
05.28,1618,421,58,147
05.29,1745,438,62,127
05.30,1888,438,62,143
05.31,1962,478,64,74
06.01,2021,478,69,59
06.02,2093,499,71,72
06.03,2093,499,71,0
06.04,2340,592,78,247
06.05,2474,643,79,134
06.06,2474,643,79,0
06.07,2767,752,84,293
06.08,2872,849,85,105
06.09,2989,873,88,117
06.10,2989,873,88,0
06.11,3215,1092,92,226
06.12,3305,1164,96,90
06.13,3305,1164,96,0
06.14,3594,1221,100,289
06.15,3727,1286,104,133
06.16,3860,1328,105,133
06.17,3860,1328,105,0
06.18,4257,1459,117,397
06.19,4374,1550,119,117
06.20,4478,1586,121,104
06.21,4478,1586,121,0
06.22,4797,1680,125,319
06.23,4952,1782,128,155
06.24,5206,1782,128,254
06.25,5384,1857,132,178
06.26,5533,1905,137,149
06.27,5811,1936,141,278
06.28,6070,1936,141,259
06.29,6190,2013,144,120
06.30,6190,2013,144,0
07.01,6673,2089,149,483
07.02,6941,2089,149,268
07.03,7188,2109,154,247
07.04,7577,2148,154,389
07.05,7886,2287,160,309
07.06,8067,2414,164,181
07.07,8250,2504,167,183
07.08,8528,2593,169,278
07.09,8975,2657,173,447
07.10,9448,2733,181,473
07.11,9726,2832,184,278
07.12,9726,2832,184,0
07.13,10294,2946,197,568
07.14,10791,3017,202,497
07.15,11252,3068,209,461
07.16,11673,3638,217,421
07.17,12062,3983,222,389
07.18,12750,4440,225,688
07.19,12750,4440,225,0
07.20,13353,5122,234,603
07.21,13771,5616,238,418
07.22,14805,6757,260,1034
07.23,15601,6757,260,796
07.24,15601,7135,263,0
07.25,16268,7446,274,667
07.26,16643,7574,278,375
07.27,17603,7743,280,960
