,confirm,heal,dead,confirm_add
01.28,4,0,0,0
01.29,4,0,0,0
01.30,6,0,0,2
01.31,11,0,0,5
02.01,12,0,0,1
02.02,15,0,0,3
02.03,15,0,0,0
02.04,16,0,0,1
02.05,19,1,0,3
02.06,23,1,0,4
02.07,24,2,0,1
02.08,24,2,0,0
02.09,27,3,0,3
02.10,27,3,0,0
02.11,28,9,0,1
02.12,28,9,0,0
02.13,28,9,0,0
02.14,28,9,0,0
02.15,28,9,0,0
02.16,29,9,0,1
02.17,30,10,0,1
02.18,31,10,0,1
02.19,51,12,0,20
02.20,104,12,1,53
02.21,208,12,2,104
02.22,433,12,3,87
02.23,602,12,6,123
02.24,833,12,8,231
02.25,977,22,11,84
02.26,1261,24,12,284
02.27,1766,24,13,505
02.28,2337,24,16,571
02.29,3150,28,17,813
03.01,3736,30,20,586
03.02,4335,31,26,599
03.03,5186,31,31,851
03.04,5621,31,34,809
03.05,6088,88,42,760
03.06,6284,108,43,518
03.07,6767,118,48,483
03.08,7313,130,50,179
03.09,7478,166,53,344
03.10,7513,247,80,131
03.11,7755,288,65,242
03.12,7869,333,66,114
03.13,7979,510,72,110
03.14,8086,714,72,107
03.15,8162,834,75,76
03.16,8236,1137,75,74
03.17,8320,1401,83,84
03.18,8413,1540,91,93
03.19,8565,1947,92,152
03.20,8652,2233,100,87
03.21,8799,2612,102,147
03.22,8897,2909,104,98
03.23,8961,3166,111,64
03.24,9037,3507,120,76
03.25,9137,3730,126,100
03.26,9241,4144,131,104
03.27,9332,4528,139,91
03.28,9478,4811,144,146
03.29,9583,5033,152,105
03.30,9661,5228,158,78
03.31,9786,5408,162,125
04.01,9887,5567,165,101
04.02,9976,5828,169,89
04.03,10062,6021,174,86
04.04,10156,6325,177,94
04.05,10237,6463,183,81
04.06,10284,6598,186,47
04.07,10331,6694,192,47
04.08,10384,6776,200,53
04.09,10423,6973,204,39
04.10,10450,7117,208,27
04.11,10480,7243,211,30
04.12,10512,7368,214,32
04.13,10537,7447,217,25
04.14,10564,7534,222,27
04.15,10591,7616,225,27
04.16,10613,7757,229,22
04.17,10635,7829,230,22
04.18,10653,7937,232,18
04.19,10661,8042,234,8
04.20,10674,8114,236,13
04.21,10683,8213,237,9
04.22,10694,8277,238,11
04.23,10702,8411,240,8
04.24,10708,8501,240,6
04.25,10718,8635,240,10
04.26,10728,8717,242,10
04.27,10738,8764,243,10
04.28,10752,8854,244,14
04.29,10761,8922,246,9
04.30,10765,9059,247,4
05.01,10774,9072,248,9
05.02,10780,9123,250,6
05.03,10780,9123,250,0
05.04,10801,9217,252,21
05.05,10804,9283,254,3
05.06,10806,9333,255,2
05.07,10810,9419,256,4
05.08,10822,9484,256,12
05.09,10840,9568,256,18
05.10,10874,9610,256,34
05.11,10909,9632,256,35
05.12,10936,9670,258,27
05.13,10962,9695,259,26
05.14,10991,9762,260,29
05.15,11018,9821,260,27
05.16,11037,9851,262,19
05.17,11050,9888,262,13
05.18,11065,9904,263,15
05.19,11078,9938,263,13
05.20,11110,10066,263,32
05.21,11122,10135,264,12
05.22,11142,10162,264,20
05.23,11165,10194,266,23
05.24,11190,10213,266,25
05.25,11206,10226,267,16
05.26,11225,10275,269,19
05.27,11265,10295,269,40
05.28,11344,10340,269,79
05.29,11402,10363,269,58
05.30,11441,10398,269,39
05.31,11468,10405,270,27
06.01,11503,10422,271,35
06.02,11541,10446,272,38
06.03,11541,10446,272,0
06.04,11629,10499,273,88
06.05,11668,10506,273,39
06.06,11719,10531,273,51
06.07,11776,10552,273,57
06.08,11814,10563,273,38
06.09,11852,10589,274,38
06.10,11902,10611,276,50
06.11,11947,10654,276,45
06.12,12003,10669,277,56
06.13,12051,10691,277,48
06.14,12085,10718,277,34
06.15,12121,10730,277,36
06.16,12155,10760,278,34
06.17,12198,10774,279,43
06.18,12257,10800,280,59
06.19,12306,10835,280,49
06.20,12373,10856,280,67
06.21,12421,10868,280,48
06.22,12438,10881,280,17
06.23,12484,10908,281,46
06.24,12535,10930,281,51
06.25,12563,10974,282,28
06.26,12602,11172,282,39
06.27,12653,11317,282,51
06.28,12715,11364,282,62
06.29,12757,11429,282,42
06.30,12800,11537,282,43
07.01,12850,11613,282,50
07.02,12904,11684,282,54
07.03,12967,11759,282,63
07.04,13030,11811,283,63
07.05,13091,11832,283,61
07.06,13137,11848,284,46
07.07,13181,11914,285,44
07.08,13244,11970,285,63
07.09,13293,12019,287,49
07.10,13338,12065,288,45
07.11,13373,12144,288,35
07.12,13417,12178,289,44
07.13,13479,12204,289,62
07.14,13512,12282,289,33
07.15,13551,12348,289,39
07.16,13612,12396,291,61
07.17,13672,12460,293,60
07.18,13711,12519,294,39
07.19,13745,12556,295,34
07.20,13771,12572,296,26
07.21,13816,12643,296,45
07.22,13879,12698,297,63
07.23,13938,12758,297,59
07.24,13979,12817,298,41
07.25,14092,12866,298,113
07.26,14150,12890,298,58
07.27,14175,12905,299,25
07.28,14203,13007,300,28
07.29,14251,13069,300,48
07.30,14269,13132,300,18
07.31,14305,13183,301,36
08.01,14336,13233,301,31
08.02,14366,13259,301,30
08.03,14389,13280,301,23
08.04,14423,13352,301,34
08.05,14456,13406,302,33
08.06,14499,13501,302,43
08.07,14519,13543,303,20
08.08,14562,13629,304,43
08.09,14598,13642,305,36
08.10,14626,13658,305,28
08.11,14660,13729,305,34
08.12,14714,13786,305,54
08.13,14770,13817,305,56
08.14,14873,13863,305,103
08.15,15039,13901,305,166
08.16,15318,13910,305,279
08.17,15515,13917,305,197
08.18,15761,13934,306,246
08.19,16058,14006,306,297
08.20,16346,14063,307,288
08.21,16670,14120,309,324
08.22,17002,14169,309,332
08.23,17399,14200,309,397
08.24,17665,14219,309,266
08.25,17945,14286,310,280
08.26,18265,14368,312,320
08.27,18706,14461,313,441
08.28,19077,14551,316,371
08.29,19400,14765,321,323
08.30,19699,14903,323,299
08.31,19947,14973,324,248
09.01,20182,15198,324,235
09.02,20449,15356,326,267
09.03,20644,15529,329,195
09.04,20842,15783,331,198
09.05,21010,16009,333,168
09.06,21177,16146,334,167
09.07,21296,16297,336,119
09.08,21432,16636,341,136
09.09,21588,17023,344,156
09.10,21743,17360,346,155
09.11,21919,17616,350,176
09.12,22055,18029,355,136
09.13,22176,18226,358,121
09.14,22285,18489,363,109
09.15,22391,18878,367,106
09.16,22504,19310,367,113
09.17,22657,19543,372,153
09.18,22783,19771,377,126
09.19,22893,19970,378,110
09.20,22975,20158,383,82
09.21,23045,20248,385,70
09.22,23106,20441,388,61
09.23,23216,20650,388,110
09.24,23341,20832,393,125
09.25,23455,20978,395,114
09.26,23516,21166,399,61
09.27,23611,21248,401,95
09.28,23661,21292,406,50
09.29,23699,21470,407,38
09.30,23812,21590,413,113
10.01,23889,21666,415,77
10.02,23952,21733,416,63
10.03,24027,21787,420,75
10.04,24091,21845,421,64
10.05,24164,21886,422,73
10.06,24239,22083,422,75
10.07,24353,22334,425,114
10.08,24422,22463,427,69
10.09,24476,22569,428,54
10.10,24548,22624,430,72
10.11,24606,22693,432,58
10.12,24703,22729,433,97
10.13,24805,22863,434,102
10.14,24889,23030,438,84
10.15,24988,23082,439,99
10.16,25035,23180,441,47
10.17,25108,23258,443,73
10.18,25199,23312,444,91
10.19,25275,23368,444,76
10.20,25333,23466,447,58
10.21,25424,23584,450,91
10.22,25543,23647,453,119
10.23,25698,23717,455,155
10.24,25775,23834,457,77
10.25,25836,23869,457,61
10.26,25955,23905,457,119
10.27,26043,23981,460,88
10.28,26146,24073,461,103
10.29,26271,24168,462,125
10.30,26385,24227,463,114
10.31,26511,24311,464,126
11.01,26635,24357,466,124
11.02,26732,24395,468,97
11.03,26807,24510,472,75
11.04,26925,24616,474,118
11.05,27050,24735,475,125
11.06,27195,24821,476,145
11.07,27284,24910,477,89
11.08,27427,24968,478,143
11.09,27553,25029,480,126
11.10,27653,25160,485,100
11.11,27799,25266,487,146
11.12,27942,25404,487,143
11.13,28133,25537,488,191
11.14,28338,25636,492,205
11.15,28546,25691,493,208
11.16,28769,25759,494,223
11.17,28998,25860,494,229
11.18,29311,25973,496,313
11.19,29654,26098,498,343
11.20,30017,26263,501,363
11.21,30403,26365,503,386
11.22,30733,26466,505,330
11.23,31004,26539,509,271
11.24,31353,26722,510,349
11.25,31735,26825,513,382
11.26,32318,26950,515,583
11.27,32887,27103,516,569
11.28,33375,27349,522,488
11.29,33824,27542,523,449
11.30,34201,27653,526,377
12.01,34652,27885,526,451
12.02,35163,28065,526,511
12.03,35703,28352,529,540
12.04,36332,28611,536,629
12.05,36915,28917,540,583
12.06,37546,29128,545,631
12.07,38161,29301,549,615
12.08,38755,29650,552,594
12.09,39432,30177,556,677
12.10,40098,30637,564,666
12.11,40786,31157,572,688
12.12,41736,31493,578,950
12.13,42766,31814,580,1030
12.14,43484,32102,587,718
12.15,44364,32559,600,880
12.16,45442,32947,612,1078
12.17,46453,33610,634,1011
12.18,47515,33982,645,1062
12.19,48570,34334,659,1055
12.20,49665,34722,674,1095
12.21,50591,35155,698,926
12.22,51460,35928,722,869
12.23,52550,36726,739,1090
12.24,53533,37425,756,983
12.25,54770,38048,773,1237
12.26,55902,38532,793,1132
12.27,56872,39040,808,970
12.28,57680,39268,819,808
12.29,58725,40703,859,1045
12.30,59773,41435,879,1048
12.31,60740,42271,900,967
01.01,61769,42953,917,1029
01.02,62593,43578,942,824
01.03,63244,44507,962,651
01.04,64264,45240,981,1020
01.05,64979,46172,1007,715
01.06,65818,46995,1027,839
01.07,66686,47649,1046,868
01.08,67358,48369,1081,672
01.09,67999,49324,1100,641
01.10,68664,50409,1125,665
01.11,69114,52552,1140,450
01.12,69651,53569,1165,537
01.13,70212,54636,1185,561
01.14,70728,55772,1195,516
01.15,71241,56536,1217,513
01.16,71820,57554,1236,579
01.17,72340,58253,1249,520
01.18,72729,58723,1264,389
01.19,73115,59468,1283,386
01.20,73518,60180,1300,403
01.21,73918,60846,1316,400
01.22,74262,61415,1328,344
01.23,74692,62044,1337,430
01.24,75084,62530,1349,392
01.25,75521,62956,1360,437
01.26,75875,64793,1371,354
01.27,76429,65478,1378,554
01.28,76926,66016,1386,497
01.29,77395,66503,1399,469
01.30,77850,67121,1414,455
01.31,78205,67878,1420,355
02.01,78508,68309,1425,303
02.02,78844,68775,1435,336
02.03,79311,69299,1441,467
02.04,79762,69704,1448,451
02.05,80131,70117,1459,369
02.06,80524,70505,1464,393
02.07,80896,70865,1471,372
02.08,81185,71218,1474,289
02.09,81487,71676,1482,302
02.10,81930,72226,1486,443
02.11,82434,72638,1496,504
02.12,82837,72936,1507,403
02.13,83199,73227,1514,362
02.14,83525,73559,1522,326
02.15,83869,73794,1527,344
02.16,84325,74551,1534,456
02.17,84946,75360,1538,621
02.18,85567,75896,1544,621
02.19,86128,76513,1550,561
02.20,86574,77083,1553,446
02.21,86992,77516,1557,418
02.22,87324,77887,1562,332
02.23,87681,78394,1573,357
02.24,88120,79050,1576,439
02.25,88516,79487,1581,396
02.26,88922,79880,1585,406
02.27,89321,80333,1595,399
02.28,89676,80697,1603,355
03.01,90031,81070,1605,355
03.02,90372,81338,1606,341
03.03,90816,81700,1612,444
03.04,91240,82162,1619,424
03.05,91638,82560,1627,398
03.06,92055,82913,1632,417
03.07,92471,83220,1634,416
03.08,92817,83474,1642,346
03.09,93263,83900,1645,446
03.10,93733,84312,1648,470
03.11,94198,84675,1652,465
03.12,94686,85743,1662,488
03.13,95176,86625,1667,490
03.14,95635,87408,1669,459
03.15,96017,87754,1675,382
03.16,96380,88255,1678,363
03.17,96849,88814,1686,469
03.18,97294,89178,1688,445
03.19,97757,89523,1690,463
03.20,98209,89949,1693,452
03.21,98665,90328,1696,456
03.22,99075,90611,1697,410
03.23,99421,91079,1704,346
03.24,99846,91560,1707,425
03.25,100276,92068,1709,430
03.26,100770,92630,1716,494
03.27,101275,93475,1721,505
03.28,101757,93855,1722,482
03.29,102141,94124,1726,384
03.30,102141,94124,1726,0
03.31,103088,95030,1731,947
04.01,103639,95439,1735,551
04.02,104194,95861,1737,555
04.03,104736,96196,1740,542
04.04,105279,96589,1744,543
04.05,105752,96900,1748,473
04.06,106230,97363,1752,478
04.07,106898,97928,1756,668
04.08,107598,98360,1758,700
04.09,108269,98786,1764,671
04.10,108945,99301,1765,676
04.11,109559,100109,1768,614
04.12,110146,100804,1770,587
04.13,110688,101332,1775,542
04.14,111419,101983,1782,731
04.15,112117,102513,1788,698
04.16,112789,103062,1790,672
04.17,113444,103594,1794,655
04.18,114115,104006,1797,671
04.19,114646,104474,1801,531
04.20,115195,105227,1802,549
04.21,115926,105877,1806,731
04.22,116661,106459,1808,735
04.23,117458,107071,1811,797
04.24,118243,107781,1812,785
04.25,118887,108475,1813,644
04.26,119387,108850,1817,500
04.27,119898,109695,1820,511
04.28,120673,110248,1821,775
04.29,121351,110787,1825,678
04.30,122007,111422,1828,656
05.01,122634,112337,1831,627
05.02,123240,112865,1833,606
05.03,123728,113356,1834,488
05.04,124269,114128,1840,541
05.05,124945,114944,1847,676
05.06,125519,115491,1851,574
05.07,126044,116022,1860,525
05.08,126745,116881,1865,701
05.09,127309,117423,1874,564
05.10,127772,117844,1875,463
05.11,128283,118717,1879,511
05.12,128918,119373,1884,635
05.13,129633,119906,1891,715
05.14,130380,120395,1893,747
05.15,131061,121282,1896,681
05.16,131671,121764,1900,610
05.17,132290,122163,1903,619
05.18,132818,122631,1904,528
05.19,133471,123237,1912,653
05.20,134117,123659,1916,646
