,confirm,heal,dead,confirm_add
02.24,3,0,0,0
02.25,8,0,0,5
02.26,25,0,0,9
02.27,43,0,0,18
02.28,45,0,0,2
02.29,45,0,0,0
03.01,46,0,0,1
03.02,56,0,0,10
03.03,56,0,0,0
03.04,56,0,0,0
03.05,58,0,0,2
03.06,58,0,0,0
03.07,58,0,0,0
03.08,64,0,0,6
03.09,65,0,0,1
03.10,69,0,0,4
03.11,72,2,0,3
03.12,80,5,0,8
03.13,100,5,0,20
03.14,100,5,0,0
03.15,100,5,0,0
03.16,123,9,0,23
03.17,130,9,0,7
03.18,142,9,0,12
03.19,148,18,0,6
03.20,159,22,0,11
03.21,176,27,0,17
03.22,188,30,0,12
03.23,189,30,0,1
03.24,191,39,0,2
03.25,195,43,0,4
03.26,208,49,0,13
03.27,225,57,0,17
03.28,235,64,0,10
03.29,255,67,0,20
03.30,266,72,0,11
03.31,289,73,0,23
04.01,317,80,0,28
04.02,342,81,0,25
04.03,417,82,0,75
04.04,479,93,1,62
04.05,556,99,1,77
04.06,665,103,1,109
04.07,743,105,1,78
04.08,855,111,1,112
04.09,910,111,1,55
04.10,993,123,1,83
04.11,1154,133,1,161
04.12,1234,142,1,80
04.13,1300,150,2,66
04.14,1355,176,3,55
04.15,1405,206,3,50
04.16,1524,225,3,119
04.17,1658,258,5,134
04.18,1751,280,6,93
04.19,1915,305,7,164
04.20,1995,367,9,80
04.21,2080,412,11,85
04.22,2248,443,13,168
04.23,2399,498,14,151
04.24,2614,613,15,215
04.25,2892,656,19,278
04.26,3075,806,20,183
04.27,3288,1012,22,213
04.28,3440,1176,23,152
04.29,3740,1389,24,300
04.30,4024,1539,26,284
05.01,4024,1539,26,0
05.02,4619,1703,33,595
05.03,4619,1703,33,0
05.04,5278,1947,40,659
05.05,5804,2032,40,526
05.06,6289,2219,42,485
05.07,6567,2381,44,278
05.08,7208,2466,47,641
05.09,7623,2622,49,415
05.10,8688,2729,58,1065
05.11,9286,2907,65,598
05.12,10277,3101,75,991
05.13,11028,3263,82,751
05.14,11975,3451,88,947
05.15,12860,3640,96,885
05.16,13802,3843,107,942
05.17,14850,4093,112,1048
05.18,15691,4339,118,841
05.19,16764,4681,121,1073
05.20,17568,4885,124,804
05.21,18609,5205,129,1041
05.22,19564,5515,138,955
05.23,20464,5747,148,900
05.24,21302,6117,156,838
05.25,21967,6621,165,665
05.26,22575,7306,172,608
05.27,23267,7946,175,692
05.28,24112,8698,185,845
05.29,25184,9273,194,1072
05.30,26192,10156,205,1008
05.31,27043,11386,212,851
06.01,27762,12899,220,719
06.02,28649,14281,226,887
06.03,28649,14281,226,0
06.04,29921,17223,236,1272
06.05,30644,18277,244,723
06.06,31131,19282,254,487
06.07,31848,20205,264,717
06.08,32510,21242,269,662
06.09,33140,22162,273,630
06.10,33140,22162,273,0
06.11,34432,24137,279,1292
06.12,34952,25048,285,520
06.13,35466,25882,289,514
06.14,35920,26759,296,454
06.15,36431,27531,298,511
06.16,36958,28206,303,527
06.17,37533,28896,306,575
06.18,38074,29512,308,541
06.19,38678,30190,313,604
06.20,39145,30726,319,467
06.21,39650,31240,326,505
06.22,40291,31770,330,641
06.23,41033,32304,334,742
06.24,41879,32809,337,846
06.25,42788,33367,339,909
06.26,43703,33969,341,915
06.27,44391,34586,344,688
06.28,44942,35494,348,551
06.29,45524,36313,350,582
06.30,46195,37030,354,671
07.01,46940,37715,358,745
07.02,47859,38390,359,919
07.03,48672,39276,360,813
07.04,49303,39943,365,631
07.05,49941,40463,368,638
07.06,50644,41001,373,703
07.07,51245,41515,377,601
07.08,52007,42108,379,762
07.09,52840,42686,382,833
07.10,53580,43214,383,740
07.11,54058,43961,386,478
07.12,54894,44610,390,836
07.13,55508,45356,393,614
07.14,56174,46161,396,666
07.15,56877,46897,399,703
07.16,57668,47545,402,791
07.17,58221,48381,404,553
07.18,58904,49020,407,683
07.19,59204,49687,408,300
07.20,59763,50339,408,559
07.21,60434,50919,412,671
07.22,61185,51520,417,751
07.23,61872,52247,421,687
07.24,62625,52915,425,753
07.25,63309,53607,429,684
07.26,63773,54373,433,464
07.27,64379,55057,438,606
07.28,65149,55681,442,770
07.29,65903,56467,444,754
07.30,66529,57330,445,626
07.31,66957,57932,447,428
08.01,67448,58525,453,491
08.02,67911,59213,457,463
08.03,68299,59739,461,388
08.04,68774,60326,465,475
08.05,69425,60906,468,651
08.06,70045,61610,469,620
08.07,70727,62330,471,682
08.08,71199,62806,474,472
08.09,71713,63519,478,514
08.10,72400,64028,482,687
08.11,73068,64759,486,668
08.12,73785,65451,489,717
08.13,74486,66099,489,701
08.14,74486,66099,489,0
08.15,75697,67519,498,1211
08.16,76205,68135,501,508
08.17,76827,68633,502,622
08.18,77470,69243,505,643
08.19,78145,69771,507,675
08.20,78767,70642,509,622
08.21,79269,71264,511,502
08.22,79957,71770,513,688
08.23,80528,72307,515,571
08.24,80960,72925,518,432
08.25,81573,73402,519,613
08.26,82271,73906,521,698
08.27,82945,74522,522,674
08.28,83578,75320,525,633
08.29,84224,75993,528,646
08.30,84636,76650,530,412
08.31,85109,77224,531,473
09.01,85811,77657,534,702
09.02,86478,78209,535,667
09.03,87378,78791,536,900
09.04,88243,79417,537,865
09.05,88963,79903,540,720
09.06,89582,80521,544,619
09.07,90387,81037,546,805
09.08,91244,81654,548,857
09.09,92082,82222,552,838
09.10,92822,83040,556,740
09.11,93475,83660,557,653
09.12,94211,84404,558,736
09.13,94764,84995,560,553
09.14,95472,85501,563,708
09.15,96301,86219,568,829
09.16,96999,87187,571,698
09.17,97824,87911,575,825
09.18,98528,88776,580,704
09.19,99049,89498,581,521
09.20,99434,90168,584,385
09.21,99964,90930,585,530
09.22,100683,91612,588,719
09.23,101299,92341,590,616
09.24,101851,92961,592,552
09.25,102441,93562,595,590
09.26,103199,94211,597,758
09.27,103544,94929,601,345
09.28,103981,95511,605,437
09.29,104568,96049,607,587
09.30,105182,96688,610,614
10.01,105676,97197,612,494
10.02,106087,97898,615,411
10.03,106458,98435,620,371
10.04,107025,99040,624,567
10.05,107592,99549,628,567
10.06,108268,100179,632,676
10.07,108743,100776,639,475
10.08,109441,101314,642,698
10.09,110076,102024,649,635
10.10,110568,102722,655,492
10.11,111116,103268,658,548
10.12,111893,103802,664,777
10.13,112737,104508,672,844
10.14,113269,105236,676,532
10.15,114015,105846,684,746
10.16,114015,105846,684,0
10.17,115483,107108,694,1468
10.18,116146,107860,701,663
10.19,116832,108606,710,686
10.20,117718,109198,714,886
10.21,118531,109916,721,813
10.22,119420,110714,730,889
10.23,120232,111440,740,812
10.24,120927,112110,744,695
10.25,121635,112771,746,708
10.26,122317,113391,749,682
10.27,123092,114116,756,775
10.28,123906,114923,763,814
10.29,124666,115475,767,760
10.30,125337,116202,773,671
10.31,125926,116862,779,589
11.01,126534,117558,782,608
11.02,127293,118386,786,759
11.03,128080,119080,789,787
11.04,128843,119742,794,763
11.05,129638,120564,799,795
11.06,130463,121263,804,825
11.07,131205,121889,808,742
