,confirm,heal,dead,confirm_add
03.18,3,0,0,3
03.19,3,0,0,0
03.20,6,0,0,3
03.21,12,0,0,6
03.22,14,0,0,2
03.23,16,0,0,4
03.24,42,0,0,26
03.25,42,0,0,26
03.26,44,0,0,2
03.27,58,0,0,14
03.28,58,0,0,14
03.29,84,0,0,26
03.30,94,0,0,10
03.31,107,3,0,13
04.01,111,3,0,4
04.02,116,5,0,5
04.03,130,5,1,14
04.04,144,9,1,14
04.05,147,9,1,3
04.06,216,33,4,69
04.07,228,33,4,12
04.08,270,33,4,42
04.09,280,35,4,10
04.10,298,35,5,18
04.11,339,44,5,41
04.12,377,44,5,38
04.13,419,67,5,42
04.14,430,71,5,11
04.15,449,78,5,19
04.16,466,91,5,17
04.17,489,114,5,23
04.18,506,130,5,17
04.19,554,133,5,48
04.20,568,201,7,14
04.21,590,216,7,22
04.22,612,254,7,22
04.23,631,302,8,19
04.24,656,322,8,25
04.25,665,345,8,9
04.26,682,370,8,17
04.27,695,395,8,13
04.28,708,416,8,13
04.29,729,437,8,21
04.30,746,462,8,17
05.01,756,504,8,10
05.02,769,527,8,13
05.03,769,527,8,0
05.04,830,575,10,61
05.05,843,600,11,13
05.06,871,614,12,28
05.07,895,637,12,24
05.08,906,650,12,11
05.09,931,658,12,25
05.10,1002,675,12,71
05.11,1016,688,12,14
05.12,1037,709,12,21
05.13,1044,726,12,7
05.14,1082,735,12,38
05.15,1111,745,14,29
05.16,1117,783,14,6
05.17,1138,804,14,21
05.18,1216,827,14,78
05.19,1243,898,14,27
05.20,1270,910,14,27
05.21,1313,923,14,43
05.22,1350,939,14,37
05.23,1365,957,14,15
05.24,1403,980,14,38
05.25,1433,992,16,30
05.26,1468,1015,16,35
05.27,1520,1043,16,52
05.28,1594,1066,16,74
05.29,1662,1088,16,68
05.30,1722,1113,16,60
05.31,1748,1170,16,26
06.01,1817,1181,16,69
06.02,1845,1219,17,28
06.03,1845,1219,17,0
06.04,1899,1292,20,54
06.05,1936,1340,22,37
06.06,1974,1360,22,38
06.07,2007,1425,22,33
06.08,2032,1445,23,25
06.09,2055,1483,24,23
06.10,2093,1572,26,38
06.11,2129,1630,26,36
06.12,2166,1668,26,37
06.13,2207,1722,27,41
06.14,2285,1791,27,78
06.15,2372,1813,27,87
06.16,2472,1847,28,100
06.17,2562,1902,30,90
06.18,2657,1933,31,95
06.19,2789,1961,32,132
06.20,2981,1981,35,192
06.21,3151,2011,37,170
06.22,3356,2021,40,205
06.23,3519,2054,41,163
06.24,3726,2082,42,207
06.25,3954,2112,43,228
06.26,4204,2162,43,250
06.27,4513,2212,46,309
06.28,4748,2242,47,235
06.29,5017,2294,50,269
06.30,5296,2370,57,279
07.01,5735,2443,62,439
07.02,6261,2530,66,526
07.03,6767,2655,76,506
07.04,7094,2714,78,327
07.05,7377,2802,88,283
07.06,7691,2843,92,314
07.07,8141,2916,99,450
07.08,8486,2983,112,345
07.09,8847,3053,116,361
07.10,9358,3134,122,511
07.11,9910,3236,125,552
07.12,10629,3387,132,719
07.13,11117,3460,147,488
07.14,11444,3538,149,327
07.15,11977,3660,160,533
07.16,12498,3735,167,521
07.17,13101,3821,173,603
07.18,13101,3821,173,0
07.19,24606,10704,900,11505
07.20,27143,13109,1037,2537
07.21,28251,14776,1079,1108
07.22,28980,15536,1111,729
07.23,30349,16791,1169,1369
07.24,31247,18038,1211,898
07.25,32124,19203,1249,877
07.26,32813,20388,1277,689
07.27,33296,21205,1301,483
07.28,33718,22296,1329,422
07.29,34592,22296,1347,874
07.30,35223,23985,1364,631
07.31,35619,24685,1372,396
08.01,36299,26419,1397,680
08.02,36719,27274,1409,420
08.03,37129,27927,1420,410
08.04,37541,28743,1427,412
08.05,38110,29513,1438,569
08.06,38659,30099,1447,549
08.07,39162,30764,1451,503
08.08,39571,31062,1459,409
08.09,39919,31822,1468,348
08.10,40085,32126,1474,166
08.11,40455,32734,1478,370
08.12,40759,32997,1484,304
08.13,41069,33288,1487,310
08.14,41373,33592,1491,304
08.15,41645,33951,1493,272
08.16,41856,34276,1495,211
08.17,41991,34537,1496,135
08.18,42146,34855,1498,155
08.19,42146,34855,1498,0
08.20,42507,35486,1498,361
08.21,42703,35831,1498,196
08.22,42889,36056,1055,186
08.23,43023,36397,1056,134
08.24,43126,36615,1057,103
08.25,43245,36925,1057,119
08.26,43358,37217,1057,113
08.27,43459,37492,1057,101
08.28,43587,37726,1057,128
08.29,43712,37973,1057,125
08.30,43820,38198,1058,108
08.31,43898,38459,1058,78
09.01,43958,38649,1059,60
09.02,44036,38895,1059,78
09.03,44135,39174,1059,99
09.04,44199,39389,1060,64
09.05,44293,39599,1060,94
09.06,44403,39826,1060,110
09.07,44458,39960,1060,55
09.08,44487,40092,1060,29
09.09,44613,40336,1061,126
09.10,44684,40487,1061,71
09.11,44761,40631,1063,77
09.12,44828,40779,1063,67
09.13,44828,40779,1063,0
09.14,44928,41023,1063,100
09.15,44999,41103,1063,71
09.16,45072,41210,1063,73
09.17,45153,41317,1063,81
09.18,45244,41415,1063,91
09.19,45335,41484,1063,91
09.20,45335,41484,1063,0
09.21,45471,41682,1063,136
09.22,45542,41796,1063,71
09.23,45630,41904,1063,88
09.24,45757,42005,1063,127
09.25,45932,42147,1063,175
09.26,46090,42302,1063,158
09.27,46251,42453,1063,161
09.28,46355,42613,1064,104
09.29,46522,42761,1064,167
09.30,46669,42879,1064,147
10.01,46841,42983,1065,172
10.02,47056,43137,1065,215
10.03,47184,43278,1066,128
10.04,47428,43418,1066,244
10.05,47635,43521,1066,207
10.06,47799,43644,1066,164
10.07,48097,43798,1069,298
10.08,48342,43957,1073,245
10.09,48617,44097,1077,275
10.10,48924,44227,1082,307
10.11,49230,44227,1085,306
10.12,49528,44522,1090,298
10.13,49871,44712,1092,343
10.14,50201,44884,1094,330
10.15,50589,45080,1099,388
10.16,51020,45288,1103,431
10.17,51490,45509,1108,470
10.18,52044,45736,1111,554
10.19,52526,45863,1111,482
10.20,52910,46139,1113,384
10.21,53459,46444,1118,549
10.22,54006,46726,1122,547
10.23,54588,47050,1126,582
10.24,55144,47337,1130,556
10.25,55750,47616,1134,606
10.26,56170,47843,1134,420
10.27,56738,48223,1136,568
