,confirm,heal,dead,confirm_add
03.24,2,0,0,2
03.25,3,0,0,1
03.26,6,0,0,3
03.27,6,0,0,0
03.28,6,0,0,0
03.29,8,0,0,2
03.30,8,0,0,0
03.31,9,0,0,1
04.01,10,0,0,1
04.02,10,0,0,0
04.03,10,0,0,0
04.04,10,0,0,0
04.05,11,0,0,1
04.06,12,0,0,1
04.07,14,0,0,2
04.08,15,0,0,1
04.09,16,0,0,1
04.10,16,0,0,0
04.11,18,0,0,2
04.12,19,0,0,1
04.13,19,0,0,0
04.14,19,1,0,0
04.15,19,1,0,0
04.16,19,2,0,0
04.17,19,2,0,0
04.18,19,2,0,0
04.19,19,2,0,0
04.20,19,2,0,0
04.21,19,2,0,0
04.22,19,4,0,0
04.23,19,4,0,0
04.24,19,4,0,0
04.25,19,7,0,0
04.26,19,7,0,0
04.27,19,7,0,0
04.28,19,7,0,0
04.29,19,7,0,0
04.30,19,8,0,0
05.01,19,8,0,0
05.02,19,9,0,0
05.03,19,9,0,0
05.04,19,9,0,0
05.05,19,9,0,0
05.06,19,9,0,0
05.07,19,9,0,0
05.08,19,9,0,0
05.09,19,13,0,0
05.10,19,13,0,0
05.11,19,13,0,0
05.12,19,13,0,0
05.13,19,14,0,0
05.14,19,14,0,0
05.15,19,14,0,0
05.16,19,14,0,0
05.17,19,14,0,0
05.18,19,14,0,0
05.19,19,14,0,0
05.20,19,14,0,0
05.21,19,14,0,0
05.22,19,14,0,0
05.23,19,14,0,0
05.24,19,14,0,0
05.25,19,14,0,0
05.26,19,14,0,0
05.27,19,16,0,0
05.28,19,16,0,0
05.29,19,16,0,0
05.30,19,16,0,0
05.31,19,16,0,0
06.01,19,16,0,0
06.02,19,16,0,0
06.03,19,16,0,0
06.04,19,18,0,0
06.05,19,18,0,0
06.06,19,18,0,0
06.07,19,18,0,0
06.08,19,18,0,0
06.09,19,19,0,0
06.10,19,19,0,0
06.11,19,19,0,0
06.12,19,19,0,0
06.13,19,19,0,0
06.14,19,19,0,0
06.15,19,19,0,0
06.16,19,19,0,0
06.17,19,19,0,0
06.18,19,19,0,0
06.19,19,19,0,0
06.20,19,19,0,0
06.21,19,19,0,0
06.22,19,19,0,0
06.23,19,19,0,0
06.24,19,19,0,0
06.25,19,19,0,0
06.26,19,19,0,0
06.27,19,19,0,0
06.28,19,19,0,0
06.29,19,19,0,0
06.30,19,19,0,0
07.01,19,19,0,0
07.02,19,19,0,0
07.03,19,19,0,0
07.04,19,19,0,0
07.05,19,19,0,0
07.06,19,19,0,0
07.07,19,19,0,0
07.08,19,19,0,0
07.09,19,19,0,0
07.10,19,19,0,0
07.11,19,19,0,0
07.12,19,19,0,0
07.13,19,19,0,0
07.14,19,19,0,0
07.15,19,19,0,0
07.16,19,19,0,0
07.17,19,19,0,0
07.18,19,19,0,0
07.19,19,19,0,0
07.20,19,19,0,0
07.21,19,19,0,0
07.22,19,19,0,0
07.23,19,19,0,0
07.24,20,19,0,1
07.25,20,19,0,0
07.26,20,19,0,0
07.27,20,19,0,0
07.28,20,19,0,0
07.29,20,19,0,0
07.30,20,19,0,0
07.31,20,19,0,0
08.01,20,19,0,0
08.02,20,19,0,0
08.03,20,19,0,0
08.04,20,19,0,0
08.05,20,19,0,0
08.06,20,19,0,0
08.07,20,19,0,0
08.08,20,19,0,0
08.09,20,19,0,0
08.10,20,19,0,0
08.11,20,19,0,0
08.12,20,19,0,0
08.13,20,19,0,0
08.14,22,19,0,2
08.15,22,19,0,0
08.16,22,19,0,0
08.17,22,19,0,0
08.18,22,19,0,0
08.19,22,19,0,0
08.20,22,19,0,0
08.21,22,20,0,0
08.22,22,20,0,0
08.23,22,20,0,0
08.24,22,20,0,0
08.25,22,21,0,0
08.26,22,21,0,0
08.27,22,21,0,0
08.28,22,21,0,0
08.29,22,21,0,0
08.30,22,21,0,0
08.31,22,21,0,0
09.01,22,21,0,0
09.02,22,21,0,0
09.03,22,21,0,0
09.04,22,21,0,0
09.05,22,21,0,0
09.06,22,21,0,0
09.07,22,21,0,0
09.08,22,21,0,0
09.09,22,21,0,0
09.10,22,21,0,0
09.11,23,21,0,1
09.12,23,21,0,0
09.13,23,21,0,0
09.14,23,22,0,0
09.15,23,22,0,0
09.16,23,22,0,0
09.17,23,22,0,0
09.18,23,22,0,0
09.19,23,22,0,0
09.20,23,22,0,0
09.21,23,22,0,0
09.22,23,22,0,0
09.23,23,22,0,0
09.24,23,22,0,0
09.25,23,22,0,0
09.26,23,22,0,0
09.27,23,22,0,0
09.28,23,22,0,0
09.29,23,22,0,0
09.30,23,22,0,0
10.01,23,22,0,0
10.02,23,22,0,0
10.03,23,22,0,0
10.04,23,22,0,0
10.05,23,22,0,0
10.06,23,22,0,0
10.07,23,22,0,0
10.08,23,22,0,0
10.09,23,22,0,0
10.10,23,22,0,0
10.11,23,22,0,0
10.12,23,22,0,0
10.13,23,22,0,0
10.14,23,22,0,0
10.15,23,22,0,0
10.16,23,22,0,0
10.17,23,22,0,0
10.18,23,22,0,0
10.19,23,22,0,0
10.20,23,22,0,0
10.21,24,22,0,1
10.22,24,22,0,0
10.23,24,22,0,0
10.24,24,22,0,0
10.25,24,22,0,0
10.26,24,22,0,0
10.27,24,22,0,0
10.28,24,22,0,0
10.29,24,22,0,0
10.30,24,22,0,0
10.31,24,22,0,0
11.01,24,22,0,0
11.02,24,23,0,0
11.03,24,23,0,0
11.04,24,23,0,0
11.05,24,23,0,0
11.06,24,23,0,0
11.07,24,23,0,0
11.08,24,23,0,0
11.09,24,23,0,0
11.10,24,23,0,0
11.11,24,23,0,0
11.12,24,23,0,0
11.13,24,23,0,0
11.14,24,23,0,0
11.15,24,23,0,0
11.16,24,23,0,0
11.17,25,23,0,1
11.18,25,23,0,0
11.19,25,23,0,0
11.20,25,23,0,0
11.21,25,23,0,0
11.22,25,23,0,0
11.23,25,23,0,0
11.24,25,23,0,0
11.25,25,23,0,0
11.26,25,23,0,0
11.27,25,23,0,0
11.28,39,24,0,14
11.29,39,24,0,0
11.30,39,26,0,0
12.01,39,26,0,0
12.02,39,26,0,0
12.03,39,26,0,0
12.04,39,26,0,0
12.05,39,26,0,0
12.06,39,26,0,0
12.07,41,26,0,2
12.08,41,28,0,0
12.09,41,28,0,0
12.10,41,33,0,0
12.11,41,33,0,0
12.12,41,33,0,0
12.13,41,33,0,0
12.14,41,34,0,0
12.15,41,34,0,0
12.16,41,36,0,0
12.17,41,36,0,0
12.18,41,36,0,0
12.19,41,36,0,0
12.20,41,36,0,0
12.21,41,37,0,0
12.22,41,37,0,0
12.23,41,37,0,0
12.24,41,37,0,0
12.25,41,37,0,0
12.26,41,37,0,0
12.27,41,37,0,0
12.28,41,40,0,0
12.29,41,40,0,0
12.30,41,40,0,0
12.31,41,40,0,0
01.01,41,40,0,0
01.02,41,40,0,0
01.03,41,40,0,0
