,confirm,heal,dead,confirm_add
03.03,1,0,0,1
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,6,0,0,5
03.10,8,0,0,2
03.11,8,0,0,0
03.12,10,0,0,2
03.13,16,1,0,6
03.14,18,1,0,2
03.15,30,1,0,13
03.16,34,1,0,4
03.17,34,1,0,0
03.18,49,1,0,15
03.19,71,1,0,22
03.20,86,1,0,15
03.21,111,1,0,25
03.22,124,1,0,13
03.23,139,1,0,15
03.24,180,1,0,41
03.25,197,1,0,17
03.26,221,1,0,24
03.27,244,1,0,23
03.28,280,1,0,36
03.29,305,1,0,25
03.30,347,1,0,42
03.31,398,1,0,51
04.01,446,1,0,48
04.02,458,1,0,12
04.03,493,1,0,35
04.04,509,1,1,16
04.05,533,1,1,24
04.06,542,1,1,9
04.07,548,16,2,6
04.08,577,16,2,29
04.09,589,16,2,12
04.10,612,16,3,23
04.11,630,16,3,18
04.12,651,16,5,21
04.13,655,16,5,4
04.14,657,16,5,2
04.15,666,44,5,9
04.16,675,57,5,9
04.17,682,88,5,7
04.18,712,88,5,30
04.19,727,88,5,15
04.20,739,88,5,12
04.21,748,133,9,9
04.22,761,133,11,13
04.23,778,133,11,17
04.24,784,133,12,6
04.25,804,267,12,20
04.26,812,267,12,8
04.27,818,267,13,6
04.28,836,267,13,18
04.29,849,348,15,13
04.30,858,348,15,9
05.01,870,348,16,12
05.02,871,348,16,1
05.03,871,348,16,0
05.04,896,348,16,25
05.05,896,348,17,0
05.06,900,464,17,4
05.07,909,464,18,9
05.08,928,464,18,19
05.09,930,464,18,2
05.10,939,464,18,9
05.11,946,464,18,7
05.12,950,627,18,4
05.13,951,627,19,1
05.14,962,627,19,11
05.15,970,662,19,8
05.16,997,662,19,27
05.17,1008,662,19,11
05.18,1009,662,19,1
05.19,1012,694,21,3
05.20,1016,694,21,4
05.21,1025,694,22,9
05.22,1030,712,22,5
05.23,1046,712,22,16
05.24,1047,712,22,1
05.25,1049,712,22,2
05.26,1053,741,22,4
05.27,1057,741,23,4
05.28,1061,741,24,4
05.29,1064,745,24,3
05.30,1065,745,24,1
05.31,1066,745,24,1
06.01,1066,745,24,0
06.02,1071,760,24,5
06.03,1071,760,24,0
06.04,1082,760,25,11
