,confirm,heal,dead,confirm_add
02.21,1,0,0,0
02.22,1,0,0,0
02.23,1,0,0,0
02.24,1,0,0,0
02.25,1,0,0,0
02.26,2,0,0,1
02.27,3,0,0,1
02.28,3,0,0,0
03.01,3,0,0,0
03.02,3,0,0,0
03.03,3,0,0,0
03.04,13,1,0,10
03.05,15,1,0,2
03.06,15,1,0,0
03.07,22,1,0,7
03.08,28,1,0,6
03.09,32,1,0,4
03.10,41,1,1,9
03.11,59,1,2,18
03.12,68,1,3,9
03.13,77,1,3,9
03.14,93,1,3,16
03.15,99,1,3,6
03.16,109,1,3,10
03.17,120,1,3,11
03.18,120,1,3,0
03.19,149,1,3,29
03.20,163,1,4,14
03.21,206,1,4,43
03.22,248,8,4,42
03.23,267,8,4,19
03.24,304,8,4,37
03.25,333,8,4,29
03.26,368,20,6,35
03.27,391,23,7,23
03.28,412,27,8,21
03.29,438,30,10,26
03.30,446,32,11,8
03.31,463,37,12,17
04.01,479,37,12,16
04.02,494,43,16,15
04.03,508,46,17,14
04.04,520,50,17,12
04.05,527,54,18,7
04.06,541,55,19,14
04.07,548,60,19,7
04.08,575,62,19,27
04.09,582,67,19,7
04.10,609,67,20,27
04.11,619,76,20,10
04.12,630,77,20,11
04.13,632,80,20,2
04.14,641,80,21,9
04.15,658,81,21,17
04.16,663,85,21,5
04.17,668,86,21,5
04.18,672,94,21,4
04.19,673,99,21,1
04.20,677,103,21,4
04.21,677,103,21,0
04.22,682,130,22,5
04.23,688,140,22,6
04.24,696,140,22,8
04.25,704,143,24,8
04.26,707,145,24,3
04.27,710,145,24,3
04.28,717,145,24,7
04.29,721,150,24,4
04.30,725,150,24,4
05.01,729,192,24,4
05.02,733,197,25,4
05.03,733,197,25,0
05.04,740,200,25,7
05.05,741,206,25,1
05.06,750,206,25,9
05.07,784,220,25,34
05.08,796,223,26,12
05.09,809,234,26,13
05.10,845,234,26,36
05.11,859,234,26,14
05.12,870,234,26,11
05.13,878,236,26,8
05.14,886,236,26,8
05.15,891,246,26,5
05.16,902,247,26,11
05.17,911,247,26,9
05.18,911,247,26,0
05.19,954,251,26,43
05.20,961,251,26,7
05.21,1024,663,26,63
05.22,1086,663,26,62
05.23,1097,667,26,11
05.24,1114,688,26,17
05.25,1119,688,26,5
05.26,1140,689,26,21
05.27,1161,692,26,21
05.28,1168,699,26,7
05.29,1172,705,26,4
05.30,1191,708,26,19
05.31,1220,712,27,29
06.01,1233,715,27,13
06.02,1242,719,27,9
06.03,1242,719,27,0
06.04,1306,731,28,64
06.05,1312,768,28,6
06.06,1320,768,29,8
06.07,1331,768,30,11
06.08,1350,779,30,19
06.09,1368,795,30,18
06.10,1368,795,30,0
06.11,1402,845,31,34
06.12,1422,853,31,20
06.13,1442,868,32,20
06.14,1446,868,32,4
06.15,1464,875,32,18
06.16,1473,889,32,9
06.17,1489,907,32,16
06.18,1495,944,32,6
06.19,1510,960,32,15
06.20,1536,1006,32,26
06.21,1587,1068,32,51
06.22,1603,1077,32,16
06.23,1622,1098,32,19
06.24,1644,1103,33,22
06.25,1662,1144,33,18
06.26,1697,1144,33,35
06.27,1719,1144,33,22
06.28,1740,1153,34,21
06.29,1745,1170,34,5
06.30,1745,1170,34,0
07.01,1788,1223,34,43
07.02,1796,1242,35,8
07.03,1830,1292,35,34
07.04,1855,1304,35,25
07.05,1873,1304,36,18
07.06,1885,1311,36,12
07.07,1885,1311,36,0
07.08,1946,1368,36,61
07.09,2012,1368,36,66
07.10,2011,1368,36,-1
07.11,2082,1402,36,71
07.12,2168,1402,36,86
07.13,2334,1420,36,166
07.14,2419,1423,36,85
07.15,2451,1452,37,32
07.16,2542,1455,38,91
07.17,2599,1485,40,57
07.18,2700,1485,40,101
07.19,2775,1485,40,75
07.20,2859,1515,40,84
07.21,2905,1562,41,46
07.22,2980,1577,41,75
07.23,3104,1607,43,124
07.24,3260,1619,43,156
07.25,3407,1666,46,147
07.26,3582,1671,47,175
07.27,3750,1692,51,168
07.28,3882,1709,51,132
07.29,4023,1710,54,141
07.30,4205,1753,55,182
07.31,4334,1753,57,129
08.01,4555,1761,61,221
08.02,4730,1761,61,175
08.03,4885,1795,62,155
08.04,5062,1837,65,177
08.05,5271,1837,65,209
08.06,5417,1880,68,146
08.07,5672,1974,70,255
08.08,5951,2042,70,279
08.09,6223,2043,78,272
08.10,6517,2127,78,294
08.11,6812,2290,80,295
08.12,7121,2377,87,309
08.13,7413,2407,89,292
08.14,7711,2496,92,298
08.15,8045,2551,94,334
08.16,8442,2650,97,397
08.17,8881,2724,103,439
08.18,9337,2809,105,456
08.19,9758,2852,107,421
08.20,10347,2928,109,589
08.21,10952,3040,113,605
08.22,11580,3204,116,628
08.23,12191,3346,121,611
08.24,12698,3625,123,507
08.25,13155,3704,126,457
08.26,13687,3723,138,532
08.27,14248,3955,139,561
08.28,14937,4133,146,689
08.29,15613,4260,148,676
08.30,16275,4484,155,662
08.31,16870,4693,160,595
09.01,17308,4811,167,438
09.02,17777,4988,171,469
09.03,18375,5195,177,598
09.04,18963,5338,179,588
09.05,19490,5592,183,527
09.06,20011,5868,187,521
09.07,20426,6139,191,415
09.08,20826,6430,200,400
09.09,21324,6722,207,498
09.10,21877,7024,212,553
09.11,22437,7312,219,560
09.12,22983,7312,229,546
09.13,23669,7936,239,686
09.14,24310,8334,241,641
09.15,25401,8765,246,1091
09.16,25449,9216,252,48
09.17,26083,9634,259,634
09.18,26768,10217,263,685
09.19,27518,10739,281,750
09.20,28297,11440,286,779
09.21,29303,12047,297,1006
09.22,29987,12507,307,684
09.23,30852,12878,315,865
09.24,31792,13527,328,940
09.25,32819,14112,329,1027
09.26,33962,14778,333,1143
09.27,35242,15434,340,1280
09.28,36254,16089,347,1012
09.29,37272,16676,351,1018
09.30,38377,17110,361,1105
10.01,39634,17565,367,1257
10.02,40882,18103,374,1248
10.03,42173,18739,386,1291
10.04,43494,19259,398,1321
10.05,44482,19782,406,988
10.06,45657,20243,414,1175
10.07,46918,20490,424,1261
10.08,48377,21120,433,1459
10.09,49744,21760,439,1367
10.10,51170,22407,450,1426
10.11,52558,22719,455,1388
10.12,53568,23501,459,1010
10.13,54624,23941,466,1056
10.14,55869,24581,479,1245
10.15,57246,25164,499,1377
10.16,58745,25994,501,1499
10.17,60113,26468,509,1368
10.18,61284,27197,517,1171
10.19,62286,28062,520,1002
10.20,62944,28855,526,658
10.21,64336,29498,531,1392
10.22,65577,30470,536,1241
10.23,67027,31409,552,1450
10.24,68479,32412,559,1452
10.25,69906,33438,562,1427
10.26,71390,34803,565,1484
10.27,72186,35545,579,796
10.28,73995,36797,590,1809
10.29,75845,37787,602,1850
10.30,77778,39123,610,1933
10.31,79529,40352,625,1751
11.01,81228,41624,637,1699
11.02,82617,42904,643,1389
11.03,83697,43885,652,1080
11.04,85209,43885,667,1512
11.05,87097,45032,676,1888
11.06,89186,45820,683,2089
11.07,91328,45820,700,2142
11.08,93097,46602,713,1769
11.09,94236,46602,723,1139
11.10,95355,51728,732,1119
11.11,96907,53360,749,1552
11.12,98829,54869,763,1922
11.13,100703,55706,775,1874
11.14,102607,57693,796,1904
11.15,104267,58538,806,1660
11.16,105430,60416,817,1163
11.17,106446,61263,827,1016
11.18,107953,62395,839,1507
11.19,110037,62528,852,2084
11.20,111946,63404,868,1909
11.21,113655,64685,884,1709
11.22,115283,66135,894,1628
11.23,116476,67667,900,1193
11.24,117517,69079,911,1041
11.25,118705,70555,934,1188
11.26,120341,71236,950,1636
11.27,122200,72152,974,1859
11.28,123982,74008,980,1782
11.29,125678,74950,991,1696
11.30,126944,76774,1004,1266
12.01,127944,83034,1018,1000
12.02,129455,83034,1033,1511
12.03,131297,83034,1055,1842
12.04,132817,84142,1067,1520
12.05,134295,86019,1078,1478
12.06,135876,88096,1090,1581
12.07,137112,90229,1099,1236
12.08,138096,90229,1115,984
12.09,139135,93100,1136,1039
12.10,140409,94042,1156,1274
12.11,142187,95737,1170,1778
12.12,143705,97647,1182,1518
12.13,145245,98584,1190,1540
12.14,146520,101334,1200,1275
12.15,147613,103057,1210,1093
12.16,148877,104207,1223,1264
12.17,150933,104207,1234,2056
12.18,153049,106712,1248,2116
12.19,154944,108737,1259,1895
12.20,156570,110535,1270,1626
12.21,158104,112333,1281,1534
12.22,159286,113948,1294,1182
12.23,160979,115124,1311,1693
12.24,163225,116143,1333,2246
12.25,165933,117311,1353,2708
12.26,168069,118947,1367,2136
12.27,169472,120780,1379,1403
12.28,171226,122657,1394,1754
12.29,172820,124234,1409,1594
12.30,175118,125473,1430,2298
12.31,177996,126460,1456,2878
01.01,181503,127959,1468,3507
01.02,183888,127959,1479,2385
01.03,186408,131000,1489,2520
01.04,189278,132768,1499,2870
01.05,192139,134367,1512,2861
01.06,195759,135596,1529,3620
01.07,199925,136566,1550,4166
01.08,204699,137582,1566,4774
01.09,210139,138839,1570,5440
01.10,215553,140569,1590,5414
01.11,219296,142239,1606,3743
01.12,222391,143716,1629,3095
01.13,226948,144857,1705,4557
01.14,231936,145873,1740,4988
01.15,237132,147746,1781,5196
01.16,243286,149108,1825,6154
01.17,249158,151080,1866,5872
01.18,252812,153038,1906,3654
01.19,255956,154608,1959,3144
01.20,260315,156084,2020,4359
01.21,264647,157202,2084,4332
01.22,269241,158822,2151,4594
01.23,272461,162007,2208,3220
01.24,276587,164348,2270,4126
01.25,279597,165729,2320,3010
01.26,282249,168142,2374,2652
01.27,285754,168749,2477,3505
01.28,289660,170067,2553,3906
01.29,293157,172497,2621,3497
01.30,296282,175397,2680,3125
01.31,298913,178472,3031,2631
02.01,301052,180877,3082,2139
02.02,303072,183263,3145,2020
02.03,305842,186052,3226,2770
02.04,309162,188824,3315,3320
02.05,312269,192324,3397,3107
02.06,315340,194430,3495,3071
02.07,317836,201137,3562,2496
02.08,319917,206523,3616,2081
02.09,321980,211879,3677,2063
02.10,324866,215359,3737,2886
02.11,328023,217578,3803,3157
02.12,331159,222078,3866,3136
02.13,334093,224380,3915,2934
02.14,336999,226658,3961,2906
02.15,339129,239293,3993,2130
02.16,340868,245093,4037,1739
02.17,343601,248720,4092,2733
02.18,346080,250994,4152,2479
02.19,348810,256109,4206,2730
02.20,351065,260390,4257,2255
02.21,353371,264894,4297,2306
02.22,355073,268071,4340,1702
02.23,356614,272200,4387,1541
02.24,359337,275149,4446,2723
02.25,362850,277741,4508,3513
02.26,366319,281194,4560,3469
02.27,369692,285050,4610,3373
02.28,372792,288505,4652,3100
03.01,375050,291590,4692,2258
03.02,376938,294270,4743,1888
03.03,380036,296237,4805,3098
03.04,383499,298406,4866,3463
03.05,386868,300923,4919,3369
03.06,390070,304191,4971,3202
03.07,393228,307256,5013,3158
03.08,395604,310304,5046,2376
03.09,397887,312747,5089,2283
03.10,401826,314783,5134,3939
03.11,405407,318800,5180,3581
03.12,408909,319629,5230,3502
03.13,411839,321990,5278,2930
03.14,415362,325818,5334,3523
03.15,418448,328706,5380,3086
03.16,419953,331506,5422,1505
03.17,423433,333648,5474,3480
03.18,426977,335333,5536,3544
03.19,430734,337975,5609,3757
03.20,434322,340399,5664,3588
03.21,436575,343099,5715,2253
03.22,439568,343099,5757,2993
03.23,441014,347563,5808,1446
03.24,444865,349223,5850,3851
03.25,448721,350694,5903,3856
03.26,452281,353342,5964,3560
03.27,455381,356820,6013,3100
03.28,458338,360244,6058,2957
03.29,461062,360244,6096,2724
03.30,461062,360244,6096,0
03.31,461062,360244,6096,0
04.01,468400,370687,6234,7338
04.02,471962,373833,6286,3562
04.03,474925,377136,6346,2963
04.04,477113,380472,6379,2188
04.05,479501,380472,6409,2388
04.06,480502,386768,6443,1001
04.07,482798,390209,6479,2296
04.08,485918,391197,6512,3120
04.09,489428,395261,6549,3510
04.10,491928,398699,6592,2500
04.11,494633,402172,6630,2705
04.12,496846,402172,6661,2213
04.13,497854,406095,6703,1008
04.14,499839,411710,6738,1985
04.15,502299,413175,6778,2460
04.16,504800,416624,6809,2501
04.17,506808,420223,6854,2008
04.18,508503,423848,6886,1695
04.19,510403,423848,6925,1900
04.20,511398,429598,6959,995
04.21,513006,432548,6995,1608
04.22,515088,433987,7027,2082
04.23,516600,437808,7057,1512
04.24,518104,441631,7090,1504
04.25,519615,445163,7118,1511
04.26,520939,445163,7142,1324
04.27,521581,451167,7171,642
04.28,522763,453865,7197,1182
04.29,524241,455115,7224,1478
04.30,525577,457758,7249,1336
05.01,526578,461122,7278,1001
05.02,527508,464660,7302,930
05.03,528208,464660,7324,700
05.04,528457,464660,7345,249
05.05,529205,472133,7368,748
05.06,530217,473114,7390,1012
05.07,531234,475383,7415,1017
05.08,532269,481968,7460,1035
05.09,532269,481968,7460,0
05.10,532839,481968,7486,570
05.11,533141,487126,7507,302
05.12,533685,489319,7527,544
05.13,534388,490305,7549,703
05.14,534968,492270,7569,580
05.15,534968,492270,7569,0
05.16,535446,497198,7602,478
05.17,535753,497198,7620,307
05.18,535954,500872,7631,201
05.19,536554,502762,7641,600
05.20,537043,503774,7651,489
05.21,537437,505348,7658,394
05.22,537887,507424,7664,450
05.23,538218,508930,7670,331
05.24,538518,508930,7677,300
05.25,538668,511931,7684,150
05.26,538991,513249,7690,323
05.27,539271,513884,7697,280
05.28,539590,515058,7705,319
05.29,539888,516530,7711,298
05.30,540132,517859,7718,244
05.31,540277,517859,7723,145
06.01,540388,519779,7729,111
06.02,540630,520473,7735,242
06.03,540844,520717,7740,214
06.04,541009,521458,7747,165
06.05,541232,522465,7752,223
06.06,541423,523476,7758,191
06.07,541557,523476,7763,134
06.08,541628,524500,7769,71
06.09,541801,525065,7774,173
06.10,541940,525065,7780,139
06.11,542375,526598,7790,435
06.12,542375,526598,7790,0
06.13,542375,526598,7790,0
06.14,542649,527645,7801,274
06.15,542649,527645,7801,0
06.16,542649,527645,7801,0
06.17,542649,527645,7801,0
06.18,542649,527645,7801,0
06.19,542649,527645,7801,0
06.20,542649,527645,7801,0
06.21,542649,527645,7801,0
06.22,543551,530393,7825,902
06.23,543698,530689,7829,147
06.24,543865,530689,7832,167
06.25,544002,531156,7835,137
06.26,544165,531432,7839,163
06.27,544291,531749,7841,126
06.28,544454,531749,7843,163
06.29,544520,532287,7845,66
06.30,544705,532429,7848,185
07.01,544866,532537,7851,161
07.02,544866,532537,7851,0
