,confirm,heal,dead,confirm_add
05.13,1,0,0,0
05.14,1,0,0,0
05.15,1,0,0,0
05.16,1,0,0,0
05.17,1,0,0,0
05.18,1,0,0,0
05.19,1,0,0,0
05.20,1,0,0,0
05.21,1,0,0,0
05.22,1,0,0,0
05.23,2,0,0,1
05.24,2,0,0,0
05.25,2,0,0,0
05.26,2,0,0,0
05.27,2,0,0,0
05.28,2,1,0,0
05.29,2,1,0,0
05.30,2,1,0,0
05.31,2,1,0,0
06.01,2,1,0,0
06.02,2,1,0,0
06.03,2,1,0,0
06.04,4,2,0,2
06.05,4,2,0,0
06.06,4,2,0,0
06.07,4,2,0,0
06.08,4,2,0,0
06.09,4,2,0,0
06.10,4,2,0,0
06.11,4,2,0,0
06.12,4,2,0,0
06.13,4,2,0,0
06.14,4,2,0,0
06.15,4,2,0,0
06.16,4,2,0,0
06.17,4,2,0,0
06.18,4,2,0,0
06.19,4,2,0,0
06.20,4,2,0,0
06.21,4,2,0,0
06.22,4,2,0,0
06.23,12,2,0,8
06.24,17,2,0,5
06.25,17,2,0,0
06.26,17,2,0,0
06.27,24,4,0,7
06.28,24,4,0,0
06.29,27,4,0,3
06.30,27,4,0,0
07.01,27,4,0,0
07.02,35,11,0,8
07.03,35,11,0,0
07.04,35,11,0,0
07.05,73,11,0,38
07.06,79,11,0,6
07.07,91,11,0,12
07.08,91,11,0,0
07.09,91,11,0,0
07.10,134,20,1,43
07.11,184,26,1,50
07.12,184,26,1,0
07.13,245,33,3,61
07.14,256,48,3,11
07.15,256,48,3,0
07.16,256,48,3,0
07.17,256,48,3,0
07.18,359,69,6,103
07.19,359,69,6,0
07.20,359,69,6,0
07.21,359,69,6,0
07.22,359,69,6,0
07.23,359,69,6,0
07.24,359,69,6,0
07.25,359,69,6,0
07.26,505,128,12,146
07.27,505,128,12,0
07.28,505,128,12,0
07.29,576,141,13,71
07.30,576,141,13,0
07.31,604,144,13,28
08.01,604,144,13,0
08.02,718,173,19,114
08.03,718,173,19,0
08.04,718,173,19,0
08.05,726,174,21,8
08.06,742,175,23,16
08.07,742,175,23,0
08.08,742,175,23,0
08.09,742,175,23,0
08.10,742,175,23,0
08.11,781,175,24,39
08.12,781,175,24,0
08.13,798,175,24,17
08.14,884,271,25,86
08.15,884,271,25,0
08.16,903,271,25,19
08.17,903,271,25,0
08.18,946,271,30,43
08.19,946,271,30,0
08.20,946,423,30,0
08.21,1015,472,30,69
08.22,1015,472,30,0
08.23,1015,472,30,0
08.24,1015,472,30,0
08.25,1015,472,30,0
08.26,1049,472,30,34
08.27,1051,526,31,2
08.28,1051,526,31,0
08.29,1051,526,31,0
08.30,1051,526,31,0
08.31,1085,528,31,34
09.01,1085,528,31,0
09.02,1085,528,31,0
09.03,1085,528,31,0
09.04,1085,528,31,0
09.05,1148,528,31,63
