,confirm,heal,dead,confirm_add
03.16,1,0,0,1
03.17,2,0,0,1
03.18,2,0,0,0
03.19,2,0,0,0
03.20,2,0,0,0
03.21,3,0,0,1
03.22,3,0,0,0
03.23,3,0,0,0
03.24,3,0,0,0
03.25,3,0,0,0
03.26,3,0,0,0
03.27,3,0,0,0
03.28,3,0,0,0
03.29,3,0,0,0
03.30,3,0,0,0
03.31,3,0,0,0
04.01,6,0,0,3
04.02,6,0,0,0
04.03,7,0,0,1
04.04,10,0,1,3
04.05,13,3,3,3
04.06,13,3,3,0
04.07,14,3,3,1
04.08,14,3,3,0
04.09,31,3,4,17
04.10,31,3,4,0
04.11,37,3,5,6
04.12,50,3,5,13
04.13,51,4,6,1
04.14,59,4,6,8
04.15,59,4,6,0
04.16,59,4,6,0
04.17,76,7,7,17
04.18,76,7,7,0
04.19,76,7,7,0
04.20,91,7,8,15
04.21,101,7,8,10
04.22,101,20,8,0
04.23,101,20,8,0
04.24,117,25,8,16
04.25,120,25,11,3
04.26,120,25,11,0
04.27,124,25,12,4
04.28,133,25,16,9
04.29,141,45,16,8
04.30,141,45,16,0
05.01,141,45,16,0
05.02,152,45,18,11
05.03,152,45,18,0
05.04,166,58,18,14
05.05,166,58,18,0
05.06,178,75,20,12
05.07,178,75,20,0
05.08,189,79,20,11
05.09,199,79,20,10
05.10,199,79,20,0
05.11,199,79,20,0
05.12,211,85,20,12
05.13,212,86,20,1
05.14,213,101,20,1
05.15,215,105,20,2
05.16,219,108,20,4
05.17,226,120,21,7
05.18,226,120,21,0
05.19,233,125,23,7
05.20,238,128,23,5
05.21,240,131,23,2
05.22,240,131,23,0
05.23,255,136,26,15
05.24,255,136,26,0
05.25,265,141,26,10
05.26,265,141,26,0
05.27,266,144,27,1
05.28,269,144,27,3
05.29,273,146,27,4
05.30,280,148,27,7
05.31,288,157,27,8
06.01,296,159,27,8
06.02,311,167,28,15
06.03,311,167,28,0
06.04,321,175,28,10
06.05,334,176,30,13
06.06,334,176,30,0
06.07,345,185,30,11
06.08,370,195,30,25
06.09,383,199,31,13
06.10,383,199,31,0
06.11,410,206,31,27
06.12,410,206,31,0
06.13,446,214,32,36
06.14,446,214,32,0
06.15,498,221,33,52
06.16,509,222,33,11
06.17,509,222,33,0
06.18,542,250,33,33
06.19,542,250,33,0
06.20,601,254,33,59
06.21,626,254,34,25
06.22,626,254,34,0
06.23,650,260,34,24
06.24,652,270,34,2
06.25,681,278,34,29
06.26,684,285,34,3
06.27,684,285,34,0
06.28,729,291,34,45
06.29,770,312,36,41
06.30,780,324,36,10
07.01,780,324,36,0
07.02,804,335,37,24
07.03,819,338,37,15
07.04,833,346,37,14
07.05,869,369,37,36
07.06,874,377,37,5
07.07,891,377,39,17
07.08,917,394,41,26
07.09,957,398,42,40
07.10,963,400,47,6
07.11,998,420,47,35
07.12,1010,423,51,12
07.13,1024,439,51,14
07.14,1024,439,51,0
07.15,1024,439,51,0
07.16,1056,447,51,32
07.17,1085,496,69,29
07.18,1088,519,70,3
07.19,1091,534,70,3
07.20,1091,534,70,0
07.21,1107,547,70,16
07.22,1108,575,70,1
07.23,1117,613,71,9
07.24,1135,621,71,18
07.25,1155,631,71,20
07.26,1155,631,71,0
07.27,1162,641,72,7
07.28,1167,646,72,5
07.29,1179,664,72,12
07.30,1179,664,72,0
07.31,1186,670,75,7
08.01,1189,673,75,3
08.02,1189,673,75,0
08.03,1207,673,77,18
08.04,1216,698,78,9
08.05,1221,699,78,5
08.06,1224,705,78,3
08.07,1224,705,78,0
08.08,1230,705,78,6
08.09,1234,714,79,4
08.10,1237,723,79,3
08.11,1240,725,79,3
08.12,1250,736,81,10
08.13,1252,738,82,2
08.14,1252,738,82,0
08.15,1252,738,82,0
08.16,1257,788,82,5
08.17,1257,788,82,0
08.18,1277,803,82,20
08.19,1282,803,82,5
08.20,1284,803,82,2
08.21,1284,803,82,0
08.22,1285,803,82,1
08.23,1286,816,82,1
08.24,1290,819,82,4
08.25,1290,819,82,0
08.26,1295,821,82,5
08.27,1298,832,82,3
08.28,1298,832,82,0
08.29,1298,832,82,0
08.30,1304,872,82,6
08.31,1304,872,82,0
09.01,1304,872,82,0
09.02,1305,1158,82,1
09.03,1305,1162,82,0
09.04,1306,1163,82,1
09.05,1306,1163,82,0
09.06,1306,1163,82,0
09.07,1307,1182,82,1
09.08,1311,1190,82,4
09.09,1311,1194,82,0
09.10,1313,1194,82,2
09.11,1315,1199,82,2
09.12,1315,1199,82,0
09.13,1316,1210,82,1
09.14,1321,1213,82,5
09.15,1321,1213,82,0
09.16,1327,1214,82,6
09.17,1332,1214,82,5
09.18,1333,1214,82,1
09.19,1334,1214,82,1
09.20,1335,1216,82,1
09.21,1336,1218,82,1
09.22,1336,1218,82,0
09.23,1337,1219,82,1
09.24,1338,1221,82,1
09.25,1338,1221,82,0
09.26,1338,1221,82,0
09.27,1338,1221,82,0
09.28,1342,1221,82,4
09.29,1343,1221,82,1
09.30,1343,1221,82,0
10.01,1343,1221,82,0
10.02,1343,1221,82,0
10.03,1347,1221,82,4
10.04,1347,1221,82,0
10.05,1348,1236,82,1
10.06,1354,1236,82,6
10.07,1354,1240,82,0
10.08,1360,1245,82,6
10.09,1360,1245,82,0
10.10,1360,1245,82,0
10.11,1363,1245,82,3
10.12,1363,1245,82,0
10.13,1371,1250,82,8
10.14,1371,1251,82,0
10.15,1372,1254,82,1
10.16,1374,1254,82,2
10.17,1377,1264,82,3
10.18,1377,1268,82,0
10.19,1377,1268,82,0
10.20,1381,1271,82,4
10.21,1384,1273,82,3
10.22,1385,1276,82,1
10.23,1385,1278,82,0
10.24,1393,1278,82,8
10.25,1393,1278,82,0
10.26,1393,1278,82,0
