,confirm,heal,dead,confirm_add
02.28,1,0,0,1
02.29,1,0,0,0
03.01,1,0,0,0
03.02,1,0,0,0
03.03,1,0,0,0
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,3,0,0,2
03.12,3,0,0,0
03.13,3,0,0,0
03.14,8,0,0,2
03.15,8,0,0,0
03.16,12,0,0,4
03.17,17,0,0,5
03.18,22,0,0,5
03.19,33,0,0,11
03.20,41,0,0,8
03.21,63,0,0,22
03.22,83,0,1,20
03.23,143,1,1,60
03.24,160,1,1,17
03.25,209,1,1,49
03.26,255,1,3,46
03.27,290,1,4,35
03.28,358,1,5,68
03.29,394,1,7,36
03.30,484,1,7,90
03.31,533,7,8,49
04.01,581,7,8,48
04.02,649,7,9,68
04.03,696,7,9,47
04.04,771,7,10,75
04.05,811,7,12,40
04.06,843,8,14,32
04.07,880,8,15,37
04.08,912,8,15,32
04.09,955,8,16,43
04.10,999,54,22,44
04.11,1026,54,23,27
04.12,1053,97,23,27
04.13,1062,101,24,9
04.14,1070,101,24,8
04.15,1091,138,29,21
04.16,1128,178,30,37
04.17,1149,210,32,21
04.18,1239,228,33,90
04.19,1298,242,35,59
04.20,1326,242,37,28
04.21,1350,298,37,24
04.22,1370,357,38,20
04.23,1398,399,38,28
04.24,1410,430,40,12
04.25,1426,460,41,16
04.26,1438,467,41,12
04.27,1449,474,41,11
04.28,1344,536,44,-105
04.29,1375,563,45,31
04.30,1385,589,45,10
05.01,1399,594,45,14
05.02,1406,632,46,7
05.03,1406,632,46,0
05.04,1419,638,46,13
05.05,1423,678,46,4
05.06,1428,718,48,5
05.07,1433,739,49,5
05.08,1436,765,49,3
05.09,1444,828,49,8
05.10,1479,828,50,35
05.11,1485,833,50,6
05.12,1491,850,50,6
05.13,1505,908,54,14
05.14,1511,934,54,6
05.15,1523,965,54,12
05.16,1534,988,55,11
05.17,1541,997,56,7
05.18,1547,997,59,6
05.19,1562,1025,60,15
05.20,1577,1049,60,15
05.21,1593,1049,61,16
05.22,1604,1111,61,11
05.23,1616,1135,63,12
05.24,1623,1138,63,7
05.25,1635,1138,63,12
05.26,1639,1165,65,4
05.27,1647,1184,66,8
05.28,1656,1193,68,9
05.29,1662,1216,68,6
05.30,1670,1229,70,8
05.31,1675,1236,70,5
06.01,1678,1236,70,3
06.02,1682,1249,71,4
06.03,1682,1249,71,0
06.04,1687,1273,71,5
06.05,1694,1302,71,7
06.06,1705,1321,71,11
06.07,1714,1328,71,9
06.08,1720,1331,71,6
06.09,1727,1338,72,7
06.10,1733,1369,74,6
06.11,1752,1372,74,19
06.12,1756,1400,74,4
06.13,1763,1416,75,7
06.14,1768,1427,75,5
06.15,1773,1429,76,5
06.16,1776,1441,76,3
06.17,1778,1447,76,2
06.18,1784,1449,76,6
06.19,1792,1462,76,8
06.20,1795,1470,76,3
06.21,1798,1475,76,3
06.22,1801,1475,76,3
06.23,1803,1483,77,2
06.24,1804,1484,78,1
06.25,1806,1494,78,2
06.26,1808,1501,78,2
06.27,1813,1503,78,5
06.28,1815,1503,78,2
06.29,1816,1512,78,1
06.30,1817,1515,78,1
07.01,1818,1524,78,1
07.02,1825,1536,78,7
07.03,1828,1539,79,3
07.04,1831,1545,79,3
07.05,1836,1545,79,5
07.06,1841,1547,79,5
07.07,1844,1547,79,3
07.08,1854,1552,79,10
07.09,1857,1564,79,3
07.10,1861,1569,79,4
07.11,1865,1579,79,4
07.12,1869,1571,79,4
07.13,1874,1571,79,5
07.14,1875,1571,79,1
07.15,1882,1582,79,7
07.16,1902,1593,79,20
07.17,1908,1595,79,6
07.18,1915,1600,80,7
07.19,1932,1600,80,17
07.20,1947,1601,80,15
07.21,1949,1601,80,2
07.22,1951,1607,80,2
07.23,1960,1611,80,9
07.24,1986,1616,80,26
07.25,2001,1616,80,15
07.26,2008,1616,80,7
07.27,2019,1620,80,11
07.28,2027,1623,80,8
07.29,2043,1643,80,16
07.30,2062,1643,80,19
07.31,2075,1644,80,13
08.01,2093,1644,80,18
08.02,2110,1644,80,17
08.03,2120,1645,80,10
08.04,2137,1647,80,17
08.05,2147,1650,81,10
08.06,2171,1656,81,24
08.07,2194,1658,81,23
08.08,2231,1668,81,37
08.09,2252,1670,81,21
08.10,2265,1670,81,13
08.11,2283,1679,81,18
08.12,2309,1683,81,26
08.13,2330,1689,81,21
08.14,2352,1691,81,22
08.15,2386,1704,81,34
08.16,2416,1704,81,30
08.17,2436,1705,81,20
08.18,2474,1733,81,38
08.19,2496,1739,81,22
08.20,2528,1747,82,32
08.21,2564,1755,83,36
08.22,2594,1766,84,30
08.23,2635,1766,84,41
08.24,2673,1766,85,38
08.25,2694,1785,85,21
08.26,2726,1794,85,32
08.27,2762,1802,85,36
08.28,2810,1816,86,48
08.29,2839,1833,86,29
08.30,2874,1837,86,35
08.31,2906,1840,86,32
09.01,2929,1857,86,23
09.02,2958,1874,86,29
09.03,2978,1901,86,20
09.04,3004,1920,86,26
09.05,3040,1952,86,36
09.06,3083,1954,86,43
09.07,3100,1955,86,17
09.08,3131,1994,86,31
09.09,3163,2008,86,32
09.10,3199,2030,86,36
09.11,3243,2049,86,44
09.12,3296,2070,86,53
09.13,3335,2070,87,39
09.14,3386,2071,87,51
09.15,3397,2094,87,11
09.16,3442,2125,87,45
09.17,3504,2149,87,62
09.18,3565,2181,87,61
09.19,3664,2197,87,99
09.20,3744,2198,87,80
09.21,3814,2199,87,70
09.22,3859,2225,87,45
09.23,3932,2246,87,73
09.24,4070,2253,89,138
09.25,4184,2298,89,114
09.26,4295,2319,89,111
09.27,4385,2327,91,90
09.28,4490,2327,92,105
09.29,4587,2349,92,97
09.30,4693,2365,92,106
10.01,4784,2424,92,91
10.02,4956,2466,93,172
10.03,5081,2494,94,125
10.04,5185,2495,94,104
10.05,5285,2497,94,100
10.06,5366,2546,99,81
10.07,5483,2600,101,117
10.08,5625,2660,102,142
10.09,5758,2722,103,133
10.10,5963,2751,103,205
10.11,6122,2777,103,159
10.12,6248,2793,103,126
10.13,6366,2842,106,118
10.14,6505,2903,109,139
10.15,6760,2983,110,255
10.16,7041,3035,112,281
10.17,7269,3097,113,228
10.18,7521,3097,113,252
10.19,7726,3110,113,205
10.20,7928,3276,118,202
10.21,8239,3599,120,311
