,confirm,heal,dead,confirm_add
03.07,3,0,0,3
03.08,5,0,0,2
03.09,5,0,0,0
03.10,5,0,0,0
03.11,5,0,0,0
03.12,19,0,0,14
03.13,19,0,0,0
03.14,34,0,1,15
03.15,59,0,1,25
03.16,81,0,1,22
03.17,81,0,1,0
03.18,203,0,2,122
03.19,335,0,4,132
03.20,484,0,4,149
03.21,670,0,8,335
03.22,798,0,8,128
03.23,798,6,8,0
03.24,875,0,8,77
03.25,1099,0,8,224
03.26,1333,0,8,234
03.27,1453,0,9,120
03.28,1605,0,15,152
03.29,1831,40,18,226
03.30,1988,40,22,157
03.31,1988,80,22,0
04.01,2178,80,23,190
04.02,2319,80,29,141
04.03,2487,80,30,168
04.04,2612,500,31,125
04.05,2729,500,31,117
04.06,2804,500,36,75
04.07,2843,500,41,39
04.08,2970,500,44,127
04.09,3034,500,46,64
04.10,3115,500,52,81
04.11,3223,500,54,108
04.12,3270,500,62,47
04.13,3281,500,66,11
04.14,3292,500,69,11
04.15,3307,500,67,15
04.16,3373,526,69,66
04.17,3444,552,69,71
04.18,3480,579,72,36
04.19,3537,601,72,57
04.20,3550,627,73,13
04.21,3558,637,75,8
04.22,3618,670,78,60
04.23,3654,711,80,36
04.24,3665,728,83,11
04.25,3695,3007,85,30
04.26,3711,3088,85,16
04.27,3723,3104,88,12
04.28,3729,3123,88,6
04.29,3741,3123,89,12
04.30,3769,3134,89,28
05.01,3784,3213,90,15
05.02,3802,3213,92,18
05.03,3812,3318,92,10
05.04,3824,3379,96,12
05.05,3828,3405,96,4
05.06,3840,3412,96,12
05.07,3851,3452,98,11
05.08,3859,3505,100,8
05.09,3871,3526,100,12
05.10,3877,3550,101,6
05.11,3886,3586,101,9
05.12,3888,3602,101,2
05.13,3894,3610,102,6
05.14,3904,3629,103,10
05.15,3915,3665,103,11
05.16,3923,3682,104,8
05.17,3930,3699,104,7
05.18,3945,3702,107,15
05.19,3947,3715,107,2
05.20,3958,3718,109,11
05.21,3971,3728,109,13
05.22,3980,3741,109,9
05.23,3981,3748,109,1
05.24,3990,3758,109,9
05.25,3992,3767,110,2
