,confirm,heal,dead,confirm_add
03.21,3,0,0,0
03.22,3,0,0,3
03.23,12,0,0,9
03.24,19,0,0,7
03.25,19,0,0,0
03.26,23,0,0,4
03.27,24,0,0,4
03.28,28,0,0,4
03.29,43,0,0,15
03.30,39,0,0,-4
03.31,46,0,0,7
04.01,57,0,0,11
04.02,59,0,0,2
04.03,59,0,0,0
04.04,70,0,0,11
04.05,72,2,0,2
04.06,72,2,0,0
04.07,82,2,0,10
04.08,93,11,0,11
04.09,93,11,0,0
04.10,93,11,0,0
04.11,102,11,0,9
04.12,106,20,0,4
04.13,106,21,0,0
04.14,108,23,0,2
04.15,110,29,0,2
04.16,111,33,0,1
04.17,117,33,0,6
04.18,117,33,0,0
04.19,121,39,0,4
04.20,121,41,0,0
04.21,121,44,0,0
04.22,121,52,0,0
04.23,121,58,0,0
04.24,122,61,0,1
04.25,123,62,0,1
04.26,124,71,0,1
04.27,124,71,0,0
04.28,128,82,0,4
04.29,128,90,0,0
04.30,128,92,0,0
05.01,128,92,0,0
05.02,135,97,0,7
05.03,135,97,0,0
05.04,149,99,0,14
05.05,149,99,0,0
05.06,158,101,0,9
05.07,158,101,0,0
05.08,193,101,0,35
05.09,193,101,0,0
05.10,193,101,0,0
05.11,193,101,0,0
05.12,186,101,0,-7
05.13,212,107,0,26
05.14,212,107,0,0
05.15,230,108,0,18
05.16,238,112,0,8
05.17,304,114,1,66
05.18,322,119,1,18
05.19,326,119,2,4
05.20,371,131,2,45
05.21,405,131,2,34
05.22,448,135,2,43
05.23,488,138,2,40
05.24,527,142,2,39
05.25,542,147,2,15
05.26,586,147,2,44
05.27,612,151,2,26
05.28,656,154,2,44
05.29,698,164,5,42
05.30,758,165,6,60
05.31,771,168,6,13
06.01,826,174,6,55
06.02,845,185,6,19
06.03,845,185,6,0
06.04,957,200,7,112
06.05,975,201,7,18
06.06,1026,212,8,51
06.07,1052,233,9,26
06.08,1094,254,9,42
06.09,1138,274,9,44
06.10,1138,274,9,0
06.11,1203,312,10,65
06.12,1240,344,10,37
06.13,1252,362,10,12
06.14,1272,367,10,20
06.15,1290,384,10,18
06.16,1317,417,12,27
06.17,1378,450,12,61
06.18,1403,463,13,25
06.19,1443,498,13,40
06.20,1503,618,13,60
06.21,1596,655,14,93
06.22,1640,692,15,44
06.23,1724,732,15,84
06.24,1787,779,16,63
06.25,1829,823,16,42
06.26,1922,862,16,93
06.27,2005,907,16,83
06.28,2078,944,18,73
06.29,2138,966,20,60
06.30,2214,994,20,76
07.01,2303,1006,22,89
07.02,2403,1040,24,100
07.03,2512,1057,26,109
07.04,2728,1078,29,216
07.05,2941,1108,32,213
07.06,3250,1135,33,309
07.07,3472,1187,33,222
07.08,3573,1761,33,101
07.09,3782,1950,33,209
07.10,4143,2183,34,361
07.11,4578,2287,34,435
07.12,4867,2378,35,289
07.13,5080,2494,37,213
07.14,5343,2646,39,263
07.15,5605,2811,43,262
07.16,6089,2951,53,484
07.17,6467,3108,54,378
07.18,6849,3339,55,382
07.19,7049,3498,59,200
07.20,7153,3788,62,104
07.21,7548,4286,65,395
07.22,8162,4662,69,614
07.23,8381,5160,70,219
07.24,8741,5522,76,360
07.25,8866,5579,78,125
07.26,9295,5579,85,429
07.27,9690,6260,91,395
07.28,10104,6613,93,414
07.29,10317,7117,99,213
07.30,10748,7461,105,431
07.31,10868,7807,106,120
08.01,11273,8109,107,405
08.02,11528,8444,114,255
08.03,11660,8825,118,132
08.04,11895,9286,123,235
08.05,12222,9798,127,327
08.06,12526,10148,134,304
08.07,12708,10412,135,182
08.08,12922,10604,141,214
08.09,13086,10816,148,164
08.10,13202,11011,151,116
08.11,13317,11276,152,115
08.12,13397,11529,156,80
08.13,13522,11780,162,125
08.14,13643,12011,164,121
08.15,13724,12232,166,81
08.16,13827,12424,170,103
08.17,13886,12603,171,59
08.18,14009,12767,173,123
08.19,14074,12921,173,65
08.20,14154,13038,177,80
08.21,14218,13206,178,64
08.22,14277,13332,178,59
08.23,14327,13355,178,50
08.24,14402,13436,178,75
08.25,14475,13492,178,73
08.26,14554,13582,181,79
08.27,14592,13686,184,38
08.28,14696,13709,187,104
08.29,14791,13753,190,95
08.30,14843,13802,191,52
08.31,14863,13832,192,20
09.01,14957,13915,195,94
09.02,15023,13965,196,66
09.03,15106,14031,197,83
09.04,15187,14075,198,81
09.05,15269,14113,199,82
09.06,15319,14139,200,50
09.07,15352,14184,202,33
09.08,15435,14219,206,83
09.09,15520,14243,206,85
09.10,15624,14295,208,104
09.11,15669,14320,209,45
09.12,15737,14349,210,68
09.13,15757,14368,211,20
09.14,15769,14411,213,12
09.15,15803,14452,214,34
09.16,15871,14482,215,68
09.17,15925,14547,216,54
09.18,15971,14587,217,46
09.19,16020,14630,219,49
09.20,16053,14646,223,33
09.21,16073,14682,225,20
09.22,16136,14743,226,63
09.23,16167,14788,226,31
09.24,16191,14833,227,24
09.25,16221,14867,228,30
09.26,16257,14922,229,36
09.27,16285,14922,229,28
09.28,16285,14922,229,0
09.29,16377,15139,229,92
09.30,16408,15301,230,31
10.01,16454,15430,232,46
10.02,16493,15467,232,39
10.03,16529,15480,232,36
10.04,16558,15486,232,29
10.05,16570,15601,233,12
10.06,16600,15698,234,30
10.07,16633,15808,235,33
10.08,16654,15910,235,21
10.09,16676,15975,237,22
10.10,16702,16012,237,26
10.11,16718,16042,237,16
10.12,16726,16081,237,8
10.13,16754,16124,237,28
10.14,16754,16124,237,0
10.15,16754,16124,237,0
10.16,16754,16124,237,0
10.17,16810,16215,238,56
10.18,16810,16215,238,0
10.19,16810,16215,238,0
10.20,16810,16215,238,0
10.21,16810,16215,238,0
10.22,16810,16215,238,0
10.23,16810,16215,238,0
10.24,16810,16215,238,0
10.25,16968,16301,244,158
10.26,16968,16301,244,0
10.27,16968,16301,244,0
10.28,16968,16301,244,0
10.29,16968,16301,244,0
10.30,16968,16301,244,0
10.31,16968,16301,244,0
11.01,17111,16409,244,143
11.02,17111,16409,244,0
11.03,17111,16409,244,0
11.04,17111,16409,244,0
11.05,17111,16409,244,0
11.06,17111,16409,244,0
11.07,17111,16409,244,0
11.08,17111,16409,244,0
11.09,17223,16516,249,112
11.10,17223,16516,249,0
11.11,17223,16516,249,0
11.12,17223,16516,249,0
11.13,17223,16516,249,0
11.14,17223,16516,249,0
11.15,17223,16516,249,0
11.16,17310,16592,250,87
11.17,17310,16592,250,0
11.18,17310,16592,250,0
11.19,17310,16592,250,0
11.20,17310,16592,250,0
11.21,17310,16592,250,0
11.22,17341,16657,251,31
11.23,17341,16657,251,0
11.24,17341,16657,251,0
11.25,17341,16657,251,0
