,confirm,heal,dead,confirm_add
04.03,3,0,0,0
04.04,4,0,0,1
04.05,4,0,0,0
04.06,5,0,0,1
04.07,8,0,1,3
04.08,8,0,1,0
04.09,8,0,1,0
04.10,9,0,1,1
04.11,12,0,2,3
04.12,13,0,2,1
04.13,16,0,2,3
04.14,16,0,2,0
04.15,16,0,2,0
04.16,16,0,2,0
04.17,17,0,2,1
04.18,17,3,2,0
04.19,17,3,2,0
04.20,17,3,2,0
04.21,18,3,2,1
04.22,23,3,3,5
04.23,33,3,3,10
04.24,33,3,3,0
04.25,33,4,3,0
04.26,34,4,3,1
04.27,36,4,3,2
04.28,36,4,3,0
04.29,36,5,3,0
04.30,37,7,3,1
05.01,37,7,3,0
05.02,37,9,3,0
05.03,38,9,3,1
05.04,41,9,3,3
05.05,41,9,3,0
05.06,43,9,3,2
05.07,43,9,3,0
05.08,43,14,3,0
05.09,56,14,3,13
05.10,56,14,3,0
05.11,56,14,3,0
05.12,57,24,3,1
05.13,63,24,3,6
05.14,63,24,3,0
05.15,63,24,3,0
05.16,63,24,3,0
05.17,65,24,3,2
05.18,70,27,3,5
05.19,70,27,3,0
05.20,71,27,3,1
05.21,71,27,3,0
05.22,72,27,3,1
05.23,82,28,3,10
05.24,82,28,4,0
05.25,101,33,4,19
05.26,101,37,4,0
05.27,101,37,4,0
05.28,203,37,4,102
05.29,203,42,4,0
05.30,273,42,4,70
05.31,279,42,4,6
06.01,284,42,4,5
06.02,336,42,4,52
06.03,358,42,4,22
06.04,369,51,4,11
06.05,393,51,4,24
06.06,409,55,4,16
06.07,409,55,4,0
06.08,438,55,4,29
06.09,443,55,4,5
06.10,455,55,4,12
06.11,455,55,4,0
06.12,481,55,4,26
06.13,481,65,4,0
06.14,529,66,5,48
06.15,547,69,6,18
06.16,555,69,6,8
06.17,564,73,6,9
06.18,572,73,6,8
06.19,592,74,8,20
06.20,620,91,8,28
06.21,730,91,11,110
06.22,749,258,11,19
