,confirm,heal,dead,confirm_add
01.28,4,0,0,0
01.29,7,0,0,3
01.30,8,0,0,1
01.31,8,0,0,0
02.01,8,0,0,0
02.02,8,0,0,0
02.03,8,0,0,0
02.04,10,0,0,2
02.05,12,1,0,2
02.06,14,1,0,2
02.07,15,1,0,1
02.08,16,2,0,1
02.09,17,2,0,1
02.10,18,3,0,1
02.11,18,3,0,0
02.12,18,3,0,0
02.13,19,3,0,1
02.14,19,3,0,0
02.15,21,3,0,2
02.16,22,7,0,1
02.17,22,9,0,0
02.18,22,9,0,0
02.19,22,15,0,0
02.20,22,15,0,0
02.21,22,15,0,0
02.22,22,15,0,0
02.23,22,15,0,0
02.24,22,15,0,0
02.25,22,15,0,0
02.26,22,15,0,0
02.27,23,15,0,1
02.28,25,15,0,2
02.29,25,21,0,2
03.01,29,21,0,4
03.02,29,21,0,0
03.03,36,21,0,11
03.04,50,21,0,14
03.05,55,21,0,5
03.06,55,21,0,0
03.07,93,23,0,38
03.08,99,24,0,6
03.09,117,24,0,18
03.10,129,24,0,12
03.11,149,26,0,20
03.12,158,32,0,9
03.13,197,32,0,39
03.14,238,35,0,41
03.15,428,35,0,190
03.16,553,35,0,125
03.17,673,49,2,120
03.18,790,60,2,117
03.19,900,75,2,110
03.20,1030,87,3,130
03.21,1183,114,8,283
03.22,1306,114,10,406
03.23,1518,114,14,212
03.24,1624,183,15,318
03.25,1796,199,19,490
03.26,2031,215,23,235
03.27,2161,259,26,130
03.28,2320,259,26,159
03.29,2470,388,34,150
03.30,2626,479,37,156
03.31,2766,537,43,140
04.01,2908,645,45,142
04.02,3116,767,50,208
04.03,3333,827,53,217
04.04,3483,915,57,150
04.05,3662,1005,61,179
04.06,3793,1241,62,131
04.07,3963,1321,63,170
04.08,4119,1487,65,156
04.09,4228,1608,67,109
04.10,4346,1830,70,118
04.11,4530,1995,73,184
04.12,4683,2108,76,153
04.13,4817,2276,77,134
04.14,4987,2478,82,170
04.15,5072,2647,83,85
04.16,5182,2766,84,110
04.17,5251,2967,86,69
04.18,5305,3102,88,54
04.19,5389,3197,89,84
04.20,5425,3295,89,36
04.21,5482,3349,92,57
04.22,5532,3452,93,50
04.23,5603,3542,95,71
04.24,5691,3663,96,88
04.25,5742,3762,98,51
04.26,5780,3862,98,38
04.27,5820,3957,99,40
04.28,5851,4032,100,31
04.29,5945,4087,100,94
04.30,6002,4171,102,57
05.01,6071,4210,103,69
05.02,6176,4326,103,105
05.03,6176,4326,103,0
05.04,6353,4484,105,177
05.05,6383,4567,106,30
05.06,6428,4702,107,45
05.07,6467,4776,107,39
05.08,6535,4864,107,68
05.09,6589,4929,108,54
05.10,6656,5025,108,67
05.11,6726,5113,109,70
05.12,6742,5223,109,16
05.13,6779,5281,111,37
05.14,6819,5351,112,40
05.15,6855,5439,112,36
05.16,6872,5512,113,17
05.17,6894,5571,113,22
05.18,6941,5615,113,47
05.19,6978,5646,114,37
05.20,7009,5706,114,31
05.21,7059,5796,114,50
05.22,7137,5859,115,78
05.23,7185,5912,115,48
05.24,7245,5945,115,60
05.25,7417,5979,115,172
05.26,7604,6041,115,187
05.27,7619,6083,115,15
05.28,7629,6169,115,10
05.29,7732,6235,115,103
05.30,7762,6330,115,30
05.31,7819,6353,115,57
06.01,7857,6404,115,38
06.02,7877,6470,115,20
06.03,7877,6470,115,0
06.04,8247,6559,115,370
06.05,8266,6610,116,19
06.06,8303,6635,117,37
06.07,8322,6674,117,19
06.08,8329,6694,117,7
06.09,8336,6975,117,7
06.10,8338,7014,118,2
06.11,8369,7065,118,31
06.12,8402,7168,119,33
06.13,8445,7311,120,43
06.14,8453,7346,121,8
