,confirm,heal,dead,confirm_add
03.07,1,0,0,1
03.08,1,0,0,0
03.09,1,0,0,0
03.10,4,0,0,3
03.11,5,0,0,1
03.12,6,0,0,1
03.13,6,0,0,0
03.14,6,0,0,0
03.15,18,0,0,12
03.16,18,0,0,0
03.17,18,0,0,0
03.18,18,0,0,0
03.19,38,2,0,20
03.20,38,2,0,0
03.21,64,2,0,26
03.22,90,2,0,26
03.23,107,2,0,17
03.24,110,2,0,3
03.25,129,2,0,19
03.26,134,2,0,5
03.27,139,2,0,5
03.28,149,2,0,10
03.29,149,2,0,85
03.30,156,2,0,7
03.31,169,2,0,13
04.01,188,2,0,19
04.02,196,2,0,8
04.03,202,2,0,6
04.04,213,2,0,11
04.05,227,2,0,14
04.06,241,5,0,14
04.07,293,5,0,52
04.08,299,5,0,6
04.09,337,16,2,38
04.10,350,16,2,13
04.11,370,16,3,20
04.12,378,44,3,8
04.13,384,44,3,6
04.14,393,44,3,9
04.15,399,44,3,6
04.16,412,82,3,13
04.17,422,91,3,10
04.18,426,99,3,4
04.19,427,118,3,1
04.20,431,126,3,4
04.21,443,150,3,12
04.22,444,165,3,1
04.23,445,204,3,1
04.24,447,223,3,2
04.25,448,249,4,1
04.26,448,282,4,0
04.27,450,286,4,2
04.28,458,303,4,8
04.29,463,339,4,5
04.30,465,351,4,2
05.01,465,351,4,0
05.02,468,379,4,3
05.03,468,379,4,0
05.04,480,399,4,12
05.05,482,403,5,2
05.06,484,407,5,2
05.07,486,413,5,2
05.08,489,419,5,3
05.09,490,427,5,1
05.10,496,433,5,6
05.11,503,434,5,7
05.12,506,434,5,3
05.13,508,436,6,2
05.14,522,443,6,14
05.15,532,458,6,10
05.16,546,450,6,14
05.17,553,454,6,7
05.18,558,456,6,5
05.19,569,460,6,11
05.20,584,465,6,15
05.21,599,468,6,15
05.22,600,469,6,1
05.23,609,473,6,9
05.24,610,476,6,1
05.25,611,485,6,1
05.26,611,485,6,0
05.27,612,491,7,1
05.28,616,501,7,4
05.29,616,514,8,0
05.30,618,525,9,2
05.31,618,534,9,0
06.01,619,537,9,1
06.02,620,554,9,1
06.03,620,554,9,0
06.04,622,576,9,2
06.05,625,583,9,3
06.06,627,596,9,2
06.07,629,596,9,2
06.08,630,596,9,1
06.09,632,597,9,2
06.10,632,597,9,0
06.11,640,600,9,8
06.12,645,600,9,5
06.13,646,601,9,1
06.14,649,603,9,3
06.15,650,603,9,1
06.16,656,608,9,6
06.17,662,610,9,6
06.18,663,610,9,1
06.19,663,613,9,0
06.20,664,616,9,1
06.21,665,616,9,1
06.22,665,617,9,0
06.23,665,618,9,0
06.24,665,624,9,0
06.25,668,627,9,3
06.26,670,632,9,2
06.27,670,635,9,0
06.28,670,636,9,0
06.29,670,639,9,0
06.30,670,640,9,0
07.01,671,647,9,1
07.02,671,649,9,0
07.03,672,650,9,1
07.04,672,650,9,0
07.05,672,652,9,0
07.06,672,652,9,0
07.07,673,653,9,1
07.08,673,654,9,0
07.09,674,656,9,1
07.10,674,658,9,0
07.11,674,658,9,0
07.12,674,660,9,0
07.13,674,660,9,0
07.14,674,660,9,0
07.15,674,661,9,0
07.16,674,661,9,0
07.17,674,662,9,0
07.18,675,662,9,1
07.19,676,662,9,1
07.20,677,664,9,1
07.21,677,664,9,0
07.22,679,665,9,2
07.23,680,665,9,1
07.24,686,665,9,6
07.25,686,665,9,0
07.26,700,665,9,14
07.27,701,665,9,1
07.28,708,665,9,7
07.29,720,665,9,12
07.30,729,665,9,9
07.31,824,665,9,95
08.01,845,665,9,21
08.02,860,666,9,15
08.03,874,666,9,14
08.04,890,666,9,16
08.05,926,668,9,36
08.06,946,670,9,20
08.07,995,675,9,49
08.08,1035,675,9,40
08.09,1089,684,9,54
08.10,1112,688,9,23
08.11,1141,692,9,29
08.12,1190,695,9,49
08.13,1245,708,9,55
08.14,1276,762,9,31
08.15,1348,782,9,72
08.16,1306,749,9,-42
08.17,1375,759,9,69
08.18,1423,766,9,48
08.19,1470,784,9,47
08.20,1510,802,9,40
08.21,1546,854,10,36
08.22,1577,901,10,31
08.23,1612,934,10,35
08.24,1667,977,10,55
08.25,1705,1029,10,38
08.26,1751,1077,10,46
08.27,1788,1121,10,37
08.28,1820,1186,10,32
08.29,1847,1244,10,27
08.30,1862,1313,11,15
08.31,1883,1400,12,21
09.01,1909,1453,12,26
09.02,1931,1490,13,22
09.03,1965,1528,13,34
09.04,1984,1565,13,19
09.05,2014,1601,14,30
09.06,2039,1627,14,25
09.07,2076,1690,14,37
09.08,2099,1729,14,23
09.09,2162,1760,14,63
09.10,2204,1803,14,42
09.11,2247,1833,15,43
09.12,2274,1850,15,27
09.13,2352,1872,15,78
09.14,2405,1890,16,53
09.15,2454,1931,16,49
09.16,2560,1953,16,106
09.17,2595,1978,16,35
09.18,2634,1996,17,39
09.19,2699,2017,19,65
09.20,2731,2047,20,32
09.21,2776,2079,22,45
09.22,2814,2113,23,38
09.23,2856,2173,25,42
09.24,2898,2191,27,42
09.25,2929,2261,29,31
09.26,2958,2304,31,29
09.27,2979,2358,31,21
09.28,3006,2399,32,27
09.29,3035,2484,34,29
09.30,3058,2562,34,23
10.01,3095,2605,35,37
10.02,3139,2668,37,44
10.03,3204,2711,38,65
10.04,3270,2758,39,66
10.05,3327,2770,39,57
10.06,3374,2812,40,47
10.07,3442,2865,41,68
10.08,3506,2884,41,64
10.09,3581,2915,41,75
10.10,3681,2937,41,100
10.11,3776,2967,41,95
10.12,3844,2981,43,68
10.13,3937,3012,44,93
10.14,4048,3064,44,111
10.15,4160,3106,45,112
10.16,4282,3142,45,122
10.17,4486,3184,45,204
10.18,4628,3236,45,142
10.19,4737,3242,45,109
10.20,4871,3282,46,134
10.21,5026,3331,46,155
10.22,5137,3384,49,111
10.23,5258,3439,49,121
10.24,5373,3478,50,115
10.25,5498,3567,51,125
10.26,5578,3630,53,80
10.27,5685,3715,55,107
10.28,5760,3789,56,75
10.29,5866,3880,59,106
10.30,5942,3990,61,76
10.31,6042,4155,62,100
11.01,6182,4286,64,140
11.02,6400,4397,66,218
11.03,6506,4505,64,106
11.04,6590,4672,65,84
11.05,6764,4765,70,174
11.06,6893,4832,73,129
11.07,7039,5000,74,146
11.08,7141,5103,76,102
11.09,7243,5185,78,102
11.10,7243,5185,78,0
11.11,7396,5274,81,153
11.12,7646,5479,88,250
11.13,7796,5580,92,150
11.14,7917,5702,95,121
11.15,8034,5765,97,117
11.16,8137,5888,98,103
11.17,8247,6049,101,110
11.18,8420,6184,103,173
11.19,8560,6301,104,140
11.20,8681,6406,108,121
11.21,8822,6565,111,141
11.22,8924,6654,111,102
11.23,9004,6831,113,80
11.24,9137,6938,117,133
11.25,9253,7062,122,116
11.26,9405,7165,125,152
11.27,9501,7297,128,96
11.28,9609,7418,132,108
11.29,9752,7557,133,143
11.30,9873,7665,137,121
12.01,9975,7748,141,102
12.02,10101,7887,146,126
12.03,10197,8015,148,96
12.04,10320,8120,149,123
12.05,10423,8289,149,103
12.06,10520,8396,151,97
12.07,10659,8497,155,139
12.08,10699,8641,157,40
12.09,10778,8720,160,79
12.10,10884,8848,164,106
12.11,10980,8935,166,96
12.12,11101,9079,166,121
12.13,11153,9169,169,52
12.14,11254,9319,174,101
12.15,11303,9420,177,49
12.16,11415,9516,180,112
12.17,11475,9670,182,60
12.18,11569,9780,183,94
12.19,11621,9881,187,52
12.20,11714,9978,190,93
12.21,11802,10115,194,88
12.22,11910,10161,196,108
12.23,11992,10293,201,82
12.24,12062,10423,203,70
12.25,12112,10547,203,50
12.26,12241,10550,206,129
12.27,12325,10668,210,84
12.28,12426,10791,215,101
12.29,12541,10919,215,115
12.30,12665,11057,216,124
12.31,12774,11121,219,109
01.01,12909,11178,219,135
01.02,12997,11211,220,88
01.03,13082,11275,220,85
01.04,13230,11386,222,148
01.05,13388,11460,226,158
01.06,13612,11540,227,224
01.07,13776,11613,228,164
01.08,13967,11690,230,191
01.09,14212,11759,232,245
01.10,14396,11841,233,184
01.11,14529,11936,233,133
01.12,14769,12016,234,240
01.13,14958,12123,234,189
01.14,15079,12250,235,121
