,confirm,heal,dead,confirm_add
10.29,2,0,0,0
10.30,2,0,0,0
10.31,2,0,0,0
11.01,2,0,0,0
11.02,2,0,0,0
11.03,2,0,0,0
11.04,2,0,0,0
11.05,2,0,0,0
11.06,1,0,0,-1
11.07,1,0,0,0
11.08,1,0,0,0
11.09,1,0,0,0
11.10,1,0,0,0
11.11,1,0,0,0
11.12,1,0,0,0
11.13,1,0,0,0
11.14,1,1,0,0
11.15,1,1,0,0
11.16,1,1,0,0
11.17,1,1,0,0
11.18,4,1,0,3
11.19,4,1,0,0
11.20,4,1,0,0
11.21,4,1,0,0
11.22,4,1,0,0
11.23,4,1,0,0
11.24,4,1,0,0
11.25,4,1,0,0
11.26,4,1,0,0
11.27,4,1,0,0
11.28,4,1,0,0
11.29,4,1,0,0
11.30,4,1,0,0
12.01,4,1,0,0
12.02,4,1,0,0
12.03,4,1,0,0
12.04,4,4,0,0
12.05,4,4,0,0
12.06,4,4,0,0
12.07,4,4,0,0
12.08,4,4,0,0
12.09,4,4,0,0
12.10,4,4,0,0
12.11,4,4,0,0
12.12,4,4,0,0
12.13,4,4,0,0
12.14,4,4,0,0
12.15,4,4,0,0
12.16,4,4,0,0
12.17,4,4,0,0
12.18,4,4,0,0
12.19,4,4,0,0
12.20,4,4,0,0
12.21,4,4,0,0
12.22,4,4,0,0
12.23,4,4,0,0
12.24,4,4,0,0
12.25,4,4,0,0
12.26,4,4,0,0
12.27,4,4,0,0
12.28,4,4,0,0
12.29,4,4,0,0
12.30,4,4,0,0
12.31,4,4,0,0
01.01,4,4,0,0
01.02,4,4,0,0
01.03,4,4,0,0
