,confirm,heal,dead,confirm_add
02.28,1,0,0,1
02.29,3,0,0,2
03.01,4,0,0,1
03.02,5,0,0,1
03.03,5,1,0,0
03.04,5,1,0,0
03.05,5,1,0,0
03.06,5,1,0,0
03.07,6,1,0,1
03.08,7,1,0,1
03.09,7,1,0,0
03.10,7,1,0,0
03.11,7,1,0,0
03.12,12,4,0,5
03.13,15,4,0,3
03.14,26,4,0,11
03.15,41,4,0,15
03.16,53,4,0,12
03.17,82,4,0,29
03.18,93,4,0,11
03.19,118,4,0,25
03.20,164,4,1,46
03.21,203,4,2,39
03.22,251,4,2,48
03.23,316,4,2,65
03.24,367,4,4,51
03.25,405,4,5,38
03.26,475,4,6,70
03.27,585,4,8,110
03.28,717,4,12,132
03.29,848,4,16,131
03.30,993,4,20,145
03.31,1094,35,28,101
04.01,1215,35,29,121
04.02,1378,35,37,163
04.03,1510,633,50,132
04.04,1688,633,60,178
04.05,1890,633,79,202
04.06,2143,633,94,253
04.07,2439,633,125,296
04.08,2785,633,141,346
04.09,3181,633,174,396
04.10,3441,633,194,260
04.11,3844,633,233,403
04.12,4219,1772,273,375
04.13,4661,1843,296,442
04.14,5014,1964,332,353
04.15,5399,2125,406,385
04.16,5847,2125,449,448
04.17,6297,2125,486,450
04.18,6875,2125,546,578
04.19,7497,2627,650,622
04.20,8261,2627,686,764
04.21,8772,2627,712,511
04.22,9501,2627,857,729
04.23,10544,2627,970,1043
04.24,11633,2627,1069,1089
04.25,12872,7149,1221,1239
04.26,13842,7149,1305,970
04.27,14677,8354,1351,835
04.28,15529,9086,1434,852
04.29,16752,11423,1569,1223
04.30,17799,11423,1732,1047
05.01,19224,11423,1859,1425
05.02,20739,12377,1972,1515
05.03,20739,12377,1972,0
05.04,23471,13447,2154,2732
05.05,24905,15938,2271,1434
05.06,26025,16810,2507,1120
05.07,27634,17781,2704,1609
05.08,29616,17781,2961,1982
05.09,31522,20314,3160,1906
05.10,33460,21824,3353,1938
05.11,35022,23100,3465,1562
05.12,36327,23100,3573,1305
05.13,38324,25935,3926,1997
05.14,40186,26990,4220,1862
05.15,42595,28475,4477,2409
05.16,45032,30451,4767,2437
05.17,47144,31848,5045,2112
05.18,49219,33329,5177,2075
05.19,51633,35388,5332,2414
05.20,54346,37325,5666,2713
05.21,56594,38419,6090,2248
05.22,59567,40152,6510,2973
05.23,62527,42191,6989,2960
05.24,65856,44424,7179,3329
05.25,68620,46979,7394,2764
05.26,71105,49452,7633,2485
05.27,74560,51708,8134,3455
05.28,78023,53834,8597,3463
05.29,81400,56041,9044,3377
05.30,84627,59003,9415,3227
05.31,87512,61247,9779,2885
06.01,90664,63772,9930,3152
06.02,93435,66965,10167,2771
06.03,97326,69749,10637,3891
06.04,101238,72680,11729,3912
06.05,105680,74758,12545,4442
06.06,110026,77841,13170,4346
06.07,113619,80830,13511,3593
06.08,117103,83775,13699,3484
06.09,120102,87633,14053,2999
06.10,124301,90748,14649,4199
06.11,129184,93930,15357,4883
06.12,133974,97198,15944,4790
06.13,139196,100876,16448,5222
06.14,142690,104078,16872,3494
06.15,146837,107298,17141,4147
06.16,150264,112292,17580,3427
06.17,154863,115394,18310,4599
06.18,159793,118504,19080,4930
06.19,165455,122180,19747,5662
06.20,170485,126438,20394,5030
06.21,175202,130854,20781,4717
06.22,180545,134495,21825,5343
06.23,185122,139383,22584,4577
06.24,191410,143646,23377,6288
06.25,196847,148487,24324,5437
06.26,202951,152362,25060,6104
06.27,208392,156827,25779,5441
06.28,212802,160721,26381,4410
06.29,216852,164646,26648,4050
06.30,220657,170147,27121,3805
07.01,226089,174538,27769,5432
07.02,231770,178526,28510,5681
07.03,238511,183757,29189,6741
07.04,245251,189345,29843,6740
07.05,252165,195724,30366,6914
07.06,256848,199914,30639,4683
07.07,261750,204826,31119,4902
07.08,268008,209437,32014,6258
07.09,275003,214316,32796,6995
07.10,282283,219628,33526,7280
07.11,289174,225356,34191,6891
07.12,295268,229856,34730,6094
07.13,299750,234905,35006,4482
07.14,304435,240101,35491,4685
07.15,311486,245830,36327,7051
07.16,317635,252368,36906,6149
07.17,324041,257681,37574,6406
07.18,331298,264202,38310,7257
07.19,338913,271239,38888,7615
07.20,344224,254941,39184,5311
07.21,349396,263091,39485,5172
07.22,356255,267407,40400,6859
07.23,362274,270147,41190,6019
07.24,370712,275454,41908,8438
07.25,378285,283382,42645,7573
07.26,385036,288819,42645,6751
07.27,390516,295222,43680,5480
07.28,395489,303810,44022,4973
07.29,402697,308142,44876,7208
07.30,408449,314538,45361,5752
07.31,416179,320100,46000,7730
08.01,424637,327115,46688,8458
08.02,434193,334867,47472,9556
08.03,439046,342527,47746,4853
08.04,443813,353442,48012,4767
08.05,449961,357444,48869,6148
08.06,456100,361764,49698,6139
08.07,462690,365311,50517,6590
08.08,469407,370098,51311,6717
08.09,475902,377125,52006,6495
08.10,480278,384432,52298,4376
08.11,485836,393160,53003,5558
08.12,492522,397278,53929,6686
08.13,498380,401182,54666,5858
08.14,505751,406583,55293,7371
08.15,511369,410479,55908,5618
08.16,517714,418164,56543,6345
08.17,522162,424298,56757,4448
08.18,525733,430840,57023,3571
08.19,531239,433809,57774,5506
08.20,537031,438375,58481,5792
08.21,543806,442782,59106,6775
08.22,549734,448344,59610,5928
08.23,556216,453104,60254,6482
08.24,560164,458123,60480,3948
08.25,563705,466209,60800,3541
08.26,568621,469206,61450,4916
08.27,573888,472197,62076,5267
08.28,579914,475532,62594,6026
08.29,585738,479770,63146,5824
08.30,591712,484283,63819,5974
08.31,595841,489724,64158,4129
09.01,599560,496222,64414,3719
09.02,606036,501722,65241,6476
09.03,610957,504541,65816,4921
09.04,616894,510626,66329,5937
09.05,623090,514663,66851,6196
09.06,629409,518844,67326,6319
09.07,634023,524669,67558,4614
09.08,637509,531334,67781,3486
09.09,642860,535141,68484,5351
09.10,647321,538514,69049,4461
09.11,652364,541804,69649,5043
09.12,658299,547088,70183,5935
09.13,663973,551113,70604,5674
09.14,668381,557381,70821,4408
09.15,671716,564053,71049,3335
09.16,676487,569546,71678,4771
09.17,680931,574203,71978,4444
09.18,684113,579145,72179,3182
09.19,688954,582109,72803,4841
09.20,694121,586154,73258,5167
09.21,697663,590459,73493,3542
09.22,700580,596317,73697,2917
09.23,705263,598953,74348,4683
09.24,710049,601611,74949,4786
09.25,715457,605796,75439,5408
09.26,720858,609041,75844,5401
09.27,726431,612361,76243,5573
09.28,730317,616696,76430,3886
09.29,733717,622398,76603,3400
09.30,738163,625512,77163,4446
10.01,743216,628007,77646,5053
10.02,748315,629630,78078,5099
10.03,753090,633806,78492,4775
10.04,757953,637993,78880,4863
10.05,761665,645123,79088,3712
10.06,789780,670034,81877,28115
10.07,794608,676923,82348,4828
10.08,799188,679693,82726,4580
10.09,804488,682604,83096,5300
10.10,810020,687123,83497,5532
10.11,814328,689377,83642,4308
10.12,817503,694214,83781,3175
10.13,821045,700826,83945,3542
10.14,825340,703457,84420,4295
10.15,829396,703489,84898,4056
10.16,834910,707631,85285,5514
10.17,841661,712250,85704,6751
10.18,847108,715848,86059,5447
10.19,851227,720973,86167,4119
10.20,854926,727759,86338,3699
10.21,860714,730594,86893,5788
10.22,867559,733897,87415,6845
10.23,874171,737437,87415,6612
10.24,880775,740934,88312,6604
10.25,886800,746939,88743,6025
10.26,891160,752691,88924,4360
10.27,895326,760259,89171,4166
10.28,901268,763105,89814,5942
10.29,906863,765128,90309,5595
10.30,912811,770007,90773,5948
10.31,918811,774567,91289,6000
11.01,924962,779371,91753,6151
11.02,929392,786516,91895,4430
11.03,933155,795356,92100,3763
11.04,938405,803086,92593,5250
11.05,943630,804887,93228,5225
11.06,949197,809063,93772,5567
11.07,955128,812556,94323,5931
11.08,961938,816659,94808,6810
11.09,967825,824355,95027,5887
11.10,972785,721076,95225,4960
11.11,978531,721076,95842,5746
11.12,986177,721076,96430,7646
11.13,991835,736197,97056,5658
11.14,997393,741340,97624,5558
11.15,1003253,745361,98259,5860
11.16,1006522,750190,98542,3269
11.17,1009396,754200,98861,2874
11.18,1011153,757951,99026,1757
11.19,1015071,762025,99528,3918
11.20,1019543,766361,100104,4472
11.21,1025969,770728,100823,6426
