,confirm,heal,dead,confirm_add
03.08,1,0,0,1
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,3,0,0,2
03.13,6,0,0,3
03.14,8,0,0,2
03.15,12,0,0,4
03.16,23,0,0,11
03.17,23,0,0,0
03.18,30,0,1,1
03.19,36,1,1,6
03.20,49,1,1,13
03.21,66,1,1,17
03.22,80,1,1,14
03.23,94,1,1,14
03.24,109,1,1,14
03.25,125,1,1,16
03.26,149,1,1,24
03.27,177,1,1,28
03.28,199,1,1,22
03.29,231,2,2,32
03.30,263,13,2,32
03.31,353,18,4,90
04.01,353,22,4,0
04.02,505,23,6,152
04.03,505,26,6,0
04.04,591,26,10,86
04.05,752,30,14,161
04.06,864,37,17,112
04.07,1056,40,22,192
04.08,1056,40,24,0
04.09,1174,50,28,118
04.10,1438,56,29,264
04.11,1438,75,29,0
04.12,1662,94,31,224
04.13,1712,107,35,50
04.14,1847,134,36,135
04.15,1934,171,43,87
04.16,2049,235,53,115
04.17,2154,276,55,105
04.18,2378,391,57,224
04.19,2351,457,62,-27
04.20,2472,457,68,121
04.21,2614,505,72,142
04.22,2778,560,75,164
04.23,2926,661,80,148
04.24,3110,755,84,184
04.25,3304,825,94,194
04.26,3408,895,96,104
04.27,3481,925,101,73
04.28,3638,975,103,157
04.29,3771,1114,107,133
04.30,3897,1182,116,126
05.01,3897,1272,122,0
05.02,4052,1334,124,155
05.03,4052,1334,124,0
05.04,4248,1423,128,196
05.05,4363,1544,136,115
05.06,4363,1544,136,0
05.07,4476,1747,145,113
05.08,4728,1826,150,252
05.09,4728,1925,159,0
05.10,4867,1925,161,139
05.11,4927,1980,171,60
05.12,4995,1980,175,68
05.13,5406,2176,185,411
05.14,5406,2176,185,0
05.15,5553,2228,194,147
05.16,5745,2228,202,192
05.17,5934,2344,207,189
05.18,6138,2425,217,204
05.19,6138,2508,219,0
05.20,6553,2953,228,415
05.21,6553,2953,228,0
05.22,6704,2953,233,151
05.23,6994,3452,242,290
05.24,7093,3713,250,99
05.25,7147,3802,261,54
05.26,7147,3884,265,0
05.27,7537,3884,274,390
05.28,7725,4123,282,188
05.29,7896,4278,288,171
05.30,8098,4455,291,202
05.31,8251,4581,295,153
06.01,8360,4622,305,109
06.02,8548,4738,307,188
06.03,8548,4738,307,0
06.04,9018,5009,315,470
06.05,9247,5240,323,229
06.06,9247,5450,326,0
06.07,9700,5638,341,453
06.08,9700,5738,346,0
06.09,10025,5797,365,325
06.10,10025,5930,367,0
06.11,10727,6072,375,702
06.12,11093,6229,385,366
06.13,11093,6421,395,0
06.14,11740,6623,406,647
06.15,11740,6794,408,0
06.16,12254,6901,423,514
06.17,12254,7077,427,0
06.18,13106,7252,444,852
06.19,13106,7525,449,0
06.20,13953,7745,464,847
06.21,14200,7896,473,247
06.22,14200,8019,475,0
06.23,14714,8019,490,514
06.24,14714,8400,492,0
06.25,15453,8599,502,739
06.26,15776,8765,515,323
06.27,16080,8963,521,304
06.28,16250,9081,530,170
06.29,16357,9229,536,107
06.30,16357,9382,541,0
07.01,16898,9594,549,541
07.02,16898,9846,551,0
07.03,17150,9846,560,252
07.04,17672,10396,580,522
07.05,17814,10718,585,142
07.06,17906,11047,592,92
07.07,17906,11241,598,0
07.08,18471,11549,614,565
07.09,18471,11549,614,0
07.10,18924,12188,635,453
07.11,18924,12456,635,0
07.12,19382,12667,642,458
07.13,19382,12793,642,0
07.14,19439,13033,652,57
07.15,19708,13298,658,269
07.16,20040,13640,662,332
07.17,20494,13913,675,454
07.18,20494,13913,675,0
07.19,20794,14183,680,300
07.20,20980,14376,684,186
07.21,21442,14599,707,462
07.22,21442,14856,708,0
07.23,22105,15174,719,663
07.24,22483,15407,726,378
07.25,22828,15608,732,345
07.26,23034,15909,735,206
07.27,23034,15909,735,0
07.28,23154,16462,751,120
07.29,23947,16785,759,793
07.30,23947,17040,762,0
07.31,24733,17269,778,786
08.01,25113,17571,788,380
08.02,25362,17816,791,249
08.03,25482,17942,800,120
08.04,25814,17942,810,332
08.05,26222,18167,823,408
08.06,26628,18676,828,406
08.07,26990,18918,835,362
08.08,27443,19100,841,453
08.09,27660,19300,845,217
08.10,27841,19300,850,181
08.11,28223,19740,857,382
08.12,28697,19998,863,474
08.13,29087,20276,878,390
08.14,29483,20556,884,396
08.15,29905,20908,895,422
08.16,29905,20908,895,0
08.17,30377,21220,908,472
08.18,30377,21220,908,0
08.19,31415,21885,914,1038
08.20,31937,21885,921,522
08.21,32484,22683,929,547
08.22,33072,22683,935,588
08.23,33478,22683,940,406
08.24,33828,23570,945,350
08.25,34358,23869,960,530
08.26,34982,24156,967,624
08.27,35546,24156,977,564
08.28,35904,24156,981,358
08.29,36404,25139,990,500
08.30,36700,25139,992,296
08.31,36920,25872,995,220
09.01,37208,25872,1008,288
09.02,37740,26189,1024,532
09.03,38372,27017,1036,632
09.04,38906,27017,1047,534
09.05,39473,27799,1063,567
09.06,39797,27799,1063,324
09.07,40055,27799,1074,258
09.08,40556,28578,1087,501
09.09,41144,28962,1096,588
09.10,41704,28962,1106,560
09.11,42183,30437,1114,479
09.12,42714,30437,1117,531
09.13,42978,30437,1123,264
09.14,43207,30437,1129,229
09.15,43207,30437,1129,0
09.16,44361,32732,1159,1154
09.17,44983,33239,1170,622
09.18,45648,33734,1186,665
09.19,46336,34236,1201,688
09.20,46596,34236,1203,260
09.21,46796,35018,1211,200
09.22,47446,35542,1230,650
09.23,48232,36071,1244,786
09.24,48953,36643,1252,721
09.25,48953,36643,1252,0
09.26,49666,37023,1264,713
09.27,50875,37842,1287,1209
