,confirm,heal,dead,confirm_add
02.29,1,0,0,1
03.01,1,0,0,0
03.02,1,0,0,0
03.03,1,0,0,0
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,2,0,0,1
03.13,2,0,0,0
03.14,2,0,0,0
03.15,3,0,0,1
03.16,7,0,0,4
03.17,9,0,0,2
03.18,9,0,0,0
03.19,9,0,0,0
03.20,11,0,0,2
03.21,12,0,0,1
03.22,18,0,0,6
03.23,23,0,0,5
03.24,23,1,0,0
03.25,27,1,0,4
03.26,31,1,0,4
03.27,33,1,0,2
03.28,42,1,0,9
03.29,43,1,0,1
03.30,46,1,1,3
03.31,49,1,1,3
04.01,52,2,1,3
04.02,55,2,1,3
04.03,60,2,1,5
04.04,64,3,1,4
04.05,66,3,1,2
04.06,73,3,1,7
04.07,77,4,1,4
04.08,79,4,1,2
04.09,81,4,1,2
04.10,84,5,1,3
04.11,90,5,1,6
04.12,92,5,1,2
04.13,93,6,1,1
04.14,93,6,1,0
04.15,93,6,1,0
04.16,93,12,3,0
04.17,93,12,3,0
04.18,94,20,3,1
04.19,94,22,3,0
04.20,94,22,3,0
04.21,94,23,3,0
04.22,94,26,3,0
04.23,94,27,3,0
04.24,94,35,4,0
04.25,94,41,4,0
04.26,94,42,4,0
04.27,94,42,4,0
04.28,95,42,4,1
04.29,95,50,4,0
04.30,95,58,4,0
05.01,95,64,4,0
05.02,95,73,4,0
05.03,95,73,4,0
05.04,95,78,4,0
05.05,95,78,4,0
05.06,95,81,4,0
05.07,95,82,4,0
05.08,95,82,4,0
05.09,95,82,4,0
05.10,96,82,4,1
05.11,96,82,4,0
05.12,96,85,4,0
05.13,96,85,4,0
05.14,96,87,4,0
05.15,96,87,4,0
05.16,96,87,4,0
05.17,96,87,4,0
05.18,96,87,4,0
05.19,97,87,4,1
05.20,97,87,4,0
05.21,97,90,4,0
05.22,97,90,4,0
05.23,97,90,4,0
05.24,98,90,4,1
05.25,98,90,4,0
05.26,98,90,4,0
05.27,98,90,4,0
05.28,98,90,4,0
05.29,98,90,4,0
05.30,98,90,4,0
05.31,99,90,4,1
06.01,99,90,4,0
06.02,99,90,4,0
06.03,99,90,4,0
06.04,99,90,4,0
06.05,99,92,4,0
06.06,99,93,4,0
06.07,99,93,4,0
06.08,99,93,4,0
06.09,99,93,4,0
06.10,99,93,4,0
06.11,99,93,4,0
06.12,99,93,4,0
06.13,99,93,4,0
06.14,99,93,4,0
06.15,99,93,4,0
06.16,99,93,4,0
06.17,99,94,4,0
06.18,99,94,4,0
06.19,99,94,4,0
06.20,99,94,4,0
06.21,99,94,4,0
06.22,100,94,4,1
