,confirm,heal,dead,confirm_add
03.10,1,0,0,1
03.11,1,0,0,0
03.12,1,0,0,0
03.13,1,0,0,0
03.14,1,0,0,0
03.15,1,0,0,0
03.16,1,0,0,0
03.17,4,0,0,3
03.18,6,0,0,2
03.19,6,0,0,0
03.20,6,0,0,0
03.21,10,0,0,4
03.22,10,0,0,0
03.23,10,0,0,0
03.24,10,0,0,0
03.25,10,0,0,0
03.26,11,0,0,1
03.27,11,0,0,0
03.28,12,0,0,1
03.29,12,0,0,0
03.30,12,2,0,0
03.31,12,2,0,0
04.01,14,2,0,2
04.02,14,2,0,0
04.03,14,2,0,0
04.04,14,2,0,0
04.05,14,2,0,0
04.06,15,2,0,1
04.07,15,4,0,0
04.08,16,4,0,1
04.09,16,4,0,0
04.10,16,4,0,0
04.11,16,4,0,0
04.12,16,4,0,0
04.13,17,4,0,1
04.14,30,5,0,13
04.15,30,5,0,0
04.16,31,5,0,1
04.17,31,5,0,0
04.18,31,5,0,0
04.19,32,7,0,1
04.20,33,7,0,1
04.21,34,8,0,1
04.22,35,8,0,1
04.23,35,8,0,0
04.24,36,9,0,1
04.25,37,9,0,1
04.26,38,9,0,1
04.27,38,10,0,0
04.28,38,10,0,0
04.29,38,10,0,0
04.30,38,10,0,0
05.01,38,10,0,0
05.02,39,10,0,1
05.03,39,10,0,0
05.04,40,12,0,1
05.05,41,13,0,1
05.06,41,13,0,0
05.07,41,13,0,0
05.08,42,13,0,1
05.09,42,14,0,0
05.10,42,14,0,0
05.11,42,14,0,0
05.12,42,15,0,0
05.13,42,15,0,0
05.14,61,15,0,19
05.15,98,20,0,37
05.16,135,20,0,37
05.17,136,21,0,1
05.18,140,24,0,4
05.19,140,26,0,0
05.20,140,26,0,0
05.21,140,26,0,0
05.22,141,28,0,1
05.23,141,30,0,0
05.24,141,32,0,0
05.25,141,33,0,0
05.26,141,37,0,0
05.27,148,43,0,7
05.28,161,43,0,13
05.29,179,43,0,18
05.30,179,44,0,0
05.31,179,44,0,0
06.01,185,44,0,6
06.02,185,44,0,0
06.03,185,44,0,0
06.04,186,65,0,1
06.05,191,70,0,5
06.06,193,71,0,2
06.07,193,75,0,0
06.08,194,75,0,1
06.09,194,85,0,0
06.10,194,87,0,0
06.11,194,89,0,0
06.12,197,95,0,3
06.13,197,95,0,0
06.14,197,98,0,0
06.15,197,108,0,0
06.16,197,109,0,0
06.17,197,111,0,0
06.18,201,127,0,4
06.19,204,132,0,3
06.20,204,139,0,0
06.21,206,139,0,2
06.22,213,153,0,7
06.23,215,158,0,2
06.24,215,168,0,0
06.25,216,169,0,1
06.26,219,170,0,3
06.27,219,175,0,0
06.28,219,175,0,0
06.29,220,175,0,1
06.30,220,175,0,0
07.01,220,176,0,0
07.02,220,177,0,0
07.03,220,179,0,0
07.04,220,183,0,0
07.05,220,185,0,0
07.06,220,188,0,0
07.07,225,194,0,5
07.08,227,195,0,2
07.09,227,197,0,0
07.10,227,197,0,0
07.11,227,200,0,0
07.12,230,202,0,3
07.13,230,203,0,0
07.14,243,204,0,13
07.15,261,207,0,18
07.16,261,209,0,0
07.17,262,211,0,1
07.18,287,211,0,25
07.19,287,213,0,0
07.20,287,213,0,0
07.21,287,213,0,0
07.22,287,213,0,0
07.23,287,214,0,0
07.24,288,217,0,1
07.25,288,218,0,0
07.26,288,218,0,0
07.27,288,218,0,0
07.28,289,222,0,1
07.29,291,225,0,2
07.30,291,225,0,0
07.31,291,225,0,0
08.01,291,230,0,0
08.02,293,230,0,2
08.03,293,230,0,0
08.04,293,230,0,0
08.05,293,244,0,0
08.06,293,260,0,0
08.07,293,260,0,0
08.08,293,260,0,0
08.09,293,263,0,0
08.10,293,263,0,0
08.11,293,263,0,0
08.12,293,269,0,0
08.13,297,269,0,4
08.14,297,269,0,0
08.15,298,272,0,1
08.16,298,276,0,0
08.17,298,276,0,0
08.18,298,278,0,0
08.19,298,281,0,0
08.20,298,281,0,0
08.21,298,283,0,0
08.22,298,288,0,0
08.23,298,288,0,0
08.24,298,289,0,0
08.25,298,289,0,0
08.26,300,289,0,2
08.27,301,291,0,1
08.28,301,291,0,0
08.29,301,291,0,0
08.30,301,295,0,0
08.31,301,295,0,0
09.01,304,295,0,3
09.02,306,296,0,2
09.03,306,296,0,0
09.04,310,296,0,4
