,confirm,heal,dead,confirm_add
03.05,2,0,0,2
03.06,2,0,0,0
03.07,2,0,0,0
03.08,2,0,0,0
03.09,2,0,0,0
03.10,3,0,1,1
03.11,5,0,1,2
03.12,6,0,2,1
03.13,7,0,2,1
03.14,7,0,2,0
03.15,28,1,1,12
03.16,28,1,1,0
03.17,38,1,2,10
03.18,49,1,2,11
03.19,61,1,2,12
03.20,66,2,3,5
03.21,86,2,3,20
03.22,96,2,3,10
03.23,122,3,4,13
03.24,143,5,4,28
03.25,170,6,5,27
03.26,225,7,6,55
03.27,275,8,10,50
03.28,358,11,23,83
03.29,437,12,26,79
03.30,516,13,27,79
03.31,574,15,33,58
04.01,638,26,37,64
04.02,676,29,40,38
04.03,735,49,47,59
04.04,858,62,50,123
04.05,961,70,69,103
04.06,1113,76,71,152
04.07,1141,88,83,28
04.08,1242,97,91,101
04.09,1346,103,96,104
04.10,1431,114,105,85
04.11,1527,141,110,96
04.12,1617,153,113,90
04.13,1746,196,120,129
04.14,1838,210,126,92
04.15,1988,218,127,150
04.16,2251,247,128,263
04.17,2528,273,133,277
04.18,2670,298,137,142
04.19,2820,322,138,150
04.20,2990,340,143,170
04.21,3186,359,144,196
04.22,3377,398,149,191
04.23,3537,430,151,160
04.24,3692,478,155,155
04.25,3889,498,159,197
04.26,4047,557,160,158
04.27,4115,669,161,68
04.28,4246,739,163,131
04.29,4289,890,167,43
04.30,4359,969,168,70
05.01,4529,1055,171,170
05.02,4687,1235,172,158
05.03,4729,1256,173,42
05.04,5000,1565,177,271
05.05,5153,1799,180,153
05.06,5382,1969,182,229
05.07,5505,2124,183,123
05.08,5661,2302,185,156
05.09,5873,2389,186,212
05.10,6038,2545,188,165
05.11,6226,2759,188,188
05.12,6380,2930,188,154
05.13,6466,3099,188,86
05.14,6593,3222,189,127
05.15,6623,3383,190,30
05.16,6681,3475,192,58
05.17,6798,3645,192,117
05.18,6930,3732,192,132
05.19,6972,3890,193,42
05.20,7048,4037,194,76
05.21,7185,4212,196,137
05.22,7300,4347,197,115
05.23,7375,4573,197,75
05.24,7429,4686,198,54
05.25,7495,4737,200,66
05.26,7556,4841,202,61
05.27,7584,4969,202,28
05.28,7636,5109,202,52
05.29,7697,5223,202,61
05.30,7740,5377,203,43
05.31,7783,5412,204,43
06.01,7819,5754,205,36
06.02,7859,6291,205,40
06.03,7866,6410,206,7
06.04,7967,7160,207,101
06.05,8030,7215,208,63
06.06,8132,7278,208,102
06.07,8177,7328,208,45
06.08,8250,7370,208,73
06.09,8408,7423,208,158
06.10,8455,7496,210,47
06.11,8533,7570,211,78
06.12,8581,7600,212,48
06.13,8683,7664,212,102
06.14,8734,7725,212,51
06.15,8838,7779,212,104
06.16,8921,7880,212,83
06.17,8985,7960,212,64
06.18,9042,7999,213,57
06.19,9280,8081,213,238
06.20,9801,8133,213,521
06.21,9957,8249,213,156
06.22,10079,8319,214,122
06.23,10264,8384,214,185
06.24,10693,8426,214,429
06.25,11279,8488,216,586
06.26,11465,8560,217,186
06.27,11854,8700,218,389
06.28,11986,8730,220,132
06.29,12248,8790,224,262
06.30,12385,8839,225,137
07.01,12596,8978,228,211
07.02,12854,9052,228,258
07.03,13215,9158,230,361
07.04,13434,9214,232,219
07.05,14132,9410,234,698
07.06,14329,9837,235,197
07.07,14565,10281,239,236
07.08,14730,10848,240,165
07.09,14949,11372,242,219
07.10,15194,11705,243,245
07.11,15464,11895,244,270
07.12,15635,12212,247,171
07.13,15821,12676,253,186
07.14,16047,13403,256,226
07.15,16181,13666,258,134
07.16,16424,13896,260,243
07.17,16638,14175,263,214
07.18,16726,14360,264,88
07.19,17015,14620,269,289
07.20,17236,14921,273,221
07.21,17562,15132,276,326
07.22,17742,15389,280,180
07.23,17962,15636,285,220
07.24,18264,15872,292,302
07.25,18834,16100,299,570
07.26,19645,16282,305,811
07.27,20278,16438,313,633
07.28,20887,16553,316,609
07.29,21387,17066,327,500
07.30,22213,17125,334,826
07.31,23259,17311,346,1046
08.01,24322,17658,353,1063
08.02,25015,17960,367,693
08.03,25537,18435,382,522
08.04,26196,18968,401,659
08.05,27217,19629,417,1021
08.06,28500,19994,435,1283
08.07,29644,20553,449,1144
08.08,30662,21548,461,1018
08.09,32007,22190,480,1345
08.10,33237,23347,498,1230
08.11,34063,24524,516,826
08.12,35195,25385,533,1132
08.13,36694,25677,556,1499
08.14,37935,26687,584,1241
08.15,39241,27644,611,1306
08.16,41017,28566,632,1776
08.17,42489,29344,658,1472
08.18,43558,29941,681,1069
08.19,44803,31002,714,1245
08.20,46313,31576,743,1510
08.21,47638,32806,775,1325
08.22,49247,34199,817,1609
08.23,50812,35040,858,1565
08.24,52349,36343,888,1537
08.25,53252,37478,920,903
08.26,54528,38293,955,1276
08.27,55864,40586,984,1336
08.28,57085,41901,1011,1221
08.29,58489,43049,1052,1404
08.30,60056,44618,1078,1567
08.31,61399,46355,1111,1343
09.01,62590,47595,1141,1191
09.02,63781,48922,1184,1191
09.03,65453,50357,1216,1672
09.04,66855,51223,1253,1402
09.05,68605,52483,1292,1750
09.06,70160,53929,1329,1555
09.07,72394,55274,1361,2234
09.08,73780,56096,1394,1386
09.09,75721,57239,1427,1941
09.10,77878,59723,1453,2157
09.11,79767,61850,1491,1889
09.12,82197,64194,1524,2430
09.13,84435,65867,1553,2238
09.14,86686,67528,1578,2251
09.15,88203,68970,1614,1517
09.16,90324,71047,1648,2121
09.17,92016,72968,1686,1692
09.18,94504,74930,1714,2488
09.19,97264,76690,1755,2760
09.20,99816,79008,1795,2552
09.21,101743,80732,1830,1927
09.22,103119,84158,1855,1376
09.23,105346,85883,1889,2227
09.24,107743,88244,1918,2397
09.25,110099,90186,1956,2356
09.26,112522,91932,1998,2423
09.27,115241,94150,2041,2719
09.28,117685,95591,2069,2444
09.29,119107,97468,2113,1422
09.30,121183,100253,2152,2076
10.01,123653,102715,2194,2470
10.02,126044,104136,2229,2391
10.03,128565,106044,2263,2521
10.04,131228,108687,2293,2663
10.05,133272,111036,2330,2044
10.06,134695,113336,2369,1423
10.07,137248,115354,2410,2553
10.08,140024,118142,2439,2776
10.09,142953,120275,2486,2929
10.10,146398,123022,2530,3445
10.11,149841,124854,2572,3443
10.12,152404,127407,2605,2563
10.13,153761,129498,2636,1357
10.14,156946,131462,2685,3185
10.15,160333,133959,2726,3387
10.16,163650,136036,2772,3317
10.17,167148,138989,2818,3498
10.18,170911,141381,2878,3763
10.19,173632,143972,2928,2721
10.20,175749,146421,2976,2117
10.21,179003,148838,3027,3254
10.22,182580,151634,3079,3577
10.23,186731,154481,3132,4151
10.24,190416,157175,3205,3685
10.25,194461,160372,3255,4045
10.26,197481,163195,3301,3020
10.27,199745,165922,3373,2264
10.28,203733,168706,3445,3988
10.29,207718,171591,3506,3985
10.30,212038,174911,3572,4320
10.31,215294,177925,3625,3256
11.01,219084,181275,3695,3790
11.02,222544,184313,3762,3460
11.03,225070,187101,3826,2526
11.04,229565,189909,3900,4495
11.05,235310,193886,3982,5745
11.06,240951,197215,4059,5641
11.07,246349,200954,4127,5398
11.08,252185,205556,4197,5836
11.09,256781,209801,4272,4596
11.10,259951,212905,4356,3170
11.11,265165,216851,4425,5214
11.12,270626,221743,4506,5461
11.13,276821,226040,4570,6195
11.14,282336,229160,4631,5515
11.15,288211,234904,4697,5875
11.16,293177,238598,4779,4966
11.17,296189,243359,4850,3012
11.18,301604,247594,4932,5415
11.19,306995,253351,5013,5391
11.20,311554,257992,5090,4559
11.21,316260,262212,5182,4706
11.22,320962,266711,5256,4702
11.23,324941,270457,5316,3979
11.24,327528,275158,5396,2587
11.25,331527,279276,5469,3999
11.26,336506,284496,5539,4979
11.27,340684,289808,5619,4178
11.28,345276,294036,5689,4592
11.29,349688,298574,5739,4412
11.30,353803,302314,5789,4115
12.01,356336,305291,5846,2533
12.02,359844,310193,5915,3508
12.03,364190,314237,5985,4346
12.04,368624,318987,6063,4434
12.05,372620,323814,6136,3996
12.06,376738,327693,6184,4118
12.07,379657,331301,6245,2919
12.08,381188,334269,6320,1531
12.09,384088,337719,6370,2900
12.10,388184,341685,6427,4096
12.11,391529,345934,6492,3345
12.12,394564,349821,6542,3035
12.13,397597,353098,6589,3033
12.14,399609,356023,6624,2012
12.15,400826,359065,6659,1217
12.16,403619,362911,6711,2793
12.17,406970,366835,6749,3351
12.18,409746,369998,6804,2776
12.19,412393,372725,6854,2647
12.20,415226,375623,6909,2833
12.21,417125,378154,6957,1899
12.22,418002,380134,7000,877
12.23,420648,382925,7030,2646
12.24,423214,385895,7086,2566
12.25,425864,388728,7130,2650
12.26,428193,391920,7170,2329
12.27,430562,396095,7204,2369
12.28,432079,398060,7240,1517
12.29,433029,399575,7272,950
12.30,435189,401429,7314,2160
12.31,437332,405251,7355,2143
01.01,439193,407504,7388,1861
01.02,440970,409638,7425,1777
01.03,442141,412168,7452,1171
01.04,443146,413393,7485,1005
01.05,443802,414972,7538,656
01.06,445439,416708,7581,1637
01.07,447081,418744,7618,1642
01.08,448678,420569,7645,1597
01.09,450221,422072,7685,1543
01.10,451637,423541,7709,1416
01.11,452532,424896,7743,895
01.12,452988,426006,7767,456
01.13,453789,427351,7784,801
01.14,455055,429278,7810,1266
01.15,456334,431167,7854,1279
01.16,457625,432576,7888,1291
01.17,458865,433937,7911,1240
01.18,459671,434925,7942,806
01.19,460144,435686,7977,473
01.20,461390,436626,8011,1246
01.21,462542,437955,8043,1152
01.22,463706,439301,8076,1164
01.23,464844,440652,8105,1138
01.24,465769,441693,8128,925
01.25,466289,442441,8150,520
01.26,466626,443472,8172,337
01.27,467493,444823,8187,867
01.28,468383,446181,8207,890
01.29,469139,447076,8224,756
01.30,469990,447866,8246,851
01.31,470691,448628,8259,701
02.01,471157,449160,8275,466
02.02,471438,450052,8287,281
02.03,472273,450847,8309,835
02.04,473047,451780,8323,774
02.05,473667,452522,8351,620
02.06,474379,453302,8368,712
02.07,474966,453921,8381,587
02.08,475355,454504,8394,389
02.09,475589,454997,8408,234
02.10,476125,456032,8424,536
02.11,476689,456751,8436,564
02.12,477160,457325,8440,471
02.13,477656,457956,8450,496
02.14,478135,458504,8460,479
02.15,478474,458852,8477,339
02.16,478595,459549,8491,121
02.17,479071,460628,8504,476
02.18,479579,461466,8517,508
02.19,480056,462436,8524,477
02.20,480504,463271,8540,448
02.21,480948,464043,8548,444
02.22,481155,464664,8554,207
02.23,481263,465297,8559,108
02.24,481709,466105,8574,446
02.25,482128,466815,8592,419
02.26,482514,467541,8598,386
02.27,482994,468387,8608,480
02.28,483410,468807,8615,416
03.01,483654,469046,8623,244
03.02,483766,469345,8637,112
03.03,484159,469868,8645,393
03.04,484753,470425,8653,594
03.05,485147,470933,8669,394
03.06,485567,471410,8673,420
03.07,485974,471919,8676,407
03.08,486223,472240,8682,249
03.09,486325,472544,8683,102
03.10,486833,473208,8695,508
03.11,487286,473738,8705,453
03.12,487750,474257,8712,464
03.13,488181,474938,8716,431
03.14,488632,475457,8718,451
03.15,488937,475849,8723,305
03.16,489096,476126,8733,159
03.17,489622,476727,8737,526
03.18,490088,477305,8745,466
03.19,490575,477879,8748,487
03.20,491019,478386,8755,444
03.21,491463,478870,8763,444
03.22,491709,479252,8767,246
03.23,491834,479557,8769,125
03.24,492403,480100,8775,569
03.25,492842,480607,8786,439
03.26,493353,481074,8788,511
03.27,493867,481597,8793,514
03.28,494358,482084,8798,491
03.29,494659,482352,8798,301
03.30,494659,482352,8798,0
03.31,494659,482352,8798,0
04.01,496097,483363,8818,1438
04.02,496676,483711,8825,579
04.03,497257,484224,8835,581
04.04,497832,484793,8842,575
04.05,498197,484921,8850,365
04.06,498329,485162,8857,132
04.07,499025,485708,8865,696
04.08,499688,486349,8867,663
04.09,500323,486913,8873,635
04.10,500948,487414,8885,625
04.11,501688,488015,8891,740
04.12,502102,488361,8900,414
04.13,502277,488632,8909,175
04.14,502961,489288,8915,684
04.15,503664,489928,8920,703
04.16,504260,490366,8927,596
04.17,504847,490921,8934,587
04.18,505447,491537,8944,600
04.19,505811,491810,8945,364
04.20,505949,492100,8952,138
04.21,506669,492725,8959,720
04.22,507338,493353,8969,669
04.23,507938,493873,8976,600
04.24,508530,494415,8983,592
04.25,509037,494872,8988,507
04.26,509363,495262,8992,326
04.27,509465,495408,8999,102
04.28,509972,496031,9005,507
04.29,510465,496583,9015,493
04.30,510886,497105,9020,421
05.01,511249,497621,9023,363
05.02,511562,498131,9026,313
05.03,511856,498415,9028,294
05.04,511912,498624,9032,56
05.05,512285,499089,9038,373
05.06,512656,499491,9043,371
05.07,513016,499917,9049,360
05.08,513314,500192,9057,298
05.09,513628,500540,9064,314
05.10,513864,500914,9072,236
05.11,513922,501146,9077,58
05.12,514164,501404,9083,242
05.13,514432,501692,9088,268
