,confirm,heal,dead,confirm_add
03.23,1,0,0,1
03.24,3,0,0,2
03.25,5,0,0,4
03.26,5,0,0,0
03.27,7,0,0,2
03.28,8,0,0,1
03.29,8,0,0,0
03.30,8,0,0,0
03.31,8,0,0,0
04.01,8,0,0,0
04.02,10,0,0,2
04.03,10,0,0,0
04.04,10,0,0,0
04.05,10,1,0,0
04.06,10,1,0,0
04.07,10,1,0,0
04.08,10,1,0,0
04.09,17,1,0,7
04.10,17,1,0,0
04.11,20,2,0,3
04.12,21,2,0,1
04.13,21,2,0,0
04.14,21,2,0,0
04.15,28,2,0,7
04.16,29,2,0,1
04.17,34,2,0,5
04.18,34,2,0,0
04.19,39,8,0,5
04.20,39,8,0,0
04.21,39,8,0,0
04.22,41,8,0,2
04.23,41,8,0,0
04.24,46,12,0,5
04.25,70,12,0,24
04.26,76,12,0,6
04.27,76,12,0,0
04.28,76,12,0,0
04.29,76,12,0,0
04.30,76,12,0,0
05.01,76,12,0,0
05.02,79,18,0,3
05.03,79,18,0,0
05.04,80,19,0,1
05.05,80,19,0,0
05.06,81,19,0,1
05.07,81,21,0,0
05.08,82,27,0,1
05.09,82,27,0,0
05.10,91,34,0,9
05.11,103,34,0,12
05.12,103,34,0,0
05.13,104,34,0,1
05.14,115,35,0,11
05.15,115,35,0,0
05.16,119,42,0,4
05.17,137,43,0,18
05.18,137,44,0,0
05.19,145,44,0,8
05.20,156,48,0,11
05.21,156,48,0,0
05.22,162,48,0,6
05.23,168,48,0,6
05.24,194,51,0,26
05.25,209,51,1,15
05.26,209,71,1,0
05.27,227,71,1,18
05.28,227,71,1,0
05.29,234,84,2,7
05.30,244,90,2,10
05.31,254,91,2,10
06.01,254,91,2,0
06.02,307,98,2,53
06.03,307,98,2,0
06.04,352,114,2,45
06.05,352,114,2,0
06.06,354,119,2,2
06.07,424,127,2,70
06.08,424,127,2,0
06.09,453,136,2,29
06.10,453,136,2,0
06.11,489,144,2,36
06.12,509,145,2,20
06.13,553,151,2,44
06.14,583,151,3,30
06.15,583,151,3,0
06.16,609,157,3,26
06.17,638,160,4,29
06.18,662,175,4,24
06.19,662,175,4,0
06.20,688,177,4,26
06.21,733,181,5,45
06.22,733,181,5,0
06.23,737,181,5,4
06.24,757,206,5,20
06.25,788,221,5,31
06.26,816,223,5,28
06.27,816,223,5,0
06.28,839,225,5,23
06.29,859,228,5,20
06.30,883,229,6,24
07.01,889,232,6,6
07.02,903,248,6,14
07.03,918,249,6,15
07.04,939,249,6,21
07.05,987,256,8,48
07.06,987,270,8,0
07.07,1012,277,8,25
07.08,1040,280,8,28
07.09,1071,337,8,31
07.10,1092,340,9,21
07.11,1111,344,9,19
07.12,1135,349,9,24
07.13,1157,364,9,22
07.14,1268,373,9,111
07.15,1330,375,9,62
07.16,1330,375,9,0
07.17,1402,397,9,72
07.18,1435,408,10,33
07.19,1491,472,10,56
07.20,1491,472,10,0
07.21,1536,505,11,45
07.22,1536,506,11,0
07.23,1557,523,11,21
07.24,1582,528,11,25
07.25,1616,543,11,34
07.26,1616,543,11,0
07.27,1669,593,11,53
07.28,1701,596,11,32
07.29,1720,602,11,19
07.30,1748,616,11,28
07.31,1808,638,11,60
08.01,1864,641,11,56
08.02,1907,645,12,43
08.03,1946,654,13,39
08.04,1973,676,14,27
08.05,2029,765,15,56
08.06,2079,778,15,50
08.07,2120,795,15,41
08.08,2213,827,15,93
08.09,2241,832,16,28
08.10,2269,840,16,28
08.11,2411,860,16,142
08.12,2481,910,17,70
08.13,2559,951,19,78
08.14,2638,1015,19,79
08.15,2708,1075,19,70
08.16,2791,1136,19,83
08.17,2855,1163,19,64
08.18,2914,1196,19,59
08.19,2991,1245,19,77
08.20,3045,1291,19,54
08.21,3115,1380,20,70
08.22,3195,1406,20,80
08.23,3304,1474,20,109
08.24,3395,1503,20,91
08.25,3440,1661,21,45
08.26,3508,1809,21,68
08.27,3590,1927,21,82
08.28,3651,1968,21,61
08.29,3697,2055,21,46
08.30,3760,2078,22,63
08.31,3821,2100,23,61
09.01,3916,2170,23,95
09.02,4039,2170,23,123
09.03,4117,2170,25,78
09.04,4207,2370,26,90
09.05,4341,2579,26,134
09.06,4341,2579,26,0
09.07,4444,2615,27,103
09.08,4557,2697,27,113
09.09,4647,2715,28,90
09.10,4764,2763,28,117
09.11,4832,2857,31,68
09.12,4918,2899,31,86
09.13,5040,2905,35,122
09.14,5269,2960,35,229
09.15,5482,3024,35,213
09.16,5713,3181,37,231
09.17,5994,3267,39,281
09.18,6161,3393,39,167
09.19,6264,3502,40,103
09.20,6537,3620,41,273
09.21,6771,3622,43,234
09.22,6912,3738,44,141
09.23,7114,4064,45,202
09.24,7262,4350,49,148
09.25,7399,4558,51,137
09.26,7589,4649,53,190
09.27,7757,4769,54,168
09.28,7983,4807,58,226
09.29,8288,4836,59,305
09.30,8556,5205,59,268
10.01,8728,5232,61,172
10.02,8888,5573,62,160
10.03,8979,5595,64,91
10.04,9049,5736,64,70
10.05,9196,5852,66,147
10.06,9296,6104,66,100
10.07,9398,6358,67,102
10.08,9494,6812,68,96
10.09,9639,6911,68,145
10.10,9742,7171,69,103
10.11,9844,7203,70,102
10.12,10001,7338,71,157
10.13,10088,7550,72,87
10.14,10258,7880,73,170
10.15,10392,8035,73,134
10.16,10537,8214,73,145
10.17,10612,8262,73,75
10.18,10707,8272,74,95
10.19,10866,8513,75,159
10.20,11080,8836,75,214
10.21,11190,9007,78,110
10.22,11331,9165,79,141
10.23,11559,9226,81,228
10.24,11748,9234,82,189
10.25,11895,9244,85,147
10.26,11986,9253,86,91
10.27,12273,9282,89,287
10.28,12415,9785,91,142
10.29,12415,9785,91,0
10.30,12525,10001,91,110
10.31,12777,10437,91,252
11.01,12869,10437,92,92
11.02,12988,10439,93,119
11.03,13130,10439,94,142
11.04,13202,10695,95,72
11.05,13283,10983,95,81
11.06,13391,11177,97,108
11.07,13577,11581,99,186
11.08,13577,11581,99,0
11.09,13768,11605,99,191
11.10,13823,11659,99,55
11.11,13892,11748,99,69
11.12,13991,11959,104,99
11.13,14094,12134,104,103
11.14,14227,12238,110,133
11.15,14448,12505,113,221
11.16,14448,12505,113,0
11.17,14514,12599,116,66
11.18,14566,12646,118,52
11.19,14629,12754,119,63
11.20,14723,12849,120,94
11.21,14877,13053,121,154
11.22,14981,13151,123,104
11.23,15037,13151,124,56
11.24,15109,13229,126,72
11.25,15231,13408,127,122
11.26,15302,13459,128,71
11.27,15506,13631,128,204
11.28,15506,13631,128,0
11.29,15586,13677,129,80
11.30,15613,13677,130,27
12.01,15701,13729,131,88
12.02,15770,13778,131,69
12.03,15866,14014,132,96
12.04,15918,14030,132,52
12.05,16038,14160,133,120
12.06,16133,14343,133,95
12.07,16244,14416,133,111
12.08,16326,14429,136,82
12.09,16373,14437,136,47
12.10,16440,14684,138,67
12.11,16521,14715,139,81
12.12,16680,14793,139,159
12.13,16812,14795,140,132
12.14,16954,14818,142,142
12.15,17002,15006,143,48
12.16,17042,15117,144,40
12.17,17143,15241,145,101
12.18,17256,15365,146,113
12.19,17338,15365,146,82
12.20,17477,15451,147,139
12.21,17568,15454,148,91
12.22,17695,15733,149,127
12.23,17767,15856,150,72
12.24,17956,15982,153,189
12.25,18031,16015,156,75
12.26,18108,16015,156,77
12.27,18162,16109,159,54
12.28,18265,16119,161,103
12.29,18310,16178,162,45
12.30,18485,16589,165,175
12.31,18642,16663,166,157
01.01,18642,16663,166,0
01.02,18794,16680,167,152
01.03,18968,16684,168,174
01.04,19309,16765,169,341
01.05,19542,17069,171,233
01.06,19542,17069,171,0
01.07,19667,17141,172,125
01.08,19961,17455,176,294
01.09,20482,17479,181,521
01.10,21361,17521,187,879
01.11,21939,17535,192,578
01.12,22334,17623,197,395
01.13,22996,18170,201,662
01.14,23726,18282,205,730
01.15,24269,18352,211,543
01.16,25004,18371,216,735
01.17,25862,18515,234,858
01.18,26551,18607,241,689
01.19,27446,18880,249,895
01.20,28270,19132,253,824
01.21,29396,19484,271,1126
01.22,30225,19510,283,829
01.23,30848,19858,290,623
01.24,31628,20002,297,780
01.25,32418,20558,305,790
01.26,32781,21011,363,363
01.27,34055,21343,329,1274
01.28,34926,22494,336,871
01.29,35833,22750,347,907
01.30,37108,23559,356,1275
01.31,37705,23945,363,597
02.01,38654,23955,367,949
02.02,39460,24593,386,806
02.03,40260,25010,403,800
02.04,41433,25485,415,1173
02.05,43184,26212,436,1751
02.06,43184,26212,436,0
02.07,44112,26790,451,928
02.08,44600,27162,460,488
02.09,44912,27438,465,312
02.10,45785,27814,480,873
02.11,46736,28395,486,951
02.12,47790,30124,501,1054
02.13,48588,31016,514,798
02.14,49135,31699,525,547
02.15,50265,31699,535,1130
02.16,50691,31947,547,426
02.17,51800,32262,551,1109
