,confirm,heal,dead,confirm_add
02.28,1,0,0,1
02.29,1,0,0,0
03.01,1,0,0,0
03.02,1,0,0,0
03.03,1,0,0,0
03.04,2,0,0,1
03.05,3,0,0,1
03.06,4,0,0,1
03.07,5,0,0,1
03.08,5,0,0,0
03.09,5,0,0,0
03.10,5,0,0,0
03.11,5,0,0,0
03.12,5,0,0,0
03.13,5,0,0,0
03.14,6,0,0,1
03.15,8,0,0,2
03.16,8,0,0,0
03.17,11,0,0,3
03.18,20,0,0,8
03.19,28,0,0,8
03.20,39,0,0,11
03.21,53,0,0,14
03.22,66,0,0,13
03.23,102,0,0,36
03.24,142,12,0,40
03.25,205,12,0,63
03.26,278,12,0,73
03.27,368,37,0,90
03.28,451,50,0,83
03.29,514,50,0,63
03.30,589,56,1,75
03.31,647,74,1,58
04.01,708,83,1,61
04.02,797,92,1,89
04.03,868,103,1,71
04.04,950,127,1,82
04.05,1039,156,1,89
04.06,1106,176,1,67
04.07,1160,241,1,54
04.08,1210,282,1,50
04.09,1239,317,1,29
04.10,1283,373,2,44
04.11,1312,422,4,29
04.12,1330,471,4,18
04.13,1349,546,5,19
04.14,1366,628,9,17
04.15,1386,728,9,20
04.16,1401,770,9,15
04.17,1409,816,11,8
04.18,1422,867,11,13
04.19,1431,912,12,9
04.20,1440,974,12,9
04.21,1445,1006,13,5
04.22,1451,1036,14,6
04.23,1451,1065,16,0
04.24,1456,1095,17,5
04.25,1461,1118,18,5
04.26,1470,1142,18,9
04.27,1469,1180,19,-1
04.28,1472,1214,19,3
04.29,1474,1229,19,2
04.30,1476,1241,19,2
05.01,1479,1252,19,3
05.02,1485,1263,20,6
05.03,1485,1263,20,0
05.04,1487,1276,20,2
05.05,1486,1302,20,-1
05.06,1488,1316,21,2
05.07,1489,1332,21,1
05.08,1490,1347,21,1
05.09,1492,1368,21,2
05.10,1494,1371,21,2
05.11,1497,1386,21,3
05.12,1497,1398,21,0
05.13,1497,1402,21,0
05.14,1497,1411,21,0
05.15,1498,1421,21,1
05.16,1498,1428,21,0
05.17,1499,1433,21,1
05.18,1499,1433,21,0
05.19,1503,1442,21,4
05.20,1503,1447,21,0
05.21,1503,1452,21,0
05.22,1504,1455,21,1
05.23,1504,1455,21,0
05.24,1504,1456,21,0
05.25,1504,1456,21,0
05.26,1504,1461,21,0
05.27,1504,1462,21,0
05.28,1504,1474,22,0
05.29,1504,1481,22,0
05.30,1504,1481,22,0
05.31,1504,1481,22,0
06.01,1504,1481,22,0
06.02,1504,1481,22,0
06.03,1504,1481,22,0
06.04,1504,1481,22,0
06.05,1504,1481,22,0
06.06,1504,1481,22,0
06.07,1504,1481,22,0
06.08,1504,1482,22,0
06.09,1504,1482,22,0
06.10,1504,1482,22,0
06.11,1504,1482,22,0
06.12,1504,1482,22,0
06.13,1504,1482,22,0
06.14,1504,1482,22,0
06.15,1504,1482,22,0
06.16,1506,1482,22,2
06.17,1506,1482,22,0
06.18,1507,1482,22,1
06.19,1507,1482,22,0
06.20,1509,1482,22,2
06.21,1511,1482,22,2
06.22,1513,1482,22,2
06.23,1515,1483,22,2
06.24,1516,1483,22,1
06.25,1519,1484,22,3
06.26,1520,1484,22,1
06.27,1522,1484,22,2
06.28,1526,1484,22,4
06.29,1528,1484,22,2
06.30,1528,1484,22,0
07.01,1528,1484,22,0
07.02,1530,1490,22,2
07.03,1530,1490,22,0
07.04,1530,1490,22,0
07.05,1533,1490,22,3
07.06,1534,1490,22,1
07.07,1536,1492,22,2
07.08,1537,1492,22,1
07.09,1540,1494,22,3
07.10,1542,1497,22,2
07.11,1543,1497,22,1
07.12,1544,1497,22,1
07.13,1544,1497,22,0
07.14,1545,1498,22,1
07.15,1547,1498,22,2
07.16,1548,1499,22,1
07.17,1549,1506,22,1
07.18,1550,1506,22,1
07.19,1553,1506,22,3
07.20,1554,1506,22,1
07.21,1555,1506,22,1
07.22,1555,1506,22,0
07.23,1555,1511,22,0
07.24,1556,1513,22,1
07.25,1556,1513,22,0
07.26,1556,1513,22,0
07.27,1556,1513,22,0
07.28,1557,1514,22,1
07.29,1559,1514,22,2
07.30,1560,1514,22,1
07.31,1560,1518,22,0
08.01,1562,1518,22,2
08.02,1565,1518,22,3
08.03,1567,1518,22,2
08.04,1567,1523,22,0
08.05,1569,1523,22,2
08.06,1569,1524,22,0
08.07,1569,1524,22,0
08.08,1569,1524,22,0
08.09,1569,1524,22,0
08.10,1569,1526,22,0
08.11,1570,1526,22,1
08.12,1579,1531,22,9
08.13,1589,1531,22,10
08.14,1602,1531,22,13
08.15,1609,1531,22,7
08.16,1622,1531,22,13
08.17,1631,1531,22,9
08.18,1643,1531,22,12
08.19,1649,1531,22,6
08.20,1654,1531,22,5
08.21,1665,1538,22,11
08.22,1671,1538,22,6
08.23,1674,1538,22,3
08.24,1683,1538,22,9
08.25,1690,1539,22,7
08.26,1695,1539,22,5
08.27,1702,1554,22,7
08.28,1714,1561,22,12
08.29,1727,1568,22,13
08.30,1729,1570,22,2
08.31,1738,1585,22,9
09.01,1752,1598,22,14
09.02,1757,1606,22,5
09.03,1759,1622,22,2
09.04,1764,1630,23,5
09.05,1767,1631,24,3
09.06,1772,1632,24,5
09.07,1776,1634,24,4
09.08,1782,1635,24,6
09.09,1788,1639,24,6
09.10,1792,1648,24,4
09.11,1793,1655,24,1
09.12,1795,1663,24,2
09.13,1797,1676,24,2
09.14,1798,1678,24,1
09.15,1801,1694,24,3
09.16,1802,1698,25,1
09.17,1809,1707,25,7
09.18,1809,1714,25,0
09.19,1811,1719,25,2
09.20,1815,1719,25,4
09.21,1815,1728,25,0
09.22,1815,1729,25,0
09.23,1824,1737,25,9
09.24,1827,1737,25,3
09.25,1829,1744,25,2
09.26,1831,1745,25,2
09.27,1833,1749,25,2
09.28,1833,1753,25,0
09.29,1835,1755,25,2
09.30,1836,1767,25,1
10.01,1848,1770,25,12
10.02,1848,1780,25,0
10.03,1849,1783,25,1
10.04,1854,1788,25,5
10.05,1855,1790,25,1
10.06,1858,1790,25,3
10.07,1861,1799,25,3
10.08,1864,1800,25,3
10.09,1866,1800,25,2
10.10,1870,1801,25,4
10.11,1871,1801,25,1
10.12,1871,1801,25,0
10.13,1872,1808,25,1
10.14,1874,1809,25,2
10.15,1876,1809,25,2
10.16,1880,1809,25,4
10.17,1883,1818,25,3
10.18,1886,1819,25,3
