,confirm,heal,dead,confirm_add
02.28,1,0,0,1
02.29,1,0,0,0
03.01,1,0,0,0
03.02,1,0,0,0
03.03,1,0,0,0
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,2,0,0,1
03.10,2,0,0,0
03.11,2,0,0,0
03.12,2,0,0,0
03.13,2,0,0,0
03.14,2,0,0,0
03.15,2,0,0,0
03.16,2,0,0,0
03.17,3,0,0,1
03.18,8,1,0,5
03.19,12,1,0,4
03.20,12,1,0,0
03.21,22,1,0,10
03.22,26,1,0,4
03.23,36,2,1,14
03.24,40,2,1,4
03.25,44,2,1,4
03.26,51,2,1,7
03.27,65,3,1,14
03.28,81,3,1,16
03.29,97,3,1,16
03.30,111,3,1,14
03.31,135,8,2,24
04.01,151,9,2,16
04.02,174,9,2,23
04.03,190,20,2,16
04.04,210,25,4,20
04.05,224,27,5,14
04.06,232,33,5,8
04.07,238,35,5,6
04.08,254,44,6,16
04.09,276,44,6,22
04.10,288,51,7,12
04.11,305,58,7,17
04.12,318,70,10,13
04.13,323,85,10,5
04.14,343,91,10,20
04.15,373,99,11,30
04.16,407,128,12,34
04.17,442,152,13,35
04.18,493,159,17,51
04.19,542,166,19,49
04.20,627,170,21,85
04.21,665,188,22,38
04.22,782,197,25,117
04.23,873,197,28,91
04.24,981,197,31,108
04.25,1095,208,32,114
04.26,1182,222,35,87
04.27,1273,239,40,91
04.28,1337,255,40,64
04.29,1532,255,44,195
04.30,1728,307,51,196
05.01,1932,319,58,204
05.02,2170,351,68,238
05.03,2170,351,68,0
05.04,2558,400,87,388
05.05,2802,417,93,244
05.06,2950,481,98,148
05.07,3145,534,103,195
05.08,3526,601,107,381
05.09,3912,679,117,386
05.10,4151,745,128,239
05.11,4399,778,143,248
05.12,4641,902,150,242
05.13,4787,959,158,146
05.14,4971,1070,164,184
05.15,5162,1180,167,191
05.16,5450,1320,171,288
05.17,5621,1472,176,171
05.18,5959,1594,182,338
05.19,6175,1644,191,216
05.20,6401,1734,192,226
05.21,6677,1840,200,276
05.22,7016,1907,211,339
05.23,7261,2007,221,245
05.24,7526,2174,221,265
05.25,7839,2263,226,313
05.26,8068,2311,233,229
05.27,8344,2385,249,276
05.28,8733,2501,254,389
05.29,8915,2592,259,182
05.30,9302,2697,261,387
05.31,9855,2856,273,553
06.01,10162,3007,287,307
06.02,10578,3122,299,416
06.03,10819,3240,314,241
06.04,11166,3329,315,347
06.05,11516,3535,323,350
06.06,11844,3696,333,328
06.07,12233,3826,342,389
06.08,12486,3959,354,253
06.09,12801,4040,361,315
06.10,13464,4206,365,663
06.11,13873,4351,382,409
06.12,14554,4494,387,681
06.13,15181,4891,399,627
06.14,15682,5101,407,501
06.15,16085,5220,420,403
06.16,16658,5349,424,573
06.17,17148,5623,455,490
06.18,17735,5967,469,587
06.19,18480,6307,475,745
06.20,19147,6581,487,667
06.21,19808,6718,506,661
06.22,20244,6879,518,436
06.23,20919,7109,525,675
06.24,21371,7338,533,452
06.25,22020,7613,542,649
06.26,22614,7822,549,594
06.27,23298,8253,554,684
06.28,24077,8625,558,779
06.29,24567,9007,565,490
06.30,25133,9402,573,566
07.01,25694,9746,590,561
07.02,26484,10152,603,790
07.03,27110,10801,616,626
07.04,27564,11069,628,454
07.05,28167,11462,634,603
07.06,28711,11665,645,544
07.07,29286,11828,654,575
07.08,29789,12108,669,503
07.09,30249,12373,684,460
07.10,30748,12546,689,499
07.11,31323,12795,709,575
07.12,31987,13103,724,664
07.13,32558,13447,740,571
07.14,33153,13671,744,595
07.15,33616,13792,754,463
07.16,34259,13999,760,643
07.17,34854,14292,769,595
07.18,35454,14633,772,600
07.19,36107,14938,778,653
07.20,36663,15105,789,556
07.21,37225,15333,801,562
07.22,37801,15677,805,576
07.23,38344,15815,813,543
07.24,38948,16061,833,604
07.25,39539,16559,845,591
07.26,39977,16948,856,438
07.27,40532,17374,858,555
07.28,41180,18203,860,648
07.29,41804,18764,868,624
07.30,42208,19004,873,404
07.31,42689,19270,878,481
08.01,43151,19565,879,462
08.02,43537,20087,883,386
08.03,43841,20308,888,304
08.04,44129,20663,896,288
08.05,44433,31851,910,304
08.06,44890,32165,927,457
08.07,45244,32430,930,354
08.08,45687,32637,936,443
08.09,46140,33044,942,453
08.10,46577,33186,945,437
08.11,46867,33346,950,290
08.12,47290,33609,956,423
08.13,47743,33943,956,453
08.14,48116,34309,966,373
08.15,48445,35998,973,329
08.16,48770,36290,974,325
08.17,49068,36497,975,298
08.18,49485,36834,977,417
08.19,49895,37051,981,410
08.20,50488,37304,985,593
08.21,50964,37569,992,476
08.22,51304,37885,996,340
08.23,51905,38767,997,601
08.24,52227,38945,1002,322
08.25,52548,39257,1004,321
08.26,52800,39964,1007,252
08.27,53021,40281,1010,221
08.28,53317,40726,1011,296
08.29,53477,41017,1011,160
08.30,53727,41314,1011,250
08.31,53865,41513,1013,138
09.01,54008,41638,1013,143
09.02,54247,42010,1023,239
09.03,54463,42439,1027,216
09.04,54588,42627,1048,125
09.05,54743,42816,1051,155
09.06,54905,42922,1054,162
09.07,55005,43013,1057,100
09.08,55160,43231,1061,155
09.09,55456,43334,1067,296
09.10,55632,43610,1070,176
09.11,55829,43810,1075,197
09.12,56017,43998,1076,188
09.13,56177,44088,1078,160
09.14,56256,44152,1082,79
09.15,56388,44337,1083,132
09.16,56478,44430,1088,90
09.17,56604,47872,1091,126
09.18,56735,48092,1093,131
09.19,56956,48305,1094,221
09.20,57145,48431,1095,189
09.21,57242,48569,1098,97
09.22,57437,48674,1100,195
09.23,57613,48836,1100,176
09.24,57724,48985,1102,111
09.25,57849,49098,1102,125
09.26,58062,49606,1103,213
09.27,58198,49722,1106,136
09.28,58324,49794,1108,126
09.29,58460,49895,1111,136
09.30,58647,49937,1111,187
10.01,58848,50358,1112,201
10.02,59001,50452,1112,153
10.03,59127,50593,1112,126
10.04,59287,50718,1113,160
10.05,59345,50768,1113,58
10.06,59465,50951,1113,120
10.07,59583,51308,1113,118
10.08,59738,51403,1113,155
10.09,59841,51551,1113,103
10.10,59992,51614,1113,151
10.11,60103,51711,1115,111
10.12,60266,51735,1115,163
10.13,60430,51943,1115,164
10.14,60655,52006,1116,225
10.15,60834,52143,1116,179
10.16,60982,52194,1116,148
10.17,61194,52304,1119,212
