,confirm,heal,dead,confirm_add
02.24,2,0,0,2
02.25,4,0,0,2
02.26,4,0,0,0
02.27,5,0,0,1
02.28,6,0,0,1
02.29,6,1,0,1
03.01,6,1,0,0
03.02,6,2,0,0
03.03,12,2,0,6
03.04,12,2,0,0
03.05,16,2,0,4
03.06,16,2,0,0
03.07,16,2,0,0
03.08,16,2,0,0
03.09,18,2,0,2
03.10,18,2,0,0
03.11,18,9,0,0
03.12,18,9,0,0
03.13,19,9,0,1
03.14,20,9,0,1
03.15,21,9,0,1
03.16,22,9,0,1
03.17,24,12,0,2
03.18,33,12,0,9
03.19,39,13,0,6
03.20,48,13,0,9
03.21,52,13,0,4
03.22,52,12,0,0
03.23,66,17,0,14
03.24,84,17,0,18
03.25,99,17,0,15
03.26,109,23,0,10
03.27,131,23,0,22
03.28,152,23,0,21
03.29,167,23,0,15
03.30,179,29,0,12
03.31,192,34,0,13
04.01,210,34,1,18
04.02,231,57,1,21
04.03,252,57,1,21
04.04,277,61,1,25
04.05,298,61,2,21
04.06,331,61,2,33
04.07,371,67,2,40
04.08,419,72,2,48
04.09,457,109,2,38
04.10,484,109,3,27
04.11,546,109,3,62
04.12,599,109,3,53
04.13,727,124,4,128
04.14,813,130,4,86
04.15,910,131,4,97
04.16,1019,176,4,109
04.17,1069,176,6,50
04.18,1180,176,6,111
04.19,1266,233,7,86
04.20,1410,238,7,144
04.21,1508,238,8,98
04.22,1614,238,8,106
04.23,1716,307,8,102
04.24,1790,325,9,74
04.25,1905,329,10,115
04.26,1998,333,10,93
04.27,2049,364,10,51
04.28,2131,364,10,82
04.29,2274,364,10,143
04.30,2348,495,11,74
05.01,2447,495,11,99
05.02,2483,750,12,36
05.03,2483,750,12,0
05.04,2637,816,12,154
05.05,2735,858,12,98
05.06,2903,888,13,168
05.07,2958,980,14,55
05.08,3112,1025,16,154
05.09,3224,1068,17,112
05.10,3399,1117,17,175
05.11,3573,1211,17,174
05.12,3721,1250,17,148
05.13,4019,1289,17,298
05.14,4341,1303,17,322
05.15,4625,1350,20,284
05.16,5029,1436,20,404
05.17,5186,1465,22,157
05.18,5379,1496,25,193
05.19,5671,1574,27,292
05.20,6043,1661,29,372
05.21,6370,1821,30,327
05.22,6794,1821,32,424
05.23,7257,1848,35,463
05.24,7770,1933,36,513
05.25,7770,1933,37,0
05.26,8118,2067,37,348
05.27,8373,2177,38,255
05.28,9009,2177,40,636
05.29,9820,2396,40,811
05.30,10423,2396,42,603
05.31,11437,2396,47,1014
06.01,12223,2682,50,786
06.02,12799,2812,59,576
06.03,12799,2812,59,0
06.04,14316,3451,67,1517
06.05,15086,3451,72,770
06.06,16016,3451,72,930
06.07,16882,3451,75,866
06.08,17486,3793,81,604
06.09,18198,4152,83,712
06.10,18198,4152,83,0
06.11,19954,6623,89,1756
06.12,21071,7489,96,1117
06.13,22077,7530,99,1006
06.14,23481,8454,104,1404
06.15,24524,9533,108,1043
06.16,25269,11089,114,745
06.17,26079,11797,116,810
06.18,26818,13264,119,739
06.19,27670,13974,125,852
06.20,28566,14780,128,896
06.21,29471,15552,131,905
06.22,31076,16408,137,1605
06.23,32394,17279,140,1318
06.24,33536,17972,142,1142
06.25,34902,18520,144,1366
06.26,36034,19482,153,1132
06.27,36953,20363,159,919
06.28,38150,21200,163,1197
06.29,39060,22422,169,910
06.30,40070,23425,176,1010
07.01,41194,24162,185,1124
07.02,42555,25318,188,1361
07.03,43929,26169,193,1374
07.04,45106,26968,203,1177
