,confirm,heal,dead,confirm_add
02.22,2,0,0,2
02.23,2,0,0,0
02.24,2,0,0,0
02.25,2,0,0,0
02.26,2,0,0,0
02.27,2,0,0,0
02.28,2,0,0,0
02.29,3,0,0,1
03.01,3,0,0,0
03.02,4,0,0,1
03.03,5,0,0,1
03.04,5,0,0,0
03.05,5,0,0,0
03.06,6,0,0,1
03.07,6,0,0,0
03.08,6,0,0,0
03.09,7,1,0,1
03.10,18,1,0,11
03.11,20,1,0,2
03.12,21,1,0,1
03.13,21,1,0,0
03.14,30,2,0,9
03.15,53,2,0,22
03.16,137,2,0,84
03.17,212,2,1,75
03.18,237,2,1,25
03.19,301,13,2,64
03.20,448,13,2,147
03.21,495,13,3,47
03.22,730,13,3,235
03.23,799,13,5,69
03.24,892,13,6,93
03.25,998,13,7,106
03.26,1016,13,7,44
03.27,1179,21,9,163
03.28,1373,23,11,194
03.29,1500,29,12,127
03.30,1625,29,20,125
03.31,1914,76,26,289
04.01,2071,82,26,157
04.02,2386,107,32,315
04.03,2458,126,35,72
04.04,2708,130,41,250
04.05,3123,208,45,415
04.06,3277,257,50,154
04.07,4005,429,55,728
04.08,4183,467,58,178
04.09,4462,572,63,279
04.10,4601,727,66,139
04.11,4970,762,77,369
04.12,5170,1026,88,200
04.13,5493,1095,93,323
04.14,5837,1378,96,344
04.15,5988,1446,107,151
04.16,6919,1645,128,931
04.17,7025,1765,135,106
04.18,7638,1832,143,613
04.19,7993,1868,159,355
04.20,8418,1970,176,425
04.21,9216,2066,192,798
04.22,10076,2156,212,860
04.23,10811,2337,228,735
04.24,11155,2527,237,344
04.25,12227,2755,256,1072
04.26,12723,2866,269,496
04.27,13328,3029,281,605
04.28,14079,3233,301,751
04.29,15289,3425,335,1210
04.30,16117,4105,358,828
05.01,17439,4315,391,1322
05.02,18770,4753,432,1331
05.03,19022,4753,437,252
05.04,20884,5635,476,1862
05.05,21501,5782,486,617
05.06,22550,6217,526,1049
05.07,24122,6464,585,1572
05.08,26435,7530,599,2313
05.09,27474,7756,618,1039
05.10,29465,8023,639,1991
05.11,30941,8212,667,1476
05.12,32674,8555,724,1733
05.13,34336,8812,737,1662
05.14,35788,9695,770,1452
05.15,37218,10155,803,1430
05.16,38799,10880,834,1581
05.17,40151,11341,873,1352
05.18,42125,11922,903,1974
05.19,43966,12489,939,1841
05.20,45898,13101,985,1932
05.21,48091,14155,1017,2193
05.22,50694,15201,1067,2603
05.23,52437,16653,1101,1743
05.24,54601,17198,1133,2164
05.25,56349,17482,1167,1748
05.26,57705,18314,1197,1356
05.27,59151,19142,1225,1446
05.28,61227,20231,1260,2076
05.29,64028,22305,1317,2801
05.30,66457,24131,1395,2429
05.31,69496,25271,1483,3039
06.01,72460,26083,1543,2964
06.02,76398,27110,1621,3938
06.03,76398,27110,1621,0
06.04,85264,30128,1770,8866
06.05,89249,31198,1838,3985
06.06,93983,32581,1935,4734
06.07,98943,33465,2002,4960
06.08,103671,34355,2067,4728
06.09,108317,35018,2172,4646
06.10,113702,36308,2255,5385
06.11,119536,38391,2356,5834
06.12,125933,40247,2463,6397
06.13,132405,50056,2551,6472
06.14,139230,51735,2632,6825
06.15,144478,53721,2729,5248
06.16,148921,56390,2839,4443
06.17,154760,58437,2975,5839
06.18,160118,59215,3093,5358
06.19,165062,61383,3229,4944
06.20,171666,63504,3382,6604
06.21,176617,67892,3501,4951
06.22,181088,71458,3590,4471
06.23,185034,73471,3695,3946
06.24,188926,77754,3755,3892
06.25,192970,81307,3903,4044
06.26,195745,84168,3962,2775
06.27,198883,86906,4035,3138
06.28,202955,92624,4118,4072
06.29,206512,95407,4167,3557
06.30,209337,98503,4304,2825
07.01,213470,100802,4395,4133
07.02,217809,104694,4473,4339
07.03,221896,113623,4551,4087
07.04,225283,125094,4619,3387
07.05,228474,129830,4712,3191
07.06,231818,131649,4762,3344
07.07,234509,134957,4839,2691
07.08,237489,140965,4922,2980
07.09,240848,145311,4983,3359
07.10,243599,149092,5058,2751
07.11,246351,153134,5123,2752
07.12,248872,156700,5197,2521
07.13,251625,161917,5266,2753
07.14,253604,170656,5320,1979
07.15,255769,172810,5386,2165
07.16,257914,178737,5426,2145
07.17,259999,183737,5475,2085
07.18,261917,198509,5522,1918
07.19,263496,204276,5568,1579
07.20,265083,205929,5599,1587
07.21,266096,208030,5639,1013
07.22,267428,210468,5677,1332
07.23,269191,213175,5709,1763
07.24,270400,219783,5763,1209
07.25,271887,236596,5787,1487
07.26,273113,237434,5822,1226
07.27,274289,241026,5842,1176
07.28,275225,242436,5865,936
07.29,276288,244883,5892,1063
07.30,277402,246131,5924,1114
07.31,278305,247177,5951,903
08.01,278305,247177,5951,0
08.02,279699,248577,5976,1394
08.03,280029,248873,5984,330
08.04,280461,249397,5999,432
08.05,281136,254286,6014,675
08.06,281863,256058,6035,727
08.07,282645,258099,6052,782
08.08,283487,259604,6068,842
08.09,284121,260248,6082,634
08.10,284660,260764,6097,539
08.11,285191,261246,6112,531
08.12,285921,263193,6129,730
08.13,286674,264060,6139,753
08.14,287300,265215,6153,626
08.15,288047,265624,6162,747
08.16,288717,266301,6168,670
08.17,289215,269087,6175,498
08.18,289832,269989,6190,617
08.19,290445,272128,6201,613
08.20,290958,272804,6209,513
08.21,291588,273579,6219,630
08.22,292174,275317,6231,586
08.23,292765,275836,6235,591
08.24,293261,276829,6244,496
08.25,293711,278425,6255,450
08.26,294193,278939,6267,482
08.27,294638,279561,6274,445
08.28,295053,279937,6283,415
08.29,295372,280340,6284,319
08.30,295636,280547,6288,264
08.31,295849,280682,6294,213
09.01,296149,280970,6298,300
09.02,296590,281459,6318,441
09.03,297014,281925,6328,424
09.04,297512,282268,6335,498
09.05,298025,282553,6340,513
09.06,298509,285898,6342,484
