,confirm,heal,dead,confirm_add
03.06,7,0,0,7
03.07,16,0,0,9
03.08,19,0,0,3
03.09,19,0,0,0
03.10,25,0,0,6
03.11,30,0,0,5
03.12,30,0,0,0
03.13,31,0,0,1
03.14,35,0,0,4
03.15,35,0,0,0
03.16,35,0,0,0
03.17,39,0,0,4
03.18,41,0,0,2
03.19,44,0,0,3
03.20,47,0,0,3
03.21,53,17,0,6
03.22,59,17,0,6
03.23,59,17,0,0
03.24,59,17,0,0
03.25,60,17,0,1
03.26,64,16,1,4
03.27,84,17,1,20
03.28,97,18,1,13
03.29,104,18,1,7
03.30,106,18,1,2
03.31,117,18,1,11
04.01,134,18,1,17
04.02,160,18,1,26
04.03,171,18,1,11
04.04,210,21,1,39
04.05,226,23,1,16
04.06,252,25,1,26
04.07,260,24,1,8
04.08,263,44,1,3
04.09,263,44,1,0
04.10,266,45,2,3
04.11,268,46,2,2
04.12,268,58,2,0
04.13,290,58,2,22
04.14,308,62,2,18
04.15,308,62,2,0
04.16,374,63,2,66
04.17,402,69,2,28
04.18,418,69,2,16
04.19,431,71,2,13
04.20,449,71,3,18
04.21,461,71,4,12
04.22,474,71,4,13
04.23,480,92,4,6
04.24,480,92,4,0
04.25,484,92,4,4
04.26,342,83,2,-142
04.27,342,83,2,0
04.28,342,83,2,0
04.29,344,71,2,2
04.30,344,71,2,0
05.01,344,76,2,0
05.02,353,76,2,9
05.03,353,76,2,0
05.04,354,102,2,1
05.05,366,127,2,12
05.06,371,127,2,5
05.07,374,174,2,3
05.08,375,226,2,1
05.09,375,228,2,0
05.10,375,263,2,0
05.11,375,301,2,0
05.12,375,316,2,0
05.13,375,310,2,0
05.14,375,310,2,0
05.15,375,310,2,0
05.16,375,327,2,0
05.17,381,335,2,6
05.18,381,335,2,0
05.19,388,346,2,7
05.20,398,346,2,10
05.21,398,346,2,0
05.22,423,346,2,25
05.23,423,346,3,0
05.24,423,357,3,0
05.25,423,357,3,0
05.26,426,365,3,3
05.27,434,365,3,8
05.28,435,365,3,1
05.29,446,368,3,11
05.30,447,368,3,1
05.31,448,368,3,1
06.01,449,372,3,1
06.02,451,372,3,2
06.03,451,372,3,0
06.04,464,377,3,13
06.05,464,377,3,0
06.06,464,400,3,0
06.07,464,400,3,0
06.08,472,403,3,8
06.09,474,404,3,2
06.10,481,404,3,7
06.11,485,410,3,4
06.12,489,414,3,4
06.13,489,414,3,0
06.14,489,415,3,0
06.15,501,415,3,12
06.16,506,415,3,5
06.17,532,415,3,26
06.18,579,415,3,47
06.19,663,437,3,84
06.20,759,437,3,96
06.21,827,439,3,68
06.22,975,439,3,148
06.23,1078,442,3,103
06.24,1311,442,3,233
06.25,1362,442,3,51
06.26,1514,446,3,152
06.27,1624,446,3,110
06.28,1854,447,4,230
06.29,2087,447,5,233
06.30,2390,451,5,303
07.01,2708,460,8,318
07.02,2978,460,8,270
07.03,3148,463,10,170
07.04,3599,463,12,451
07.05,4043,482,16,444
07.06,4341,491,17,298
07.07,4647,491,18,306
07.08,5029,494,19,382
07.09,5220,525,22,191
07.10,5551,536,27,331
07.11,5931,536,31,380
07.12,6230,942,34,299
07.13,6473,1084,38,243
07.14,6764,1084,44,291
07.15,7064,1084,44,300
07.16,7412,1084,47,348
07.17,7764,1492,51,352
07.18,8200,1596,55,436
07.19,8549,1921,60,349
07.20,8916,1921,62,367
07.21,9228,1932,64,312
07.22,9398,1932,64,170
07.23,9744,2720,67,346
07.24,10093,2720,70,349
07.25,10306,3282,71,213
07.26,10469,3752,75,163
07.27,10621,3752,77,152
07.28,10938,3752,78,317
07.29,11284,4833,79,346
07.30,11548,5016,81,264
