,confirm,heal,dead,confirm_add
03.10,1,0,0,1
03.11,8,0,1,7
03.12,11,0,1,3
03.13,27,0,1,16
03.14,27,0,1,0
03.15,43,0,1,16
03.16,55,0,1,12
03.17,71,0,1,16
03.18,86,0,1,15
03.19,109,0,1,23
03.20,137,0,1,28
03.21,200,0,1,63
03.22,245,0,3,45
03.23,313,0,3,68
03.24,345,0,6,32
03.25,443,0,6,98
03.26,558,2,6,115
03.27,674,2,6,116
03.28,786,2,14,112
03.29,901,4,17,115
03.30,989,4,24,88
03.31,1075,9,27,86
04.01,1181,9,30,106
04.02,1317,9,32,136
04.03,1475,9,37,158
04.04,1673,10,41,198
04.05,1801,13,46,128
04.06,1988,13,54,187
04.07,2100,14,55,112
04.08,2249,16,59,149
04.09,2528,16,63,279
04.10,2752,16,66,224
04.11,2974,17,74,222
04.12,3234,23,79,260
04.13,3400,29,87,166
04.14,3472,61,94,72
04.15,3574,72,95,102
04.16,3751,75,103,177
04.17,4016,98,109,265
04.18,4210,122,116,194
04.19,4273,140,120,63
04.20,4467,165,126,194
04.21,4658,204,136,191
04.22,4821,231,141,163
04.23,4992,255,144,171
04.24,5166,271,146,174
04.25,5338,319,154,172
04.26,5538,338,159,200
04.27,5779,369,165,241
04.28,6021,455,167,242
04.29,6200,484,176,179
04.30,6378,527,178,178
05.01,6532,576,188,154
05.02,6720,622,192,188
05.03,6720,622,192,0
05.04,7197,641,200,477
05.05,7387,726,203,190
05.06,7523,823,210,136
05.07,7731,859,218,208
05.08,7868,886,225,137
05.09,8070,886,231,202
05.10,8282,4501,237,212
05.11,8448,4687,244,166
05.12,8616,4687,249,168
05.13,8783,6021,252,167
05.14,8944,6067,256,161
05.15,9118,6080,260,174
05.16,9268,6080,266,150
05.17,9449,6080,269,181
05.18,9606,6081,275,157
05.19,9726,6081,279,120
05.20,9867,6194,281,141
05.21,9977,6194,287,110
05.22,10116,6245,291,139
05.23,10267,6275,295,151
05.24,10577,6279,299,310
05.25,10926,6279,306,349
05.26,11183,6279,310,257
05.27,11447,6379,313,264
05.28,11728,7379,315,281
05.29,12131,7379,320,403
05.30,12531,7540,326,400
05.31,13018,9414,330,487
06.01,13463,9514,336,445
06.02,13837,9514,344,374
06.03,13837,9514,344,0
06.04,14609,9519,357,772
06.05,15044,9619,363,435
06.06,15463,9719,370,419
06.07,16004,10118,386,541
06.08,16425,10218,393,421
06.09,16854,10401,398,429
06.10,17233,10561,403,379
06.11,17889,10977,413,656
06.12,18586,10977,418,697
06.13,19211,13759,421,625
06.14,20059,13759,429,848
06.15,20686,13766,437,627
06.16,21422,13766,448,736
06.17,21962,13774,457,540
06.18,22597,13774,470,635
06.19,23351,13782,475,754
06.20,24274,14359,485,923
06.21,25222,14359,493,948
06.22,26030,14359,501,808
06.23,26752,14664,521,722
06.24,27314,14694,536,562
06.25,28030,14794,547,716
06.26,29037,14800,564,1007
06.27,29905,15270,575,868
06.28,30658,15370,592,753
06.29,31686,15470,604,1028
06.30,32785,15595,620,1099
07.01,33550,15745,631,765
07.02,34463,15945,645,913
07.03,35237,16445,667,774
07.04,35995,16945,698,758
