,confirm,heal,dead,confirm_add
03.08,1,0,0,1
03.09,1,0,0,0
03.10,1,0,0,0
03.11,2,0,0,1
03.12,5,0,0,3
03.13,5,0,0,0
03.14,6,0,0,1
03.15,6,0,0,0
03.16,6,0,0,0
03.17,6,0,0,0
03.18,6,0,0,0
03.19,11,0,0,5
03.20,13,0,0,2
03.21,18,0,0,5
03.22,22,0,1,4
03.23,22,0,1,0
03.24,27,0,1,5
03.25,37,0,3,10
03.26,41,0,3,4
03.27,41,0,3,4
03.28,56,1,3,4
03.29,56,1,3,0
03.30,64,1,3,6
03.31,65,1,3,1
04.01,69,1,3,4
04.02,77,2,3,8
04.03,92,4,3,15
04.04,96,12,3,4
04.05,104,12,3,8
04.06,113,12,5,9
04.07,115,15,5,2
04.08,119,15,5,4
04.09,124,18,5,5
04.10,129,18,6,5
04.11,133,18,6,4
04.12,134,22,6,1
04.13,147,22,6,13
04.14,159,22,7,12
04.15,161,23,8,2
04.16,174,30,8,13
04.17,199,30,8,25
04.18,202,35,8,3
04.19,206,41,8,4
04.20,208,46,8,2
04.21,208,53,8,0
04.22,213,62,9,5
04.23,213,62,9,0
04.24,220,70,9,7
04.25,223,78,9,3
04.26,228,85,9,5
04.27,228,85,9,0
04.28,230,95,9,2
04.29,239,102,9,9
04.30,249,111,9,10
05.01,266,113,10,17
05.02,333,115,10,67
05.03,333,115,10,0
05.04,396,126,10,63
05.05,415,130,10,19
05.06,431,135,10,16
05.07,440,142,10,9
05.08,462,148,10,22
05.09,563,152,10,101
05.10,689,155,10,126
05.11,713,165,10,24
05.12,724,170,10,11
05.13,737,173,10,13
05.14,740,182,11,3
05.15,754,184,11,14
05.16,759,193,11,5
05.17,778,198,11,19
05.18,786,202,11,8
05.19,788,219,11,2
05.20,829,230,11,41
05.21,833,242,11,4
05.22,836,256,11,3
05.23,838,264,11,2
05.24,850,298,11,12
05.25,862,307,11,12
05.26,865,344,11,3
05.27,877,382,11,12
05.28,884,392,11,7
05.29,900,402,11,16
05.30,917,413,11,17
05.31,964,466,11,47
06.01,986,477,11,22
06.02,995,488,11,9
06.03,1013,498,11,18
06.04,1070,511,11,57
06.05,1086,511,11,16
06.06,1087,516,11,1
06.07,1090,532,11,3
06.08,1135,575,11,45
06.09,1145,603,11,10
06.10,1187,604,11,42
06.11,1202,619,11,15
06.12,1230,624,11,28
06.13,1254,633,11,24
06.14,1261,647,11,7
06.15,1289,650,11,28
06.16,1296,673,12,7
06.17,1303,699,13,7
06.18,1308,711,13,5
06.19,1330,717,13,22
06.20,1336,741,13,6
06.21,1362,791,13,26
06.22,1379,871,13,17
06.23,1392,903,13,13
06.24,1422,926,13,30
06.25,1528,944,13,106
06.26,1569,976,13,41
06.27,1711,1013,13,142
06.28,1942,1045,15,231
06.29,2127,1065,15,185
06.30,2191,1080,16,64
07.01,2221,1089,17,30
07.02,2260,1102,19,39
07.03,2303,1108,19,43
07.04,2349,1113,19,46
07.05,2385,1134,20,36
07.06,2427,1166,20,42
07.07,2456,1180,20,29
07.08,2502,1193,20,46
07.09,2554,1212,20,52
07.10,2638,1229,20,84
07.11,2736,1256,20,98
07.12,2820,1261,21,84
07.13,2948,1275,22,128
07.14,2980,1293,25,32
07.15,3074,1308,25,94
07.16,3198,1338,25,124
07.17,3342,1379,27,144
07.18,3457,1481,28,115
07.19,3629,1643,29,172
07.20,3721,1918,31,92
07.21,3748,2171,33,27
07.22,3817,2307,35,69
07.23,4000,2391,36,183
07.24,4113,2487,36,113
07.25,4224,2596,38,111
07.26,4328,2679,40,104
07.27,4444,2794,41,116
07.28,4548,2905,43,104
07.29,4674,3039,45,126
07.30,4866,3169,46,192
07.31,5207,3250,47,341
08.01,5338,3548,49,131
08.02,5485,3786,52,147
08.03,5644,3966,52,159
08.04,5724,4249,55,80
08.05,5852,4645,59,128
08.06,6060,4839,61,208
08.07,6375,4974,66,315
08.08,6508,5123,69,133
08.09,6705,5181,72,197
08.10,6907,5222,75,202
08.11,7234,5276,82,327
08.12,7519,5326,86,285
08.13,8018,5384,93,499
08.14,8389,5516,97,371
08.15,9022,5657,108,633
08.16,9381,5841,127,359
08.17,9791,6034,138,410
08.18,10135,6210,145,344
08.19,10606,6402,161,471
08.20,11133,6582,165,527
08.21,11817,6783,170,684
08.22,12536,7007,182,719
08.23,12974,7197,192,438
08.24,13233,7417,205,259
08.25,13602,7649,219,369
08.26,14228,7883,231,626
08.27,14872,8134,247,644
08.28,15290,8348,265,418
08.29,15873,8595,280,583
08.30,16474,8854,294,601
08.31,17105,9146,308,631
09.01,17662,9421,326,557
09.02,18338,9721,348,676
09.03,19138,9981,358,800
09.04,19959,10251,373,821
09.05,20654,10523,398,695
09.06,21871,10810,412,1217
09.07,22486,11133,435,615
09.08,23353,11524,449,867
09.09,24214,11920,463,861
09.10,25026,12309,474,812
09.11,25631,12729,485,605
09.12,26512,13181,496,881
09.13,27324,13679,514,812
09.14,27817,14288,525,493
09.15,28367,14814,539,550
09.16,29298,15261,552,931
09.17,30419,15740,566,1121
09.18,31113,16313,584,694
09.19,32127,16921,611,1014
09.20,33015,17535,636,888
09.21,33520,18117,659,505
09.22,34260,18629,676,740
09.23,34828,19257,705,568
09.24,35571,19867,727,743
09.25,36404,20502,743,833
09.26,37226,21117,761,822
09.27,37922,21757,782,696
09.28,38684,22419,803,762
09.29,39432,23063,818,748
09.30,40101,23748,841,669
10.01,40758,24449,857,657
10.02,41799,25167,869,1041
10.03,42684,25803,890,885
10.04,43452,26512,913,768
10.05,44182,27203,929,730
10.06,44715,27887,947,533
10.07,45647,28546,966,932
