,confirm,heal,dead,confirm_add
03.06,1,0,0,1
03.07,1,0,0,0
03.08,6,0,0,5
03.09,7,0,0,1
03.10,9,0,0,2
03.11,11,0,0,2
03.12,17,0,0,6
03.13,22,0,0,5
03.14,28,0,0,6
03.15,28,0,0,0
03.16,71,0,0,43
03.17,71,0,0,0
03.18,117,0,0,31
03.19,145,0,0,28
03.20,234,2,3,89
03.21,263,2,4,29
03.22,318,2,5,55
03.23,363,2,5,55
03.24,395,2,5,32
03.25,416,1,7,21
03.26,480,2,5,85
03.27,580,14,9,100
03.28,635,14,11,55
03.29,671,16,16,36
03.30,852,16,18,181
03.31,950,53,24,98
04.01,1065,394,30,115
04.02,1323,394,47,258
04.03,1414,537,55,91
04.04,1595,537,61,181
04.05,1746,914,73,151
04.06,2281,989,83,535
04.07,2561,997,92,280
04.08,2954,1301,107,393
04.09,4342,1333,121,1388
04.10,5256,1438,138,914
04.11,5897,1569,169,641
04.12,6848,1739,181,951
04.13,7519,1798,193,671
04.14,9784,2642,216,2265
04.15,10303,2869,230,519
04.16,11475,3108,254,1172
04.17,12491,6120,274,1016
04.18,13489,6541,300,998
04.19,14420,6684,348,931
04.20,15628,6811,400,1208
04.21,16325,6968,445,697
04.22,17837,6982,484,1512
04.23,19250,7027,530,1413
04.24,20914,7422,572,1664
04.25,21648,7496,634,734
04.26,25331,7797,700,3683
04.27,27517,8088,728,2186
04.28,28699,8425,782,1182
04.29,31190,9179,854,2491
04.30,33931,10037,943,2741
05.01,36976,10405,1051,3045
05.02,40459,11129,1124,3483
05.03,42534,12434,1200,2075
05.04,45928,13550,1286,3394
05.05,47372,14427,1344,1444
05.06,51189,15413,1444,3817
05.07,54817,17527,1533,3628
05.08,58526,18388,1627,3709
05.09,61847,19012,1714,3321
05.10,65015,20246,1814,3168
05.11,67307,21349,1889,2292
05.12,68822,22406,1961,1515
05.13,72059,23324,2057,3237
05.14,76306,24324,2169,4247
05.15,80604,25151,2267,4298
05.16,84495,27147,2392,3891
05.17,88541,28272,2523,4046
05.18,92273,28621,2648,3732
05.19,94933,30306,2789,2660
05.20,99483,36524,2914,4550
05.21,104020,41968,3024,4537
05.22,108769,43587,3148,4749
05.23,111698,44848,3244,2929
05.24,115754,47915,3373,4056
05.25,119959,49795,3456,4205
05.26,123979,50949,3629,4020
05.27,129751,52906,3788,5772
05.28,135905,56169,3983,6154
05.29,141779,59442,4099,5874
05.30,148285,62791,4230,6506
05.31,155671,66447,4371,7386
06.01,164476,67208,4506,8805
06.02,170039,68507,4634,5563
06.03,170039,68507,4634,0
06.04,178914,72319,4894,8875
06.05,183198,76228,5031,4284
06.06,187400,79214,5162,4202
06.07,191758,82731,5301,4358
06.08,196515,86219,5465,4757
06.09,199696,89556,5571,3181
06.10,199696,89556,5571,0
06.11,208823,98031,5903,9127
06.12,214788,102429,6088,5965
06.13,220749,107133,6266,5961
06.14,220749,111724,6308,0
06.15,229736,115579,6688,8987
06.16,232992,119409,6860,3256
06.17,237156,125205,7056,4164
06.18,240908,128622,7257,3752
06.19,244388,131190,7461,3480
06.20,244388,131190,7461,0
06.21,251338,143017,7861,6950
06.22,251338,141967,7861,0
06.23,257447,145320,8223,6109
06.24,260810,148437,8404,3363
06.25,264689,151589,8586,3879
06.26,268602,151225,8761,3913
06.27,272364,159806,8939,3762
06.28,275989,164024,9135,3625
06.29,279419,167998,9317,3430
06.30,282365,171159,9504,2946
07.01,285213,174535,9677,2848
07.02,288477,178245,9860,3264
07.03,292004,182097,10045,3527
07.04,295599,185852,10226,3595
07.05,299080,189621,10412,3481
07.06,302718,193957,10589,3638
07.07,305703,197619,10772,2985
07.08,309278,200938,10952,3575
07.09,312911,204748,11133,3633
07.10,316448,207802,11314,3537
07.11,319646,210638,11500,3198
07.12,322710,214152,11682,3064
07.13,326326,217111,11870,3616
07.14,330123,221008,12054,3797
07.15,333867,223261,12229,3744
07.16,337751,226400,12417,3884
07.17,341586,230994,12615,3835
07.18,345537,233982,12799,3951
07.19,349500,238086,12998,3963
07.20,353590,241955,13187,4090
07.21,353590,245081,13187,0
07.22,362087,248746,13579,8497
07.23,366550,252246,13767,4463
07.24,371096,255945,17654,4546
07.25,375961,259423,17843,4865
07.26,375961,263130,17843,0
07.27,375961,267850,17843,0
07.28,389717,272547,18418,13756
07.29,395005,276452,18612,5288
07.30,400683,280044,18816,5678
07.31,400683,283915,18816,0
08.01,407492,287127,19021,6809
08.02,422183,290835,19408,7448
08.03,428850,294187,19614,6667
08.04,433100,298091,19811,4250
08.05,439890,302457,20007,6790
08.06,447624,306430,20228,7734
08.07,455409,310337,20424,7785
08.08,463875,314332,20649,8466
08.09,471012,319171,20844,7137
08.10,478024,324020,21072,7012
08.11,483133,324020,21276,5109
08.12,489680,329404,21501,6547
08.13,498555,341938,21713,8875
08.14,507996,341938,25648,9441
08.15,516296,354232,25856,8300
08.16,516296,359781,25856,0
08.17,535946,365367,26281,19650
08.18,541493,370717,26481,5547
08.19,549321,374019,26658,7828
08.20,558420,377453,26834,9099
08.21,558420,380730,26834,0
08.22,576067,380730,27245,17647
08.23,576067,380730,27245,0
08.24,594326,399357,27663,18259
08.25,600438,399357,27813,6112
08.26,607382,414577,28001,6944
08.27,613378,421877,28124,5996
08.28,621997,429662,28277,8619
08.29,629961,429662,28471,7964
08.30,639435,446675,28607,9474
08.31,639435,446675,28607,0
09.01,652037,462329,28944,12602
09.02,657129,471599,29068,5092
09.03,657129,480177,29068,0
09.04,670145,489886,29405,13016
09.05,676848,498523,29554,6703
09.06,683702,506422,29687,6854
09.07,689977,506422,29838,6275
09.08,691575,522251,29976,1598
09.09,691575,529751,29976,0
09.10,702776,536959,30236,11201
09.11,710067,544745,30344,7291
09.12,716670,544745,30470,6603
09.13,716670,559321,30470,0
09.14,729619,566796,30710,12949
09.15,733860,573364,30812,4241
09.16,738020,580753,30927,4160
09.17,744400,587717,31051,6380
09.18,750098,594513,31146,5698
09.19,756412,594513,31283,6314
09.20,756412,607837,31283,0
09.21,768895,607837,31369,12483
09.22,768895,607837,31369,0
09.23,776546,629094,31568,7651
09.24,782695,636489,31870,6149
09.25,788930,636489,31938,6235
09.26,794584,650948,32037,5654
09.27,800142,657836,32142,5558
09.28,805302,664490,32262,5160
09.29,808714,670989,32324,3412
09.30,811768,676925,32396,3054
10.01,811768,683815,32396,0
10.02,818297,690528,32535,6529
10.03,818297,695645,32535,0
10.04,821564,700868,32609,3267
10.05,828169,706223,32742,6605
10.06,829999,712888,32834,1830
10.07,832929,712888,32914,2930
10.08,835662,723606,33009,2733
10.09,835662,728216,33009,0
10.10,838614,733000,33098,2952
10.11,846088,738189,33223,7474
10.12,849371,743969,33305,3283
10.13,851171,748097,33357,1800
10.14,853974,753959,33419,2803
10.15,856951,759597,33512,2977
10.16,859740,764750,33577,2789
10.17,862417,769077,33648,2677
10.18,862417,774356,33648,0
10.19,868675,779779,33759,6258
10.20,870876,784056,33820,2201
10.21,874118,788494,33875,3242
10.22,876885,792892,33937,2767
10.23,879876,796719,33984,2991
10.24,883116,800480,34033,3240
10.25,886214,803846,34095,3098
10.26,888715,807636,34149,2501
10.27,890574,810995,34197,1859
10.28,892497,814204,34257,1923
10.29,894928,816688,34315,2431
10.30,897594,819717,34362,2666
10.31,897594,822316,34362,0
11.01,900180,825197,34411,2586
11.02,902503,827613,34476,2323
11.03,902503,830612,34476,0
11.04,902503,832929,34476,0
11.05,911787,835694,34671,9284
11.06,914722,838265,34730,2935
11.07,917503,838783,34783,2781
11.08,920010,843600,34821,2507
11.09,922333,846215,34879,2323
11.10,922333,846215,34879,0
11.11,923527,848346,34943,1194
11.12,928006,853208,35031,4479
11.13,928006,856023,35031,0
11.14,930237,858388,35067,2231
11.15,934899,858388,35177,4662
11.16,937011,858388,35231,2112
11.17,938268,865348,35271,1257
11.18,938268,867306,35271,0
11.19,939931,869165,35317,1663
11.20,943917,871534,35446,3986
11.21,946087,873970,35484,2170
11.22,948081,876399,35549,1994
11.23,948081,879439,35549,0
11.24,949670,880645,35595,1589
11.25,952439,882600,35685,2769
11.26,952439,884747,35685,0
11.27,956347,887019,35785,3908
11.28,956347,888815,35785,0
11.29,960368,891004,35879,4021
11.30,962530,893061,35923,2162
12.01,962530,893061,35923,0
12.02,963605,896978,35966,1075
12.03,963605,899213,35966,0
