,confirm,heal,dead,confirm_add
03.04,1,0,0,1
03.05,1,0,0,0
03.06,1,0,0,0
03.07,5,0,0,4
03.08,8,0,0,2
03.09,16,0,0,8
03.10,18,0,0,2
03.11,25,0,0,7
03.12,47,0,1,22
03.13,51,0,1,20
03.14,68,0,1,17
03.15,104,0,3,36
03.16,125,13,3,21
03.17,177,13,5,52
03.18,238,13,5,61
03.19,287,13,5,49
03.20,355,13,5,68
03.21,425,13,5,70
03.22,563,13,7,138
03.23,634,13,7,71
03.24,749,13,8,115
03.25,901,13,10,152
03.26,1051,13,10,150
03.27,1221,13,16,170
03.28,1389,13,16,168
03.29,1638,13,18,249
03.30,1905,7,26,267
03.31,2215,7,32,310
04.01,2420,7,36,205
04.02,2692,56,51,272
04.03,3149,56,59,457
04.04,3503,116,73,354
04.05,3834,134,84,331
04.06,4201,162,98,367
04.07,4532,191,111,331
04.08,5000,222,136,468
04.09,5341,284,164,341
04.10,5742,318,175,401
04.11,6088,375,195,346
04.12,6674,375,232,586
04.13,6934,487,245,260
04.14,7049,618,251,115
04.15,7408,668,268,359
04.16,7771,774,292,363
04.17,8214,866,318,443
04.18,8563,981,339,349
04.19,9082,1040,350,519
04.20,9453,1133,362,371
04.21,9737,1297,385,284
04.22,10034,1513,404,297
04.23,10346,1740,435,312
04.24,10759,1944,463,413
04.25,11067,2126,499,308
04.26,11395,2265,526,328
04.27,11761,2466,539,366
04.28,12089,2655,570,328
04.29,12415,3025,606,326
04.30,12781,3236,628,366
05.01,13105,3491,651,324
05.02,13375,3762,664,270
05.03,13375,3762,664,0
05.04,13937,4095,683,562
05.05,14242,4280,700,305
05.06,14647,4655,723,405
05.07,14898,4862,737,251
05.08,15200,5184,756,302
05.09,15510,5437,777,310
05.10,15821,5698,791,311
05.11,16206,5816,803,385
05.12,16561,6131,827,355
05.13,17062,6410,847,501
05.14,17469,6696,869,407
05.15,17850,6918,893,381
05.16,18184,7175,912,334
05.17,18394,7451,919,210
05.18,18746,7628,929,352
05.19,19080,7903,941,334
05.20,19569,8183,953,489
05.21,19983,8452,965,414
05.22,20379,8731,973,396
05.23,20838,8977,990,459
05.24,21236,9194,995,398
05.25,21440,9276,996,204
05.26,21867,10020,1013,427
05.27,22303,10330,1025,436
05.28,22600,10560,1030,297
05.29,22964,10692,1043,364
05.30,23376,11016,1051,412
05.31,23686,11271,1064,310
06.01,23987,11449,1065,301
06.02,24271,11726,1081,284
06.03,24395,11726,1092,124
06.04,24826,12227,1117,431
06.05,25177,12410,1127,351
06.06,25669,12641,1143,492
06.07,26249,12855,1155,580
06.08,26780,12998,1161,531
06.09,27365,13196,1172,585
06.10,27668,13411,1191,303
06.11,28201,13696,1215,533
06.12,28577,13805,1222,376
06.13,29017,14104,1237,440
06.14,29392,14226,1247,375
06.15,29788,14383,1256,396
06.16,30195,14654,1272,407
06.17,30701,14921,1286,506
06.18,31015,15317,1316,314
06.19,31316,15698,1334,301
06.20,31620,16181,1346,304
06.21,31931,16683,1356,311
06.22,32227,17076,1359,296
06.23,32527,17573,1375,300
06.24,32821,18134,1396,294
06.25,33119,18654,1412,298
06.26,33395,19218,1429,276
06.27,33714,19972,1435,319
06.28,33907,20548,1438,193
06.29,34154,20897,1444,247
06.30,34393,21281,1463,239
07.01,34775,21791,1477,382
07.02,35146,22209,1492,371
07.03,35405,22651,1507,259
07.04,35719,23127,1512,314
07.05,35950,23746,1517,231
07.06,36155,23966,1521,205
07.07,36412,24238,1528,257
07.08,36689,24878,1542,277
07.09,36951,25477,1551,262
07.10,37216,26048,1562,265
07.11,37521,26635,1568,305
07.12,37891,27148,1571,370
07.13,38190,27515,1576,299
07.14,38457,27756,1588,267
07.15,38721,28492,1594,264
07.16,39054,28928,1605,333
07.17,39407,29505,1612,353
07.18,39746,29924,1618,339
07.19,40104,30292,1624,358
07.20,40383,30539,1627,279
07.21,40782,30771,1636,399
07.22,41162,31139,1642,380
07.23,41580,31541,1651,418
07.24,42038,31997,1655,458
07.25,42622,32419,1664,584
07.26,43065,32753,1671,443
07.27,43402,32856,1676,337
07.28,43904,33043,1682,502
07.29,44416,33190,1694,512
07.30,45031,33643,1709,615
07.31,45688,33987,1716,657
08.01,46346,34374,1721,658
08.02,46894,34709,1731,548
08.03,47469,34881,1732,575
08.04,48149,35056,1738,680
08.05,48789,35321,1756,640
08.06,49515,35642,1774,726
08.07,50324,36041,1787,809
08.08,51167,36403,1800,843
08.09,51791,36691,1807,624
08.10,52410,36877,1809,619
08.11,52961,37150,1821,551
08.12,53676,37611,1830,715
08.13,54487,37961,1844,811
08.14,55319,38362,1858,832
08.15,56090,38853,1869,771
08.16,56684,39130,1877,594
08.17,57279,39359,1885,595
08.18,57876,39643,1896,597
08.19,58611,40099,1913,735
08.20,59378,40481,1925,767
08.21,60281,41029,1938,903
08.22,61181,41661,1951,900
08.23,61762,42183,1955,581
08.24,62310,42448,1960,548
08.25,63073,42784,1977,763
08.26,63802,43399,1994,729
08.27,64689,44097,2010,887
08.28,65480,44785,2018,791
08.29,66239,45536,2032,759
08.30,66870,46192,2033,631
08.31,67372,46638,2039,502
09.01,67922,47030,2058,550
09.02,68517,47865,2078,595
09.03,69129,48593,2092,612
09.04,69820,49820,2100,691
09.05,70387,52346,2113,567
09.06,70824,54256,2120,437
09.07,71126,55113,2124,302
09.08,71526,55910,2136,400
09.09,71947,57135,2147,421
09.10,72453,58069,2159,506
09.11,73047,58848,2169,594
09.12,73650,59725,2182,603
09.13,74152,60659,2188,502
09.14,74529,61097,2203,377
09.15,75134,61548,2227,605
09.16,75734,62110,2237,600
09.17,76571,62725,2253,837
09.18,77328,63312,2270,757
09.19,78330,63861,2282,1002
09.20,79240,64302,2293,910
09.21,79988,64604,2298,748
09.22,80699,64972,2316,711
09.23,81673,65561,2344,974
09.24,82809,66158,2369,1136
09.25,84396,66740,2392,1587
09.26,85980,67326,2424,1584
09.27,87330,67904,2432,1350
09.28,88636,68420,2447,1306
09.29,89962,68955,2483,1326
09.30,91514,69695,2513,1552
10.01,93481,70401,2543,1967
10.02,95773,71353,2570,2292
10.03,98140,72209,2604,2367
10.04,100074,73003,2630,1934
10.05,102080,73552,2659,2006
10.06,104316,74158,2717,2236
10.07,107319,75346,2792,3003
10.08,111599,76490,2867,4280
10.09,116338,77875,2919,4739
10.10,121638,78982,2972,5300
10.11,125816,80302,3004,4178
10.12,130210,81201,3039,4394
10.13,135278,82004,3101,5068
10.14,141804,83847,3217,6526
10.15,149903,85588,3308,8099
10.16,157608,87773,3440,7705
10.17,167230,90162,3524,9622
10.18,175766,92651,3573,8536
10.19,183248,94014,3614,7482
10.20,192539,95956,3721,9291
10.21,202579,98884,3851,10040
10.22,214686,102204,4019,12107
10.23,228318,105092,4172,13632
10.24,241946,109344,4351,13628
10.25,253688,112619,4438,11742
10.26,263929,115302,4483,10241
10.27,280229,119237,4615,16300
10.28,299049,123504,4849,18820
10.29,319205,129267,5149,20156
10.30,340834,134724,5351,21629
10.31,362731,140280,5631,21897
11.01,379902,146595,5783,17171
11.02,395480,154413,5875,15578
11.03,414844,159986,6102,19364
11.04,439536,168960,6475,24692
11.05,466679,177681,6842,27143
11.06,493765,188675,7287,27086
11.07,521640,200510,7636,27875
11.08,546425,209363,7872,24785
11.09,568138,219371,8045,21713
11.10,568138,219371,8045,0
11.11,593592,230661,8375,25454
11.12,641496,254349,9080,47904
11.13,665547,267580,9499,24051
11.14,691118,282215,10045,25571
11.15,712972,294783,10348,21854
11.16,733788,306022,10491,20816
11.17,752940,324282,10848,19152
11.18,772823,342883,11451,19883
11.19,796798,361886,12088,23975
11.20,819262,381800,12714,22464
11.21,843475,407075,13288,24213
11.22,861331,423971,13618,17856
11.23,876333,438868,13774,15002
11.24,909066,454717,14314,32733
11.25,924422,469527,14988,15356
11.26,941112,494869,15568,16690
11.27,958416,516636,16147,17304
11.28,973593,538273,16746,15177
11.29,985075,559429,17029,11482
11.30,990811,577514,17150,5736
12.01,999924,597589,17599,9113
12.02,1013747,622980,18208,13823
12.03,1028610,646560,18828,14863
12.04,1041846,666413,19359,13236
12.05,1054273,687910,19861,12427
12.06,1063449,706720,20089,9176
12.07,1067870,722446,20181,4421
12.08,1076180,738845,20592,8310
12.09,1088346,768241,21160,12166
12.10,1102096,792119,21630,13750
12.11,1115201,815356,22174,13105
12.12,1126700,840541,22676,11499
12.13,1135676,858895,22864,8976
12.14,1140572,869155,22960,4896
12.15,1147446,879748,23309,6874
12.16,1159901,892650,23914,12455
12.17,1171854,903349,24345,11953
12.18,1182864,915576,24771,11010
12.19,1194110,927723,25254,11246
12.20,1202700,938269,25397,8590
12.21,1207333,946017,25474,4633
12.22,1214525,954272,25783,7192
12.23,1226883,965178,26255,12358
12.24,1239998,975876,26752,13115
12.25,1249079,984683,26992,9081
12.26,1253957,992381,27061,4878
12.27,1257799,999610,27118,3842
12.28,1261010,1005376,27147,3211
12.29,1268634,1014005,27454,7624
12.30,1281414,1025889,28019,12780
12.31,1294878,1036138,28554,13464
01.01,1305774,1046281,28956,10896
01.02,1312780,1055436,29058,7006
01.03,1318562,1063093,29119,5782
01.04,1322947,1069554,29161,4385
01.05,1330543,1078892,29502,7596
01.06,1344763,1087744,30055,14220
01.07,1356882,1095616,30241,12119
01.08,1365645,1104599,30574,8763
01.09,1376389,1113738,31011,10744
01.10,1385522,1123318,31189,9133
01.11,1390385,1130460,31264,4863
01.12,1395779,1138126,31593,5394
01.13,1404905,1147123,32074,9126
01.14,1414362,1155823,32456,9457
01.15,1422320,1164650,32844,7958
01.16,1429612,1173087,33213,7292
01.17,1435582,1181326,33355,5970
01.18,1438914,1187719,33407,3332
01.19,1443804,1197034,33698,4890
01.20,1450747,1207359,34141,6943
01.21,1457755,1215732,34561,7008
01.22,1464448,1215732,34908,6693
01.23,1470879,1222782,35253,6431
01.24,1475445,1230446,35363,4566
01.25,1478119,1237736,35401,2674
01.26,1482722,1243575,35665,4603
01.27,1489512,1246267,36054,6790
01.28,1496665,1250892,36443,7153
01.29,1502810,1257352,36780,6145
01.30,1508674,1264574,37082,5864
01.31,1513385,1270467,37180,4711
02.01,1515889,1276636,37222,2504
02.02,1520215,1281396,37476,4326
02.03,1527016,1283698,37897,6801
02.04,1533511,1288163,38344,6495
02.05,1539564,1294687,38712,6053
