,confirm,heal,dead,confirm_add
03.02,2,0,0,2
03.03,2,0,0,0
03.04,5,0,0,3
03.05,5,0,0,0
03.06,5,0,0,0
03.07,15,0,0,7
03.08,18,0,0,3
03.09,30,0,0,12
03.10,30,0,0,0
03.11,41,0,0,11
03.12,59,0,0,18
03.13,112,0,0,53
03.14,112,0,0,0
03.15,169,2,0,57
03.16,245,2,0,76
03.17,448,3,1,117
03.18,448,3,1,0
03.19,785,4,2,337
03.20,785,4,2,0
03.21,1280,5,12,495
03.22,1600,5,14,815
03.23,2060,5,23,460
03.24,2362,5,29,762
03.25,2995,22,43,633
03.26,3544,22,60,549
03.27,4268,22,76,724
03.28,5170,43,100,902
03.29,5962,43,119,792
03.30,6408,43,140,446
03.31,7443,43,160,1035
04.01,8251,43,187,808
04.02,9034,68,209,783
04.03,9886,68,246,852
04.04,10524,75,266,638
04.05,11278,75,295,754
04.06,11730,140,311,452
04.07,12442,184,345,712
04.08,13141,196,380,699
04.09,13956,205,409,815
04.10,15472,233,435,1516
04.11,15987,266,470,515
04.12,16585,277,504,598
04.13,16934,277,535,349
04.14,17448,347,567,514
04.15,18091,383,599,643
04.16,18841,493,629,750
04.17,19022,519,657,181
04.18,19685,610,687,663
04.19,20206,610,714,521
04.20,20863,610,735,657
04.21,21379,917,762,516
04.22,21982,1143,785,603
04.23,22353,1201,820,371
04.24,22797,1228,854,444
04.25,23392,1277,880,595
04.26,23864,1329,903,472
04.27,24027,1357,928,163
04.28,24322,1389,948,295
04.29,24505,1470,973,183
04.30,25045,1519,989,540
05.01,25045,1519,989,0
05.02,25190,1671,1023,145
05.03,25190,1671,1023,0
05.04,25524,1712,1063,334
05.05,25702,1743,1074,178
05.06,26182,2076,1089,480
05.07,26715,2258,1105,533
05.08,27268,2422,1114,553
05.09,27406,2499,1126,138
05.10,27581,2549,1135,175
05.11,27679,2549,1144,98
05.12,27913,3013,1163,234
05.13,28132,3182,1175,219
05.14,28319,3198,1184,187
05.15,28583,3328,1190,264
05.16,28810,3822,1203,227
05.17,29036,4636,1218,226
05.18,29209,6430,1231,173
05.19,29432,6431,1247,223
05.20,29660,6452,1263,228
05.21,29912,6452,1277,252
05.22,30200,7590,1289,288
05.23,30471,7705,1302,271
05.24,30623,17549,1316,152
05.25,30788,17822,1330,165
05.26,31007,18096,1342,219
05.27,31292,18349,1356,285
05.28,31596,18637,1369,304
05.29,31946,18911,1383,350
05.30,32203,19186,1396,257
05.31,32500,19409,1410,297
06.01,32700,19552,1424,200
06.02,32895,19869,1436,195
06.03,32895,19869,1436,0
06.04,33592,20323,1455,697
06.05,33969,20526,1465,377
06.06,33969,20526,1465,0
06.07,34693,20995,1479,724
06.08,34885,21156,1485,192
06.09,35306,21339,1492,421
06.10,35306,21339,1492,0
06.11,35910,22002,1504,604
06.12,36180,22200,1505,270
06.13,36463,22438,1512,283
06.14,36690,22669,1517,227
06.15,37036,22852,1520,346
06.16,37336,23212,1522,300
06.17,37672,23580,1523,336
06.18,38089,24010,1524,417
06.19,38464,24477,1527,375
06.20,38841,24906,1528,377
06.21,39133,25376,1530,292
06.22,39392,25548,1534,259
06.23,39737,25829,1540,345
06.24,40104,26083,1543,367
06.25,40415,26382,1549,311
06.26,40866,26633,1555,451
06.27,41189,26864,1561,323
06.28,41189,26864,1561,0
06.29,41912,27205,1568,723
06.30,42141,27505,1576,229
07.01,42454,27798,1579,313
07.02,42782,28097,1587,328
07.03,42782,28097,1587,0
07.04,43569,28772,1605,787
07.05,43897,29017,1614,328
07.06,44129,29166,1620,232
07.07,44416,29445,1629,287
07.08,44859,29714,1631,443
07.09,45277,30049,1644,418
07.10,45679,30350,1646,402
07.11,46221,30655,1654,542
07.12,46221,30655,1654,0
07.13,46818,31065,1662,597
07.14,47051,31550,1668,233
07.15,47426,32110,1676,375
07.16,47765,32476,1679,339
07.17,48077,32790,1682,312
07.18,48390,33153,1684,313
07.19,48636,33369,1689,246
07.20,48771,33547,1691,135
07.21,48898,33769,1697,127
07.22,48898,33769,1697,0
07.23,49379,34369,1705,481
07.24,49379,34369,1705,0
07.25,49955,35010,1716,576
07.26,50164,35217,1717,209
07.27,50299,35375,1719,135
07.28,50410,35626,1722,111
07.29,50410,35626,1722,0
07.30,50868,36140,1727,458
07.31,51072,36483,1735,204
08.01,51310,36783,1737,238
08.02,51463,36984,1738,153
08.03,51569,37111,1738,106
08.04,51681,37318,1739,112
08.05,51848,37565,1740,167
08.06,52061,37840,1743,213
08.07,52351,38087,1746,290
08.08,52537,38364,1750,186
08.09,52537,38364,1750,0
08.10,52825,38600,1759,288
08.11,52945,38760,1761,120
08.12,53223,38940,1764,278
08.13,53548,38940,1770,325
08.14,53783,39374,1772,235
08.15,53981,39585,1775,198
08.16,54102,39697,1778,121
08.17,54234,39800,1779,132
08.18,54234,39800,1779,0
08.19,54701,40129,1786,467
08.20,54992,40264,1788,291
08.21,55211,40473,1792,219
08.22,55452,40652,1794,241
08.23,55597,40774,1796,145
08.24,55720,40880,1801,123
08.25,55912,41021,1805,192
08.26,56274,41184,1807,362
08.27,56673,41357,1809,399
08.28,57074,41556,1815,401
08.29,57448,41766,1818,374
08.30,57768,41885,1819,320
08.31,58012,41961,1822,244
09.01,58243,42104,1824,231
09.02,58633,42233,1827,390
09.03,59051,42427,1829,418
09.04,59457,42576,1833,406
09.05,59943,42793,1838,486
09.06,60258,42953,1840,315
09.07,60507,43016,1843,249
