,confirm,heal,dead,confirm_add
02.29,1,0,0,1
03.01,1,0,0,0
03.02,1,0,0,0
03.03,7,0,0,6
03.04,7,0,0,0
03.05,7,0,0,0
03.06,11,0,0,4
03.07,11,0,0,0
03.08,11,0,0,0
03.09,15,0,0,4
03.10,18,0,0,3
03.11,262,0,0,244
03.12,262,0,0,0
03.13,262,0,0,0
03.14,337,0,0,17
03.15,337,4,0,0
03.16,439,4,0,102
03.17,439,4,0,0
03.18,439,4,0,0
03.19,452,4,0,13
03.20,460,4,0,8
03.21,470,10,0,10
03.22,481,27,0,11
03.23,494,33,0,13
03.24,501,37,0,7
03.25,526,41,0,25
03.26,537,41,0,11
03.27,549,43,0,12
03.28,562,43,0,13
03.29,590,45,1,28
03.30,634,48,1,44
03.31,693,51,1,59
04.01,781,62,2,88
04.02,835,71,2,54
04.03,949,72,3,114
04.04,1075,93,3,126
04.05,1325,109,3,250
04.06,1604,123,4,279
04.07,1832,131,4,228
04.08,2210,178,6,378
04.09,2376,206,6,166
04.10,2512,227,6,136
04.11,2728,247,6,216
04.12,2979,275,7,251
04.13,3231,334,7,252
04.14,3428,373,7,197
04.15,3711,406,7,283
04.16,4103,415,7,392
04.17,4663,464,7,560
04.18,5008,510,8,345
04.19,5448,518,8,440
04.20,6015,555,9,567
04.21,6533,614,9,518
04.22,7141,689,10,608
04.23,7764,750,10,623
04.24,8525,809,10,761
04.25,9358,929,10,833
04.26,10287,1012,10,929
04.27,11244,1066,10,957
04.28,11921,1134,10,677
04.29,12564,1243,10,643
04.30,13409,1372,10,845
05.01,14096,1436,12,687
05.02,14872,1534,12,776
05.03,14872,1534,12,0
05.04,16191,1810,12,1319
05.05,17142,1924,12,951
05.06,17972,2070,12,830
05.07,18890,2286,12,918
05.08,20201,2370,12,1311
05.09,21331,2449,13,1130
05.10,22520,2753,14,1189
05.11,23623,2840,14,1103
05.12,25149,3019,14,1526
05.13,26539,3143,14,1390
05.14,28272,3356,14,1733
05.15,29425,3546,14,1153
05.16,30972,3788,15,1547
05.17,32604,4370,15,1632
05.18,33969,4899,15,1365
05.19,35606,5634,15,1637
05.20,37097,6600,16,1491
05.21,38651,7288,17,1554
05.22,38651,7288,17,0
05.23,42213,8513,21,3562
05.24,43714,9170,23,1501
05.25,45465,10363,26,1751
05.26,47207,11844,28,1742
05.27,48947,13283,30,1740
05.28,50914,15399,33,1967
05.29,52907,20604,36,1993
05.30,55262,25839,36,2355
05.31,56910,30290,38,1648
06.01,58433,33437,40,1523
06.02,60259,36036,43,1826
06.03,60259,36036,43,0
06.04,63741,39468,45,3482
06.05,65495,40935,49,1754
06.06,67195,42527,51,1700
06.07,68790,44338,54,1595
06.08,70158,45935,57,1368
06.09,71879,47569,62,1721
06.10,71879,47569,62,0
