,confirm,heal,dead,confirm_add
03.16,5,0,0,5
03.17,7,0,0,2
03.18,7,0,0,0
03.19,11,0,0,4
03.20,11,0,0,0
03.21,17,0,0,6
03.22,17,0,0,0
03.23,19,0,0,2
03.24,36,0,0,19
03.25,40,0,0,4
03.26,41,0,0,1
03.27,50,0,0,9
03.28,54,0,0,4
03.29,60,0,0,6
03.30,70,0,0,10
03.31,70,0,0,0
04.01,75,0,0,5
04.02,82,0,0,7
04.03,84,0,0,2
04.04,89,0,0,5
04.05,102,4,0,13
04.06,104,4,0,2
04.07,105,4,0,1
04.08,105,7,0,0
04.09,110,7,0,5
04.10,113,7,0,3
04.11,118,18,0,5
04.12,120,18,0,2
04.13,126,25,0,6
04.14,127,42,0,1
04.15,134,49,0,7
04.16,136,54,0,2
04.17,138,60,0,2
04.18,143,65,0,5
04.19,144,69,0,1
04.20,147,76,0,3
04.21,147,80,0,0
04.22,150,84,0,3
04.23,153,84,0,3
04.24,154,87,0,1
04.25,176,87,0,22
04.26,183,88,0,7
04.27,191,92,0,8
04.28,207,93,0,16
04.29,212,95,0,5
04.30,225,98,0,13
05.01,243,104,0,18
05.02,249,109,0,6
05.03,255,120,0,6
05.04,259,124,0,4
05.05,261,128,0,2
05.06,261,129,0,0
05.07,268,130,0,7
05.08,271,133,0,3
05.09,273,136,0,2
05.10,280,140,0,7
05.11,284,140,0,4
05.12,285,150,0,1
05.13,286,153,0,1
05.14,287,164,0,1
05.15,287,168,0,0
05.16,287,177,0,0
05.17,289,178,0,2
05.18,292,197,0,3
05.19,297,203,0,5
05.20,308,209,0,11
05.21,314,216,0,6
05.22,320,217,0,6
05.23,321,222,0,1
05.24,325,227,0,4
05.25,327,237,0,2
05.26,336,238,0,9
05.27,339,244,0,3
05.28,346,245,0,7
05.29,349,245,0,3
05.30,355,247,0,6
05.31,359,250,1,4
06.01,370,256,1,11
06.02,377,262,1,7
06.03,384,269,2,7
06.04,397,271,2,13
06.05,410,280,2,13
06.06,420,282,2,10
06.07,431,283,2,11
06.08,439,290,2,8
06.09,451,297,2,12
06.10,463,300,2,12
06.11,476,307,2,13
06.12,494,313,2,18
06.13,510,321,2,16
06.14,541,332,2,31
06.15,582,332,2,41
06.16,612,338,2,30
06.17,636,338,2,24
06.18,639,347,2,3
06.19,646,350,2,7
06.20,661,351,2,15
06.21,702,357,2,41
06.22,728,359,2,26
06.23,787,370,2,59
06.24,798,371,2,11
06.25,830,376,2,32
06.26,850,385,2,20
06.27,858,398,2,8
06.28,878,413,2,20
06.29,900,443,2,22
06.30,1001,443,2,101
07.01,1025,447,2,24
07.02,1042,480,3,17
07.03,1063,493,3,21
07.04,1081,512,3,18
07.05,1092,523,3,11
07.06,1105,567,3,13
07.07,1113,575,3,8
07.08,1172,595,3,59
07.09,1194,610,3,22
07.10,1210,623,3,16
07.11,1252,635,3,42
07.12,1299,663,4,47
07.13,1337,684,4,38
07.14,1378,710,4,41
07.15,1416,737,4,38
07.16,1435,752,4,19
07.17,1473,770,4,38
07.18,1485,811,4,12
07.19,1539,819,5,54
07.20,1582,834,5,43
07.21,1629,838,5,47
07.22,1655,848,5,26
07.23,1689,867,5,34
07.24,1710,889,5,21
07.25,1729,900,5,19
07.26,1752,907,5,23
07.27,1821,918,5,69
07.28,1879,975,5,58
07.29,1926,1005,5,47
07.30,1963,1036,5,37
07.31,1994,1085,5,31
08.01,2022,1106,5,28
08.02,2042,1119,5,20
08.03,2062,1144,5,20
08.04,2092,1169,5,30
08.05,2099,1222,5,7
08.06,2104,1237,5,5
08.07,2111,1258,5,7
08.08,2128,1297,5,17
08.09,2134,1300,6,6
08.10,2140,1346,7,6
08.11,2152,1392,7,12
08.12,2171,1478,7,19
08.13,2189,1524,8,18
08.14,2200,1558,8,11
08.15,2293,1604,8,93
08.16,2352,1631,8,59
08.17,2453,1648,8,101
08.18,2540,1661,8,87
08.19,2577,1683,10,37
08.20,2644,1698,10,67
08.21,2717,1705,11,73
08.22,2780,1712,11,63
08.23,2889,1754,11,109
08.24,3089,1755,12,200
08.25,3306,1785,14,217
08.26,3537,1806,15,231
08.27,3625,1810,15,88
08.28,3672,1863,15,47
08.29,3742,1866,16,70
08.30,3843,1904,16,101
08.31,4020,1918,16,177
09.01,4063,2013,16,43
09.02,4142,2044,16,79
09.03,4218,2071,17,76
09.04,4255,2163,18,37
09.05,4304,2191,18,49
09.06,4349,2199,18,45
09.07,4374,2235,19,25
09.08,4409,2271,19,35
09.09,4439,2307,20,30
09.10,4460,2325,21,21
09.11,4479,2352,22,19
09.12,4534,2450,22,55
09.13,4565,2544,22,31
09.14,4591,2556,22,26
09.15,4602,2736,22,11
09.16,4624,2767,22,22
09.17,4634,2789,22,10
09.18,4653,2817,23,19
09.19,4671,2845,25,18
09.20,4689,2910,26,18
09.21,4711,2961,26,22
09.22,4722,2973,27,11
09.23,4738,2991,27,16
09.24,4779,2995,27,41
09.25,4789,3050,27,10
09.26,4798,3080,29,9
09.27,4811,3091,29,13
09.28,4820,3099,29,9
09.29,4832,3117,29,12
09.30,4836,3125,29,4
10.01,4840,3154,29,4
10.02,4843,3181,29,3
10.03,4847,3197,29,4
10.04,4852,3211,29,5
10.05,4866,3216,29,14
10.06,4867,3226,29,1
10.07,4873,3246,29,6
10.08,4883,3408,29,10
10.09,4885,3542,29,2
10.10,4890,3555,30,5
10.11,4892,3566,30,2
10.12,4896,3606,31,4
10.13,4905,3877,32,9
10.14,4908,4130,32,3
10.15,4940,4398,33,32
10.16,4953,4601,33,13
10.17,4965,4664,34,12
10.18,4971,4768,34,6
10.19,4974,4783,34,3
10.20,4992,4797,34,18
10.21,4996,4797,34,4
10.22,5012,4798,34,16
10.23,5017,4803,34,5
10.24,5052,4806,34,35
10.25,5060,4806,34,8
10.26,5066,4830,34,6
10.27,5073,4848,34,7
10.28,5084,4851,35,11
10.29,5129,4851,35,45
10.30,5131,4851,35,2
10.31,5134,4878,35,3
11.01,5137,4879,35,3
11.02,5146,4921,35,9
11.03,5155,4922,35,9
11.04,5162,4930,35,7
11.05,5174,4930,35,12
11.06,5192,4940,36,18
11.07,5208,4953,36,16
11.08,5213,4953,36,5
11.09,5222,4960,36,9
11.10,5242,4967,38,20
11.11,5262,4967,40,20
11.12,5312,4974,41,50
11.13,5319,4974,41,7
11.14,5362,4993,42,43
11.15,5394,4994,42,32
11.16,5455,4995,45,61
11.17,5491,5004,45,36
11.18,5507,5008,46,16
11.19,5543,5087,46,36
11.20,5572,5137,46,29
11.21,5586,5159,46,14
11.22,5620,5163,46,34
11.23,5665,5164,47,45
11.24,5726,5197,47,61
11.25,5750,5241,47,24
11.26,5779,5317,47,29
11.27,5851,5345,47,72
11.28,5872,5397,47,21
11.29,5891,5480,47,19
11.30,5919,5480,48,28
12.01,5934,5516,49,15
12.02,5948,5544,49,14
12.03,5994,5575,50,46
12.04,6011,5596,50,17
12.05,6043,5672,51,32
12.06,6084,5696,51,41
12.07,6129,5696,51,45
12.08,6191,5696,51,62
12.09,6237,5715,51,46
12.10,6278,5715,53,41
12.11,6349,5789,53,71
12.12,6428,5826,54,79
12.13,6528,5892,56,100
12.14,6659,5955,56,131
12.15,6747,5996,56,88
12.16,6832,6036,57,85
12.17,6954,6057,57,122
12.18,7032,6089,57,78
12.19,7105,6089,57,73
12.20,7232,6089,59,127
12.21,7293,6091,63,61
12.22,7402,6100,65,109
12.23,7511,6163,66,109
12.24,7598,6163,66,87
12.25,7670,6203,69,72
12.26,7743,6203,69,73
12.27,7817,6227,72,74
12.28,7970,6289,74,153
12.29,8021,6339,75,51
12.30,8128,6339,79,107
12.31,8250,6369,86,122
01.01,8383,6542,92,133
01.02,8460,6598,94,77
01.03,8567,6685,98,107
