,confirm,heal,dead,confirm_add
03.26,2,0,0,0
03.27,2,0,0,0
03.28,2,0,0,0
03.29,2,0,0,0
03.30,7,0,0,5
03.31,8,0,0,1
04.01,8,0,0,0
04.02,8,0,0,0
04.03,9,0,0,1
04.04,9,0,0,0
04.05,9,0,0,0
04.06,10,0,0,1
04.07,11,0,0,1
04.08,11,0,0,0
04.09,11,0,0,0
04.10,11,0,0,0
04.11,12,0,0,1
04.12,12,0,0,0
04.13,12,0,0,0
04.14,12,0,0,0
04.15,14,0,0,2
04.16,14,0,0,0
04.17,14,0,0,0
04.18,14,0,0,0
04.19,14,0,0,0
04.20,15,0,0,1
04.21,15,0,0,0
04.22,15,0,0,0
04.23,15,1,0,0
04.24,15,2,0,0
04.25,15,2,0,0
04.26,15,2,0,0
04.27,15,2,0,0
04.28,15,4,0,0
04.29,15,4,0,0
04.30,15,6,0,0
05.01,15,6,0,0
05.02,15,8,0,0
05.03,15,8,0,0
05.04,15,8,0,0
05.05,15,8,0,0
05.06,15,12,0,0
05.07,15,12,0,0
05.08,15,12,0,0
05.09,15,13,0,0
05.10,15,14,0,0
05.11,15,14,0,0
05.12,15,14,0,0
05.13,15,14,0,0
05.14,15,14,0,0
05.15,15,14,0,0
05.16,15,14,0,0
05.17,15,14,0,0
05.18,15,14,0,0
05.19,15,15,0,0
05.20,15,15,0,0
05.21,15,15,0,0
05.22,15,15,0,0
05.23,15,15,0,0
05.24,15,15,0,0
05.25,15,15,0,0
05.26,15,15,0,0
05.27,15,15,0,0
05.28,15,15,0,0
05.29,15,15,0,0
05.30,15,15,0,0
05.31,15,15,0,0
06.01,15,15,0,0
06.02,15,15,0,0
06.03,15,15,0,0
06.04,15,15,0,0
06.05,15,15,0,0
06.06,15,15,0,0
06.07,15,15,0,0
06.08,15,15,0,0
06.09,15,15,0,0
06.10,15,15,0,0
06.11,15,15,0,0
06.12,15,15,0,0
06.13,15,15,0,0
06.14,15,15,0,0
06.15,15,15,0,0
06.16,15,15,0,0
06.17,15,15,0,0
06.18,15,15,0,0
06.19,15,15,0,0
06.20,15,15,0,0
06.21,15,15,0,0
06.22,15,15,0,0
06.23,15,15,0,0
06.24,15,15,0,0
06.25,15,15,0,0
06.26,15,15,0,0
06.27,15,15,0,0
06.28,15,15,0,0
06.29,15,15,0,0
06.30,15,15,0,0
07.01,15,15,0,0
07.02,15,15,0,0
07.03,15,15,0,0
07.04,15,15,0,0
07.05,16,15,0,1
07.06,16,15,0,0
07.07,16,15,0,0
07.08,16,15,0,0
07.09,16,15,0,0
07.10,16,15,0,0
07.11,17,15,0,1
07.12,17,15,0,0
07.13,17,15,0,0
07.14,17,15,0,0
07.15,17,15,0,0
07.16,17,15,0,0
07.17,17,15,0,0
07.18,17,15,0,0
07.19,17,15,0,0
07.20,17,15,0,0
07.21,17,15,0,0
07.22,17,15,0,0
07.23,17,15,0,0
07.24,17,15,0,0
07.25,17,15,0,0
07.26,17,15,0,0
07.27,17,15,0,0
07.28,17,15,0,0
07.29,17,15,0,0
07.30,17,15,0,0
07.31,17,15,0,0
08.01,17,16,0,0
08.02,17,16,0,0
08.03,17,16,0,0
08.04,17,16,0,0
08.05,17,16,0,0
08.06,17,16,0,0
08.07,17,16,0,0
08.08,17,16,0,0
08.09,17,16,0,0
08.10,17,16,0,0
08.11,17,17,0,0
08.12,17,17,0,0
08.13,17,17,0,0
08.14,17,17,0,0
08.15,17,17,0,0
08.16,17,17,0,0
08.17,17,17,0,0
08.18,17,17,0,0
08.19,17,17,0,0
08.20,17,17,0,0
08.21,17,17,0,0
08.22,17,17,0,0
08.23,17,17,0,0
08.24,17,17,0,0
08.25,17,17,0,0
08.26,17,17,0,0
08.27,17,17,0,0
08.28,17,17,0,0
08.29,17,17,0,0
08.30,17,17,0,0
08.31,17,17,0,0
09.01,17,17,0,0
09.02,17,17,0,0
09.03,17,17,0,0
09.04,17,17,0,0
09.05,17,17,0,0
09.06,17,17,0,0
09.07,17,17,0,0
09.08,17,17,0,0
09.09,17,17,0,0
09.10,17,17,0,0
09.11,17,17,0,0
09.12,17,17,0,0
09.13,17,17,0,0
09.14,17,17,0,0
09.15,17,17,0,0
09.16,17,17,0,0
09.17,17,17,0,0
09.18,17,17,0,0
09.19,17,17,0,0
09.20,17,17,0,0
09.21,17,17,0,0
09.22,19,17,0,2
09.23,19,17,0,0
09.24,19,17,0,0
09.25,19,17,0,0
09.26,19,17,0,0
09.27,19,17,0,0
09.28,19,17,0,0
09.29,19,17,0,0
09.30,19,17,0,0
10.01,19,17,0,0
10.02,19,17,0,0
10.03,19,17,0,0
10.04,19,17,0,0
10.05,19,17,0,0
10.06,19,17,0,0
10.07,19,17,0,0
10.08,19,17,0,0
10.09,19,18,0,0
10.10,19,18,0,0
10.11,19,18,0,0
10.12,19,18,0,0
10.13,19,19,0,0
10.14,19,19,0,0
10.15,19,19,0,0
10.16,19,19,0,0
10.17,19,19,0,0
10.18,19,19,0,0
10.19,19,19,0,0
10.20,19,19,0,0
10.21,19,19,0,0
10.22,19,19,0,0
10.23,19,19,0,0
10.24,19,19,0,0
10.25,19,19,0,0
10.26,19,19,0,0
10.27,19,19,0,0
10.28,19,19,0,0
10.29,19,19,0,0
10.30,19,19,0,0
10.31,19,19,0,0
11.01,19,19,0,0
11.02,19,19,0,0
11.03,19,19,0,0
11.04,19,19,0,0
11.05,19,19,0,0
11.06,19,19,0,0
11.07,19,19,0,0
11.08,19,19,0,0
11.09,19,19,0,0
11.10,19,19,0,0
11.11,19,19,0,0
11.12,19,19,0,0
11.13,19,19,0,0
11.14,19,19,0,0
11.15,19,19,0,0
11.16,19,19,0,0
11.17,19,19,0,0
11.18,19,19,0,0
11.19,19,19,0,0
11.20,19,19,0,0
11.21,19,19,0,0
11.22,19,19,0,0
11.23,20,19,0,1
11.24,20,19,0,0
11.25,22,19,0,2
11.26,22,19,0,0
11.27,22,19,0,0
11.28,22,19,0,0
11.29,22,19,0,0
11.30,22,19,0,0
12.01,22,19,0,0
12.02,22,19,0,0
12.03,22,19,0,0
12.04,22,19,0,0
12.05,22,19,0,0
12.06,25,20,0,3
12.07,25,20,0,0
12.08,25,21,0,0
12.09,25,21,0,0
12.10,25,23,0,0
12.11,26,23,0,1
12.12,27,23,0,1
12.13,27,23,0,0
12.14,27,23,0,0
12.15,28,23,0,1
12.16,28,23,0,0
12.17,28,23,0,0
12.18,28,24,0,0
12.19,30,24,0,2
12.20,30,24,0,0
12.21,30,24,0,0
12.22,30,25,0,0
12.23,30,25,0,0
12.24,30,25,0,0
12.25,30,26,0,0
12.26,30,26,0,0
12.27,30,26,0,0
12.28,32,27,0,2
12.29,32,27,0,0
12.30,32,27,0,0
12.31,32,29,0,0
01.01,32,29,0,0
01.02,32,29,0,0
01.03,33,31,0,1
01.04,33,31,0,0
01.05,33,31,0,0
01.06,33,31,0,0
01.07,33,31,0,0
01.08,33,31,0,0
01.09,34,31,0,1
01.10,34,31,0,0
01.11,34,31,0,0
01.12,34,31,0,0
01.13,34,31,0,0
01.14,34,31,0,0
01.15,34,31,0,0
01.16,34,32,0,0
01.17,34,32,0,0
01.18,34,32,0,0
01.19,35,33,0,1
01.20,35,33,0,0
01.21,35,33,0,0
01.22,35,33,0,0
01.23,35,33,0,0
01.24,35,33,0,0
01.25,35,33,0,0
01.26,35,35,0,0
01.27,37,35,0,2
01.28,37,35,0,0
01.29,37,35,0,0
01.30,37,35,0,0
01.31,37,35,0,0
02.01,37,35,0,0
02.02,38,35,0,1
02.03,39,35,0,1
02.04,39,36,0,0
02.05,39,36,0,0
02.06,40,36,0,1
02.07,40,36,0,0
02.08,40,36,0,0
02.09,40,36,0,0
02.10,40,38,0,0
02.11,40,38,0,0
02.12,40,38,0,0
02.13,40,38,0,0
02.14,40,38,0,0
02.15,41,39,0,1
02.16,41,39,0,0
02.17,41,39,0,0
02.18,41,39,0,0
02.19,41,39,0,0
02.20,41,39,0,0
02.21,41,39,0,0
02.22,41,39,0,0
02.23,41,39,0,0
02.24,41,39,0,0
02.25,41,39,0,0
02.26,41,40,0,0
02.27,41,40,0,0
02.28,41,40,0,0
03.01,41,40,0,0
03.02,41,40,0,0
03.03,41,40,0,0
03.04,41,40,0,0
03.05,41,40,0,0
03.06,41,41,0,0
03.07,41,41,0,0
03.08,41,41,0,0
03.09,41,41,0,0
03.10,41,41,0,0
03.11,41,41,0,0
03.12,42,41,0,1
03.13,42,41,0,0
03.14,43,41,0,1
03.15,43,41,0,0
03.16,43,41,0,0
03.17,43,41,0,0
03.18,44,42,0,1
03.19,44,42,0,0
03.20,44,42,0,0
03.21,44,42,0,0
03.22,44,42,0,0
03.23,44,42,0,0
03.24,44,42,0,0
03.25,44,42,0,0
03.26,44,42,0,0
03.27,44,42,0,0
03.28,44,42,0,0
03.29,44,42,0,0
03.30,44,42,0,0
03.31,44,43,0,0
04.01,44,43,0,0
04.02,44,44,0,0
04.03,44,44,0,0
04.04,44,44,0,0
