,confirm,heal,dead,confirm_add
03.21,2,0,0,0
03.22,2,0,0,0
03.23,2,0,0,0
03.24,3,0,0,1
03.25,3,0,0,0
03.26,3,0,0,0
03.27,3,1,0,0
03.28,3,1,0,0
03.29,4,1,0,1
03.30,9,1,0,5
03.31,9,1,0,0
04.01,13,1,0,4
04.02,13,1,0,0
04.03,13,1,0,0
04.04,13,1,0,0
04.05,14,1,0,1
04.06,14,1,0,0
04.07,14,1,0,0
04.08,14,1,0,0
04.09,14,1,0,0
04.10,14,1,0,0
04.11,15,1,0,1
04.12,15,4,0,0
04.13,15,4,0,0
04.14,15,4,0,0
04.15,15,11,0,0
04.16,15,11,0,0
04.17,15,11,0,0
04.18,15,11,0,0
04.19,15,11,0,0
04.20,15,11,0,0
04.21,15,13,0,0
04.22,15,13,0,0
04.23,15,15,0,0
04.24,15,15,0,0
04.25,15,15,0,0
04.26,15,15,0,0
04.27,15,15,0,0
04.28,15,15,0,0
04.29,15,15,0,0
04.30,17,15,0,2
05.01,17,15,0,0
05.02,17,15,0,0
05.03,17,15,0,0
05.04,18,15,0,1
05.05,18,15,0,0
05.06,18,15,0,0
05.07,18,15,0,0
05.08,18,17,0,0
05.09,18,17,0,0
05.10,18,17,0,0
05.11,18,17,0,0
05.12,18,17,0,0
05.13,18,17,0,0
05.14,18,18,0,0
05.15,18,18,0,0
05.16,18,18,0,0
05.17,18,18,0,0
05.18,18,18,0,0
05.19,18,18,0,0
05.20,18,18,0,0
05.21,18,18,0,0
05.22,18,18,0,0
05.23,18,18,0,0
05.24,18,18,0,0
05.25,18,18,0,0
05.26,18,18,0,0
05.27,18,18,0,0
05.28,18,18,0,0
05.29,18,18,0,0
05.30,18,18,0,0
05.31,18,18,0,0
06.01,18,18,0,0
06.02,18,18,0,0
06.03,18,18,0,0
06.04,18,18,0,0
06.05,19,18,0,1
06.06,19,18,0,0
06.07,19,18,0,0
06.08,19,18,0,0
06.09,19,18,0,0
06.10,19,18,0,0
06.11,19,18,0,0
06.12,19,18,0,0
06.13,19,18,0,0
06.14,19,18,0,0
06.15,19,18,0,0
06.16,19,18,0,0
06.17,19,18,0,0
06.18,19,18,0,0
06.19,19,18,0,0
06.20,19,18,0,0
06.21,19,18,0,0
06.22,19,18,0,0
06.23,19,18,0,0
06.24,19,18,0,0
06.25,19,19,0,0
06.26,19,19,0,0
06.27,19,19,0,0
06.28,19,19,0,0
06.29,19,19,0,0
06.30,19,19,0,0
07.01,19,19,0,0
07.02,19,19,0,0
07.03,22,19,0,3
07.04,22,19,0,0
07.05,22,19,0,0
07.06,22,19,0,0
07.07,22,19,0,0
07.08,22,19,0,0
07.09,22,19,0,0
07.10,22,19,0,0
07.11,22,19,0,0
07.12,22,19,0,0
07.13,22,19,0,0
07.14,22,19,0,0
07.15,22,19,0,0
07.16,22,19,0,0
07.17,23,19,0,1
07.18,23,19,0,0
07.19,23,19,0,0
07.20,23,19,0,0
07.21,23,19,0,0
07.22,23,19,0,0
07.23,23,19,0,0
07.24,24,22,0,1
07.25,24,22,0,0
07.26,24,22,0,0
07.27,24,22,0,0
07.28,24,22,0,0
07.29,24,22,0,0
07.30,24,22,0,0
07.31,25,22,0,1
08.01,25,22,0,0
08.02,25,22,0,0
08.03,25,22,0,0
08.04,25,22,0,0
08.05,25,22,0,0
08.06,25,24,0,0
08.07,25,24,0,0
08.08,25,24,0,0
08.09,25,24,0,0
08.10,25,24,0,0
08.11,25,25,0,0
08.12,25,25,0,0
08.13,25,25,0,0
08.14,25,25,0,0
08.15,25,25,0,0
08.16,25,25,0,0
08.17,25,25,0,0
08.18,25,25,0,0
08.19,26,25,0,1
08.20,26,25,0,0
08.21,26,25,0,0
08.22,26,25,0,0
08.23,26,25,0,0
08.24,26,25,0,0
08.25,26,25,0,0
08.26,26,25,0,0
08.27,26,25,0,0
08.28,26,25,0,0
08.29,26,25,0,0
08.30,26,25,0,0
08.31,26,25,0,0
09.01,26,25,0,0
09.02,26,26,0,0
09.03,26,26,0,0
09.04,26,26,0,0
09.05,26,26,0,0
09.06,26,26,0,0
09.07,26,26,0,0
09.08,26,26,0,0
09.09,26,26,0,0
09.10,27,26,0,1
09.11,27,26,0,0
09.12,27,26,0,0
09.13,27,26,0,0
09.14,27,26,0,0
09.15,27,26,0,0
09.16,27,26,0,0
09.17,27,26,0,0
09.18,27,26,0,0
09.19,27,26,0,0
09.20,27,26,0,0
09.21,27,26,0,0
09.22,27,26,0,0
09.23,27,26,0,0
09.24,27,26,0,0
09.25,27,26,0,0
09.26,27,27,0,0
09.27,27,27,0,0
09.28,27,27,0,0
09.29,27,27,0,0
09.30,27,27,0,0
10.01,27,27,0,0
10.02,27,27,0,0
10.03,27,27,0,0
10.04,27,27,0,0
10.05,27,27,0,0
10.06,27,27,0,0
10.07,27,27,0,0
10.08,28,27,0,1
10.09,28,27,0,0
10.10,28,27,0,0
