,confirm,heal,dead,confirm_add
03.21,1,0,0,0
03.22,1,0,0,0
03.23,1,0,0,0
03.24,1,0,0,0
03.25,1,0,0,0
03.26,1,0,0,0
03.27,1,0,0,0
03.28,1,0,0,0
03.29,1,1,0,0
03.30,1,1,0,0
03.31,1,1,0,0
04.01,1,1,0,0
04.02,2,1,0,1
04.03,3,1,0,1
04.04,7,1,0,4
04.05,7,1,0,0
04.06,7,1,0,0
04.07,7,1,0,0
04.08,8,1,0,1
04.09,8,1,0,0
04.10,12,1,0,4
04.11,12,1,0,0
04.12,12,1,0,0
04.13,12,1,0,0
04.14,12,1,0,0
04.15,12,1,0,0
04.16,12,1,0,0
04.17,12,1,0,0
04.18,12,1,0,0
04.19,12,1,0,0
04.20,12,1,0,0
04.21,12,2,0,0
04.22,13,3,0,1
04.23,13,3,0,0
04.24,14,5,0,1
04.25,14,5,0,0
04.26,14,5,0,0
04.27,15,5,0,1
04.28,15,8,0,0
04.29,15,8,0,0
04.30,16,8,0,1
05.01,16,8,0,0
05.02,16,8,0,0
05.03,16,8,0,0
05.04,17,9,0,1
05.05,17,9,0,0
05.06,17,9,0,0
05.07,17,9,0,0
05.08,17,9,0,0
05.09,17,9,0,0
05.10,17,9,0,0
05.11,17,9,0,0
05.12,17,9,0,0
05.13,17,12,0,0
05.14,17,12,0,0
05.15,17,14,0,0
05.16,17,14,0,0
05.17,17,14,0,0
05.18,17,14,0,0
05.19,17,14,0,0
05.20,17,14,0,0
05.21,18,14,0,1
05.22,18,14,0,0
05.23,18,14,0,0
05.24,18,14,0,0
05.25,18,14,0,0
05.26,18,14,0,0
05.27,18,14,0,0
05.28,25,14,0,7
05.29,25,14,0,0
05.30,26,14,0,1
05.31,26,15,0,0
06.01,26,15,0,0
06.02,26,15,0,0
06.03,26,15,0,0
06.04,26,15,0,0
06.05,26,15,0,0
06.06,26,15,0,0
06.07,26,15,0,0
06.08,27,16,0,1
06.09,27,16,0,0
06.10,27,25,0,0
06.11,27,25,0,0
06.12,27,25,0,0
06.13,27,25,0,0
06.14,27,25,0,0
06.15,27,25,0,0
06.16,27,25,0,0
06.17,29,25,0,2
06.18,29,25,0,0
06.19,29,26,0,0
06.20,29,26,0,0
06.21,29,26,0,0
06.22,29,26,0,0
06.23,29,26,0,0
06.24,29,27,0,0
06.25,29,27,0,0
06.26,29,29,0,0
06.27,29,29,0,0
06.28,29,29,0,0
06.29,29,29,0,0
06.30,29,29,0,0
07.01,29,29,0,0
07.02,29,29,0,0
07.03,29,29,0,0
07.04,29,29,0,0
07.05,29,29,0,0
07.06,29,29,0,0
07.07,29,29,0,0
07.08,29,29,0,0
07.09,29,29,0,0
07.10,29,29,0,0
07.11,29,29,0,0
07.12,29,29,0,0
07.13,35,29,0,6
07.14,35,29,0,0
07.15,35,29,0,0
07.16,35,29,0,0
07.17,35,29,0,0
07.18,35,29,0,0
07.19,38,29,0,3
07.20,50,29,0,12
07.21,50,29,0,0
07.22,50,29,0,0
07.23,52,37,0,2
07.24,52,37,0,0
07.25,52,39,0,0
07.26,52,39,0,0
07.27,52,39,0,0
07.28,52,39,0,0
07.29,52,39,0,0
07.30,52,39,0,0
07.31,54,44,0,2
08.01,54,44,0,0
08.02,55,45,0,1
08.03,55,45,0,0
08.04,55,45,0,0
08.05,55,45,0,0
08.06,56,46,0,1
08.07,56,46,0,0
08.08,56,49,0,0
08.09,56,49,0,0
08.10,57,52,0,1
08.11,57,52,0,0
08.12,57,52,0,0
08.13,57,52,0,0
08.14,57,55,0,0
08.15,57,55,0,0
08.16,57,55,0,0
08.17,57,55,0,0
08.18,58,55,0,1
08.19,58,55,0,0
08.20,58,56,0,0
08.21,58,56,0,0
08.22,58,56,0,0
08.23,58,56,0,0
08.24,58,56,0,0
08.25,58,56,0,0
08.26,58,57,0,0
08.27,58,57,0,0
08.28,60,57,0,2
08.29,60,57,0,0
08.30,60,57,0,0
08.31,60,57,0,0
09.01,60,57,0,0
09.02,61,57,0,1
09.03,61,57,0,0
09.04,61,57,0,0
09.05,61,57,0,0
09.06,61,58,0,0
09.07,61,58,0,0
09.08,62,58,0,1
09.09,62,58,0,0
09.10,62,58,0,0
09.11,62,58,0,0
09.12,64,61,0,2
09.13,64,61,0,0
09.14,64,61,0,0
09.15,64,61,0,0
09.16,64,62,0,0
09.17,64,62,0,0
09.18,64,64,0,0
09.19,64,64,0,0
09.20,64,64,0,0
09.21,64,64,0,0
09.22,64,64,0,0
09.23,64,64,0,0
09.24,64,64,0,0
09.25,64,64,0,0
09.26,64,64,0,0
09.27,64,64,0,0
09.28,64,64,0,0
09.29,64,64,0,0
09.30,64,64,0,0
10.01,64,64,0,0
10.02,64,64,0,0
10.03,64,64,0,0
10.04,64,64,0,0
10.05,64,64,0,0
10.06,64,64,0,0
10.07,64,64,0,0
