,confirm,heal,dead,confirm_add
03.06,23,0,0,2
03.07,23,0,0,0
03.08,26,0,0,3
03.09,36,0,1,10
03.10,51,0,2,15
03.11,62,0,2,11
03.12,69,0,3,7
03.13,69,0,3,0
03.14,73,0,3,4
03.15,73,2,5,0
03.16,98,2,7,25
03.17,98,2,7,0
03.18,98,2,7,0
03.19,109,2,14,11
03.20,109,2,14,0
03.21,151,4,14,42
03.22,160,4,20,9
03.23,175,4,20,24
03.24,187,4,21,12
03.25,187,4,21,0
03.26,208,4,21,21
03.27,223,4,21,15
03.28,223,6,21,0
03.29,224,6,22,1
03.30,224,6,22,49
03.31,230,13,25,6
04.01,236,13,26,6
04.02,236,13,28,0
04.03,245,21,30,9
04.04,251,26,32,6
04.05,266,35,32,15
04.06,266,35,32,0
04.07,277,35,32,11
04.08,279,40,34,2
04.09,308,45,34,29
04.10,344,50,34,36
04.11,356,53,35,12
04.12,356,53,35,0
04.13,356,53,35,0
04.14,371,53,36,15
04.15,372,53,36,1
04.16,426,55,38,54
04.17,426,55,38,0
04.18,455,60,39,29
04.19,461,60,39,6
04.20,462,61,39,1
04.21,476,62,40,14
04.22,488,62,40,12
04.23,501,63,40,13
04.24,501,63,40,0
04.25,513,64,40,12
04.26,538,64,41,25
04.27,538,64,41,0
04.28,538,64,41,0
04.29,563,69,41,25
04.30,569,78,41,6
05.01,569,78,41,0
05.02,580,83,41,11
05.03,580,83,41,0
05.04,582,86,41,2
05.05,589,92,41,7
05.06,608,97,41,19
05.07,622,106,41,14
05.08,623,114,41,1
05.09,637,126,41,14
05.10,628,126,41,-9
05.11,628,130,41,0
05.12,638,161,41,10
05.13,643,161,41,5
05.14,648,172,41,5
05.15,652,189,41,4
05.16,653,198,41,1
05.17,654,201,41,1
05.18,654,201,41,0
05.19,655,211,41,1
05.20,656,220,41,1
05.21,658,235,41,2
05.22,658,235,41,0
05.23,665,266,42,7
05.24,665,266,42,0
05.25,666,270,42,1
05.26,666,275,42,0
05.27,667,294,42,1
05.28,670,322,42,3
05.29,671,344,42,1
05.30,671,357,42,0
05.31,671,357,42,0
06.01,671,359,42,0
06.02,672,384,42,1
06.03,672,384,42,0
06.04,678,408,42,6
06.05,678,408,42,0
06.06,680,428,42,2
06.07,680,428,42,0
06.08,687,478,42,7
06.09,688,483,42,1
06.10,688,483,42,0
06.11,691,496,42,3
06.12,694,520,42,3
06.13,694,520,42,0
06.14,694,520,42,0
06.15,694,575,42,0
06.16,694,590,42,0
06.17,696,591,42,2
06.18,696,609,45,0
06.19,696,610,42,0
06.20,696,610,42,0
06.21,696,610,42,0
06.22,697,627,42,1
06.23,698,632,42,1
06.24,698,647,42,0
06.25,698,653,42,0
06.26,698,656,42,0
06.27,698,656,42,0
06.28,698,656,42,0
06.29,698,656,42,0
06.30,698,656,42,0
07.01,698,656,42,0
07.02,698,656,42,0
07.03,698,656,42,0
07.04,698,656,42,0
07.05,698,656,42,0
07.06,698,656,42,0
07.07,698,656,42,0
07.08,698,656,42,0
07.09,698,656,42,0
07.10,699,656,42,1
07.11,699,656,42,0
07.12,699,656,42,0
07.13,699,656,42,0
07.14,699,656,42,0
07.15,699,656,42,0
07.16,699,656,42,0
07.17,699,656,42,0
07.18,699,656,42,0
07.19,699,656,42,0
07.20,699,656,42,0
07.21,699,656,42,0
07.22,699,656,42,0
07.23,699,656,42,0
07.24,699,657,42,0
07.25,699,657,42,0
07.26,699,657,42,0
07.27,699,657,42,0
07.28,699,657,42,0
07.29,699,657,42,0
07.30,699,657,42,0
07.31,699,657,42,0
08.01,699,657,42,0
08.02,699,657,42,0
08.03,699,657,42,0
08.04,699,657,42,0
08.05,699,657,42,0
08.06,699,657,42,0
08.07,699,657,42,0
08.08,699,657,42,0
08.09,699,657,42,0
08.10,699,657,42,0
08.11,699,657,42,0
