,confirm,heal,dead,confirm_add
03.03,1,0,0,1
03.04,1,0,0,0
03.05,2,0,0,1
03.06,5,0,0,3
03.07,7,0,0,2
03.08,11,0,0,4
03.09,15,0,0,4
03.10,20,1,0,5
03.11,21,1,0,1
03.12,45,1,0,24
03.13,62,1,0,17
03.14,86,1,0,24
03.15,103,1,0,17
03.16,118,3,0,15
03.17,133,6,0,15
03.18,171,6,0,38
03.19,238,6,0,67
03.20,274,8,0,36
03.21,392,16,0,118
03.22,511,17,0,119
03.23,562,19,0,51
03.24,767,28,1,205
03.25,900,29,2,133
03.26,1012,29,3,112
03.27,1104,29,3,92
03.28,1203,37,4,99
03.29,1299,66,8,96
03.30,1453,115,8,154
03.31,1563,165,10,110
04.01,1720,264,16,157
04.02,1885,328,21,165
04.03,2039,351,25,154
04.04,2179,420,29,140
04.05,2385,488,34,206
04.06,2523,551,38,138
04.07,2795,615,41,272
04.08,2932,615,41,137
04.09,3287,666,44,355
04.10,3651,685,47,364
04.11,4033,720,52,382
04.12,4462,761,59,429
04.13,4934,805,65,472
04.14,5369,889,73,435
04.15,5862,931,79,493
04.16,6380,990,83,518
04.17,7142,1049,87,762
04.18,8274,1329,92,1132
04.19,9362,1398,97,1088
04.20,10484,1490,103,1122
04.21,11631,1640,109,1147
04.22,12772,1812,114,1141
04.23,13930,1925,121,1158
04.24,15102,2049,127,1172
04.25,16299,2215,136,1197
04.26,17522,2357,139,1223
04.27,18811,2531,144,1289
04.28,20077,2784,152,1266
04.29,21402,2953,157,1325
04.30,22753,3163,162,1351
05.01,22753,3163,162,0
05.02,25459,3765,176,2706
05.03,25459,3765,176,0
05.04,28656,4476,191,3197
05.05,30251,5431,200,1595
05.06,31938,6783,209,1687
05.07,33731,7798,219,1793
05.08,35432,9120,229,1701
05.09,37136,10144,239,1704
05.10,39048,11457,246,1912
05.11,41014,12737,255,1966
05.12,42925,15257,264,1911
05.13,44830,17622,273,1905
05.14,46869,19051,283,2039
05.15,49176,21869,292,2307
05.16,52016,23666,302,2840
05.17,54752,25722,312,2736
05.18,57345,28748,320,2593
05.19,59854,31634,329,2509
05.20,62545,33478,339,2691
05.21,65077,36040,351,2532
05.22,65077,36040,351,0
05.23,70161,41236,379,5084
05.24,72560,43520,390,2399
05.25,74795,45668,399,2235
