,confirm,heal,dead,confirm_add
03.15,2,0,0,2
03.16,2,0,0,0
03.17,4,0,0,2
03.18,4,0,0,0
03.19,4,0,0,0
03.20,4,0,0,0
03.21,7,0,0,3
03.22,7,0,0,0
03.23,7,0,0,0
03.24,7,0,0,0
03.25,7,0,0,0
03.26,7,0,0,0
03.27,7,0,0,0
03.28,7,0,0,3
03.29,8,0,0,1
03.30,8,0,0,0
03.31,10,0,0,2
04.01,10,0,0,0
04.02,10,0,0,0
04.03,10,0,0,0
04.04,10,0,0,0
04.05,10,0,0,0
04.06,10,0,0,0
04.07,11,0,0,1
04.08,11,0,0,0
04.09,11,0,0,0
04.10,11,0,0,0
04.11,11,0,0,0
04.12,11,0,0,0
04.13,11,0,0,0
04.14,11,0,0,0
04.15,11,0,0,0
04.16,11,0,0,0
04.17,11,5,0,0
04.18,11,5,0,0
04.19,11,5,0,0
04.20,11,5,0,0
04.21,11,5,0,0
04.22,11,5,0,0
04.23,11,6,0,0
04.24,11,6,0,0
04.25,11,6,0,0
04.26,11,6,0,0
04.27,11,6,0,0
04.28,11,6,0,0
04.29,11,6,0,0
04.30,11,6,0,0
05.01,11,6,0,0
05.02,11,6,0,0
05.03,11,6,0,0
05.04,11,6,0,0
05.05,11,6,0,0
05.06,11,8,0,0
05.07,11,8,0,0
05.08,11,8,0,0
05.09,11,8,0,0
05.10,11,10,0,0
05.11,11,10,0,0
05.12,11,10,0,0
05.13,11,10,0,0
05.14,11,10,0,0
05.15,11,10,0,0
05.16,11,10,0,0
05.17,11,10,0,0
05.18,11,11,0,0
05.19,11,11,0,0
05.20,11,11,0,0
05.21,11,11,0,0
05.22,11,11,0,0
05.23,11,11,0,0
05.24,11,11,0,0
05.25,11,11,0,0
05.26,11,11,0,0
05.27,11,11,0,0
05.28,11,11,0,0
05.29,11,11,0,0
05.30,11,11,0,0
05.31,11,11,0,0
06.01,11,11,0,0
06.02,11,11,0,0
06.03,11,11,0,0
06.04,11,11,0,0
06.05,11,11,0,0
06.06,11,11,0,0
06.07,11,11,0,0
06.08,11,11,0,0
06.09,11,11,0,0
06.10,11,11,0,0
06.11,11,11,0,0
06.12,11,11,0,0
06.13,11,11,0,0
06.14,11,11,0,0
06.15,11,11,0,0
06.16,11,11,0,0
06.17,11,11,0,0
06.18,11,11,0,0
06.19,11,11,0,0
06.20,11,11,0,0
06.21,11,11,0,0
06.22,11,11,0,0
06.23,11,11,0,0
06.24,11,11,0,0
06.25,11,11,0,0
06.26,11,11,0,0
06.27,11,11,0,0
06.28,20,11,0,9
06.29,70,11,0,50
06.30,77,11,0,7
07.01,81,11,0,4
07.02,81,11,0,0
07.03,81,11,0,0
07.04,81,11,0,0
07.05,81,11,0,0
07.06,81,11,0,0
07.07,81,11,0,0
07.08,81,11,0,0
07.09,91,11,0,10
07.10,94,11,0,3
07.11,100,11,0,6
07.12,100,11,0,0
07.13,100,11,0,0
07.14,100,11,0,0
07.15,100,11,0,0
07.16,100,27,0,0
07.17,108,27,0,8
07.18,108,27,0,0
07.19,108,27,0,0
07.20,108,27,0,0
07.21,108,27,0,0
07.22,108,27,0,0
07.23,108,27,0,0
07.24,108,27,0,0
07.25,108,27,0,0
07.26,114,39,0,6
07.27,114,39,0,0
07.28,114,39,0,0
07.29,114,39,0,0
07.30,114,39,0,0
07.31,114,39,0,0
08.01,114,39,0,0
08.02,114,39,0,0
08.03,114,39,0,0
08.04,114,113,0,0
08.05,114,113,0,0
08.06,126,124,0,12
08.07,126,124,0,0
08.08,126,125,0,0
08.09,126,125,0,0
08.10,126,125,0,0
08.11,127,126,0,1
08.12,127,126,0,0
08.13,127,126,0,0
08.14,127,126,0,0
08.15,127,126,0,0
08.16,127,126,0,0
08.17,127,126,0,0
08.18,127,126,0,0
08.19,127,126,0,0
08.20,132,126,0,5
08.21,132,126,0,0
08.22,132,126,0,0
08.23,132,126,0,0
08.24,132,126,0,0
08.25,132,126,0,0
08.26,136,127,0,4
08.27,136,127,0,0
08.28,136,127,0,0
08.29,136,127,0,0
08.30,136,127,0,0
08.31,136,127,0,0
09.01,136,127,0,0
09.02,136,127,0,0
09.03,136,127,0,0
09.04,136,127,0,0
09.05,136,127,0,0
09.06,136,127,0,0
09.07,136,127,0,0
09.08,137,127,0,1
09.09,137,127,0,0
09.10,137,127,0,0
09.11,138,136,0,1
09.12,138,136,0,0
09.13,139,136,0,1
09.14,140,136,0,1
09.15,140,136,0,0
09.16,140,136,0,0
09.17,141,136,0,1
09.18,141,136,0,0
09.19,141,136,0,0
09.20,141,136,0,0
09.21,141,136,0,0
09.22,143,136,0,2
09.23,143,136,0,0
09.24,143,136,0,0
09.25,143,140,0,0
09.26,143,140,0,0
09.27,143,140,0,0
09.28,143,140,0,0
09.29,143,140,0,0
09.30,143,140,0,0
10.01,144,140,0,1
10.02,144,143,0,0
10.03,145,143,0,1
10.04,146,143,0,1
10.05,146,143,0,0
10.06,146,143,0,0
10.07,148,143,0,2
10.08,148,143,0,0
10.09,148,143,0,0
10.10,148,144,0,0
10.11,148,144,0,0
10.12,148,144,0,0
10.13,148,144,0,0
10.14,148,144,0,0
10.15,148,144,0,0
10.16,149,148,0,1
10.17,149,148,0,0
10.18,149,148,0,0
10.19,149,148,0,0
10.20,149,148,0,0
10.21,149,148,0,0
10.22,151,148,0,2
10.23,153,149,0,2
10.24,153,149,0,0
10.25,153,149,0,0
10.26,153,149,0,0
10.27,153,149,0,0
10.28,153,149,0,0
10.29,153,149,0,0
10.30,153,149,0,0
10.31,153,149,0,0
11.01,153,149,0,0
11.02,153,149,0,0
11.03,153,149,0,0
11.04,157,151,0,4
11.05,157,151,0,0
11.06,157,151,0,0
11.07,158,155,0,1
11.08,158,155,0,0
11.09,158,155,0,0
11.10,158,155,0,0
11.11,158,155,0,0
11.12,158,155,0,0
11.13,160,157,0,2
11.14,160,157,0,0
11.15,160,157,0,0
11.16,160,157,0,0
11.17,160,157,0,0
11.18,160,157,0,0
11.19,160,157,0,0
11.20,163,159,0,3
11.21,163,159,0,0
11.22,163,159,0,0
11.23,163,159,0,0
11.24,166,159,0,3
11.25,166,159,0,0
11.26,166,159,0,0
11.27,166,159,0,0
11.28,173,162,0,7
11.29,173,162,0,0
11.30,173,162,0,0
12.01,183,162,0,10
12.02,183,162,0,0
12.03,183,162,0,0
12.04,184,168,0,1
12.05,184,168,0,0
12.06,184,168,0,0
12.07,184,168,0,0
12.08,184,168,0,0
12.09,184,168,0,0
12.10,184,168,0,0
12.11,187,182,0,3
12.12,187,182,0,0
12.13,187,182,0,0
12.14,187,182,0,0
12.15,187,182,0,0
12.16,202,184,0,15
12.17,202,184,0,0
12.18,202,184,0,0
12.19,202,184,0,0
12.20,202,184,0,0
12.21,205,184,0,3
12.22,205,184,0,0
12.23,205,184,0,0
12.24,205,184,0,0
12.25,205,184,0,0
12.26,205,184,0,0
12.27,205,184,0,0
12.28,205,184,0,0
12.29,217,207,0,12
12.30,217,207,0,0
12.31,256,212,0,39
01.01,275,214,0,19
01.02,285,214,0,10
01.03,297,214,0,12
01.04,313,214,0,16
01.05,313,214,0,0
01.06,313,214,0,0
01.07,313,214,0,0
01.08,313,214,0,0
01.09,313,214,0,0
01.10,313,214,0,0
01.11,583,317,1,270
01.12,583,317,1,0
01.13,612,326,1,29
01.14,612,326,1,0
01.15,627,360,1,15
01.16,656,460,1,29
01.17,705,539,2,49
01.18,705,539,2,0
01.19,746,563,2,41
01.20,762,601,2,16
01.21,762,601,2,0
01.22,762,601,2,0
01.23,972,681,3,210
01.24,1033,681,3,61
01.25,1033,681,3,0
01.26,1116,754,3,83
01.27,1116,754,3,0
01.28,1129,801,3,13
01.29,1149,854,3,20
01.30,1162,928,3,13
01.31,1186,987,4,24
02.01,1205,1015,4,19
02.02,1223,1052,5,18
02.03,1243,1071,5,20
02.04,1279,1087,5,36
02.05,1289,1113,5,10
02.06,1289,1113,5,0
02.07,1504,1158,6,215
02.08,1513,1158,7,9
02.09,1575,1178,7,62
02.10,1695,1195,7,120
02.11,1768,1215,7,73
02.12,1768,1215,7,0
02.13,1802,1236,7,34
02.14,1892,1354,8,90
02.15,1892,1354,8,0
02.16,1987,1534,9,95
02.17,2058,1591,10,71
02.18,2211,1607,10,153
02.19,2280,1719,10,69
02.20,2305,1775,10,25
02.21,2328,1831,10,23
02.22,2401,1874,10,73
02.23,2464,1940,11,63
02.24,2514,2016,11,50
02.25,2562,2048,11,48
02.26,2562,2048,11,0
02.27,2592,2263,11,30
02.28,2592,2263,11,0
