,confirm,heal,dead,confirm_add
03.31,1,0,0,0
04.01,1,0,0,0
04.02,2,0,0,1
04.03,2,0,0,0
04.04,2,0,0,0
04.05,6,0,0,4
04.06,6,0,0,0
04.07,6,0,0,0
04.08,7,0,0,1
04.09,7,0,0,0
04.10,7,0,0,0
04.11,8,0,0,1
04.12,10,0,0,2
04.13,10,0,0,0
04.14,11,0,0,1
04.15,13,0,0,2
04.16,15,0,0,2
04.17,26,0,0,11
04.18,30,0,0,4
04.19,30,0,0,0
04.20,43,6,0,13
04.21,50,6,0,7
04.22,61,6,0,11
04.23,61,6,0,0
04.24,82,10,2,21
04.25,82,10,2,0
04.26,93,10,4,11
04.27,93,10,4,0
04.28,104,12,4,11
04.29,104,12,4,0
04.30,124,21,7,20
05.01,124,21,7,0
05.02,155,21,8,31
05.03,155,21,8,0
05.04,178,37,9,23
05.05,199,43,11,21
05.06,225,54,14,26
05.07,231,54,16,6
05.08,257,54,17,26
05.09,291,58,18,34
05.10,307,67,18,16
05.11,338,72,19,31
05.12,338,72,19,0
05.13,338,72,19,0
05.14,408,97,26,70
05.15,408,97,26,0
05.16,447,97,27,39
05.17,505,141,32,58
05.18,505,141,32,0
05.19,519,148,33,14
05.20,570,205,34,51
05.21,570,205,34,0
05.22,585,205,35,15
05.23,606,230,38,21
05.24,707,241,40,101
05.25,735,293,42,28
05.26,735,293,42,0
05.27,782,297,45,47
05.28,812,361,45,30
05.29,829,386,45,17
05.30,852,415,46,23
05.31,852,415,46,0
06.01,865,475,46,13
06.02,896,480,46,31
06.03,896,480,46,0
06.04,914,491,47,18
06.05,929,580,47,15
06.06,946,600,48,17
06.07,969,608,48,23
06.08,969,608,48,0
06.09,1001,611,49,32
06.10,1025,621,50,24
06.11,1062,637,50,37
06.12,1103,648,51,41
06.13,1132,670,51,29
06.14,1169,680,51,37
06.15,1176,683,51,7
06.16,1176,683,51,0
06.17,1225,686,51,49
06.18,1249,707,51,24
06.19,1272,710,51,23
06.20,1298,732,53,26
06.21,1309,746,53,11
06.22,1327,788,55,18
06.23,1340,788,55,13
06.24,1347,853,55,7
06.25,1354,869,55,7
06.26,1354,869,56,0
06.27,1394,914,59,40
06.28,1410,937,59,16
06.29,1427,943,60,17
06.30,1450,961,60,23
07.01,1462,974,60,12
07.02,1498,999,60,36
07.03,1518,1007,60,20
07.04,1524,1042,62,6
07.05,1533,1051,62,9
07.06,1542,1062,62,9
07.07,1547,1086,62,5
07.08,1572,1088,63,25
07.09,1584,1122,63,12
07.10,1598,1123,63,14
07.11,1613,1133,63,15
07.12,1618,1141,63,5
07.13,1635,1154,63,17
07.14,1642,1175,63,7
07.15,1651,1190,64,9
07.16,1668,1200,64,17
07.17,1678,1213,64,10
07.18,1688,1219,65,10
07.19,1701,1237,65,13
07.20,1711,1237,65,10
07.21,1711,1261,66,0
07.22,1727,1273,66,16
07.23,1731,1288,66,4
07.24,1752,1292,66,21
07.25,1765,1297,66,13
07.26,1768,1297,66,3
07.27,1783,1313,66,15
07.28,1783,1317,66,0
07.29,1786,1336,66,3
07.30,1803,1355,67,17
07.31,1818,1362,67,15
08.01,1823,1362,67,5
08.02,1823,1362,67,0
08.03,1843,1375,67,20
08.04,1848,1375,67,5
08.05,1855,1397,67,7
08.06,1860,1401,67,5
08.07,1877,1427,67,17
08.08,1887,1435,68,10
08.09,1895,1442,68,8
08.10,1916,1445,68,21
08.11,1917,1447,69,1
08.12,1932,1478,69,15
08.13,1937,1483,69,5
08.14,1940,1496,69,3
08.15,1947,1502,69,7
08.16,1954,1505,69,7
08.17,1956,1506,69,2
08.18,1956,1506,69,0
08.19,1959,1529,69,3
08.20,1961,1531,69,2
08.21,1969,1536,69,8
08.22,1972,1542,69,3
08.23,1980,1545,69,8
08.24,1992,1550,69,12
08.25,1997,1557,69,5
08.26,2001,1569,69,4
08.27,2003,1577,69,2
08.28,2013,1581,70,10
08.29,2013,1581,70,0
08.30,2019,1591,70,6
08.31,2022,1594,70,3
09.01,2022,1594,70,0
09.02,2028,1594,71,6
09.03,2029,1600,71,1
09.04,2035,1600,71,6
09.05,2041,1602,71,6
09.06,2041,1602,71,0
09.07,2054,1611,71,13
09.08,2055,1611,71,1
09.09,2064,1613,72,9
09.10,2067,1622,72,3
09.11,2069,1622,72,2
09.12,2087,1622,72,18
09.13,2096,1634,72,9
09.14,2109,1636,72,13
09.15,2111,1636,72,2
09.16,2126,1640,72,15
09.17,2133,1646,72,7
09.18,2133,1646,72,0
09.19,2153,1649,72,20
09.20,2159,1650,72,6
09.21,2168,1650,72,9
09.22,2168,1650,72,0
09.23,2174,1652,72,6
09.24,2183,1665,72,9
09.25,2188,1666,72,5
09.26,2199,1678,72,11
09.27,2208,1679,72,9
09.28,2215,1681,72,7
09.29,2215,1681,72,0
09.30,2222,1685,72,7
10.01,2231,1687,72,9
10.02,2238,1695,72,7
10.03,2252,1697,72,14
10.04,2259,1704,72,7
10.05,2269,1706,72,10
10.06,2269,1706,72,0
10.07,2277,1710,72,8
10.08,2287,1716,72,10
10.09,2293,1721,72,6
10.10,2295,1723,72,2
10.11,2300,1725,72,5
10.12,2306,1736,72,6
10.13,2306,1736,72,0
10.14,2309,1738,72,3
10.15,2315,1743,73,6
10.16,2323,1746,73,8
10.17,2325,1750,73,2
10.18,2327,1753,73,2
10.19,2330,1760,73,3
10.20,2331,1760,73,1
10.21,2336,1765,73,5
10.22,2337,1771,73,1
10.23,2340,1777,73,3
10.24,2343,1782,74,3
10.25,2345,1784,74,2
10.26,2346,1787,74,1
10.27,2346,1787,74,0
10.28,2350,1790,74,4
10.29,2354,1792,74,4
10.30,2362,1795,74,8
10.31,2365,1798,74,3
11.01,2366,1800,74,1
11.02,2366,1802,74,0
11.03,2366,1802,74,0
11.04,2368,1803,74,2
11.05,2369,1805,74,1
11.06,2371,1805,74,2
11.07,2373,1807,74,2
11.08,2381,1812,74,8
11.09,2381,1812,74,0
11.10,2385,1813,74,4
11.11,2386,1813,74,1
11.12,2386,1813,74,0
11.13,2387,1816,74,1
11.14,2389,1816,74,2
11.15,2391,1816,74,2
11.16,2391,1820,74,0
11.17,2391,1822,74,0
11.18,2392,1823,74,1
11.19,2397,1823,74,5
11.20,2397,1823,74,0
11.21,2399,1827,74,2
11.22,2405,1827,74,6
11.23,2405,1828,74,0
11.24,2406,1828,74,1
11.25,2406,1829,74,0
11.26,2408,1829,74,2
11.27,2409,1831,74,1
11.28,2410,1833,74,1
11.29,2410,1834,74,0
11.30,2411,1836,74,1
12.01,2412,1836,74,1
12.02,2413,1838,74,1
12.03,2416,1838,74,3
12.04,2416,1840,74,0
12.05,2420,1842,74,4
12.06,2420,1843,74,0
12.07,2426,1846,74,6
12.08,2428,1846,74,2
12.09,2428,1847,74,0
12.10,2434,1847,74,6
12.11,2435,1847,74,1
12.12,2438,1850,75,3
12.13,2440,1850,75,2
12.14,2440,1850,75,0
12.15,2445,1851,75,5
12.16,2451,1853,75,6
12.17,2460,1854,75,9
12.18,2464,1854,75,4
