,confirm,heal,dead,confirm_add
01.28,7,0,0,0
01.29,10,0,0,3
01.30,16,0,0,6
01.31,16,0,0,0
02.01,18,0,0,2
02.02,18,0,0,0
02.03,18,0,0,0
02.04,24,1,0,6
02.05,28,1,0,4
02.06,30,1,0,2
02.07,33,2,0,3
02.08,40,2,0,7
02.09,40,2,0,0
02.10,45,7,0,5
02.11,47,9,0,2
02.12,50,9,0,3
02.13,58,15,0,8
02.14,67,17,0,9
02.15,67,17,0,0
02.16,72,18,0,5
02.17,75,19,0,3
02.18,81,29,0,6
02.19,84,34,0,3
02.20,84,34,0,0
02.21,85,37,0,1
02.22,89,49,0,3
02.23,89,49,0,0
02.24,90,53,0,1
02.25,90,53,0,0
02.26,93,58,0,3
02.27,93,58,0,0
02.28,96,66,0,3
02.29,102,72,0,6
03.01,106,74,0,4
03.02,108,78,0,2
03.03,110,78,0,2
03.04,112,78,0,2
03.05,117,78,0,5
03.06,130,81,0,18
03.07,138,90,0,8
03.08,150,90,0,12
03.09,160,93,0,10
03.10,166,93,0,6
03.11,178,96,0,12
03.12,187,96,0,9
03.13,200,97,0,13
03.14,212,105,0,12
03.15,226,105,0,14
03.16,243,105,0,17
03.17,266,114,0,23
03.18,313,114,0,47
03.19,345,114,0,32
03.20,385,124,0,40
03.21,432,140,2,47
03.22,455,140,2,23
03.23,509,140,2,54
03.24,558,140,2,49
03.25,631,140,2,73
03.26,683,172,2,52
03.27,732,172,2,49
03.28,802,183,2,70
03.29,844,198,3,41
03.30,879,228,3,35
03.31,926,240,3,47
04.01,1000,245,3,74
04.02,1049,266,4,49
04.03,1114,282,5,65
04.04,1187,297,6,73
04.05,1309,297,6,122
04.06,1309,320,6,0
04.07,1375,344,6,66
04.08,1623,406,6,248
04.09,1910,406,6,287
04.10,2108,492,7,198
04.11,2108,492,7,0
04.12,2299,528,8,191
04.13,2532,560,8,233
04.14,3252,611,10,720
04.15,3252,611,10,0
04.16,3699,652,10,447
04.17,5050,683,10,1351
04.18,5992,740,11,942
04.19,6588,740,11,596
04.20,8014,768,11,1426
04.21,9125,801,11,1111
04.22,10141,839,11,1016
04.23,11178,896,12,1037
04.24,12075,924,12,897
04.25,12693,956,12,618
04.26,13624,1002,12,931
04.27,14423,1060,12,799
04.28,14951,1095,14,528
04.29,15641,1188,14,690
04.30,16169,1188,14,528
05.01,17101,1244,15,932
05.02,17548,1268,16,447
05.03,17548,1347,17,0
05.04,18778,1457,18,1230
05.05,19410,1457,18,632
05.06,20198,1519,18,788
05.07,20939,1712,20,741
05.08,21707,1712,20,768
05.09,22460,2296,20,753
05.10,23336,2296,20,876
05.11,23822,2721,20,486
05.12,24671,3225,21,849
05.13,25346,4809,21,675
05.14,26098,4809,21,752
05.15,26891,7248,21,793
05.16,27356,7248,21,465
05.17,28038,8342,22,682
05.18,28343,9340,22,305
05.19,28794,9835,22,451
05.20,29364,10365,22,570
05.21,29812,11207,22,448
05.22,30426,12117,23,614
05.23,31068,13882,23,642
05.24,31616,14876,23,548
05.25,31960,15738,23,344
05.26,32343,15738,23,383
05.27,32876,17276,23,533
05.28,33249,17276,23,373
05.29,33860,18294,23,611
05.30,34366,19631,23,506
05.31,34884,21699,23,518
06.01,35292,22466,24,408
06.02,35836,23175,24,544
06.03,35836,23175,24,0
06.04,36922,23582,24,1086
06.05,37183,24209,24,261
06.06,37527,24209,24,344
06.07,37910,24886,25,383
06.08,38296,25368,25,386
06.09,38514,25877,25,218
06.10,38965,25877,25,451
06.11,39387,27286,25,422
06.12,39850,28040,25,463
06.13,40197,28040,25,347
06.14,40604,28808,26,407
06.15,40818,30366,26,214
06.16,40969,31163,26,151
06.17,41216,31163,26,247
06.18,41473,31938,26,257
06.19,41615,33459,26,142
06.20,41833,33459,26,218
06.21,42095,34224,26,262
06.22,42313,34942,26,218
06.23,42432,35590,26,119
06.24,42623,35995,26,191
06.25,42736,36604,26,113
06.26,42955,36825,26,219
06.27,43246,36825,26,291
06.28,43459,37508,26,213
06.29,43661,37985,26,202
06.30,43907,37985,26,246
07.01,44122,39011,26,215
07.02,44310,39011,26,188
07.03,44479,39429,26,169
07.04,44664,39769,26,185
07.05,44800,40117,26,136
07.06,44983,40441,26,183
07.07,45140,40717,26,157
07.08,45298,41323,26,158
07.09,45423,41323,26,125
07.10,45614,41645,26,191
07.11,45783,41780,26,169
07.12,45961,42026,26,178
07.13,46283,42285,26,322
07.14,46630,42737,27,347
07.15,46878,42988,27,248
07.16,47126,42988,27,248
07.17,47453,43577,27,327
07.18,47655,43577,27,202
07.19,47912,43833,27,257
07.20,48035,44086,27,123
07.21,48434,44584,27,399
07.22,48744,44584,27,310
07.23,49098,45015,27,354
07.24,49375,45015,27,277
07.25,49888,45352,27,513
07.26,50369,45521,27,481
07.27,50838,45521,27,469
07.28,51197,45692,27,359
07.29,51531,46098,27,334
07.30,51809,46098,27,278
07.31,52205,46308,27,396
08.01,52512,46491,27,307
08.02,52825,46926,27,313
08.03,53051,46926,27,226
08.04,53346,47454,27,295
08.05,54254,47768,27,908
08.06,54555,47768,27,301
08.07,54797,48031,27,242
08.08,54929,48312,27,132
08.09,55104,48583,27,175
08.10,55292,49609,27,188
08.11,55353,50128,27,61
08.12,55395,50128,27,42
08.13,55497,50736,27,102
08.14,55580,51049,27,83
08.15,55661,51049,27,81
08.16,55747,51953,27,86
08.17,55838,51953,27,91
08.18,55938,52350,27,100
08.19,56031,52533,27,93
08.20,56099,53119,27,68
08.21,56216,53119,27,117
08.22,56266,53651,27,50
08.23,56353,53920,27,87
08.24,56404,54164,27,51
08.25,56435,54816,27,31
08.26,56495,54816,27,60
08.27,56572,55139,27,77
08.28,56666,55139,27,94
08.29,56717,55337,27,51
08.30,56771,55447,27,54
08.31,56812,55586,27,41
09.01,56852,55749,27,40
09.02,56901,55891,27,49
09.03,56908,56028,27,7
09.04,56948,56174,27,40
09.05,56982,56267,27,34
09.06,57022,56333,27,40
09.07,57044,56408,27,22
09.08,57091,56461,27,47
09.09,57166,56492,27,75
09.10,57229,56492,27,63
09.11,57316,56558,27,87
09.12,57357,56607,27,41
09.13,57406,56764,27,49
09.14,57454,56802,27,48
09.15,57488,56802,27,34
09.16,57515,56884,27,27
09.17,57532,57039,27,17
09.18,57543,57039,27,11
09.19,57558,57142,27,15
09.20,57576,57181,27,18
09.21,57607,57181,27,31
09.22,57627,57262,27,20
09.23,57639,57291,27,12
09.24,57654,57333,27,15
09.25,57665,57333,27,11
09.26,57685,57359,27,20
09.27,57700,57367,27,15
09.28,57715,57367,27,15
09.29,57742,57466,27,27
09.30,57765,57488,27,23
10.01,57784,57512,27,19
10.02,57794,57534,27,10
10.03,57800,57562,27,6
10.04,57812,57575,27,12
10.05,57819,57575,27,7
10.06,57830,57597,27,11
10.07,57840,57624,27,10
10.08,57849,57668,27,9
10.09,57859,57668,27,10
10.10,57866,57675,27,7
10.11,57876,57705,27,10
10.12,57880,57705,27,4
10.13,57884,57728,28,4
10.14,57889,57752,28,5
10.15,57892,57764,28,3
10.16,57901,57784,28,9
10.17,57904,57798,28,3
10.18,57911,57807,28,7
10.19,57915,57819,28,4
10.20,57921,57819,28,6
10.21,57933,57821,28,12
10.22,57941,57829,28,8
10.23,57951,57829,28,10
10.24,57965,57844,28,14
10.25,57970,57858,28,5
10.26,57973,57858,28,3
10.27,57980,57879,28,7
10.28,57987,57890,28,7
10.29,57994,57899,28,7
10.30,58003,57909,28,9
10.31,58015,57913,28,12
11.01,58019,57924,28,4
11.02,58020,57924,28,1
11.03,58029,57937,28,9
11.04,58036,57937,28,7
11.05,58043,57949,28,7
11.06,58047,57959,28,4
11.07,58054,57959,28,7
11.08,58056,57975,28,2
11.09,58064,57975,28,8
11.10,58064,57981,28,0
11.11,58073,57985,28,9
11.12,58102,58002,28,29
11.13,58114,58008,28,12
11.14,58116,58019,28,2
11.15,58119,58029,28,3
11.16,58124,58033,28,5
11.17,58130,58039,28,6
11.18,58135,58046,28,5
11.19,58139,58052,28,4
11.20,58143,58058,28,4
11.21,58148,58058,28,5
11.22,58160,58067,28,12
11.23,58165,58067,28,5
11.24,58183,58071,28,18
11.25,58190,58091,28,7
11.26,58195,58091,28,5
11.27,58199,58111,28,4
11.28,58205,58111,28,6
11.29,58213,58124,29,8
11.30,58218,58134,29,5
12.01,58228,58134,29,10
12.02,58230,58139,29,2
12.03,58239,58145,29,9
12.04,58242,58152,29,3
12.05,58255,58152,29,13
