,confirm,heal,dead,confirm_add
10.13,2,0,0,0
10.14,2,0,0,0
10.15,3,0,0,1
10.16,3,0,0,0
10.17,3,0,0,0
10.18,3,0,0,0
10.19,3,0,0,0
10.20,3,0,0,0
10.21,3,0,0,0
10.22,3,0,0,0
10.23,4,3,0,1
10.24,4,3,0,0
10.25,4,3,0,0
10.26,4,3,0,0
10.27,8,4,0,4
10.28,8,4,0,0
10.29,8,4,0,0
10.30,8,4,0,0
10.31,8,4,0,0
11.01,8,4,0,0
11.02,13,4,0,5
11.03,13,4,0,0
11.04,13,4,0,0
11.05,13,4,0,0
11.06,13,4,0,0
11.07,13,4,0,0
11.08,13,4,0,0
11.09,16,5,0,3
11.10,16,5,0,0
11.11,16,5,0,0
11.12,16,5,0,0
11.13,16,5,0,0
11.14,16,5,0,0
11.15,16,5,0,0
11.16,16,5,0,0
11.17,16,5,0,0
11.18,16,5,0,0
11.19,16,5,0,0
11.20,16,5,0,0
11.21,16,5,0,0
11.22,16,5,0,0
11.23,16,5,0,0
11.24,16,5,0,0
11.25,17,5,0,1
11.26,17,5,0,0
11.27,17,5,0,0
11.28,17,5,0,0
11.29,17,5,0,0
11.30,17,5,0,0
12.01,17,5,0,0
12.02,17,5,0,0
12.03,17,5,0,0
12.04,17,5,0,0
12.05,17,5,0,0
12.06,17,5,0,0
12.07,17,5,0,0
12.08,17,5,0,0
12.09,17,5,0,0
12.10,17,5,0,0
12.11,17,5,0,0
12.12,17,5,0,0
12.13,17,5,0,0
12.14,17,5,0,0
12.15,17,5,0,0
12.16,17,5,0,0
12.17,17,5,0,0
12.18,17,5,0,0
12.19,17,5,0,0
12.20,17,5,0,0
12.21,17,5,0,0
12.22,17,5,0,0
12.23,17,5,0,0
12.24,17,5,0,0
12.25,17,5,0,0
12.26,17,5,0,0
12.27,17,5,0,0
12.28,17,5,0,0
12.29,17,5,0,0
12.30,17,5,0,0
12.31,17,5,0,0
01.01,17,5,0,0
01.02,17,5,0,0
01.03,17,5,0,0
