,confirm,heal,dead,confirm_add
03.16,1,0,0,1
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,1,0,0,0
03.21,1,0,0,0
03.22,1,0,0,0
03.23,1,0,0,0
03.24,1,0,0,0
03.25,1,0,0,0
03.26,2,0,0,1
03.27,3,0,0,1
03.28,3,0,0,0
03.29,3,0,0,0
03.30,3,0,0,0
03.31,3,1,0,0
04.01,5,1,0,2
04.02,5,1,0,0
04.03,5,1,0,0
04.04,7,1,0,2
04.05,7,1,0,0
04.06,7,1,0,0
04.07,7,1,0,0
04.08,8,1,0,1
04.09,12,1,1,4
04.10,12,1,1,0
04.11,21,1,1,9
04.12,21,2,1,0
04.13,25,2,2,4
04.14,60,2,2,35
04.15,60,2,2,0
04.16,80,2,5,20
04.17,80,2,5,0
04.18,116,2,6,36
04.19,135,2,7,19
04.20,164,3,7,29
04.21,237,4,8,73
04.22,286,4,8,49
04.23,286,4,8,0
04.24,328,8,16,42
04.25,390,8,18,62
04.26,436,10,23,46
04.27,436,10,23,0
04.28,480,14,26,44
04.29,582,20,28,102
04.30,582,20,28,0
05.01,601,31,28,19
05.02,601,31,28,0
05.03,671,34,31,70
05.04,722,44,32,51
05.05,835,75,38,113
05.06,835,75,38,0
05.07,873,87,39,38
05.08,928,106,44,55
05.09,928,106,44,0
05.10,1054,118,51,126
05.11,1054,118,51,0
05.12,1089,121,52,35
05.13,1219,130,52,130
05.14,1219,130,52,0
05.15,1284,135,53,65
05.16,1284,135,53,0
05.17,1357,148,55,73
05.18,1421,152,56,64
05.19,1455,163,57,34
05.20,1502,178,59,47
05.21,1573,188,61,71
05.22,1594,204,61,21
05.23,1594,204,61,0
05.24,1594,204,61,0
05.25,1689,235,66,95
05.26,1689,235,66,0
05.27,1711,253,67,22
05.28,1731,265,67,20
05.29,1828,310,72,97
05.30,1828,310,72,0
05.31,1976,348,78,148
06.01,2023,361,79,47
06.02,2089,361,79,66
06.03,2089,361,79,0
06.04,2204,418,79,115
06.05,2204,418,79,0
06.06,2289,431,82,85
06.07,2289,431,82,0
06.08,2368,470,84,79
06.09,2416,489,85,48
06.10,2416,489,85,0
06.11,2513,532,85,97
06.12,2513,532,85,0
06.13,2513,532,85,0
06.14,2579,559,87,66
06.15,2618,577,88,39
06.16,2642,622,88,24
06.17,2658,649,88,16
06.18,2719,724,88,61
06.19,2719,724,88,0
06.20,2719,724,88,0
06.21,2755,751,88,36
06.22,2779,782,90,24
06.23,2812,818,90,33
06.24,2835,829,90,23
06.25,2878,868,90,43
06.26,2878,868,90,0
06.27,2878,868,90,0
06.28,2878,868,90,0
06.29,2894,887,90,16
06.30,2904,910,90,10
07.01,2924,910,90,20
07.02,2924,932,90,0
07.03,2944,951,90,20
07.04,2944,951,90,0
07.05,2961,973,92,17
07.06,2997,1014,92,36
07.07,3006,1051,92,9
07.08,3015,1096,92,9
07.09,3028,1147,92,13
07.10,3038,1209,92,10
07.11,3038,1209,92,0
07.12,3051,1264,92,13
07.13,3059,1264,93,8
07.14,3072,1343,93,13
07.15,3076,1380,93,4
07.16,3083,1425,93,7
07.17,3106,1444,93,23
07.18,3106,1444,93,0
07.19,3111,1452,93,5
07.20,3119,1457,93,8
07.21,3130,1462,93,11
07.22,3135,1464,93,5
07.23,3161,1495,93,26
07.24,3171,1499,93,10
07.25,3171,1499,93,0
07.26,3178,1521,93,7
07.27,3178,1521,93,0
07.28,3196,1543,93,18
07.29,3212,1562,93,16
07.30,3212,1562,93,0
07.31,3212,1562,93,0
08.01,3212,1562,93,0
08.02,3212,1562,93,0
08.03,3220,1598,93,8
08.04,3220,1598,93,0
08.05,3220,1598,93,0
08.06,3227,1728,93,7
08.07,3227,1728,93,0
08.08,3227,1728,93,0
08.09,3227,1728,93,0
08.10,3227,1728,93,0
08.11,3227,1728,93,0
08.12,3227,1728,93,0
08.13,3227,1728,93,0
08.14,3227,1728,93,0
08.15,3250,2268,93,23
08.16,3250,2268,93,0
08.17,3256,2374,93,6
08.18,3257,2374,93,1
08.19,3265,2396,93,8
08.20,3265,2396,93,0
08.21,3265,2396,93,0
08.22,3265,2396,93,0
08.23,3269,2396,93,4
08.24,3269,2396,93,0
08.25,3269,2443,93,0
08.26,3275,2443,95,6
08.27,3275,2443,95,0
08.28,3275,2443,95,0
08.29,3275,2481,95,0
08.30,3310,2481,97,35
08.31,3310,2481,98,0
09.01,3310,2481,98,0
09.02,3310,2481,98,0
09.03,3310,2481,98,0
09.04,3332,2696,97,22
09.05,3332,2696,97,0
09.06,3362,2696,97,30
09.07,3362,2696,97,0
09.08,3362,2696,97,0
09.09,3371,2738,97,9
09.10,3371,2738,97,0
09.11,3371,2738,97,0
09.12,3376,2791,98,5
09.13,3389,2803,98,13
09.14,3389,2803,98,0
09.15,3389,2803,98,0
09.16,3390,2812,98,1
09.17,3390,2812,98,0
09.18,3390,2812,98,0
09.19,3390,2812,98,0
09.20,3442,2877,98,52
09.21,3465,2877,98,23
09.22,3465,2877,98,0
09.23,3465,2877,98,0
09.24,3465,2877,98,0
09.25,3465,2877,98,0
09.26,3465,2877,98,0
09.27,3588,2943,99,123
09.28,3588,2946,99,0
09.29,3588,2946,99,0
09.30,3588,2946,99,0
10.01,3588,2946,99,0
10.02,3593,3001,99,5
10.03,3593,3001,99,0
10.04,3593,3001,99,0
10.05,3745,3010,99,152
10.06,3745,3010,99,0
10.07,3745,3010,99,0
10.08,3745,3010,99,0
10.09,3745,3010,99,0
10.10,3847,3079,99,102
10.11,3847,3079,99,0
10.12,3864,3089,99,17
10.13,3864,3089,99,0
10.14,3864,3089,99,0
10.15,3864,3089,99,0
10.16,3864,3089,99,0
10.17,3864,3089,99,0
10.18,3864,3089,99,0
10.19,3890,3089,99,26
10.20,3890,3089,99,0
10.21,3890,3166,101,0
10.22,3897,3166,102,7
10.23,3897,3166,102,0
10.24,3897,3166,102,0
10.25,3897,3166,102,0
10.26,3941,3185,104,44
10.27,3941,3185,104,0
10.28,3941,3185,104,0
10.29,3941,3185,104,0
10.30,3941,3185,104,0
10.31,3941,3185,104,0
11.01,3941,3185,104,0
11.02,3941,3185,104,0
11.03,3941,3185,104,0
11.04,4229,3247,107,288
11.05,4229,3247,107,0
11.06,4229,3247,107,0
11.07,4229,3247,107,0
11.08,4229,3247,107,0
11.09,4229,3247,107,0
11.10,4301,3247,107,72
11.11,4301,3247,107,0
11.12,4301,3330,107,0
11.13,4301,3330,107,0
11.14,4301,3330,107,0
11.15,4301,3330,107,0
11.16,4301,3330,107,0
11.17,4382,3384,108,81
11.18,4382,3384,108,0
11.19,4382,3384,108,0
11.20,4382,3384,108,0
11.21,4382,3384,108,0
11.22,4382,3384,108,0
11.23,4445,3412,113,63
11.24,4445,3412,113,0
11.25,4445,3412,113,0
11.26,4445,3412,113,0
11.27,4451,3417,113,6
11.28,4451,3417,113,0
11.29,4451,3417,113,0
11.30,4451,3417,113,0
12.01,4451,3417,113,0
12.02,4525,3480,121,74
12.03,4525,3480,121,0
12.04,4525,3480,121,0
12.05,4525,3480,121,0
12.06,4525,3480,121,0
12.07,4525,3480,121,0
12.08,4579,3529,121,54
12.09,4579,3529,121,0
12.10,4579,3529,121,0
12.11,4579,3529,121,0
12.12,4579,3529,121,0
12.13,4579,3529,121,0
12.14,4579,3529,121,0
12.15,4579,3529,121,0
12.16,4579,3529,121,0
12.17,4662,3566,124,83
12.18,4662,3566,124,0
12.19,4662,3566,124,0
12.20,4662,3566,124,0
12.21,4662,3566,124,0
12.22,4690,3605,127,28
12.23,4690,3605,127,0
12.24,4690,3605,127,0
12.25,4690,3605,127,0
12.26,4690,3605,127,0
12.27,4690,3605,127,0
12.28,4690,3605,127,0
12.29,4690,3605,127,0
12.30,4690,3605,127,0
12.31,4714,3612,130,24
01.01,4714,3612,130,0
01.02,4714,3612,130,0
01.03,4714,3612,130,0
