,confirm,heal,dead,confirm_add
03.05,1,0,0,1
03.06,1,0,0,0
03.07,2,0,0,1
03.08,2,0,0,0
03.09,3,1,0,1
03.10,7,1,0,4
03.11,13,1,0,6
03.12,24,1,0,11
03.13,24,1,0,0
03.14,38,1,0,14
03.15,51,1,0,13
03.16,62,1,0,11
03.17,62,1,0,0
03.18,116,1,0,54
03.19,116,1,0,0
03.20,202,1,0,86
03.21,240,1,0,38
03.22,240,0,0,0
03.23,402,1,0,162
03.24,554,1,0,152
03.25,709,1,0,155
03.26,709,12,0,0
03.27,927,1,0,218
03.28,1170,1,0,243
03.29,1187,31,1,17
03.30,1280,31,2,93
03.31,1326,31,3,46
04.01,1353,50,5,27
04.02,1380,50,5,27
04.03,1462,95,5,82
04.04,1505,95,9,43
04.05,1585,95,9,80
04.06,1655,95,11,70
04.07,1749,95,13,94
04.08,1749,95,13,0
04.09,1845,95,18,96
04.10,2003,410,24,158
04.11,2003,410,24,0
04.12,2028,410,25,25
04.13,2173,410,25,145
04.14,2415,410,27,242
04.15,2415,410,27,0
04.16,2506,410,34,91
04.17,2605,903,48,99
04.18,2783,903,50,178
04.19,3034,903,52,251
04.20,3158,903,54,124
04.21,3300,1055,58,142
04.22,3465,1055,58,165
04.23,3635,1055,65,170
04.24,3953,1473,75,318
04.25,4220,1473,79,267
04.26,4361,1473,86,141
04.27,4546,1473,87,185
04.28,4793,1473,90,247
04.29,4996,2073,93,203
04.30,5350,2073,103,354
05.01,5647,2073,103,297
05.02,5951,2382,116,304
05.03,6336,2549,123,385
05.04,6783,2549,131,447
05.05,7220,2746,138,437
05.06,7572,2746,148,352
05.07,7808,3153,153,236
05.08,8232,3153,161,424
05.09,9420,3983,186,1188
05.10,9420,3983,186,0
05.11,10652,4357,206,1232
05.12,11350,4357,206,698
05.13,11350,4357,206,0
05.14,12074,4745,219,724
05.15,12739,5676,238,665
05.16,13524,6083,247,785
05.17,14355,6478,261,831
05.18,15515,7006,264,1160
05.19,16433,7298,286,918
05.20,17200,7960,312,767
05.21,19137,8950,369,1937
05.22,19137,8950,369,0
05.23,20125,10104,397,988
05.24,21343,10104,407,1218
05.25,22583,11100,429,1240
05.26,23615,11917,481,1032
05.27,24264,12741,524,649
05.28,25937,13451,552,1673
05.29,27403,14370,577,1466
05.30,29240,15093,611,1837
05.31,30967,16116,643,1727
06.01,34357,16809,705,3390
06.02,35812,17291,705,1455
06.03,35812,18313,755,0
06.04,37525,19682,792,1713
06.05,40792,21311,848,3267
06.06,43434,23088,908,2642
06.07,45973,24258,952,2539
06.08,48285,24364,998,2312
06.09,50879,26099,1080,2594
06.10,52991,29006,1162,2112
06.11,55421,31505,1210,2430
06.12,58568,33252,1284,3147
06.13,61927,35006,1354,3359
06.14,65736,36850,1423,3809
06.15,70038,38531,1480,4302
06.16,73533,39867,1568,3495
06.17,76334,42063,1625,2801
06.18,80412,44331,1674,4078
06.19,83890,44920,1737,3478
06.20,87715,47825,1831,3825
06.21,92681,50326,1877,4966
06.22,97302,51608,1930,4621
06.23,101590,53444,1991,4288
06.24,106108,55045,2102,4518
06.25,111796,56874,2205,5688
06.26,118375,59974,2292,6579
06.27,124590,64111,2340,6215
06.28,131800,67094,2413,7210
06.29,138134,68925,2456,6334
06.30,144264,70614,2529,6130
07.01,151209,73543,2657,6945
07.02,159333,76025,2749,8124
07.03,168061,81999,2844,8728
07.04,177124,86298,2952,9063
07.05,187977,91227,3026,10853
07.06,196750,93315,3199,8773
07.07,205721,97848,3310,8971
07.08,215855,102299,3502,10134
07.09,224665,106842,3602,8810
07.10,238339,113061,3720,13674
07.11,250687,118232,3860,12348
07.12,264184,127715,3971,13497
07.13,276242,134874,4079,12058
07.14,287796,138241,4172,11554
07.15,298292,146279,4346,10496
07.16,311049,160693,4453,12757
07.17,324221,165591,4669,13172
07.18,337594,178183,4804,13373
07.19,350879,182230,4948,13285
07.20,364328,191059,5033,13449
07.21,373628,194865,5173,9300
07.22,381798,208144,5368,8170
07.23,394948,229175,5940,13150
07.24,408052,236260,6093,13104
07.25,421996,245771,6343,13944
07.26,434200,263054,6655,12204
07.27,445433,265077,6769,11233
07.28,452529,274925,7067,7096
07.29,459761,287313,7257,7232
07.30,471123,297967,7497,11362
07.31,482169,309601,7812,11046
08.01,493183,326171,8005,11014
08.02,503290,342461,8153,10107
08.03,511485,347227,8366,8195
08.04,516862,358037,8539,5377
08.05,521318,363751,8884,4456
08.06,529877,377266,9298,8559
08.07,538184,387316,9604,8307
08.08,545476,394759,9909,7292
08.09,553188,404568,10210,7712
08.10,559859,411474,10408,6671
08.11,563598,417200,10621,3739
08.12,566109,426125,10751,2511
08.13,568919,432029,11010,2810
08.14,572865,437617,11270,3946
08.15,579140,461734,11556,6275
08.16,583653,466941,11677,4513
08.17,587345,472377,11839,3692
08.18,589886,477671,11982,2541
08.19,592144,485468,12264,2258
08.20,596060,491441,12423,3916
08.21,599940,497169,12618,3880
08.22,603338,500102,12843,3398
08.23,607045,504127,12987,3707
08.24,609773,506470,13059,2728
08.25,611450,516494,13159,1677
08.26,613017,520381,13308,1567
08.27,615701,525242,13502,2684
08.28,618286,531338,13628,2585
08.29,620132,533935,13743,1846
08.30,622551,536694,13981,2419
08.31,625056,538604,14028,2505
09.01,627041,540923,14149,1985
09.02,628259,549993,14263,1218
09.03,630595,553456,14389,2336
09.04,633015,554887,14563,2420
09.05,635078,557818,14678,2063
09.06,636884,561204,14779,1806
09.07,638517,563891,14889,1633
09.08,639362,566555,15004,845
09.09,640441,567729,15086,1079
09.10,642431,569935,15168,1990
09.11,644438,573003,15265,2007
09.12,646398,574587,15378,1960
09.13,648214,576423,15427,1816
09.14,649793,577906,15447,1579
09.15,650749,579289,15499,956
09.16,651521,583126,15641,772
09.17,653444,584195,15705,1923
09.18,655572,585303,15772,2128
09.19,657627,586844,15857,2055
09.20,659656,589434,15940,2029
09.21,661211,590071,15953,1555
09.22,661936,591208,15992,725
09.23,663282,592904,16118,1346
09.24,665188,594229,16206,1906
09.25,667049,595916,16283,1861
09.26,668529,599149,16312,1480
09.27,669498,601818,16376,969
09.28,670766,603721,16398,1268
09.29,671669,604478,16586,903
09.30,672572,606520,16667,903
10.01,674339,608112,16734,1767
10.02,676084,609584,16866,1745
10.03,677833,611044,16909,1749
10.04,679716,612763,16938,1883
10.05,681289,614781,16976,1573
10.06,682215,615684,17016,926
10.07,683242,616857,17103,1027
10.08,685155,618127,17248,1913
10.09,686891,618771,17408,1736
10.10,688352,620081,17547,1461
10.11,690896,622153,17673,2544
10.12,692471,623765,17780,1575
10.13,693359,624659,17863,888
10.14,694537,625574,18028,1178
10.15,696414,626898,18151,1877
10.16,698184,628301,18309,1770
10.17,700203,629260,18370,2019
10.18,702131,630436,18408,1928
10.19,703793,634543,18471,1662
10.20,705254,635257,18492,1461
10.21,706304,639568,18656,1050
10.22,708359,641706,18741,2055
10.23,710515,642560,18843,2156
10.24,712412,643523,18891,1897
10.25,714246,644641,18944,1834
10.26,715868,646170,18968,1622
10.27,716759,646721,19008,891
10.28,717851,647833,19053,1092
10.29,719714,648654,19111,1863
10.30,721770,649935,19164,2056
10.31,723682,653052,19230,1912
11.01,725452,654182,19276,1770
11.02,726823,655330,19411,1371
11.03,727595,657500,19465,772
11.04,728836,659259,19539,1241
11.05,730548,660185,19585,1712
11.06,732414,671579,19677,1866
11.07,734175,675593,19749,1761
11.08,735906,678738,19789,1731
11.09,737278,679688,19809,1372
11.10,738525,680726,19845,1247
11.11,740254,683194,19951,1729
