,confirm,heal,dead,confirm_add
02.01,2,0,0,0
02.02,2,0,0,0
02.03,2,0,0,0
02.04,2,0,0,0
02.05,2,0,0,0
02.06,2,0,0,0
02.07,2,0,0,0
02.08,2,0,0,0
02.09,2,0,0,0
02.10,2,0,0,0
02.11,2,0,0,0
02.12,2,0,0,0
02.13,2,0,0,0
02.14,2,0,0,0
02.15,2,0,0,0
02.16,2,0,0,0
02.17,2,0,0,0
02.18,2,0,0,0
02.19,2,0,0,0
02.20,2,0,0,0
02.21,2,0,0,0
02.22,2,0,0,0
02.23,2,0,0,0
02.24,2,0,0,0
02.25,3,2,0,1
02.26,9,2,0,6
02.27,13,2,0,4
02.28,25,2,0,12
02.29,41,2,0,16
03.01,74,2,0,33
03.02,74,2,0,0
03.03,150,3,0,76
03.04,179,3,1,29
03.05,248,3,2,69
03.06,345,3,5,166
03.07,441,30,8,46
03.08,613,30,17,97
03.09,1046,32,26,433
03.10,1648,32,35,602
03.11,2174,183,49,526
03.12,2968,189,84,794
03.13,4209,189,120,1241
03.14,5753,193,136,1544
03.15,7753,571,195,2000
03.16,9191,571,309,3438
03.17,11178,571,491,3425
03.18,13716,1081,558,2538
03.19,17147,1081,767,3431
03.20,17147,1081,767,0
03.21,25374,2125,1375,8227
03.22,28572,2575,1720,3646
03.23,33089,2575,2182,4517
03.24,39673,3355,2696,6584
03.25,47610,3355,3434,7937
03.26,56188,5367,4089,8578
03.27,64059,7015,4858,7871
03.28,72248,9357,5690,8189
03.29,78797,12285,6528,6549
03.30,85195,14709,7340,6398
03.31,94417,19259,8269,9222
04.01,102136,22647,9053,7719
04.02,110238,26743,10003,8102
04.03,117710,30513,10935,7472
04.04,124736,34219,11744,7026
04.05,130759,38080,12418,6023
04.06,135032,40437,13055,4273
04.07,140510,43208,13798,5478
04.08,146690,48021,14555,6180
04.09,152446,52165,15238,5756
04.10,157022,55668,15843,4576
04.11,161852,59109,16353,4830
04.12,166019,62391,16972,4167
04.13,169496,64727,17489,3477
04.14,172541,67504,18056,3045
04.15,177633,70853,18579,5092
04.16,182816,74797,19130,5183
04.17,184948,74797,19315,2132
04.18,191726,74797,20043,6778
04.19,195944,77357,20453,4218
04.20,200210,80587,20852,4266
04.21,204178,82514,21282,3968
04.22,208389,85915,21717,4211
04.23,213024,89250,22157,4635
04.24,219764,92355,22524,6740
04.25,223759,95708,22902,3995
04.26,223759,95708,22902,0
04.27,229422,120832,23521,5663
04.28,232128,123903,23822,2706
04.29,236899,132929,24275,4771
04.30,239639,137984,24543,2740
05.01,239639,137984,24824,2740
05.02,245567,146233,25100,3648
05.03,245567,146233,25100,3648
05.04,248301,151633,25428,1533
05.05,250561,154718,25613,1179
05.06,250561,154718,25613,2260
05.07,253682,159359,25857,3121
05.08,256855,163919,26070,3173
05.09,260117,168408,26299,3262
05.10,262783,173157,26478,2666
05.11,264663,176439,26621,1880
05.12,268143,177846,26744,3480
05.13,269520,180470,26920,1377
05.14,271095,183227,27104,1575
05.15,272646,186480,27321,1551
05.16,274367,188967,27459,1721
05.17,276505,192253,27563,2138
05.18,277719,195945,27650,1214
05.19,278188,196958,27709,469
05.20,278803,196958,27778,615
05.21,279524,196958,27888,721
05.22,280117,196958,27940,593
05.23,281904,196958,28628,1787
05.24,282370,196958,28678,466
05.25,282852,196958,28752,482
05.26,282852,196958,28752,482
05.27,283339,196958,27117,859
05.28,283849,196958,27118,510
05.29,284986,196958,27119,1137
05.30,285644,196958,27121,658
05.31,286308,196958,27125,664
06.01,286509,196958,27127,201
06.02,286718,196958,27127,209
06.03,287012,196958,27127,294
06.04,287406,196958,27128,394
06.05,287740,196958,27133,334
06.06,288058,196958,27134,318
06.07,288390,196958,27135,332
06.08,288630,196958,27136,240
06.09,288797,196958,27136,167
06.10,289046,196958,27136,249
06.11,289360,196958,27136,314
06.12,289787,196958,27136,427
06.13,290289,196958,27136,502
06.14,290685,196958,27136,396
06.15,291008,196958,27136,323
06.16,291189,196958,27136,181
06.17,291408,196958,27136,219
06.18,291763,196958,27136,355
06.19,292348,196958,27136,585
06.20,292655,196958,28315,307
06.21,293018,196958,28322,363
06.22,293352,196958,28323,334
06.23,293584,196958,28324,232
06.24,293832,196958,28325,248
06.25,294166,196958,28327,334
06.26,294566,196958,28330,400
06.27,294985,196958,28338,419
06.28,295549,196958,28341,564
06.29,295850,196958,28343,301
06.30,296050,196958,28346,200
07.01,296351,196958,28355,301
07.02,296739,196958,28363,388
07.03,297183,196958,28368,444
07.04,297625,196958,28385,442
07.05,297625,196958,28385,442
07.06,297625,196958,28385,442
07.07,298869,196958,28388,414
07.08,299210,196958,28392,341
07.09,299593,196958,28396,383
07.10,300136,196958,28401,543
07.11,300988,196958,28403,852
07.12,300988,196958,28403,852
07.13,300988,196958,28403,852
07.14,303033,196958,28406,681
07.15,303699,196958,28409,666
07.16,304574,196958,28413,875
07.17,305935,196958,28416,1361
07.18,307335,196958,28420,1400
07.19,307335,196958,28420,1400
07.20,307335,196958,28420,1400
07.21,311916,196958,28422,1527
07.22,313274,196958,28424,1358
07.23,314631,196958,28426,1357
07.24,317246,196958,28429,2615
07.25,319501,196958,28432,2255
07.26,319501,196958,28432,2255
07.27,319501,196958,28432,2255
07.28,325862,196958,28434,2120
07.29,327690,196958,28436,1828
07.30,329721,196958,28441,2031
07.31,332510,196958,28443,2789
08.01,335602,196958,28445,3092
08.02,335602,196958,28445,3092
08.03,335602,196958,28445,3092
08.04,344134,196958,28472,3044
08.05,349894,196958,28498,5760
08.06,352847,196958,28499,2953
08.07,354530,196958,28500,1683
08.08,361442,196958,28503,4507
08.09,361442,196958,28503,4507
08.10,361442,196958,28503,4507
08.11,370060,196958,28576,2873
08.12,373692,196958,28581,3632
08.13,376864,196958,28579,3172
08.14,379799,196958,28605,2935
08.15,379799,196958,28605,2935
08.16,379799,196958,28605,2935
08.17,379799,196958,28605,2935
08.18,382142,196958,28646,1833
08.19,384270,196958,28670,2128
08.20,387985,196958,28797,3715
