,confirm,heal,dead,confirm_add
01.28,1,0,0,0
01.29,1,0,0,0
01.30,1,0,0,0
01.31,1,0,0,0
02.01,1,1,0,0
02.02,1,1,0,0
02.03,1,1,0,0
02.04,1,1,0,0
02.05,1,1,0,0
02.06,1,1,0,0
02.07,1,1,0,0
02.08,1,1,0,0
02.09,1,1,0,0
02.10,1,1,0,0
02.11,1,1,0,0
02.12,1,1,0,0
02.13,1,1,0,0
02.14,1,1,0,0
02.15,1,1,0,0
02.16,1,1,0,0
02.17,1,1,0,0
02.18,1,1,0,0
02.19,1,1,0,0
02.20,1,1,0,0
02.21,1,1,0,0
02.22,1,1,0,0
02.23,1,1,0,0
02.24,1,1,0,0
02.25,1,1,0,0
02.26,1,1,0,0
02.27,1,1,0,0
02.28,1,1,0,0
02.29,1,1,0,0
03.01,1,1,0,0
03.02,1,1,0,0
03.03,1,1,0,0
03.04,1,1,0,0
03.05,1,1,0,0
03.06,1,1,0,0
03.07,1,1,0,0
03.08,1,1,0,0
03.09,1,1,0,0
03.10,1,1,0,0
03.11,2,1,0,1
03.12,3,1,0,1
03.13,3,1,0,0
03.14,11,1,0,5
03.15,12,1,0,1
03.16,23,1,0,11
03.17,44,1,0,15
03.18,50,1,0,6
03.19,60,1,0,10
03.20,71,1,0,5
03.21,77,1,0,6
03.22,81,1,0,4
03.23,92,1,0,11
03.24,100,1,0,8
03.25,102,1,0,2
03.26,106,6,0,4
03.27,106,7,0,0
03.28,110,6,0,4
03.29,113,9,1,3
03.30,122,11,1,9
03.31,142,16,2,20
04.01,146,21,2,4
04.02,151,21,3,5
04.03,152,24,4,1
04.04,162,27,5,10
04.05,174,29,5,12
04.06,178,34,5,4
04.07,185,42,6,7
04.08,189,44,7,4
04.09,190,49,7,1
04.10,190,50,7,0
04.11,198,54,7,8
04.12,203,55,7,5
04.13,217,56,7,14
04.14,219,61,7,2
04.15,235,63,7,16
04.16,238,68,7,3
04.17,242,77,7,4
04.18,248,86,7,6
04.19,269,96,7,21
04.20,304,98,7,35
04.21,310,102,7,6
04.22,323,105,7,13
04.23,340,107,7,17
04.24,416,109,7,76
04.25,440,118,7,24
04.26,485,120,7,45
04.27,571,126,7,86
04.28,611,134,7,40
04.29,627,136,7,16
04.30,653,139,7,26
05.01,668,157,7,15
05.02,690,172,7,22
05.03,702,172,7,12
05.04,721,194,8,19
05.05,760,197,9,39
05.06,774,215,9,14
05.07,804,232,9,30
05.08,824,240,9,20
05.09,847,260,9,23
05.10,855,321,9,8
05.11,863,343,9,8
05.12,879,366,9,16
05.13,893,382,9,14
05.14,916,445,9,23
05.15,925,477,9,9
05.16,949,520,9,24
05.17,964,538,9,15
05.18,981,559,9,17
05.19,1020,569,9,39
05.20,1027,584,9,7
05.21,1045,604,9,18
05.22,1055,620,9,10
05.23,1085,660,9,30
05.24,1118,674,9,33
05.25,1182,695,10,64
05.26,1278,712,10,96
05.27,1453,732,10,175
05.28,1503,745,10,50
05.29,1540,754,10,37
05.30,1563,781,10,23
05.31,1630,801,10,67
06.01,1639,811,11,9
06.02,1649,823,11,10
06.03,1683,823,11,34
06.04,1790,839,11,107
06.05,1800,858,11,10
06.06,1810,891,11,10
06.07,1819,941,11,9
06.08,1845,990,11,26
06.09,1858,1057,11,13
06.10,1859,1057,11,1
06.11,1873,1150,11,14
06.12,1878,1196,11,5
06.13,1882,1252,11,4
06.14,1889,1287,11,7
06.15,1896,1342,11,7
06.16,1914,1371,11,18
06.17,1924,1397,11,10
06.18,1926,1421,11,2
06.19,1948,1446,11,22
06.20,1950,1472,11,2
06.21,1950,1498,11,0
06.22,1950,1526,11,0
06.23,1951,1548,11,1
06.24,2001,1562,11,50
06.25,2010,1602,11,9
06.26,2010,1619,11,0
06.27,2033,1639,11,23
06.28,2036,1661,11,3
06.29,2039,1678,11,3
06.30,2042,1711,11,3
07.01,2053,1748,11,11
07.02,2059,1827,11,6
07.03,2066,1863,11,7
07.04,2074,1885,11,8
07.05,2074,1903,11,0
07.06,2077,1917,11,3
07.07,2080,1955,11,3
07.08,2084,1967,11,4
07.09,2151,1979,11,67
07.10,2450,1980,11,299
07.11,2459,1980,11,9
07.12,2605,1981,11,146
07.13,2631,1981,11,26
07.14,2661,1988,11,30
07.15,2671,2001,11,10
07.16,2682,2007,11,11
07.17,2689,2012,11,7
07.18,2703,2023,11,14
07.19,2715,2035,11,12
07.20,2728,2041,11,13
07.21,2730,2048,11,2
07.22,2731,2064,11,1
07.23,2753,2077,11,22
07.24,2763,2094,11,10
07.25,2769,2103,11,6
07.26,2777,2106,11,8
07.27,2804,2121,11,27
07.28,2807,2296,11,3
07.29,2810,2317,11,3
07.30,2814,2333,11,4
07.31,2814,2391,11,0
08.01,2815,2439,11,1
08.02,2817,2514,11,2
08.03,2824,2517,11,7
08.04,2828,2524,11,4
08.05,2838,2537,11,10
08.06,2839,2537,11,1
08.07,2839,2541,11,0
08.08,2839,2576,11,0
