,confirm,heal,dead,confirm_add
03.13,1,0,0,1
03.14,1,0,1,0
03.15,1,0,1,0
03.16,1,0,1,0
03.17,1,0,1,0
03.18,1,0,1,0
03.19,2,0,1,1
03.20,2,0,1,0
03.21,2,0,1,0
03.22,2,0,1,0
03.23,2,0,1,0
03.24,3,0,1,1
03.25,3,0,1,0
03.26,3,0,1,0
03.27,3,0,1,0
03.28,5,0,1,2
03.29,5,0,1,0
03.30,6,0,1,1
03.31,7,1,2,1
04.01,7,1,2,0
04.02,7,2,2,0
04.03,8,2,2,1
04.04,10,2,2,2
04.05,10,2,2,0
04.06,12,2,2,2
04.07,14,2,2,2
04.08,14,2,2,0
04.09,14,2,2,0
04.10,15,2,2,1
04.11,19,2,2,4
04.12,19,2,2,0
04.13,19,4,2,0
04.14,29,4,4,10
04.15,32,4,5,3
04.16,32,4,5,0
04.17,32,4,5,0
04.18,66,6,10,34
04.19,66,6,10,0
04.20,92,8,12,26
04.21,107,8,12,15
04.22,140,8,13,33
04.23,162,14,13,22
04.24,174,14,16,12
04.25,174,14,16,0
04.26,237,20,21,63
04.27,275,21,22,38
04.28,318,21,22,43
04.29,318,31,25,0
04.30,375,32,28,57
05.01,442,39,31,67
05.02,533,46,36,91
05.03,592,52,41,59
05.04,678,61,41,86
05.05,778,70,45,100
05.06,852,80,45,74
05.07,930,92,52,78
05.08,930,92,52,0
05.09,1111,102,59,181
05.10,1164,119,64,53
05.11,1365,149,70,201
05.12,1526,161,74,161
05.13,1661,173,80,135
05.14,1818,198,90,157
05.15,1964,205,91,146
05.16,1964,205,91,0
05.17,2289,222,97,325
05.18,2591,247,105,302
05.19,2591,247,105,0
05.20,2728,286,111,137
05.21,3138,309,121,410
05.22,3138,309,121,0
05.23,3378,372,137,240
05.24,3628,424,146,250
05.25,3820,458,165,192
05.26,3976,503,170,156
05.27,4146,588,184,170
05.28,4346,749,195,200
05.29,4346,749,195,0
05.30,4521,816,233,175
05.31,4800,1272,262,279
06.01,5026,1423,286,226
06.02,5173,1522,298,147
06.03,5173,1522,298,0
06.04,5499,1711,314,326
06.05,5714,1825,333,215
06.06,5865,1924,347,151
06.07,6081,2014,359,216
06.08,6081,2014,359,0
06.09,6242,2059,372,161
06.10,6427,2127,389,185
06.11,6582,2202,401,155
