,confirm,heal,dead,confirm_add
03.21,4,0,0,0
03.22,5,0,0,1
03.23,5,0,0,0
03.24,6,0,0,6
03.25,7,0,0,1
03.26,8,0,0,1
03.27,8,0,0,0
03.28,8,0,0,2
03.29,8,0,0,0
03.30,8,0,0,0
03.31,8,0,0,0
04.01,10,0,0,2
04.02,10,0,0,0
04.03,10,0,0,0
04.04,10,0,1,0
04.05,10,0,1,0
04.06,10,0,1,0
04.07,10,0,1,0
04.08,10,3,1,0
04.09,10,4,1,0
04.10,10,4,1,0
04.11,10,4,1,0
04.12,10,4,1,0
04.13,10,4,1,0
04.14,10,6,1,0
04.15,10,6,1,0
04.16,10,6,1,0
04.17,10,6,1,0
04.18,10,6,1,0
04.19,10,6,1,0
04.20,10,6,1,0
04.21,10,6,1,0
04.22,10,6,1,0
04.23,10,6,1,0
04.24,10,6,1,0
04.25,10,7,1,0
04.26,10,7,1,0
04.27,10,7,1,0
04.28,10,7,1,0
04.29,10,7,1,0
04.30,10,8,1,0
05.01,10,8,1,0
05.02,10,8,1,0
05.03,10,8,1,0
05.04,10,9,1,0
05.05,10,9,1,0
05.06,10,9,1,0
05.07,10,9,1,0
05.08,10,9,1,0
05.09,10,9,1,0
05.10,10,9,1,0
05.11,10,9,1,0
05.12,10,9,1,0
05.13,10,9,1,0
05.14,10,9,1,0
05.15,10,9,1,0
05.16,10,9,1,0
05.17,10,9,1,0
05.18,11,9,1,1
05.19,11,9,1,0
05.20,11,9,1,0
05.21,11,9,1,0
05.22,11,9,1,0
05.23,11,9,1,0
05.24,11,9,1,0
05.25,11,9,1,0
05.26,11,9,1,0
05.27,11,9,1,0
05.28,12,9,1,1
05.29,12,9,1,0
05.30,12,9,1,0
05.31,14,9,1,2
06.01,23,9,1,9
06.02,44,9,1,21
06.03,54,9,1,10
06.04,74,9,1,20
06.05,82,9,1,8
06.06,91,9,1,9
06.07,100,9,1,9
06.08,122,9,1,22
06.09,130,9,2,8
06.10,137,9,2,7
06.11,144,9,2,7
06.12,168,9,2,24
06.13,187,9,3,19
06.14,196,9,3,9
06.15,208,9,3,12
06.16,229,48,5,21
06.17,236,48,6,7
06.18,261,48,6,25
06.19,277,74,7,16
06.20,293,74,8,16
06.21,302,74,8,9
06.22,314,106,8,12
06.23,319,132,8,5
06.24,319,132,9,0
06.25,357,154,10,38
06.26,373,176,10,16
06.27,391,181,10,18
06.28,467,191,11,76
06.29,492,199,12,25
06.30,501,217,13,9
07.01,517,227,13,16
07.02,535,242,13,18
07.03,547,254,13,12
07.04,561,267,13,14
07.05,565,276,14,4
07.06,594,292,14,29
07.07,614,315,14,20
07.08,634,405,15,20
07.09,671,435,17,37
07.10,699,456,17,28
07.11,726,481,18,27
07.12,741,495,18,15
07.13,762,509,18,21
07.14,780,526,18,18
07.15,801,544,18,21
07.16,849,573,18,48
07.17,919,582,19,70
07.18,943,600,19,24
07.19,1001,610,20,58
07.20,1029,627,21,28
07.21,1079,656,21,50
07.22,1131,705,21,52
07.23,1176,739,21,45
07.24,1234,774,23,58
07.25,1305,804,23,71
07.26,1381,853,23,76
07.27,1439,890,23,58
07.28,1483,925,24,44
07.29,1510,965,24,27
07.30,1607,1003,26,97
