,confirm,heal,dead,confirm_add
02.25,1,0,0,1
02.26,1,0,0,0
02.27,4,0,0,3
02.28,15,0,0,11
02.29,15,0,0,0
03.01,24,0,0,9
03.02,27,0,0,3
03.03,46,2,0,19
03.04,66,3,0,20
03.05,81,3,1,35
03.06,128,3,1,47
03.07,228,3,1,100
03.08,281,3,2,71
03.09,337,3,2,56
03.10,476,3,3,102
03.11,645,3,4,169
03.12,815,4,4,170
03.13,1009,4,7,194
03.14,1139,4,11,130
03.15,1139,4,11,130
03.16,2220,4,13,1081
03.17,2269,4,19,49
03.18,3028,4,21,759
03.19,3888,4,33,860
03.20,4222,4,33,334
03.21,6113,15,56,1891
03.22,7014,131,80,2042
03.23,8060,131,100,1046
03.24,9117,131,122,1057
03.25,9877,131,122,1817
03.26,10897,131,122,1020
03.27,12161,131,197,1264
03.28,13259,1530,241,1098
03.29,14076,1595,264,1148
03.30,15526,1823,312,1450
03.31,16186,1823,395,660
04.01,17137,2967,461,951
04.02,18267,4013,505,1130
04.03,19303,4846,573,1036
04.04,20278,4846,620,975
04.05,21100,6415,685,822
04.06,21652,7298,734,552
04.07,22242,8056,811,590
04.08,22789,8704,858,547
04.09,23612,9900,926,823
04.10,24427,10600,987,815
04.11,24900,11100,1003,473
04.12,25328,12100,1089,428
04.13,25623,12700,1129,295
04.14,25913,13700,1162,290
04.15,26336,14700,1221,423
04.16,26732,15400,1269,396
04.17,27078,15900,1318,346
04.18,27404,16400,1366,326
04.19,27740,17100,1381,336
04.20,27944,17800,1406,204
04.21,28063,18600,1436,119
04.22,28268,19400,1478,205
04.23,28496,19900,1538,228
04.24,28677,20600,1578,181
04.25,28894,21000,1593,217
04.26,29061,21300,1607,167
04.27,29164,21800,1640,103
04.28,29264,22200,1685,100
04.29,29407,22600,1703,143
04.30,29586,23100,1737,179
05.01,29705,23400,1737,119
05.02,29817,23900,1754,112
05.03,29817,24200,1762,0
05.04,29981,24500,1762,164
05.05,30009,25200,1790,28
05.06,30060,25400,1795,51
05.07,30126,25700,1808,66
05.08,30207,25900,1810,81
05.09,30251,26100,1830,44
05.10,30305,26400,1830,54
05.11,30344,26600,1837,39
05.12,30380,26800,1857,36
05.13,30413,26800,1870,33
05.14,30463,27100,1870,50
05.15,30514,27100,1874,51
05.16,30572,27100,1878,58
05.17,30587,27400,1881,15
05.18,30597,27500,1883,10
05.19,30618,27600,1890,21
05.20,30658,27700,1892,40
05.21,30694,27800,1893,36
05.22,30707,27900,1903,13
05.23,30725,27900,1905,18
05.24,30736,28000,1906,11
05.25,30746,28100,1913,10
05.26,30761,28200,1915,15
05.27,30776,28200,1917,15
05.28,30796,28300,1919,20
05.29,30828,28300,1919,32
05.30,30845,28400,1919,17
05.31,30862,28400,1920,17
06.01,30871,28500,1920,9
06.02,30874,28500,1920,3
06.03,30874,28500,1920,0
06.04,30913,28600,1921,39
06.05,30936,28600,1921,23
06.06,30956,28600,1921,20
06.07,30965,28700,1921,9
06.08,30972,28700,1923,7
06.09,30988,28700,1923,16
06.10,30988,28700,1934,0
06.11,31044,28700,1937,56
06.12,31063,28800,1938,19
06.13,31094,28800,1938,31
06.14,31117,28800,1938,23
06.15,31131,28800,1938,14
06.16,31146,28900,1939,15
06.17,31183,28900,1956,37
06.18,31200,28900,1956,17
06.19,31217,28900,1956,17
06.20,31243,28900,1956,26
06.21,31292,29000,1956,49
06.22,31310,29000,1956,18
06.23,31332,29000,1956,22
06.24,31376,29000,1958,44
06.25,31428,29000,1958,52
06.26,31486,29000,1962,58
06.27,31555,29000,1962,69
06.28,31617,29100,1962,62
06.29,31652,29100,1962,35
06.30,31714,29100,1963,62
07.01,31851,29200,1965,137
07.02,31967,29200,1965,116
07.03,32101,29200,1965,134
07.04,32198,29200,1965,97
07.05,32268,29200,1965,70
07.06,32315,29300,1965,47
07.07,32369,29300,1966,54
07.08,32498,29400,1966,129
07.09,32586,29400,1966,88
07.10,32690,29400,1966,104
07.11,32798,29400,1966,108
07.12,32883,29500,1968,85
07.13,32946,29600,1968,63
07.14,33016,29600,1968,70
07.15,33148,29800,1968,132
07.16,33290,29800,1969,142
07.17,33382,29900,1969,92
07.18,33492,29900,1969,110
07.19,33591,29900,1969,99
07.20,33634,30300,1969,43
07.21,33742,30300,1972,108
07.22,33883,30500,1972,141
07.23,34000,30500,1975,117
07.24,34154,30500,1977,154
07.25,34302,30500,1977,148
07.26,34412,30700,1977,110
07.27,34477,30700,1978,65
07.28,34609,30900,1978,132
07.29,34802,31000,1979,193
07.30,35022,31100,1980,220
07.31,35232,31100,1981,210
08.01,35412,31100,1981,180
08.02,35550,31300,1981,138
08.03,35616,31500,1981,66
08.04,35746,31500,1981,130
08.05,35746,31600,1981,0
08.06,36108,31600,1985,362
08.07,36269,31600,1986,161
08.08,36451,31900,1986,182
08.09,36603,32000,1986,152
08.10,36708,32300,1987,105
08.11,36895,32400,1990,187
08.12,37169,32700,1991,274
08.13,37403,32700,1991,234
08.14,37671,32700,1991,268
08.15,37924,32900,1991,253
08.16,38124,33200,1991,200
08.17,38252,33300,1991,128
08.18,38449,33500,1992,197
08.19,38760,33500,1996,311
08.20,39026,33800,1998,266
08.21,39332,33900,2000,306
08.22,39627,33900,2000,295
08.23,39903,34100,2001,276
08.24,40060,34400,2001,157
08.25,40262,34400,2002,202
08.26,40645,34800,2003,383
08.27,41006,34800,2003,361
08.28,41346,34800,2004,340
08.29,41722,35200,2005,376
08.30,42014,35200,2005,292
08.31,42177,35800,2005,163
09.01,42393,36100,2011,216
09.02,42763,36300,2011,370
09.03,43127,36500,2013,364
09.04,43532,36500,2013,405
09.05,43957,36500,2013,425
09.06,44401,37100,2013,444
09.07,44592,37100,2014,191
09.08,44837,37700,2017,245
09.09,45306,38100,2019,469
09.10,45711,38100,2020,405
09.11,46239,38100,2020,528
09.12,46704,38500,2020,465
09.13,47179,38900,2021,475
09.14,47436,38900,2025,257
09.15,47751,39600,2025,315
09.16,48265,39900,2039,514
09.17,48795,39900,2042,530
09.18,49283,39900,2045,488
09.19,49283,40500,2045,0
09.20,49283,40500,2045,0
09.21,50378,40500,2050,1095
09.22,50664,42100,2054,286
09.23,51101,42100,2060,437
09.24,51492,42300,2061,391
09.25,51864,42600,2064,372
09.26,51864,42600,2064,0
09.27,51864,42600,2064,0
09.28,52646,42700,2065,782
09.29,52871,42700,2069,225
09.30,53282,42700,2074,411
10.01,53832,45300,2074,550
10.02,54384,45800,2075,552
10.03,54384,45800,2076,0
10.04,54384,45800,2077,0
10.05,55932,45800,2078,1548
10.06,56632,47300,2081,700
10.07,57709,47300,2082,1077
10.08,58881,47300,2087,1172
10.09,60368,48400,2088,1487
10.10,60368,48400,2088,0
10.11,60368,48400,2088,0
10.12,64436,48400,2093,4068
10.13,65881,49800,2102,1445
10.14,68704,49800,2108,2823
10.15,71317,50500,2113,2613
10.16,74422,50500,2120,3105
10.17,74422,50500,2122,0
10.18,74422,50600,2123,0
10.19,83159,53400,2138,8737
10.20,86167,54600,2145,3008
10.21,91763,54600,2029,5596
10.22,97019,55700,2044,5256
10.23,103653,55800,2063,6634
10.24,103653,55800,2071,0
10.25,103653,55800,2083,0
10.26,121093,61700,2090,17440
10.27,127042,61700,2147,5949
10.28,135658,65100,2158,8616
10.29,145044,65100,2200,9386
10.30,154251,65200,2249,9207
10.31,154251,65200,2286,0
11.01,154251,65200,2306,0
11.02,176177,80400,2362,21926
11.03,182303,83400,2439,6126
11.04,192376,87100,2500,10073
11.05,202504,87100,2580,10128
11.06,211913,87300,2666,9409
11.07,211913,87300,2721,0
11.08,211913,87300,2764,0
11.09,229222,87300,2823,17309
11.10,229222,87300,2902,0
11.11,235202,122600,3013,5980
11.12,250396,130000,3168,15194
11.13,257135,141000,3280,6739
11.14,257135,141000,3342,0
11.15,257135,141000,3351,0
11.16,269974,141000,3488,12839
11.17,274534,169100,3608,4560
11.18,280648,169100,3726,6114
11.19,285655,180700,3827,5007
11.20,290601,180700,3962,4946
11.21,290601,180700,3992,0
11.22,290601,180700,4031,0
11.23,300352,206700,4124,9751
11.24,304593,211500,4277,4241
11.25,309469,211500,4374,4876
11.26,313978,218900,4451,4509
11.27,318290,222100,4558,4312
11.28,318290,222100,4597,0
11.29,318290,222100,4645,0
11.30,327072,250200,4753,8782
